ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_symbol
ENSG00000001617,44.151476292019055,1.1846403870774165,0.3836919112533024,1.542378258854802e-4,0.0010353052476838782,SEMA3F
ENSG00000005243,81.70837847035715,1.0068892136818548,0.3088438171039418,1.1353400118220001e-4,7.881600802871978e-4,COPZ2
ENSG00000006025,74.71931059754507,1.221913158054984,0.26872006197029247,5.087199245165637e-7,5.71305615599155e-6,OSBPL7
ENSG00000006837,28.295994014516783,1.1996465659401019,0.4507411895597655,5.778271869259594e-4,0.0033242175066220112,CDKL3
ENSG00000010295,154.23633934271137,1.7622163149997039,0.19314494277680858,5.242347345968576e-21,2.524455682392526e-19,IFFO1
ENSG00000012822,90.12601402038489,1.1247434300171097,0.23758834826910558,2.2293414240873823e-7,2.6420473870979512e-6,CALCOCO1
ENSG00000013364,554.3601466948888,1.461876814817838,0.110367421806212,4.12489085915948e-41,4.389403091176909e-39,MVP
ENSG00000019549,6.527742583387567,1.680841926249725,1.4819327355261125,0.009409242355000366,0.03596594848431062,SNAI2
ENSG00000025434,73.24650591697899,1.031428684602891,0.2894010347440713,3.714805476972313e-5,2.8885127717469435e-4,NR1H3
ENSG00000025708,100.47534344875432,1.0062840795258639,0.23378636436669017,1.991859958341581e-6,2.0247249823703297e-5,TYMP
ENSG00000026103,222.9709220996813,1.2224657150891685,0.17123407598542748,8.846012263964555e-14,2.3994611162343786e-12,FAS
ENSG00000026559,56.6910259142225,1.2805592539535708,0.30355311439504196,2.1225200557418594e-6,2.1472040381182255e-5,KCNG1
ENSG00000026751,15.408962986974208,5.013580901915987,0.9246285656339674,2.303790094692175e-8,3.18079185271164e-7,SLAMF7
ENSG00000028277,580.0727609577842,1.524100390289327,0.12965166722088736,5.5502634791090615e-33,4.445176808505399e-31,POU2F2
ENSG00000034152,377.1981535615775,1.0258722831226297,0.10737442010523737,1.6250483869576084e-22,8.298107820246283e-21,MAP2K3
ENSG00000040487,66.19799822224638,1.049915057368971,0.2982702604909211,4.075025392844516e-5,3.144506156334432e-4,SLC66A1
ENSG00000048052,230.02844892050953,1.814354086276467,0.1998483267966219,7.486559764988495e-21,3.5600931232446853e-19,HDAC9
ENSG00000048392,954.8189245343673,1.0147045784159074,0.08545726827357576,1.8565832238420594e-33,1.5107821880858084e-31,RRM2B
ENSG00000058085,599.9301916358348,2.446183717389491,0.09335962136731456,2.0363809493657407e-152,1.4085276775681124e-149,LAMC2
ENSG00000066322,702.9164326515116,1.299270900984187,0.08199871294037128,1.227249553305364e-57,2.146558212948014e-55,ELOVL1
ENSG00000067066,466.17011158245697,1.1683577561759253,0.11919534799198682,1.1514810027370017e-23,6.25788800666034e-22,SP100
ENSG00000070388,8.70707869385643,1.3347097098045497,1.207374025618966,0.00702405748110583,0.028261523714962294,FGF22
ENSG00000072163,17.544447016672617,2.077224789345305,0.49507994721644183,1.6856377015132523e-6,1.7425508766254864e-5,LIMS2
ENSG00000072840,60.573318384826166,2.268540815288526,0.2986959388728105,1.9177885933304353e-15,6.235681415536162e-14,EVC
