ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_symbol
ENSG00000000003,55.135046643948236,-1.0457015329371975,0.35581422944046026,3.3378866196098875e-4,0.002140439135718654,TSPAN6
ENSG00000000460,51.77198176426372,-1.0469576576434243,0.2909657934071862,3.482150378440385e-5,2.832062122326421e-4,C1orf112
ENSG00000003096,6.2389383595805805,-4.078636695466356,1.5187582900316505,3.7219756840987445e-4,0.0023491208620875404,KLHL13
ENSG00000005448,135.70032590727752,-1.7750252429219677,0.19883737269412033,3.040923148195211e-20,1.2643094957947137e-18,WDR54
ENSG00000006015,176.7947397821479,-1.0020939294069124,0.1657467828786476,2.0773963489765085e-10,3.869246051698351e-9,REX1BD
ENSG00000006634,74.14690167000386,-1.0977974239602892,0.28803462173876127,1.3869613779896935e-5,1.2263446420028568e-4,DBF4
ENSG00000007541,72.20817258273858,-1.206464483617886,0.26144878244704645,4.2212773155913424e-7,4.960245321340035e-6,PIGQ
ENSG00000010292,401.9682173970147,-1.3349966457625964,0.11062981723192943,1.5865241025193803e-34,1.2574029827102816e-32,NCAPD2
ENSG00000011426,378.14057772501883,-1.7007696238935035,0.11671173640276904,2.8291212581833542e-49,4.145204754054263e-47,ANLN
ENSG00000012171,30.3432039881968,-1.1201677451480385,0.5125284170166085,0.0023782722113399285,0.011551282553450268,SEMA3B
ENSG00000013810,198.27093293571167,-1.6622793014986914,0.23771082959421302,1.9455170311151872e-13,5.0092948667478515e-12,TACC3
ENSG00000017427,5.075162700779457,-2.3318475495475273,1.379200793414384,0.0038946109382502624,0.017377179633044124,IGF1
ENSG00000024526,273.314712296005,-1.7410767451090519,0.12698892817161828,7.259343878266624e-44,8.432476014930016e-42,DEPDC1
ENSG00000029993,185.43671820939872,-1.095340069574962,0.1507829463963152,4.603609701863238e-14,1.2464969543283432e-12,HMGB3
ENSG00000035499,57.80638453425846,-2.1585111913639,0.444395887706363,7.093133520522174e-8,9.65440185883595e-7,DEPDC1B
ENSG00000039650,209.82884633082836,-1.1477970179112296,0.1566572701242184,2.5050620504380683e-14,6.880781447927091e-13,PNKP
ENSG00000054654,217.79849289195386,-1.1485167625375996,0.15274531035947056,6.035217117491561e-15,1.7393541453952479e-13,SYNE2
ENSG00000058056,144.00570643909137,-1.179083750488021,0.23422081389711003,4.897412213743466e-8,6.812058652334033e-7,USP13
ENSG00000060642,18.885672858991565,-1.6366778375130686,0.547734731633502,1.8934929394534783e-4,0.0012909176550028486,PIGV
ENSG00000062822,603.35717299032,-1.2408800111674745,0.11724223263572801,3.022415951660725e-27,1.8036119033890688e-25,POLD1
ENSG00000066279,598.6987782193718,-1.878817143337536,0.09698140036904535,7.754266823318165e-85,2.744108796521687e-82,ASPM
ENSG00000068489,1358.623062647314,-1.5959425825328077,0.08777980737021591,3.9272292226007487e-75,1.0865572196421017e-72,PRR11
ENSG00000070371,13.30987134059798,-1.6108029992221062,0.7369957373211785,0.0015491534821874338,0.00805379861238339,CLTCL1
ENSG00000070759,12.849388705819292,-1.409501527965385,0.818646001956783,0.00396599135475291,0.01766183507324408,TESK2
ENSG00000071539,102.28735707805707,-1.0671781970003198,0.21950350455729206,1.2626919074095878e-7,1.6507201679597679e-6,TRIP13
ENSG00000072310,151.3433230955435,-1.0298770270730149,0.181579138771383,1.8299717213106884e-9,3.083796199688233e-8,SREBF1
ENSG00000072571,183.7865326977276,-1.9972075401569283,0.18974663263544336,4.748926714365718e-27,2.8228288208009036e-25,HMMR
ENSG00000073670,22.118076719718953,-1.6002065828421626,0.5989966583025015,4.501471424156628e-4,0.002763694731883629,ADAM11
ENSG00000075218,280.2100938985031,-1.5775587377131104,0.18481596447994966,9.25353360090631e-19,3.546877098362502e-17,GTSE1
ENSG00000075826,71.47652808979642,-1.305159573457966,0.43085829957960997,2.0614976025334802e-4,0.0013905057188719845,SEC31B
ENSG00000076382,226.8114465863724,-1.1552311209569475,0.16802774150212413,6.843831829572239e-13,1.645222574259096e-11,SPAG5
ENSG00000077152,58.686962968482014,-1.36762981804252,0.3153866595994665,1.1743497214904109e-6,1.2700838459075751e-5,UBE2T
ENSG00000077942,79.87086700625633,-1.7071675502033918,0.3649893559669307,1.8555030677551892e-7,2.3451154636238136e-6,FBLN1
ENSG00000079691,44.00941146161539,-1.191549266920095,0.3571795974609142,7.814975125622803e-5,5.84088784315335e-4,CARMIL1
ENSG00000080986,186.54830758992253,-1.4354044500477872,0.20880731811582004,5.041189126924664e-13,1.2313286507931397e-11,NDC80
ENSG00000081059,32.79288577790915,-2.025494907835122,0.4646211515015734,8.018064243522524e-7,8.951642229910657e-6,TCF7
ENSG00000085840,39.90656231861258,-1.6645621323643986,0.35908017170704293,2.640583309832091e-7,3.248323057858927e-6,ORC1
ENSG00000085999,86.23674363008352,-1.2850164300714593,0.3361208489458493,1.0844009147219884e-5,9.775668672585603e-5,RAD54L
ENSG00000087586,380.3330033007476,-1.4378536894330685,0.1508176744966692,1.2655971601379316e-22,6.056161001829845e-21,AURKA
ENSG00000088325,805.8757345741816,-1.3950569962750516,0.08929228647364047,5.041100391274936e-56,8.919816820236128e-54,TPX2
ENSG00000089685,593.9964315998203,-1.970047480274202,0.09615871972040588,2.474796994532001e-94,1.1768433083060457e-91,BIRC5
ENSG00000090889,200.93804037446486,-1.5627628624906356,0.15858970108254336,6.492779095657496e-24,3.337858766845274e-22,KIF4A
ENSG00000091157,25.152782450778588,-1.270767065669141,0.5054608715228261,8.902462177239153e-4,0.004991479990827125,WDR7
ENSG00000092036,75.87991627068835,-1.3241387975725691,0.3370357895155471,7.377749783831871e-6,6.812331217267571e-5,HAUS4
ENSG00000096060,54.54109690621911,-1.1355394902311076,0.33510433090515956,7.027604992435934e-5,5.325650655871395e-4,FKBP5
ENSG00000099194,1062.5973358039723,-1.0064149085247873,0.09945770449151585,5.915230996310761e-25,3.2032765149772546e-23,SCD
ENSG00000099624,442.75125203053153,-1.2830899087343393,0.1254962326165377,1.780146436583054e-25,9.959003060839828e-24,ATP5F1D
ENSG00000100077,19.786954625776218,-1.0603893560906803,0.5308632394517306,0.0036733869371000276,0.016537848823032875,GRK3
ENSG00000100162,145.20849152921025,-1.6269059012384113,0.19084948091178447,1.3311062524918462e-18,5.038667622927469e-17,CENPM
ENSG00000100242,118.01030929419825,-1.1835808993972752,0.21637364012850882,4.941506815262577e-9,7.965562416085872e-8,SUN2
ENSG00000100311,12.97186419353176,-1.8740314221694794,1.0654861434700806,0.0024195473285519645,0.011718094111577098,PDGFB
ENSG00000100379,94.31029930844149,-1.1473041466763994,0.3085080785309031,2.0595239544502325e-5,1.7616512655912979e-4,KCTD17
ENSG00000100442,546.1878037532341,-1.5529431685602273,0.09954789057409995,7.685751813208727e-56,1.3290236970636044e-53,FKBP3
ENSG00000100445,57.86743757682442,-1.3166652619126742,0.44762597562731077,2.2695528113526398e-4,0.0015153671159531881,SDR39U1
ENSG00000100526,287.4776583240288,-1.9420706558303509,0.14849652689634188,3.4236866743203677e-40,3.383002605398249e-38,CDKN3
