ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_symbol
ENSG00000000419,419.96684842696453,-1.5087209500983068,0.10640054496168962,1.6059422214869138e-46,7.890496301856755e-45,DPM1
ENSG00000000460,66.11119985942328,-1.614873886250782,0.2693782858987489,2.695046684854707e-10,2.0883979926095798e-9,C1orf112
ENSG00000001036,499.93080454567297,-1.033515521042329,0.0902994664613309,6.393750313606793e-31,1.8151845702493704e-29,FUCA2
ENSG00000001084,211.40690348614189,1.1818370614363087,0.13450558482186334,3.267878549090317e-19,5.0155930922691805e-18,GCLC
ENSG00000001497,285.2189645915831,-1.0955368019375662,0.11966461719798527,1.2534518183066459e-20,2.1252436278340244e-19,LAS1L
ENSG00000001617,56.03028057474208,1.3271209494533274,0.267158644392995,1.0946627432855578e-7,6.24453549099274e-7,SEMA3F
ENSG00000002822,135.96407731098518,-1.8970538775463004,0.20590229881604052,3.0268871268174462e-21,5.296218159051033e-20,MAD1L1
ENSG00000003147,275.2695264212385,1.0696386674892782,0.129650353919175,3.7000723280490496e-17,4.938616303291709e-16,ICA1
ENSG00000004777,74.71101203182904,-1.3462905391671447,0.22888661552133283,6.769065699781617e-10,5.005828175933563e-9,ARHGAP33
ENSG00000005189,17.30846694245246,-3.1428859820656556,0.6379668056217266,9.973427387093105e-8,5.720212961083035e-7,REXO5
ENSG00000005448,200.38564678377517,-2.1691472228353184,0.15813876696295204,7.296736033136542e-44,3.346797712308582e-42,WDR54
ENSG00000005483,229.55068525481906,1.007121224012181,0.12802284991230045,9.862348983729205e-16,1.203039803011395e-14,KMT2E
ENSG00000006015,238.67269610131189,-2.3293890607951213,0.14748491690921794,3.607743320201241e-57,2.5560217183747185e-55,REX1BD
ENSG00000006025,94.12525041779388,1.4952313431772488,0.20770792674140198,9.09340062910212e-14,9.66592551800741e-13,OSBPL7
ENSG00000006534,184.1805828727747,1.120579162614219,0.16246528662610527,1.1606860365599255e-12,1.1273003304899643e-11,ALDH3B1
ENSG00000006634,69.6259610770322,-1.0811873255882094,0.24131882130139265,1.6447872240890991e-6,8.026683040065808e-6,DBF4
ENSG00000006756,45.825054735247,1.0937350256063123,0.2979157752496281,4.962053031951205e-5,1.9164707134841963e-4,ARSD
ENSG00000007312,5.122788665337701,2.0272857498673864,1.2074039326066752,0.005852813694593104,0.01451541699221637,CD79B
ENSG00000007341,86.99448976686351,1.2865151519691964,0.24093944225442246,1.5793590254306516e-8,1.011478116770962e-7,ST7L
ENSG00000007541,72.59833558707614,-1.1618989471830303,0.2321101081996,1.1457766350406764e-7,6.508044093806563e-7,PIGQ
ENSG00000007968,22.513415328604353,-2.5176073307991618,0.4859524584124663,2.3654033458054882e-8,1.4750079016869587e-7,E2F2
ENSG00000008128,235.31911500000692,1.1596045264748298,0.14912371060920107,1.4747607943188827e-15,1.7757552204734952e-14,CDK11A
ENSG00000008283,94.35136948635461,1.0805426476164808,0.20124257055452702,1.788663733158105e-8,1.140461769594983e-7,CYB561
ENSG00000008300,137.53658018486232,1.7774138443942917,0.18153544733800347,1.476306587163609e-23,2.9492995016408894e-22,CELSR3
ENSG00000008735,12.161923166406353,1.6310472033569237,0.6314718519425744,9.25425375256809e-4,0.0027868122780503905,MAPK8IP2
ENSG00000010292,527.9075634193174,-1.44751077342667,0.0904866076456252,2.1905154651130693e-58,1.6397868127992645e-56,NCAPD2
ENSG00000010318,35.240667483676006,-2.063635431910528,0.3608584820911998,1.197897342166705e-9,8.660879644731484e-9,PHF7
ENSG00000010438,768.6331702708931,1.2518385340509701,0.0814786276079341,5.748790618257626e-54,3.634793112021854e-52,PRSS3
ENSG00000011021,95.72458864464481,1.2264883854648643,0.2072858720970021,6.436556124071083e-10,4.777743016324045e-9,CLCN6
ENSG00000011143,150.8346473199896,-1.3571792539364569,0.16285808371400698,1.2807195463339027e-17,1.787600633273442e-16,MKS1
ENSG00000011275,767.4953791552583,1.2429560393197652,0.08901178167021942,5.2862580162522754e-45,2.4894039975644987e-43,RNF216
ENSG00000011422,435.7030906221242,1.0043743145440243,0.09974252583942869,2.0349429183906202e-24,4.266122075939121e-23,PLAUR
ENSG00000011426,516.799189038252,-1.9187667025347848,0.0982975363352411,9.66782971288169e-86,1.3341605003776732e-83,ANLN
ENSG00000012048,165.34536132588354,-1.417378035207931,0.1605562075463486,1.705309521514342e-19,2.6663312420130645e-18,BRCA1
ENSG00000012061,384.476418273791,-1.1080466393032442,0.10240881395190182,6.346190046876221e-28,1.573656813186338e-26,ERCC1
ENSG00000012124,10.509902373805362,1.7806214926500203,0.7828738538074931,0.0017723908117536957,0.0050196899934089175,CD22
ENSG00000012822,142.63078438165277,1.1303436824907958,0.1690299741338739,4.800973711032314e-12,4.4245907545924985e-11,CALCOCO1
ENSG00000013297,4.5950293467146235,-5.506349951991802,2.560902538882155,7.012192700838572e-5,2.6364249742314176e-4,CLDN11
ENSG00000013364,693.0136496016994,1.8964358702995867,0.09202138763070383,1.9144135121305417e-95,3.0381742437511694e-93,MVP
ENSG00000013563,29.70450603117862,-1.3498670270117115,0.402467616129859,1.1650198983178563e-4,4.215427675855992e-4,DNASE1L1
ENSG00000013810,324.91447519648665,-1.651913175724263,0.11823746808661684,3.377860032034929e-45,1.6049891828860575e-43,TACC3
ENSG00000014138,73.36649592762555,-2.073258900887736,0.25128380779688003,1.842163910339998e-17,2.5289914582262773e-16,POLA2
ENSG00000015520,3.942729987863563,-2.2344870784570348,1.4357491658018537,0.008787501412972581,0.020731031280492772,NPC1L1
ENSG00000016391,48.53818007636453,-1.852776764467245,0.3245349291426782,1.2505583143345827e-9,9.016974306446992e-9,CHDH
ENSG00000020181,21.965302344794654,-1.6577794206820764,0.47043092981598794,4.707051570947137e-5,1.824643586490744e-4,ADGRA2
ENSG00000021762,163.65158517390228,1.2287564027933393,0.15857559734146937,1.847974860541118e-15,2.208385620240026e-14,OSBPL5
ENSG00000023171,22.52649932004302,1.7666789400580316,0.4811845049394368,2.54255429650889e-5,1.0288204152370241e-4,GRAMD1B
ENSG00000023445,237.31545677286195,1.1932288305800425,0.13857739814692477,1.4570719786713775e-18,2.155054268547508e-17,BIRC3
ENSG00000023892,220.121298806169,1.1454163773831836,0.1381876431157316,2.3859769052522536e-17,3.253045832160933e-16,DEF6
ENSG00000024526,378.8873335718949,-2.3615869349388356,0.12342041220907317,9.546597459361865e-83,1.2317439160981528e-80,DEPDC1
ENSG00000026036,1230.5204107918687,-1.423190563879625,0.07393246210380013,2.0826876938069073e-83,2.7092011230094767e-81,RTEL1-TNFRSF6B
ENSG00000026103,161.90414122671868,1.543818724283294,0.16568571836957696,1.5922578719195728e-21,2.8296900814516927e-20,FAS
ENSG00000026751,17.945125636627644,3.7894219113492853,0.6614836844635652,1.8196620754042969e-9,1.2869000506535735e-8,SLAMF7
ENSG00000027075,30.592136780033808,1.1163304265953187,0.3567358249189892,3.361107680123792e-4,0.0011068848077104084,PRKCH
ENSG00000027869,7.636103561318969,-1.8374931574650712,0.8912872871811691,0.0030360620600292363,0.008095918353316361,SH2D2A
ENSG00000028277,469.6768045286999,1.2700299493066396,0.0998004980511245,8.624951795945135e-38,3.298264698834923e-36,POU2F2
ENSG00000029639,79.45784712819463,-1.2793364436339467,0.22673481659105843,2.9545170803880475e-9,2.047519042172852e-8,TFB1M
ENSG00000029993,297.7866792807481,-1.6746509617128484,0.13002230120695765,7.820720678253284e-39,3.1106475479669076e-37,HMGB3
ENSG00000032219,393.0226177034271,1.1102526802748807,0.10027112656543415,4.0621006206090893e-29,1.0637877367832715e-27,ARID4A
ENSG00000032444,252.81388014648277,1.2269860427081374,0.13162433812114302,2.2626541306377205e-21,3.985385244530591e-20,PNPLA6
ENSG00000035115,35.0936406067601,1.2717706937796067,0.33658106953453154,2.5523356680054595e-5,1.032515091798283e-4,SH3YL1
ENSG00000035499,100.56100040511389,-1.8127446262229558,0.21112563785154712,1.048463226244362e-18,1.5756734280774647e-17,DEPDC1B
ENSG00000036530,17.096544106845062,1.6692923077595603,0.5192188043950351,1.385060557476994e-4,4.942862839478275e-4,CYP46A1
ENSG00000037965,115.4663975193568,-1.1387961217651663,0.184434441306034,1.3982604881879108e-10,1.123564250508463e-9,HOXC8
ENSG00000038002,34.87099682938193,-2.0921594578123406,0.3854719447955139,6.2031577340392655e-9,4.148508775356222e-8,AGA
ENSG00000038210,70.10112852471502,-1.3237925040747907,0.27223926096458806,1.7249416632594072e-7,9.571616851722655e-7,PI4K2B
ENSG00000038427,194.84574591507752,-1.2202792916317369,0.16505417580506157,2.8278459904038195e-14,3.1186876905982363e-13,VCAN
ENSG00000039650,152.77640846848627,-1.3675078501413547,0.16359680377282687,1.016879958730501e-17,1.4281314110666417e-16,PNKP
ENSG00000041353,27.046449439855518,2.004630131229384,0.4055707100009144,7.682548807709446e-8,4.4840768509874556e-7,RAB27B
ENSG00000042088,84.78421172153477,-1.0519937786160147,0.22006924951213877,4.1445333251283517e-7,2.1837232360487035e-6,TDP1
ENSG00000044090,57.32492292831012,-1.6589212286345176,0.28354826343631573,5.693048830042383e-10,4.2557081927825065e-9,CUL7
ENSG00000047230,60.6622586922721,-1.050597352715782,0.2667165538269468,1.856412461814999e-5,7.670907705060709e-5,CTPS2
ENSG00000047346,71.5007060900157,1.1572177723574089,0.22862823526426607,8.441245725663651e-8,4.890929889239947e-7,ATOSA
ENSG00000047621,100.42051120200809,1.1334956077240108,0.20156602920924296,4.060596690673811e-9,2.7716847088599306e-8,C12orf4
ENSG00000048052,186.8234665024398,1.5451353430023622,0.15227206308570793,4.585048751033522e-25,9.886511369416032e-24,HDAC9
ENSG00000048392,805.6316132026119,1.3970574316840618,0.08336175439056344,7.916467334354034e-64,6.827953075880354e-62,RRM2B
ENSG00000048740,330.7813012583004,1.017887760461,0.11316485934357873,6.489628818993751e-20,1.045587912258181e-18,CELF2
ENSG00000049089,26.193801018861336,-1.2356513186621263,0.39286390901947565,2.6656513487754416e-4,8.95477507645772e-4,COL9A2
ENSG00000049192,435.05268309162597,-1.0929959936995501,0.1002243283121163,2.5755701561016196e-28,6.467452274894416e-27,ADAMTS6
ENSG00000049249,61.79721234171973,-1.1588188450722334,0.2666439270943119,2.6901941135157976e-6,1.2751905788977214e-5,TNFRSF9
