ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_symbol
ENSG00000001084,250.5272026402648,1.3599587815188574,0.12600963533029597,5.800819670187702e-28,1.8067159460294786e-26,GCLC
ENSG00000001167,267.1446415467533,1.1673538003468973,0.15346749342211272,5.296326544926234e-15,5.984922760760306e-14,NFYA
ENSG00000003756,779.5193811884595,1.29964241856529,0.08163669646915325,6.648824733044091e-58,9.898209077349216e-56,RBM5
ENSG00000005073,33.81735198907082,1.271254845184485,0.33991472244585763,2.6237425850190197e-5,9.678443038668705e-5,HOXA11
ENSG00000005175,418.64088422919457,1.0248021502615623,0.09968355665482445,2.0582341406417608e-25,5.360989630849735e-24,RPAP3
ENSG00000005339,337.00665943063296,1.084317759568976,0.11269386801457831,1.3204473527538464e-22,2.793598330265537e-21,CREBBP
ENSG00000005889,229.42492582710972,1.4398376753674957,0.13065937148758364,4.341461659949995e-29,1.4495658097944149e-27,ZFX
ENSG00000006194,244.69269889954003,1.2018923062414686,0.14141201541520582,3.258268520125025e-18,4.941301240754092e-17,ZNF263
ENSG00000006459,32.78945142290832,1.5058445078624985,0.3842007148427626,1.0592194288836399e-5,4.155694795090625e-5,KDM7A
ENSG00000006837,16.38318090912043,1.5339026280243349,0.5179120033095499,3.0040201294148183e-4,9.295620640734984e-4,CDKL3
ENSG00000007237,6.2026417232313085,1.3531647991845481,0.9350863132489883,0.010714904474790973,0.023357167505700313,GAS7
ENSG00000007341,90.72208279097138,1.2161695307786997,0.2080995283236683,8.884027874045608e-10,6.006713346339087e-9,ST7L
ENSG00000007392,469.62297418677036,1.0753731267203566,0.09435420529410045,9.114637861805636e-31,3.301411352310716e-29,LUC7L
ENSG00000007545,106.29042227433472,1.1883509849828164,0.1962712018408144,2.419611556872679e-10,1.7598851068298056e-9,CRAMP1
ENSG00000008128,313.37316877113284,1.465011912836877,0.11595346344832116,1.8303574413732306e-37,9.966849060793092e-36,CDK11A
ENSG00000008516,5.591038419779594,6.2226017066410515,2.5359973365417594,6.5297834921032884e-6,2.6344802766374954e-5,MMP25
ENSG00000009765,4.9770920392005635,1.7245714808054846,1.0993703535976547,0.007250076429894317,0.01652345368369313,IYD
ENSG00000011243,255.64683190262852,1.49707142641898,0.12667331249797456,4.306665025404467e-33,1.8342323718435245e-31,AKAP8L
ENSG00000011422,276.3402862497985,1.417236788719961,0.12066419136813707,1.0287282033837187e-32,4.302364060904022e-31,PLAUR
ENSG00000011566,147.93882882035447,1.2715377872271068,0.18100126074309542,3.243357055777606e-13,3.112356886109001e-12,MAP4K3
ENSG00000013441,464.8376185507905,1.9699753674578198,0.10466464729054027,4.701485689534673e-80,1.556959352736309e-77,CLK1
ENSG00000018510,182.2392809955043,1.2457797439170741,0.14505461578818207,1.539465801640766e-18,2.3997033201944965e-17,AGPS
ENSG00000018610,153.91039014223807,1.037019612705384,0.16646083003902903,1.001139731342325e-10,7.556043916507863e-10,STEEP1
ENSG00000021461,13.146956200338622,1.2336058135664363,0.5677264876334851,0.003506059096009699,0.008626659734791415,CYP3A43
ENSG00000023608,1104.4066394535337,1.8490538941373391,0.07984385525140657,1.0347368424957867e-119,9.328152635099518e-117,SNAPC1
ENSG00000030066,281.7579797762278,1.1064112312971983,0.11784757440976404,1.2196574120481269e-21,2.3759160654627797e-20,NUP160
ENSG00000031003,170.73728936532822,1.1867744601013996,0.15851053636730814,1.2355258531610862e-14,1.3455622831708019e-13,FAM13B
ENSG00000036549,613.2750777611478,1.133015632241457,0.10108377731639384,6.704676682283408e-30,2.339715882223933e-28,ZZZ3
ENSG00000042429,299.23526003088676,1.5089824383825916,0.12499068103695204,1.8925746192792113e-34,8.699945707377836e-33,MED17
ENSG00000047056,300.09375144377117,1.110208270795771,0.11713607996289015,5.254759567758285e-22,1.0592420311306049e-20,WDR37
ENSG00000047188,277.1771747194767,1.3073317905584723,0.12328972606912492,4.487011085956019e-27,1.3048517722546294e-25,YTHDC2
ENSG00000047249,400.56750540419415,1.1005485512490252,0.10753675241262432,2.746476230454455e-25,7.085384704544426e-24,ATP6V1H
ENSG00000047315,487.0974908794373,1.1098663907948927,0.10038773879225593,4.090907513095846e-29,1.3715528143596342e-27,POLR2B
ENSG00000047346,115.93090184729233,1.415213657664945,0.18591002970794157,3.657257611320733e-15,4.194086166706823e-14,ATOSA
ENSG00000051009,140.32562387191228,1.0058916844742087,0.17296778756351117,1.3905677974497683e-9,9.191341608642521e-9,FHIP1B
ENSG00000054267,1215.5221577358445,1.006936705540298,0.08678448709298493,8.908867732313118e-32,3.369794794691025e-30,ARID4B
ENSG00000054967,117.66679365003745,1.3248018391741898,0.1865035636940655,1.8509576507479743e-13,1.819230151343875e-12,RELT
ENSG00000057757,358.7632259250479,1.3223410815932086,0.10601723361829868,1.665606803817881e-36,8.607580129156929e-35,PITHD1
ENSG00000059728,101.35259085279115,1.4213705273336599,0.1954495148903919,4.968785865792495e-14,5.116020827678604e-13,MXD1
ENSG00000059769,217.79096639804106,1.0882233133320627,0.14049245303398916,1.876193078350008e-15,2.2238849585380262e-14,DNAJC25
ENSG00000059804,162.36624448623334,1.4715838396117058,0.15587719440167438,5.146680335844366e-22,1.0400396240317125e-20,SLC2A3
ENSG00000061936,813.3654543397761,1.1510573956380123,0.08352375573223797,5.894343268379793e-44,4.643082923106743e-42,SFSWAP
