gene_symbol,log2FoldChange_all_24hrs_genes,log2FoldChange_all_48hrs_genes,log2FoldChange_all_72hrs_genes,log2FoldChange_all_96hrs_genes,log2FoldChange_all_CDK11i_genes
A1BG,-0.23936466830837483,-0.4980177044991712,-0.7402138068794347,-0.7734425707560308,-0.8891857890775344
A1BG-AS1,-0.6104733110390785,-0.8400413071693742,0.0640052307184758,0.09280840099179784,-0.7704522923824145
A1CF,0.11583905661885985,NA,NA,NA,NA
A4GALT,0.08810061516959547,0.1160818721453836,0.1454250270159469,-0.23577131736138818,-0.6005439970068774
AAAS,-0.4178914641881626,-0.5891742249157363,-0.9260026012093135,-1.0549469637553393,-1.0103809053723145
AACS,-0.40339018983815783,-0.7732978074864387,-0.7492907748126403,-0.7792799481710628,-0.025876631050628693
AADAT,0.1363642967551891,0.07005037653601236,0.03313722151081871,-0.30548671466967386,0.7822264374612351
AAGAB,-0.04390481225926512,-0.2847515876225375,-0.3650283693338359,-0.001971630859466239,0.45385787354890145
AAK1,0.004847676374889909,0.24856374565384487,0.20897892076904398,0.2226195472114147,0.2875043365742701
AAMDC,0.549214128365038,0.46246308630904925,0.39237725575278887,-0.007255822212718917,-0.94211008606588
AAMP,0.3756512095107333,0.1208853604157068,0.11569214438263506,0.3328667346972739,-0.12332952454478868
AAR2,0.09887139587436909,0.09543584112699202,0.38626532405362823,0.3914961283755071,0.7344480067979577
AARD,-0.8740064346788888,-0.7236487387715088,-0.6248705866459969,-1.1835737154912098,-0.9316739259964282
AARS1,0.13853032592743783,0.2508416145637568,-0.69409538397312,0.08127935267590315,-0.18119955939904667
AARS2,-0.25585275893106507,-0.46863791944863203,-0.19386349322965404,-0.4086490305776702,-0.010836867724826203
AARSD1,0.631705148583845,0.1277678277044457,1.3801168359371554,0.21465173333461535,1.6836133076962698
AASDH,-1.182158845873623,-0.32864672881243445,-0.17590646920921793,-0.5839643663196515,-0.7854780786464935
AASDHPPT,-0.4669544094206171,-0.48609898071029084,-0.06025495762310299,-0.03976463218433052,0.5899769935871908
AASS,0.15323415661772866,-0.16194050721235426,-0.39244643428264736,-0.4817689473263437,0.5011239524422493
AATF,0.16217641947741313,0.46311101181414543,0.35615808979989555,0.1608974555672514,0.4173677020624022
AATK,-0.29383375147037705,0.04161675215719675,0.23750910027225927,0.1772832925893665,-0.23497286514090526
ABCA1,0.23212997492913406,0.5215761059758455,0.9892959073428681,-0.7091855056779541,0.12070919753612537
ABCA11P,-0.12499086728729467,-2.4021444452375147,NA,-1.7502394230043645,-0.11921886641248404
ABCA13,0.07536584900437805,0.537595728759602,0.7882724216615132,0.8032341143477257,-0.03832451757509688
ABCA2,-0.1455401427138802,0.13995802582291111,-0.017678997607783,-0.09106872928535363,-0.9675885743327477
ABCA3,-0.8661961600184445,-1.062468222962148,-0.9448417534005437,-0.3670307336796116,-0.40424023475487375
ABCA5,0.21417233622389942,0.8033576839357219,1.0999653621287204,0.5218119156161813,0.07808022520198622
ABCA7,-0.4254307432529178,0.5875114670529217,0.7220451306696481,0.43988656264363446,-0.9676491283592362
ABCB1,0.5859099207033895,0.28300887446977474,0.08852969589630369,-0.1162445438282304,-0.0049589767850501554
ABCB10,0.21192386960814086,-0.536259271759122,-0.26351841932152986,-0.5056571871835958,-0.3259858931583842
ABCB4,-0.11076824662399663,0.28754192494196856,-0.46661143509937886,-0.6793123889472423,-0.019330108650463647
ABCB7,-0.09560805640740076,0.16101130937789912,-0.29733249903724795,-0.16433486648129175,0.2491809316957595
ABCB8,0.035393334110731284,0.22326968571580377,-0.6044642019167192,-0.10219597666837404,-0.8426200567708138
ABCB9,-0.42377995626656534,0.21802892597680895,0.14316621824431686,0.21315463296678028,-1.0391252817459447
ABCC1,-0.21984376706690115,-0.1744276769673077,0.09192422653018971,-0.12373013701300385,0.31116308466776627
ABCC10,0.6588800606047158,0.7861206440031294,1.3743771681130728,1.7705867872426613,-0.11585039252659761
ABCC2,0.040021093650298815,-0.013821542873541702,-0.38919385153641955,-0.39931326086700053,0.5565054636819123
ABCC4,0.3574411689122281,0.4233521852183864,0.05881559700159207,-0.3188805905180775,-0.4264703960550537
ABCC5,-0.12768910896921534,-0.17650674963066115,0.008646459595809054,-0.11198452512248246,-5.380691847741365e-4
ABCC6,-0.3313040481464474,-0.1878939184650545,-0.3453298636667701,-0.8680711262900522,-0.5636984810657266
ABCC8,0.10155926411215378,0.6872526357550321,0.44394351437197754,-0.09166010865607539,-0.36185940195052035
ABCC9,-0.2066242022056381,0.08509681359186089,0.05025594303742737,NA,0.21354341781226197
ABCD1,-2.0089885671808814,-1.5993284990120802,-0.7349349989184871,-1.5067978474717378,-0.5323633320761805
ABCD3,0.1533067082657648,0.06072876594980263,0.14527671494073743,0.2515150349717001,0.09083245624605073
ABCD4,0.36867628821834914,0.7347366526301817,0.2266004581061545,0.4015742966740543,0.2708992057422404
ABCE1,0.11230260181344713,-0.1954218563278603,-0.3616909807760849,-0.2246705767891668,0.34235563860237317
ABCF1,0.09939191403443214,-0.12321997180156423,0.21829576330016182,-0.029373681926214198,0.8501618595350059
ABCF2,0.1393978845369311,-0.6969809874822863,-0.04361524349038727,0.05923251207661816,0.31536856227892685
ABCF3,0.2602586228839701,0.24003883789220717,0.4468755725960842,0.5405153926402667,0.35853765244935215
ABCG1,-0.011821123259995236,-0.30883484232467184,-1.3876509476001517,-1.471199250118462,-0.6311638839430318
ABCG2,-0.04245760068152134,-0.1598973982898606,0.256819155230838,-0.28913083447282384,-0.4570050202647138
ABHD10,-0.22161293332250387,0.2029361814828329,0.14695878037216017,0.7071846714194278,-0.015270648780026916
ABHD11,0.011940801003172566,-0.20725450835501705,-0.34636601157012703,-0.21626969867302898,-0.7502018063790696
ABHD12,0.06490069148241424,0.12143533945763313,-0.14217976800772605,0.02575773392508569,-0.28564483325484963
ABHD13,-0.17372648159875484,0.016754325915883436,-0.15725365293914853,0.20616131233151344,0.3123911743407505
ABHD14A,-0.33658501896697024,0.09490388894715528,0.6076150064108473,0.7414643413242145,-0.36963379881575853
ABHD14A-ACY1,-0.5577152790923644,-0.6892992063166291,-0.29763422331553235,-1.0327033531699255,0.007270047909334684
ABHD14B,-1.0459908737029775,-0.8916048827217904,-0.4463015054581158,-0.12691924417624953,-1.8103989572802623
ABHD15,-1.06388644162801,-0.7491173845252296,-0.8406808406935682,-0.5371489758956881,-0.8612417126444724
ABHD16A,-0.05728479341464495,-0.13912356626689593,0.23176816388013743,0.41928460583803,0.3544407864818876
ABHD17A,-0.2023931824173728,-0.25675474555980987,0.044033287020153765,-0.12658695820202043,-0.1729896388488386
ABHD17B,0.26288621419488206,-0.34823804947437864,0.069667842716667,0.043468815598143695,0.8490811066123558
ABHD17C,-0.2150438508326621,-0.033939088352903976,0.8330520280312251,0.11246426862844736,0.2322846133866226
ABHD18,-0.08841791649970233,0.18330482201485507,0.4410508061009536,0.024063519370152452,-0.856500769951494
ABHD2,0.1026943144594638,0.29907038715280476,0.6555676361876833,0.1680826243011589,-0.060797829079819746
ABHD3,0.025641805199007585,-0.8899561712458787,-0.8158035414227389,-0.5888625290618744,-0.5550796746057043
ABHD4,0.3402915530318671,1.031936105637387,1.6124693685305276,1.7262853911500025,0.09094421455491293
ABHD5,0.17312203967136916,-0.1799156773510429,0.1609733924651567,0.22082299869949742,0.552913239319698
ABHD6,-0.9393521151413683,-0.8221015672446155,-0.46340336463028875,-0.5938354708647223,-0.7433831573665012
ABHD8,-1.6024222209067256,-1.620395321989913,-0.6415097573338747,-0.3307577804125767,-0.12721296017093697
ABI1,0.48741414120421633,0.7776984327532462,0.6774078009594836,0.8637732794369962,0.5363433152698768
ABI2,0.0450996136659267,-0.35671221547858317,-0.7080225541244053,-0.6415799986918085,-0.021335240447193583
ABI3,-0.1172460953016657,-0.08753868889152099,-0.34034094766400735,-0.6063851947395172,-2.8562658566496766
ABITRAM,-0.10915899053183252,-0.09445076621097478,-0.1481953007812035,0.03833463517592049,0.39174883964012747
ABL1,-0.07862161318938797,0.27049568971605226,-0.07490843505078078,-0.07388884248216873,0.12338612171538738
ABL2,0.5710054285105176,0.989544863838408,0.7298662988724725,1.0971195327733887,1.7874044134439941
ABLIM1,0.18529776932024725,0.9452308415108348,0.7811582872114893,0.8319023195144506,-0.17281723316606662
ABLIM3,0.6764531731088279,1.0419715224705255,0.7755270695286482,1.1997906670377503,-1.6330247235163868
ABR,-0.8234874692588672,-0.17889066049957275,-0.07526639473265417,-0.19617262160045337,-0.6530216342389366
ABRACL,0.1889826134603632,-0.1941289970245843,-0.27126537316350857,0.09716078888383296,-0.0853528624419725
ABRAXAS1,-0.44425896549246663,-1.1030898800650588,-1.2411737160075442,-1.7169089728381988,-1.9019356325444168
ABRAXAS2,-0.05203996834660915,0.1416567787175097,-0.05790119365877611,0.38665133975144267,0.07496430373496572
ABT1,0.2280440893515642,0.12893489475838774,0.24756647555060174,0.21731730513225148,0.2982338847106084
ABTB1,0.9611984664071185,1.5289563789382103,0.9293523020894862,1.0442493147425789,-0.36604031512057505
ABTB2,-0.021045842474461323,0.16851794881367785,0.8139029228504128,0.9889688544786018,1.4200447853271696
ACAA1,0.2095498301923775,0.6189490021032391,1.079559777980655,0.9165648751684535,0.2334570850380713
ACAA2,-0.058199660969089136,0.18027804065093955,0.11785021500808512,-0.082029133914758,-0.17475381105621343
ACACA,0.04183355100599468,-0.4940118436499611,-0.4879448319988593,-0.2944085477723712,-0.06387872294497442
ACACB,0.009663321196500093,-0.020418658920028872,-0.15080169679571384,0.15802742073152296,-0.8156427920115715
ACAD10,-1.1770200385117766,-0.23351773369359502,-0.3289106860082835,-0.21785357919332135,-1.6477766488254668
ACAD11,-0.9244843671994422,-1.0965252042606102,-1.1265575641673506,-0.833360440312496,-0.9372040030804222
ACAD8,0.3253586330990401,0.12320567683494889,0.41612318763597633,0.3398265821321202,0.23712293831402403
ACAD9,-0.07091050473109044,-0.5251830498372688,-0.8429622647172293,-1.0287465109642284,-0.47248047209608557
ACADL,0.09800317507579295,-0.09965797424102435,0.007155206774228515,-0.418721023779914,-0.1065632365432767
ACADM,-0.3608871050157867,-0.350350386337254,-0.2557167318843334,0.12205260124516222,0.0019881570800885416
ACADS,0.16007271585798064,-0.020873983092215633,-0.1202835509962125,-0.38675503036675146,-0.45116889151464923
ACADSB,-0.22856933928016446,0.1970320482673282,-0.02598912957993858,0.2655049373916469,-0.6026486120920949
ACADVL,-0.023131800663727133,-0.34479987669531476,-0.6864985627024458,-0.537627282803129,-1.0125253715558178
ACAP1,0.08292647057576025,0.8635939841498524,0.8397521780722461,0.5922705161334193,-0.5250472034850581
ACAP2,0.07194860784180203,0.3379417893420566,0.22593542283976487,0.3430960446165354,0.8401922267263277
ACAP3,-0.06742936668255424,0.11895402344509137,0.39215771602563787,0.7629908509805553,0.086266693877713
ACAT1,-0.09075564358208031,-0.0908603076827306,-0.3140631340229688,-0.15667605940676643,-0.024139183833414016
ACAT2,-0.1240518084285166,-0.8574580199022865,-0.82584345226394,-0.5192712184360722,-0.7955955101421793
ACBD3,0.21327525642032855,0.6171145576599584,0.6881381036534516,0.8999330239371045,0.7387793369938256
ACBD4,-1.0748975059283963,-0.46990531920833123,-0.9024289310675838,-1.1104042234881695,-1.5566418247243716
ACBD5,0.06740971758215811,0.14701565088315963,0.07028762421663622,0.30432276066860237,0.4444342037842285
ACBD6,0.4684960580727166,0.21413739759103803,0.11312704382593991,0.13545806038475974,0.21367547705214532
ACBD7,-0.22236456612703545,-1.181171848725454,-2.305587395307232,-2.1150431467051445,-1.2784337613622905
ACCS,-1.8043536768943877,-0.6948388131677894,-1.8423733102764874,-2.617973368579086,-1.5606961197746934
ACD,0.23805951450520493,0.027751596077156635,0.16558110014301544,-0.45137578857618615,-0.9550729048272323
ACER3,0.24411441540416373,0.041844983639253375,-0.0043320830378441085,-0.1682079280605619,0.3607839891914944
ACIN1,0.25308863900128187,0.3478558659598907,0.3726008128159723,0.2113531147481797,0.7796562132279113
ACLY,0.19269686035827427,-0.5474590865471484,-0.4929172310892749,-0.22337510112775782,-0.4334591876526452
ACO1,0.1907230125291807,0.08638774626446132,-0.14194771186005603,-0.12902082336752432,0.11820291443650453
ACO2,0.120191184301042,-0.09913685517898191,0.12068134612117291,0.22419007404875171,0.3196007026265036
ACOT11,-0.018963355759508242,0.1595778436433739,0.3720913631005654,-0.12115763633620204,-1.4647956867051217
ACOT13,-0.5998341586103455,-0.8920178274507653,-0.5637567047966128,-0.23830230808497738,-1.5584147473354475
ACOT2,-0.31536071741553984,0.018335451024809483,-0.008813914745212596,0.2159796229718248,0.48396290229167166
ACOT4,-0.13637793900776207,-0.36472973896136013,0.42857613633606484,0.5353996758103,-0.760000194597703
ACOT7,0.3909180609548388,-0.14100863974210087,-0.06012165343088802,0.20262102246793137,-0.17271995480208102
ACOT8,-0.4534952480432951,-0.23210301832819294,0.09589771551942791,-0.06058797402842294,-0.44490616793419596
ACOT9,0.4037668383610141,0.2632688964079794,-0.04665725154393693,0.22172241023810998,0.07490000228032201
ACOX1,0.0631603261875997,0.050412472590675925,0.052495118163274915,0.10672507542167915,0.1874864899560918
ACOX2,-0.10410697973773786,0.3610903111814219,0.5050899827471825,-0.24407527386122427,0.1893886102546836
ACOX3,-0.5045899493244433,-0.6743433242365807,-0.3871563462049503,-0.5591568616014122,-1.1470978103108085
ACP1,0.0677846191741261,-0.2731730312691305,-0.5464819366757918,-0.36132413823871523,0.10291326354592778
ACP2,-0.5090931994256389,-0.8081240691956633,-0.5839344862134151,-1.2926237038960653,-0.3639243586598582
ACP5,-0.04870952117777869,1.2125997332578502,1.4746734894426192,1.1247397028676116,-0.5350675139664702
ACP6,-0.7261030802349883,-0.5033547501686353,-0.6827117772738267,-1.062881859465076,-1.6207994460668311
ACP7,0.3602829151756405,0.03095499908036488,-0.1063006190318963,1.0979653392671609,-1.8707965871430992
ACSBG1,-0.2730292861707047,NA,0.05530524218050771,0.4086517805706731,0.022669005524000512
ACSF2,0.2826063933941244,0.5855668591467559,0.64121937361641,0.6884205157994369,-0.9631479799708372
ACSF3,-2.6030260400729137,-2.084259146464477,-0.3734294802396185,0.219518683610527,-1.305938287601112
ACSL1,0.3152176389594069,-0.15852888018554126,-0.04430074167751859,-0.5253716499840368,-0.013363539662372284
ACSL3,-0.15969740538512076,-0.6361681533147975,-0.8386176958090362,-0.856737484665443,-0.07921982355346241
