ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000000003.16,2700.8281644463327,0.04112085025443251,0.1357584777206737,0.6590582472087134,0.9517437119671034,TSPAN6
ENSG00000000419.14,1121.3502549057323,0.2280253037579681,0.23920234391757203,0.059009187267170214,0.4514424664988398,DPM1
ENSG00000000457.14,86.63855571053232,4.8057399143475453e-4,0.17735681656639862,0.9964941909317595,0.9995420801361755,SCYL3
ENSG00000000460.17,208.20516076213082,-0.08436137499276057,0.19349865070003078,0.22978106429411244,0.7584498036684566,FIRRM
ENSG00000001036.14,1718.4521615514186,0.07598442931597547,0.14930874638279676,0.41892611558921683,0.8884327105208268,FUCA2
ENSG00000001084.13,1372.5013742420851,0.05262075572924067,0.14780453717448752,0.5669533344798106,0.9307150164033142,GCLC
ENSG00000001167.15,396.894879203322,0.03298954964521562,0.16632355810827257,0.6620867440723768,0.9524954604146382,NFYA
ENSG00000001460.18,29.702911540300533,-0.018577275442297658,0.1821138554204786,0.5440312126936844,0.9228607728461383,STPG1
ENSG00000001461.17,280.6541071725023,0.02820132423022162,0.16909890854727266,0.6910926448208101,0.957536906583472,NIPAL3
ENSG00000001497.18,474.33379767650086,-0.039539926400544045,0.1632859300269607,0.6221449923464748,0.9473917588053569,LAS1L
ENSG00000001561.7,8.939618287319247,-0.006871627104688942,0.1827566713851495,0.690329927589862,NA,ENPP4
ENSG00000001617.12,198.39563227896542,-0.04063057925351929,0.17623345862942055,0.5216526400311594,0.9174368694466862,SEMA3F
ENSG00000001629.10,421.57633771647244,-0.08918593998887211,0.18369600922185703,0.28721523270884614,0.81658785176169435,ANKIB1
ENSG00000001630.18,1667.8608307751092,0.10046847545583897,0.15890788367341793,0.3031313118434638,0.8249573240619592,CYP51A1
ENSG00000001631.17,1128.7401258038274,-0.0357034604333544,0.14721029466936733,0.6893524182146927,0.9571050523068645,KRIT1
ENSG00000002016.18,112.56963964782726,-0.08631563417058251,0.20181323991248987,0.14842946381926284,0.6556209960016741,RAD52
ENSG00000002330.14,226.48784335461895,-0.028120788028962364,0.17449891768978412,0.6418550041879361,0.9501778102233559,BAD
ENSG00000002549.13,508.79525061147905,0.04607227345883004,0.16427718375400813,0.572156229891382,0.932642807506893,LAP3
ENSG00000002586.20,2385.190145087445,0.009762086235699885,0.13314986158069092,0.917841731451124,0.9936244808306411,CD99
ENSG00000002822.16,275.8589551438712,-0.04779886861387035,0.1732380129145433,0.5061383997324802,0.9151681049500529,MAD1L1
ENSG00000002834.19,9166.546875729724,0.0022383918875225114,0.12032791513087139,0.9815396210500639,0.9994304433065161,LASP1
ENSG00000002919.15,315.8987252141657,-0.019228539501888273,0.16558500604404178,0.7898582526449991,0.9769748334342495,SNX11
ENSG00000003056.8,1446.7043950706914,0.006250700021863737,0.14115211997038069,0.9480029176645641,0.9949037814116592,M6PR
ENSG00000003096.15,5.734281083988571,-0.007522772758235323,0.1830600144274157,0.6058181103087755,NA,KLHL13
ENSG00000003137.9,9.60261615629243,0.018208486283377217,0.18466052535204144,0.02718737827227675,NA,CYP26B1
ENSG00000003249.15,485.14543007512617,-0.19349486744684607,0.2579925226791127,0.07558842515423568,0.5027079326081084,DBNDD1
