ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000000003.16,121.159824118151,0.03004961591538141,0.1976463122230565,0.8624247421133484,0.9413230606665407,TSPAN6
ENSG00000000419.14,46.04941526588988,-0.00834367868687954,0.24293741355255874,0.9637998820533572,0.9849050611787827,DPM1
ENSG00000000457.14,72.28787315669967,0.2175116576980264,0.24016326690129713,0.26214347105000907,0.5106948723969539,SCYL3
ENSG00000000460.17,82.30350934181732,-0.05810137261394331,0.2480628987991996,0.7625991448843351,0.8897977205566988,FIRRM
ENSG00000001036.14,305.7398384365374,-0.45104900413095683,0.15598856127979563,0.0016989920679559849,0.014979025736814273,FUCA2
ENSG00000001084.13,124.5916890039164,0.053857882711713594,0.19144771686425444,0.7490350165987698,0.8826757034206516,GCLC
ENSG00000001167.15,79.32268371284773,0.15577013452902824,0.21977761494663442,0.3966704800953334,0.6430748458362359,NFYA
ENSG00000001460.18,13.934713399839833,0.26721723184276797,0.4079078152416011,0.20062070967067855,0.4342931584887169,STPG1
ENSG00000001461.17,37.99191590768635,0.2899637930111979,0.26200426373924407,0.15688679787081106,0.37407804668506794,NIPAL3
ENSG00000001497.18,419.7539941735817,-0.19215409562929076,0.1864888655978263,0.24104529910310787,0.4854720665190916,LAS1L
ENSG00000001617.12,239.8904356551896,-0.1261900749225842,0.19705178676084514,0.4593062530961015,0.6940480817613259,SEMA3F
ENSG00000001629.10,185.43488736938093,0.09393355020372761,0.17903407219793416,0.5571909861939125,0.7665450737037294,ANKIB1
ENSG00000001630.18,679.8022083276404,-0.1659174907934947,0.14791886316865943,0.22095452536331298,0.46000848167926195,CYP51A1
ENSG00000001631.17,145.77403516382716,-0.05579241955280446,0.27267069036210057,0.7764927869195231,0.8984116552996747,KRIT1
ENSG00000002016.18,15.115324459674348,-0.09424477084928111,0.3562151081396409,0.583269321264783,0.7847696826211281,RAD52
ENSG00000002330.14,40.58104272556271,-0.15814286593077798,0.3153170290035201,0.4390629114022499,0.6769589699994671,BAD
ENSG00000002549.13,109.00976118638914,0.3281526927189154,0.2370510214779959,0.09184429658370781,0.2670662245055468,LAP3
ENSG00000002586.20,123.78343102688727,-0.31125769018855076,0.236791683788306,0.10845373385728706,0.29750612954133915,CD99
ENSG00000002746.15,18.80664384156632,1.2969096475546156,0.5126790686267646,7.937201263047308e-4,0.008136263849098293,HECW1
ENSG00000002822.16,60.277263314527346,0.08014931107112802,0.2317634963127159,0.6717773525621319,0.8385074871048702,MAD1L1
ENSG00000002834.19,3901.562055946644,0.009199517036983735,0.18551166194684804,0.9478218256340736,0.9779496631898685,LASP1
