ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_symbol
ENSG00000003147,88.74964168880975,-2.0225233930364954,0.2255380495290427,3.3253337775113856e-20,5.858869837967128e-19,ICA1
ENSG00000003249,34.411799650578025,-1.3247884049176193,0.35040361931499286,2.1182113015040422e-5,7.938155840532585e-5,DBNDD1
ENSG00000004139,53.57923576061402,-1.538443499041877,0.2847534590390087,8.324492755993734e-9,5.001167861958916e-8,SARM1
ENSG00000004660,39.25937439737335,-1.1554223436975273,0.32516149711798836,6.39195389593718e-5,2.221984487347314e-4,CAMKK1
ENSG00000004777,56.76673641319763,-1.1467728613256716,0.26177582186467135,2.0927397604576037e-6,9.053289280977215e-6,ARHGAP33
ENSG00000004975,109.07354569928883,-1.1117051778000488,0.2015544329713568,6.822463694159551e-9,4.146371474349327e-8,DVL2
ENSG00000005075,210.41401289632378,-1.0249802129782117,0.13845921914625367,3.009514423344853e-14,3.158822157025675e-13,POLR2J
ENSG00000005189,15.995200096259142,-1.6354163023831587,0.5409097124494571,2.4628494441480633e-4,7.742087936883111e-4,REXO5
ENSG00000005206,78.12718468879858,-1.8052262721651289,0.2389021674636773,4.31066371316788e-15,4.8983991648161893e-14,SPPL2B
ENSG00000005448,230.76318731043784,-1.4754598827247773,0.14301339299814664,8.641970224959004e-26,2.32945599402674e-24,WDR54
ENSG00000005882,92.37691593687106,-1.1589230857314154,0.2078097277324415,4.497329738279183e-9,2.7843635888232088e-8,PDK2
ENSG00000006015,204.4887145166936,-2.3489969340179164,0.15834604439565825,1.076567456804341e-50,1.230243670532679e-48,REX1BD
ENSG00000006118,133.02515017217516,-1.4055748337215332,0.17921187212748346,6.734250396996932e-16,8.329015334761372e-15,TMEM132A
ENSG00000006534,64.10449799005903,-1.0311452124316145,0.24632300292969,6.0386559048715965e-6,2.4485074804685504e-5,ALDH3B1
ENSG00000006611,17.865670342397916,-1.19360721393204,0.5074943191305772,0.0024129563074099967,0.006150304003943171,USH1C
ENSG00000006638,19.894203575375332,-1.0194440969132732,0.4462760353300957,0.003925783845495589,0.00953362682742546,TBXA2R
ENSG00000006756,24.970917171687955,-1.2618449827727327,0.42367247834318833,3.935500279959735e-4,0.0011923331412043805,ARSD
ENSG00000007038,103.00048184345059,-1.367467236964082,0.2130322846151806,2.0431287274058473e-11,1.6502662946547876e-10,PRSS21
ENSG00000007255,20.81882218072227,-1.117213947686556,0.4492936265581297,0.0019290385353701034,0.005023673296974911,TRAPPC6A
ENSG00000007520,323.9703151668847,-1.5113689442816052,0.11846558369531161,4.221338858279079e-38,2.3784606129616187e-36,TSR3
ENSG00000007541,63.53880111931778,-2.6208301156989076,0.289961975356222,1.7155491374704788e-20,3.07604595068878e-19,PIGQ
ENSG00000008382,49.358846308672334,-1.08151330589477,0.29392102591783825,4.2454288178831164e-5,1.5187516187784245e-4,MPND
ENSG00000009780,43.08985459285384,-1.3314078916919705,0.32937309249219493,7.490162558449178e-6,3.002541201481097e-5,FAM76A
ENSG00000010310,5.319102585832027,-1.32539768329192,1.0784808260860292,0.015668383571101473,0.032734757333367275,GIPR
ENSG00000010318,49.24141681850181,-1.135189215312678,0.3056210905387937,3.51459420856464e-5,1.2730205406780897e-4,PHF7
ENSG00000010361,87.78608478367737,-1.8538436078330167,0.22985175683580253,7.55963155055363e-17,1.0291119225741089e-15,FUZ
ENSG00000010626,19.633830734339977,-1.6417130139030363,0.474844377084896,5.836960068661571e-5,2.0416542878004778e-4,LRRC23
ENSG00000011132,45.842993400677784,-1.0615807894335605,0.2977883401055859,6.955928778885643e-5,2.4015714105314324e-4,APBA3
ENSG00000011523,72.09399989304369,-1.7569780943755289,0.2460185369429519,1.0778998530915861e-13,1.082368868571607e-12,CEP68
ENSG00000012174,49.14908377938852,-1.5291160069851202,0.2937111098598608,2.406901921931494e-8,1.3708949626950634e-7,MBTPS2
ENSG00000013563,26.31427469551754,-1.529555594589928,0.43242376980084374,4.7305734112604977e-5,1.6808192411763543e-4,DNASE1L1
ENSG00000013583,256.1183920251028,-1.0361707090190815,0.12735206455829504,9.153650378096893e-17,1.2326662629491974e-15,HEBP1
ENSG00000014138,138.83743021804904,-1.2945840846941812,0.1737513684266505,1.4960456638011872e-14,1.6184221991001243e-13,POLA2
ENSG00000014824,130.16093132483027,-1.3075547339258595,0.17571166745774186,1.589312403070012e-14,1.7147455029665616e-13,SLC30A9
ENSG00000016391,82.13266872309795,-1.1711293628938084,0.23368058342815928,8.95847757167748e-8,4.7382404027252436e-7,CHDH
ENSG00000021762,40.414258650655064,-2.0010661498002453,0.34155802718168166,4.775787029251637e-10,3.3346254786431287e-9,OSBPL5
ENSG00000022976,55.01330125577601,-1.5460707767904758,0.27743663130760104,3.244891384634127e-9,2.0400950212498248e-8,ZNF839
ENSG00000023697,95.46462179495082,-1.193521931960831,0.20354745084170162,7.86203948874394e-10,5.36264458948499e-9,DERA
ENSG00000024422,449.75580463358546,-1.4346514471271656,0.1015854551602325,4.2029672095598205e-46,3.7473378521718245e-44,EHD2
ENSG00000025708,44.51830235250632,-1.2271482952263009,0.30137615675491075,7.32612217483087e-6,2.9411426158085234e-5,TYMP
ENSG00000026036,453.5671646358303,-2.2437012332030397,0.2051196624504717,6.578304704363725e-29,2.1608532477269265e-27,RTEL1-TNFRSF6B
ENSG00000027001,39.629128923837406,-1.1280193886791965,0.3440774288463171,1.7597399498161018e-4,5.665734159854342e-4,MIPEP
ENSG00000027847,76.92042195122563,-2.4448490693287033,0.2588232473177823,3.4568683040450604e-22,7.100582527815089e-21,B4GALT7
ENSG00000029153,279.18424147830166,-1.0452299810181394,0.12183322565368569,2.1476182705464662e-18,3.309534822047247e-17,BMAL2
ENSG00000033327,25.111806118074465,-1.7941318239370483,0.44773879229702385,6.447594664979328e-6,2.6045585917007605e-5,GAB2
ENSG00000037757,120.10434247007593,-1.691818166601595,0.19897676148816662,2.1028156031558657e-18,3.2466592571275195e-17,MRI1
ENSG00000038210,61.958733781872645,-1.5288883235384294,0.2602970476578485,5.533046953391495e-10,3.8418807408080355e-9,PI4K2B
ENSG00000038427,127.49615289365533,-1.8599077539147388,0.18782622025681286,4.391507852766625e-24,1.0372779902015141e-22,VCAN
ENSG00000039139,12.142864775341602,-3.9944927454833343,0.9261111248945799,4.568392339196855e-6,1.891104655309882e-5,DNAH5
ENSG00000040531,27.754580133164072,-1.4130205722012061,0.38885305895568706,3.605095121286734e-5,1.3037637292872707e-4,CTNS
