ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000000003.16,125.90004550269892,-0.08733428232894974,0.18392383136975896,0.5853716772625501,0.7509420455413365,TSPAN6
ENSG00000000419.14,238.50681984112532,-0.06445740631384451,0.14196878883687578,0.6227186694584022,0.7761211903816533,DPM1
ENSG00000000457.14,41.71151092330526,0.06230449830139853,0.23966995948158998,0.7381897819231571,0.8538382367426591,SCYL3
ENSG00000000460.17,33.91285839797871,0.20029920734755854,0.27165949511088255,0.31087056455597606,0.5083268365269856,FIRRM
ENSG00000001036.14,252.35277668512208,-0.38650750107932036,0.1399824018302325,0.0029611945134613775,0.015896160855077734,FUCA2
ENSG00000001084.13,67.85828910276075,0.40175497085639156,0.23626488899539497,0.03701915660137593,0.11480503358895285,GCLC
ENSG00000001167.15,28.576835512804323,0.1880317307281232,0.28275379486034213,0.3471685419748284,0.5455405698894991,NFYA
ENSG00000001460.18,28.033350413871286,-0.15347123068339652,0.2742330130576084,0.4312495682821916,0.6251938340591747,STPG1
ENSG00000001461.17,177.2577258521267,-0.37218413182166005,0.16322589466289955,0.011510550233438555,0.047245067067651324,NIPAL3
ENSG00000001497.18,67.44799366113931,-0.44991999767125124,0.237728606558705,0.021580658853765037,0.07675988070280614,LAS1L
ENSG00000001617.12,7.09022769625026,-0.08436670192500491,0.34726340544459344,0.5814512809136235,0.748375552891963,SEMA3F
ENSG00000001629.10,339.3002969138119,0.35036676383796,0.13236625932433074,0.004561474917910952,0.02249433219322754,ANKIB1
ENSG00000001630.18,255.6089130426861,-0.4489575326557209,0.13895373643983705,5.354092696881215e-4,0.003877676145957677,CYP51A1
ENSG00000001631.17,458.0314311185137,0.6877601729981792,0.11968122076739986,2.0299108237136274e-9,5.916336350311512e-8,KRIT1
ENSG00000002016.18,35.25592260745516,0.18829599538797548,0.26056364371154095,0.3337303932785325,0.5325274275882274,RAD52
ENSG00000002330.14,314.34295519277015,-0.025445235656603588,0.1143985024125399,0.8158500263233585,0.9027497488262936,BAD
ENSG00000002549.13,48.45669756674715,0.08727472760074746,0.23914808867726187,0.6408545339073577,0.7888810101829753,LAP3
ENSG00000002586.20,275.75027977347366,-0.31865446062323627,0.14889794894951197,0.01974883838035148,0.07189905133430322,CD99
ENSG00000002746.15,5.061167863234444,-0.1402496222167945,0.3727700568001145,0.3533543813844806,0.552075869264565,HECW1
ENSG00000002822.16,27.1827881012573,-0.3580181178330361,0.3249101448147207,0.10695493888911041,0.24689094923729069,MAD1L1
ENSG00000002834.19,195.8520872037732,-0.213025994084191,0.14003568043218637,0.10037407720469756,0.23613955731032726,LASP1
ENSG00000002919.15,29.948937545946208,0.0592937374319112,0.2565801021866865,0.754711559868714,0.8642298122224321,SNX11
ENSG00000003056.8,452.5185844613665,0.13942496404792246,0.10309282639264017,0.15910017612730068,0.32412451611614834,M6PR
ENSG00000003137.9,22.193942058974343,-0.20046663615596222,0.30947086505076776,0.32238072084572056,0.5209204746266654,CYP26B1
ENSG00000003147.19,29.404820606457843,0.722377926849239,0.37357075320977645,0.007570461602765317,0.033892106738995,ICA1
ENSG00000003249.15,24.437479703914235,-0.010505637122677706,0.272337395304147,0.9542646845037436,0.9777520604060638,DBNDD1
ENSG00000003393.16,90.123975864268,0.3917622591609221,0.2006146932283437,0.02353281130578727,0.08201768589430955,ALS2
ENSG00000003400.16,36.22305438995739,-0.3851793932521025,0.30053798582141655,0.07739367954219606,0.19546479512495352,CASP10
ENSG00000003402.21,314.2058144181214,-0.1906380634482958,0.11905729680672579,0.09021762824325615,0.21813668432270011,CFLAR
ENSG00000003509.16,65.4275042058403,-0.13035832565670277,0.2189937673459346,0.46714905268132173,0.6580770781877179,NDUFAF7
ENSG00000003756.17,256.2172559027147,0.02603290015682709,0.12702973039798734,0.8280106380616494,0.9098780746508315,RBM5
ENSG00000003987.14,15.783551510525491,-0.07677322518507651,0.3065907456264561,0.6747997366415495,0.8125931531890094,MTMR7
ENSG00000003989.18,719.2760197237089,0.4627452362704544,0.0882790958481171,6.796635642789278e-8,1.4438683866214335e-6,SLC7A2
ENSG00000004059.11,12.331984199606609,-0.058432756227268665,0.31117909734505084,0.7443274067044152,0.8575659267579391,ARF5
ENSG00000004139.14,54.75346169868404,0.6257122566767617,0.275508188824158,0.004811357090305396,0.023481530863578102,SARM1
ENSG00000004142.12,209.0135886554282,0.18588622184677678,0.137919135065408,0.14718750373917946,0.3082434289392067,POLDIP2
