ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000000003.16,1617.37640814822,0.122623266419851,0.14317288519841537,0.17790792620863066,0.5227447759724765,TSPAN6
ENSG00000000419.14,1061.891583587625,0.2541165292371183,0.20289620878236375,0.030778510350634006,0.22701658716689455,DPM1
ENSG00000000457.14,89.4908666340276,0.026725673836582264,0.1503035899112566,0.6420764953520204,0.8698369634851981,SCYL3
ENSG00000000460.17,686.1492913339592,0.0015788079930783142,0.12263220228856526,0.9890067571989006,0.9962614589156711,FIRRM
ENSG00000000971.17,433.54877885232645,0.015982332002494836,0.12850406504188577,0.8370287944324951,0.9533679270066178,CFH
ENSG00000001036.14,2354.645414968727,0.07213993706523149,0.12716307982535247,0.3901465164366614,0.7284745174513646,FUCA2
ENSG00000001084.13,371.055449629262,-0.03893476289476451,0.1339519508591542,0.6113751233891613,0.8554684504926833,GCLC
ENSG00000001167.15,919.0597077645039,0.569151300051898,0.19960743219746177,2.9851411396501895e-4,0.015164640097090879,NFYA
ENSG00000001460.18,458.5548839034359,-0.15862995035159388,0.18731877036109873,0.09948997823296907,0.3996139950823013,STPG1
ENSG00000001461.17,3160.760192367125,-0.10945733734603905,0.129917359135349,0.21154029247862802,0.5627835922573269,NIPAL3
ENSG00000001497.18,1726.5080507326354,-0.040247131411005825,0.11751891341178637,0.619362098344441,0.8591138561575726,LAS1L
ENSG00000001561.7,508.28998854720203,-0.003192744051198158,0.13564408260853364,0.9619625701520818,0.9879198653824024,ENPP4
ENSG00000001617.12,63.08532706176649,-0.03231079025704727,0.1555328216723953,0.5122494189327518,0.80567082122219,SEMA3F
ENSG00000001629.10,972.0460438654393,0.007713341504916073,0.12086239298149118,0.9241447046884766,0.9780245051342814,ANKIB1
ENSG00000001630.18,2716.2014083557824,-0.016720754520950693,0.12238000719425814,0.8309057919172994,0.9510437762197832,CYP51A1
ENSG00000001631.17,1629.4806824167883,-0.0515564989672676,0.12491482724170214,0.5250179481009007,0.8122120420875549,KRIT1
ENSG00000002016.18,161.43596817937188,-0.02537471620826039,0.14413886032861098,0.6978690122455895,0.8971015505018485,RAD52
ENSG00000002079.15,19.903605357410505,0.003143167895813733,0.15647157203567436,0.9247033210856278,NA,MYH16
ENSG00000002330.14,1559.5082990897174,-0.07608621700359819,0.12737189067446236,0.36542302816218863,0.7088935056362695,BAD
ENSG00000002549.13,837.0025679225573,-0.03476950071961613,0.12503256078176808,0.6616757481132745,0.8799975856448209,LAP3
ENSG00000002586.20,1504.09114356364,0.03766323117549953,0.1227891233286436,0.6415143612254142,0.8695297606821691,CD99
ENSG00000002587.10,203.2656977256039,-0.16599146239668283,0.23584367159900688,0.06486383913084011,0.32584275906851756,HS3ST1
ENSG00000002746.15,32.74608618559398,-0.008924972135925023,0.1546333663351899,0.8224765336953189,NA,HECW1
ENSG00000002822.16,936.3540875616293,-0.198303504337929,0.183229740973827,0.06127910028192727,0.3182281006097348,MAD1L1
ENSG00000002834.19,46287.02879463615,0.1766917250292331,0.14052519146434833,0.06441641328280585,0.32497158843290225,LASP1
ENSG00000002919.15,1015.1056201615604,-0.07768645958253123,0.13580437094812675,0.35263245624756184,0.6977917340939807,SNX11
ENSG00000003056.8,1284.3405351249935,0.22035743157625265,0.20321206922558377,0.04755936331145808,0.28182230399067315,M6PR
ENSG00000003137.9,312.41052797170255,-0.00821728855602896,0.1370857828410097,0.9056178013515905,0.9720613556065926,CYP26B1
ENSG00000003147.19,92.96941987398478,-0.1095045965783404,0.1946075669737895,0.1049596389450646,0.4112022371403342,ICA1
ENSG00000003249.15,33.48415649853566,-0.05781688944246179,0.17057233728293147,0.12694307075508843,NA,DBNDD1
ENSG00000003393.16,575.7892962297026,0.039223382451869314,0.1278213590259003,0.6077064716623461,0.8541412011750665,ALS2
ENSG00000003400.16,130.171845052416,-0.061109410046543966,0.15704160033337977,0.3537328529041379,0.6988942600314074,CASP10
ENSG00000003402.21,1915.6545456610395,-0.04285393594185279,0.12008201277220376,0.5969785192501089,0.848392445518047,CFLAR
ENSG00000003436.16,1420.9010268501204,0.23474562807635782,0.1866058990834301,0.03681378796463583,0.248426844126723,TFPI
ENSG00000003509.16,265.45626751196176,-0.03424847633499264,0.13755882780914194,0.6416497781762411,0.8695297606821691,NDUFAF7
ENSG00000003756.17,2682.559182402178,0.19211091439237815,0.17221970898494296,0.0650640181074296,0.32622028448482954,RBM5
ENSG00000003987.14,28.12066474407739,0.011865146463399642,0.15567358860310349,0.755086601689938,NA,MTMR7
ENSG00000003989.18,450.28304376560254,-0.02694001892580224,0.1308646756911036,0.724481087821137,0.9099697088916829,SLC7A2
ENSG00000004059.11,10.395872881952034,0.024051629093802148,0.16074963559538877,0.30934223473825967,NA,ARF5
ENSG00000004139.14,38.54721879445663,0.009592148988506811,0.154293114077488,0.8197487408707521,NA,SARM1
ENSG00000004142.12,3189.3898347711483,-0.07356220003875963,0.1240678565624178,0.37993572927013214,0.7208663909919797,POLDIP2
ENSG00000004399.13,321.548135668691,-0.1615797919240921,0.19764083525092588,0.09292375961664853,0.38718727817272336,PLXND1
ENSG00000004455.18,6615.865410666187,-0.26587657244227947,0.16742239165712886,0.01878716132551382,0.17799368674847735,AK2
ENSG00000004468.13,43.334416234016985,-0.05009698145898278,0.16459909950254778,0.24955319086738906,NA,CD38
ENSG00000004478.8,6019.969868478403,-0.07242572212601084,0.13609571404380594,0.3819259213926127,0.7221850884643611,FKBP4
ENSG00000004487.18,734.9479959020168,-0.05043894146229229,0.1293389590248321,0.5311505396107004,0.8165672801981142,KDM1A
ENSG00000004534.15,1745.67037549311,0.10601052438971291,0.14189257477283373,0.2282940065210576,0.5832841232000797,RBM6
ENSG00000004660.15,113.85975774972239,0.007771315625306896,0.14553101469204488,0.8999086440072649,0.9702500830731129,CAMKK1
ENSG00000004700.16,1379.6918612715642,-0.030095354431565257,0.12042949502622269,0.7069230822875505,0.9003727942520146,RECQL
ENSG00000004766.17,436.95949469837586,0.1590517302523667,0.1865812309120435,0.1005692920894402,0.4025688044218657,VPS50
ENSG00000004777.19,75.5790727372995,-0.0027357499589492178,0.14881639212413297,0.9580046325538987,0.987193130790289,ARHGAP33
ENSG00000004779.10,6456.555860974774,0.013966652225674099,0.11124800223354264,0.8542522660568481,0.9592057697719066,NDUFAB1
