gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.40989098056212764,NA,1.5482400990695169,1,0.21339543806399155,0.45564251867387373,0.5917077645795344,0.522533784732395,-0.06917397984713947,chr11,106098692,106098693,+,0.5571207746559648,distal pA,H838,-0.138347959694279
ABCB8,ENSG00000197150.13,PAS21131_None_0.25,0.18008616641623545,NA,2.4352119066861633,1,0.11863786177049268,0.3216864680123021,0.6133269274973729,0.5143953414211052,-0.09893158607626773,chr7,151045561,151045562,+,0.563861134459239,distal pA,H838,-0.11320398588862557
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.7184499041161962,NA,0.3593187305822312,1,0.5488848387142607,0.7579023154110633,0.8997635004294936,0.9241109909382293,0.024347490508735747,chr16,16143051,16143052,+,0.9119372456838615,distal pA,H838,0.04869498101747147
ABCC2,ENSG00000023839.12,PAS27677_APA_0.35,0.30872259097524984,NA,2.172503657948482,1,0.14049733246522403,0.35548055230090014,0.7892495406369552,0.8795989181136127,0.0903493774766575,chr10,99852571,99852572,+,0.8344242293752839,distal pA,H838,0.18069875495331475
ABCC3,ENSG00000108846.16,PAS43065_AATAAA_0.3,4.030101324665533e-6,1,1.854953789916408,1,0.1732083367805512,0.40215685884860936,0.27043159481810397,0.4020383868353726,0.1316067920172686,chr17,50691700,50691701,+,0.33623499082673824,distal pA,H838,0.6147880689559184
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,0.12460476606145542,NA,4.35985305037957,1,0.03679547916902795,0.15200067500543507,0.9495246339719956,0.9066614970906032,-0.04286313688139243,chr1,94518661,94518662,+,0.9280930655312993,distal pA,H838,-0.08572627376278488
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.11661212181395915,NA,4.508156941217521,1,0.03373357123122776,0.14295811558643315,0.11137499479499213,0.20017474569216354,0.0887997508971714,chr4,145129520,145129521,+,0.15577487024357783,distal pA,H838,0.1775995017943428
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.8683434569554086,NA,0.0950594049988922,1,0.7578410914725607,0.8926978272297236,0.885183358504254,0.8978484385782527,0.012665080073998691,chr3,111993366,111993367,+,0.8915158985412533,distal pA,H838,0.0253301601479973
ABHD17C,ENSG00000136379.12,PAS38908_AATAAA_0.15,0.20626647458905653,NA,3.1280987304734253,1,0.07695343848051718,0.24331614838259266,0.8520797928170278,0.7480142061586886,-0.1040655866583392,chr15,80755618,80755619,+,0.8000469994878583,distal pA,H838,-0.20813117331667835
ABHD18,ENSG00000164074.17,PAS13219_APA_0.15,0.6506174522736837,NA,0.5358763349271953,1,0.46414674943796924,0.6965697200013711,0.5189678224887149,0.6049295936543435,0.08596177116562864,chr4,128039708,128039709,+,0.5619487080715292,distal pA,H838,0.17192354233125728
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,0.4144121232505268,NA,1.3340855886531244,1,0.2480796858797743,0.4957861325129893,0.6832529169027359,0.6229373116737849,-0.060315605228951075,chr15,89202353,89202354,+,0.6530951142882604,distal pA,H838,-0.1383429556093137
ABHD5,ENSG00000011198.10,PAS9495_AATAAA_0.35,0.24424985110743833,NA,2.7354100363949385,1,0.09814630745413669,0.28562943123393975,0.339920811139011,0.5979938592028522,0.2580730480638412,chr3,43719869,43719870,+,0.46895733517093163,distal pA,H838,0.5161460961276825
ABHD6,ENSG00000163686.15,PAS9737_AATAAA_0.25,0.2702559218056993,NA,2.5032056904109083,1,0.11361482176999455,0.3131086201614303,0.6814308185422503,0.8471649772823696,0.16573415874011932,chr3,58294731,58294732,+,0.76429789791231,distal pA,H838,0.33146831748023864
ABI2,ENSG00000138443.17,PAS6853_AATAAA_0.2,2.187469390917823e-6,0,29.127612594350012,1,6.776426238868762e-8,3.5070205924535093e-6,0.710492381169434,0.9348017372655889,0.22430935609615488,chr2,203432167,203432168,+,0.8226470592175115,distal pA,H838,0.4486187121923098
ABRAXAS2,ENSG00000165660.8,PAS27969_AATAAA_0.2,0.02743419799897406,0,7.876731544929783,1,0.00500749011837748,0.036441633037259426,0.9048360682119894,0.6549525480284994,-0.24988352018348992,chr10,124836666,124836667,+,0.7798943081202444,distal pA,H838,-0.4997670403669799
ACAD8,ENSG00000151498.12,PAS30738_AATAAA_0.45,0.38970148516075687,NA,1.6562702257375008,1,0.19810766384035802,0.4371312516078775,0.719586410963081,0.8227478140160943,0.10316140305301336,chr11,134265849,134265850,+,0.7711671124895876,distal pA,H838,0.20632280610602674
ACADSB,ENSG00000196177.13,PAS27953_AATAAA_0.2,0.08599899096871631,NA,5.248592606001125,1,0.02196452945178268,0.1064825424152725,0.40189737475189813,0.12826715263374766,-0.27363022211815047,chr10,123058288,123058289,+,0.2650822636928229,distal pA,H838,-0.5472604442363009
ACCS,ENSG00000110455.14,PAS29779_AATAAA_0.4,0.667045481522912,NA,0.48575563695999335,1,0.48582675141896065,0.713608405604334,0.3593446084156812,0.42450784546471687,0.06516323704903565,chr11,44084233,44084234,+,0.3919262269401991,distal pA,H838,0.13032647409807135
ACER3,ENSG00000078124.13,PAS30308_APA_0.25,0.35330014975976,NA,0.14297696279936645,1,0.7053392626256185,0.864411161936368,0.474270434299068,0.4992060370201741,0.024935602721106065,chr11,77022926,77022927,+,0.48673823565962104,distal pA,H838,-0.029816504500494195
ACO2,ENSG00000100412.17,PAS51084_APA_0.15,0.019183630718037026,0,8.725366960219617,1,0.0031381290276441226,0.02581991226805608,0.8878854615760637,0.8098104293054824,-0.07807503227058132,chr22,41528972,41528973,+,0.8488479454407731,distal pA,H838,-0.15615006454116248
ACOT13,ENSG00000112304.11,PAS17432_AATAAA_0.35,0.1531658654898973,NA,3.8503576723874176,1,0.04973538355667047,0.18289342061519392,0.02179220721989028,0.058627221767158955,0.036835014547268674,chr6,24702836,24702837,+,0.04020971449352462,distal pA,H838,0.07367002909453735
ACP1,ENSG00000143727.16,PAS5154_AATAAA_0.15,1.2121408565118612e-4,0,20.164806318018236,1,7.104814915592144e-6,1.862676805173335e-4,0.5509698169637133,0.7727591235688401,0.22178930660512686,chr2,278279,278280,+,0.6618644702662767,distal pA,H838,0.4435786132102537
ACSL3,ENSG00000123983.15,PAS7025_APA_0.25,0.08145534794796021,NA,0.34839732957971137,1,0.5550217679482303,0.7622383958438936,0.3555809222723472,0.37711614468426435,0.021535222411917132,chr2,222943144,222943145,+,0.36634853347830576,distal pA,H838,0.014798913111634004
ACSS2,ENSG00000131069.20,PAS48995_AATAAA_0.25,0.891523484225296,NA,0.06660150601146597,1,0.7963508189839735,0.9103260875550797,0.9120004449582112,0.9230882445140733,0.011087799555862143,chr20,34927956,34927957,+,0.9175443447361422,distal pA,H838,0.02217559911172419
ACTN4,ENSG00000130402.14,PAS46782_AATAAA_0.2,0.7968159260516589,NA,0.21454511858610203,1,0.643228073230157,0.8282775516931441,0.2980081104838024,0.28362400655128683,-0.014384103932515546,chr19,38730529,38730530,+,0.2908160585175446,distal pA,H838,-0.028768207865031092
ACTR2,ENSG00000138071.15,PAS5751_AATAAA_0.25,0.023606036968770297,0.004732735610452112,10.78524585699779,1,0.0010231231428880206,0.01051714288325562,0.9232438173422045,0.8428951026985677,-0.0803487146436368,chr2,65271250,65271251,+,0.8830694600203861,distal pA,H838,-0.13722114367253016
ACTR3,ENSG00000115091.12,PAS6210_ATTAAA_0.35,0.19511566144849304,NA,3.522197389162102,1,0.06055211685083686,0.20890462203750979,0.15832444023036218,0.22671865527455726,0.06839421504419507,chr2,113961549,113961550,+,0.19252154775245972,distal pA,H838,0.1914761790120631
ACTR3B,ENSG00000133627.18,PAS21156_AATAAA_0.25,0.9349735786655824,NA,0.023529744719780865,1,0.8780875106974341,0.9491443210115573,0.7661654236830809,0.750754711761418,-0.01541071192166299,chr7,152855370,152855371,+,0.7584600677222495,distal pA,H838,-0.030821423843325757
ACTR6,ENSG00000075089.10,PAS33123_AATAAA_0.25,0.7968159260516589,NA,0.21549016804510757,1,0.6424978807254156,0.8281468640509265,0.8420153522933056,0.8135905900798491,-0.028424762213456467,chr12,100224422,100224423,+,0.8278029711865773,distal pA,H838,-0.05684952442691299
ACVR2A,ENSG00000121989.15,PAS6369_AATAAA_0.25,0.9730277013594291,NA,0.005408750699643861,1,0.9413730654849217,0.9781933939915027,0.5002466372029253,0.5057626896008186,0.005516052397893323,chr2,147930821,147930822,+,0.5030046634018719,distal pA,H838,0.011032104795786757
