"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ACO2","ENSG00000100412","PAS51084_APA_0.15",0.00422414718149179,0.635301330464829,1.86732176908527,1,0.171782136066477,0.366590964631789,0.644245582457445,0.582675978920899,-0.0615696035365458,"chr22",41528972,41528973,"+",0.613460780689172,0,"ALE","distal pA"
"ACTN4","ENSG00000130402","PAS46782_AATAAA_0.2",0.553806683044021,NA,1.87561100622406,1,0.170833825126071,0.365785013398456,0.337289955212224,0.303378745449032,-0.0339112097631918,"chr19",38730529,38730530,"+",0.320334350330628,0,"ALE","distal pA"
"AEBP2","ENSG00000139154","PAS32287_APA_0.15",0.640410051761481,NA,0.513316177641286,1,0.473706821182341,0.680740457248346,0.155313718288518,0.107323645150772,-0.0479900731377458,"chr12",19553268,19553269,"+",0.131318681719645,0,"ALE","distal pA"
"AFMID","ENSG00000183077","PAS43450_AATAAA_0.1",0.0934721344920027,NA,4.69137770622456,1,0.0303143321717392,0.114739945201263,0.886853616497212,0.956345898521838,0.0694922820246265,"chr17",78207700,78207701,"+",0.921599757509525,0,"ALE","distal pA"
"AGAP3","ENSG00000133612","PAS21139_AATAAA_0.05",0.447184860843607,NA,1.18300706503169,1,0.276744666074337,0.492687222354019,0.895543583456297,0.862017746716,-0.0335258367402966,"chr7",151144433,151144434,"+",0.878780665086149,0,"ALE","distal pA"
"ANKRD12","ENSG00000101745","PAS45162_AATAAA_0.4",0.681816862245162,NA,0.96558730747347,1,0.325783162812094,0.549088450026085,0.468232684499495,0.493582574355468,0.0253498898559735,"chr18",9256249,9256250,"+",0.480907629427481,0,"ALE","distal pA"
"ANKRD13D","ENSG00000172932","PAS30130_AATAAA_0.1",0.612890235779368,NA,0.591177288264134,1,0.441964229417719,0.655608269753418,0.733809868096574,0.769686212140456,0.0358763440438823,"chr11",67302482,67302483,"+",0.751748040118515,0,"ALE","distal pA"
"AP5M1","ENSG00000053770","PAS36691_ATTAAA_0.25",0.601740861271284,NA,0.623955645762408,1,0.42958113027923,0.646548268125401,0.55872453541776,0.630314424938405,0.0715898895206446,"chr14",57290066,57290067,"+",0.594519480178082,0,"ALE","distal pA"
"ARHGAP5","ENSG00000100852","PAS36486_APA_0.2",0.007458083368241,1,-0.000378868996449455,1,1,1,0.307890437491171,0.30653929607915,-0.00135114141202086,"chr14",32158003,32158004,"+",0.307214866785161,1,"ALE","distal pA"
"ARHGAP8","ENSG00000241484","PAS51142_APA_0.1",0.457425143240989,NA,1.1404249196662,1,0.285562557766817,0.50328431388327,0.875627743222038,0.815715707058029,-0.059912036164009,"chr22",44862719,44862720,"+",0.845671725140033,0,"ALE","distal pA"
"ARMC7","ENSG00000125449","PAS43368_AATAAA_0.35",0.734130327890906,NA,0.286719823221119,1,0.592330253369107,0.766874511927986,0.906021647329451,0.923644410945093,0.0176227636156424,"chr17",75130227,75130228,"+",0.914833029137272,0,"ALE","distal pA"
"ATXN7","ENSG00000163635","PAS9772_AATAAA_0.25",0.737855261467793,NA,0.277571763239848,1,0.598297203803814,0.770278596861662,0.162587826247036,0.194038568634044,0.0314507423870085,"chr3",64003560,64003561,"+",0.17831319744054,0,"ALE","distal pA"
"BCL2L13","ENSG00000099968","PAS50678_AATAAA_0.4",0.756797830152922,NA,0.241821003538803,1,0.622893972715709,0.788132218580991,0.6837040467508,0.72671485936815,0.0430108126173501,"chr22",17729108,17729109,"+",0.705209453059475,0,"ALE","distal pA"
"BLOC1S6","ENSG00000104164","PAS38502_AATAAA_0.3",0.162735199931768,NA,0.297136897583641,1,0.585682921128409,0.762076100045181,0.791426388018516,0.750774289843338,-0.0406520981751779,"chr15",45609705,45609706,"+",0.771100338930927,0,"ALE","distal pA"
"BRD2","ENSG00000204256","PAS17651_AATAAA_0.3",0.377163677920982,NA,0.650296577725385,1,0.420006665243043,0.638946720497559,0.328004262009365,0.302795368860339,-0.025208893149026,"chr6",32981307,32981308,"+",0.315399815434852,0,"ALE","distal pA"
"BUB3","ENSG00000154473","PAS27957_AATAAA_0.25",0.143372855460491,NA,1.51043268580906,1,0.219073074230464,0.429160522929519,0.608718815539669,0.648683864909425,0.0399650493697561,"chr10",123165362,123165363,"+",0.628701340224547,0,"ALE","distal pA"
"BZW2","ENSG00000136261","PAS20102_AATAAA_0.35",0.804508988102335,NA,0.165061811875603,1,0.684538349525671,0.829716616129891,0.850317629998445,0.838858632200331,-0.0114589977981132,"chr7",16706511,16706512,"+",0.844588131099388,0,"ALE","distal pA"
"CAMTA1","ENSG00000171735","PAS116_ATTAAA_0.1",0.0364860792427675,1,1.06794659768229,1,0.301409721752575,0.521430255855768,0.151667364598558,0.116744517042041,-0.0349228475565162,"chr1",7769704,7769705,"+",0.1342059408203,0,"ALE","distal pA"
