gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.9687431466411827,NA,0.02410454849450616,1,0.8766191896744524,0.940163131263599,0.03886150788914633,0.03619324040399998,-0.0026682674851463486,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.9687431466411827,NA,0.2079107152949291,1,0.6484099155150427,0.799394371339934,0.23578041562676977,0.25523065495378694,0.01945023932701717,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9998_ATTAAA_0.2,0.9687431466411827,NA,0.13159562040891615,1,0.7167833480303342,0.8470808195672449,0.010672444726598002,0.013893193853013143,0.0032207491264151407,chr3,113809764,113809765,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.9687431466411827,NA,0.26284662486068555,1,0.6081711957104068,0.7730699579295278,0.714685631757486,0.6946829107892,-0.020002720968286036,chr3,113810425,113810426,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,4.209251891639383e-6,1,0.8101493514914182,1,0.3680760985673779,0.5736922312392865,0.053638597148062205,0.06199960858828402,0.008361011440221819,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,4.209251891639383e-6,1,0.13017091327128583,1,0.7182548959871012,0.8479694895009561,0.0386601385351883,0.041500667102270294,0.0028405285670819944,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,4.209251891639383e-6,1,2.0311292395599594,1,0.15410606757153683,0.32030413792043394,0.47175597138372866,0.4434505992049171,-0.028305372178811572,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,4.209251891639383e-6,1,0.04847233225882519,1,0.825743175481823,0.9138941036056961,0.20068894228884349,0.20401268537460596,0.0033237430857624706,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,4.209251891639383e-6,1,0.06310131062855362,1,0.8016596836427169,0.8987868736722096,0.01405388009625288,0.01289232567189145,-0.00116155442436143,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,4.209251891639383e-6,0.13714214445844175,6.673798752715811,1,0.009784043105172495,0.03963869443661158,0.18932326819693288,0.15040201356238134,-0.03892125463455154,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,4.209251891639383e-6,5.8645264878556236e-8,34.536238166812836,1,4.183891113500328e-9,9.332856940404309e-8,0.03187920235099173,0.08574210049564968,0.053862898144657945,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.911419334275586,NA,0.034546201135526644,1,0.8525497798531838,0.9279540164087772,0.08662384475875635,0.08133113678011594,-0.005292707978640412,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.911419334275586,NA,0.16259035939765454,1,0.6867827475298629,0.8254757936622017,0.7393724453640514,0.7214027815251439,-0.017969663838907524,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.911419334275586,NA,0.3346458932137466,1,0.562936139426519,0.7396975222931099,0.17400370987719205,0.19726608169474025,0.0232623718175482,chr3,119494704,119494705,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.7147201442160483,NA,0.3199671782549558,1,0.571627370285593,0.7463245374960797,0.13342990276879446,0.12147421034219208,-0.011955692426602382,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.7147201442160483,NA,0.3199671782513178,1,0.5716273702877794,0.7463245374960797,0.8665700972312056,0.8785257896578079,0.011955692426602327,chr3,120602325,120602326,+
SEC22A,ENSG00000121542.12,PAS10074_AATAAA_0.3,0.010187466204878697,0,9.042668136162547,1,0.002637504257829157,0.0135859483682199,0.954167486845539,0.8169922457144113,-0.13717524113112767,chr3,123272175,123272176,+
SEC22A,ENSG00000121542.12,PAS10075_APA_0.25,0.010187466204878697,0,9.042668136162547,1,0.002637504257829157,0.0135859483682199,0.04583251315446102,0.1830077542855887,0.13717524113112767,chr3,123274130,123274131,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,3.6729669717167986e-6,0,25.90983609300747,1,3.57741632208837e-7,5.636906055526488e-6,0.28487306389647427,0.11270199846738316,-0.1721710654290911,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,3.6729669717167986e-6,0,25.9098360930102,1,3.5774163220833105e-7,5.636906055526488e-6,0.7151269361035256,0.8872980015326167,0.1721710654290911,chr3,127037384,127037385,+
RAB7A,ENSG00000075785.14,PAS10113_None_0.25,0.504753141109281,NA,0.26020984534625313,1,0.6099760249037317,0.7743868596169733,0.045121678844823425,0.05175848740475649,0.006636808559933066,chr3,128813801,128813802,+
RAB7A,ENSG00000075785.14,PAS10114_ATTAAA_0.25,0.504753141109281,NA,1.546950700783782,1,0.21358616515928744,0.40251831413294614,0.3013011330285774,0.2673354115315548,-0.033965721497022594,chr3,128814095,128814096,+
RAB7A,ENSG00000075785.14,PAS10115_APA_0.25,0.504753141109281,NA,2.2717832899397763,1,0.1317482265970271,0.2867538695248459,0.11350228077776182,0.14392583072122767,0.03042354994346584,chr3,128814391,128814392,+
RAB7A,ENSG00000075785.14,PAS10116_AATAAA_0.2,0.504753141109281,NA,0.0037940331822028384,1,0.9508847824446829,0.9771782827414373,0.5400749073488373,0.5369802703424611,-0.003094637006376244,chr3,128814795,128814796,+
HMCES,ENSG00000183624.14,PAS10127_AATAAA_0.3,0.4332735953174849,NA,1.1787593666394969,1,0.27760870861690645,0.47890774984976114,0.5091542236030753,0.42859096017527337,-0.0805632634278019,chr3,129305260,129305261,+
HMCES,ENSG00000183624.14,PAS10128_AATAAA_0.2,0.4332735953174849,NA,1.1787593666394969,1,0.27760870861690645,0.47890774984976114,0.4908457763969247,0.5714090398247267,0.08056326342780196,chr3,129306182,129306183,+
ATP2C1,ENSG00000017260.20,PAS10142_AATAAA_0.25,0.0010111587277964707,0.2172583317533088,4.271824610885233,1,0.03874930079346215,0.1154349741657361,0.19741035335670284,0.13531342056214926,-0.06209693279455358,chr3,131001775,131001776,+
ATP2C1,ENSG00000017260.20,PAS10143_APA_0.3,0.0010111587277964707,0.034405058368345655,8.243022073060274,1,0.004090896291595175,0.019310092300701957,0.4077673541831904,0.2970297247609733,-0.1107376294222171,chr3,131001991,131001992,+
ATP2C1,ENSG00000017260.20,PAS10144_AATAAA_0.3,0.0010111587277964707,0.2002488962768063,5.108391989488155,1,0.023810378648522094,0.07892989823386032,0.10032452327334858,0.16171655199817064,0.061392028724822065,chr3,131003106,131003107,+
ATP2C1,ENSG00000017260.20,PAS10145_AATAAA_0.4,0.0010111587277964707,1,0.18479659128934145,1,0.6672831234866006,0.8116891497228506,0.17152087145844208,0.1848187581508917,0.013297886692449606,chr3,131016372,131016373,+
ATP2C1,ENSG00000017260.20,PAS10146_ATTAAA_0.25,0.0010111587277964707,0.010192411828078516,10.472086389549077,1,0.0012119177158048267,0.007203291225941171,0.1229768977283161,0.22112154452781507,0.09814464679949897,chr3,131016708,131016709,+
NUDT16,ENSG00000198585.12,PAS10151_APA_0.25,7.646540554683898e-4,0.002230490881397348,12.542399303557318,1,3.978211624053126e-4,0.0028035900433450826,0.7004163946197921,0.3952387071357036,-0.3051776874840885,chr3,131383639,131383640,+
NUDT16,ENSG00000198585.12,PAS10152_ATTAAA_0.15,7.646540554683898e-4,1,0.08433702012291633,1,0.7715038427962062,0.8795116940252068,0.14254951197865165,0.12646754542725486,-0.016081966551396792,chr3,131386084,131386085,+
NUDT16,ENSG00000198585.12,PAS10153_AATAAA_0.3,7.646540554683898e-4,1,0.07152849642397996,1,0.7891241545433434,0.8911075540686323,0.062084221186743165,0.07225992465944762,0.01017570347270446,chr3,131386742,131386743,+
NUDT16,ENSG00000198585.12,PAS10154_AATAAA_0.4,7.646540554683898e-4,6.519225224155278e-5,19.22348341326449,1,1.1627421471594327e-5,1.3113648298798976e-4,0.0949498722148131,0.4060338227775939,0.3110839505627808,chr3,131388805,131388806,+
DNAJC13,ENSG00000138246.17,PAS10157_AATAAA_0.1,0.1752701232922627,NA,2.9919886510319884,1,0.08367734918469315,0.2078283782671419,0.11277454380030878,0.0599628209055181,-0.052811722894790684,chr3,132467344,132467345,+
DNAJC13,ENSG00000138246.17,PAS10159_AATAAA_0.25,0.1752701232922627,NA,2.9919886510319884,1,0.08367734918469315,0.2078283782671419,0.8872254561996912,0.940037179094482,0.05281172289479086,chr3,132539030,132539031,+
UBA5,ENSG00000081307.15,PAS10162_ATTAAA_0.45,0.685614539450623,NA,2.5358456630538058,1,0.11128724865829251,0.25573801929302953,0.5527782678156582,0.483690845709196,-0.06908742210646218,chr3,132676600,132676601,+
UBA5,ENSG00000081307.15,PAS10163_AATAAA_0.4,0.685614539450623,NA,0.07569098183194001,1,0.7832240919608994,0.8874641969657335,0.2209952822685731,0.23122953989902054,0.01023425763044744,chr3,132677187,132677188,+
UBA5,ENSG00000081307.15,PAS10164_AATAAA_0.35,0.685614539450623,NA,2.3251292420632126,1,0.12729964700094104,0.28088809355071936,0.09988640742276134,0.1432431533967004,0.04335674597393907,chr3,132677771,132677772,+
UBA5,ENSG00000081307.15,PAS10165_AATAAA_0.35,0.685614539450623,NA,0.06040523428328015,1,0.8058565938950898,0.9016380884260699,0.05708717343449252,0.05219760908438472,-0.004889564350107803,chr3,132678037,132678038,+
UBA5,ENSG00000081307.15,PAS10167_AATAAA_0.3,0.685614539450623,NA,0.3691690241539618,1,0.5434575699097828,0.7252378129228185,0.020746577174038567,0.029034204235078145,0.008287627061039578,chr3,132679515,132679516,+
UBA5,ENSG00000081307.15,PAS10168_APA_0.35,0.685614539450623,NA,0.37629891368987956,1,0.5395906813398782,0.7224335768368471,0.048506291884476194,0.06060464767562013,0.012098355791143933,chr3,132679789,132679790,+
CDV3,ENSG00000091527.17,PAS10171_APA_0.35,1.1314667356727523e-4,0.7339817381533239,2.28168052510955,1,0.13090995829290294,0.28559396765865896,0.3940255305475801,0.44059222527997227,0.046566694732392167,chr3,133575107,133575108,+
CDV3,ENSG00000091527.17,PAS10172_AATAAA_0.35,1.1314667356727523e-4,1.6704410155076265e-5,21.829823780939478,1,2.9793297612695855e-6,3.90503942883523e-5,0.23664254169461021,0.12617937725137987,-0.11046316444323034,chr3,133587271,133587272,+
CDV3,ENSG00000091527.17,PAS10173_APA_0.3,1.1314667356727523e-4,0.7339817381533239,1.8979720411989547,1,0.16830548788969138,0.3411442814903435,0.026215157323043484,0.014724310003936869,-0.011490847319106615,chr3,133588316,133588317,+
CDV3,ENSG00000091527.17,PAS10174_AATAAA_0.2,1.1314667356727523e-4,0.07328897568306009,6.159404649104545,1,0.013071519700391778,0.050031709721406005,0.3431167704347662,0.418504087464711,0.07538731702994483,chr3,133590259,133590260,+
SRPRB,ENSG00000144867.13,PAS10178_APA_0.15,0.012739659112406775,0.004727555967587538,9.862982726392602,1,0.0016863748030062518,0.009396336881091004,0.3158478412459943,0.19094689518965544,-0.12490094605633886,chr3,133819908,133819909,+
SRPRB,ENSG00000144867.13,PAS10180_APA_0.15,0.012739659112406775,0.2643263522995479,2.799591649010381,1,0.0942883179690791,0.22661733397340708,0.6049351529406262,0.679591429003044,0.07465627606241787,chr3,133820678,133820679,+
SRPRB,ENSG00000144867.13,PAS10181_AATAAA_0.1,0.012739659112406775,0.1993478172030553,3.2572171251672444,1,0.0711097104445446,0.1838322899429155,0.07921700581337954,0.1294616758073006,0.050244669993921076,chr3,133821490,133821491,+
TYW3,ENSG00000162623.16,PAS1017_APA_0.2,3.5896997117655454e-4,1,0.07628319332934552,1,0.782398971261569,0.8869897947791328,0.43579860782011676,0.4530954234726831,0.017296815652566355,chr1,74764178,74764179,+
TYW3,ENSG00000162623.16,PAS1018_AATAAA_0.25,3.5896997117655454e-4,1.372009738215659e-4,16.488687989974324,1,4.89412006514389e-5,4.6708169193144383e-4,0.3089564100508503,0.10469071586874917,-0.2042656941821011,chr1,74764397,74764398,+
TYW3,ENSG00000162623.16,PAS1019_AATAAA_0.25,3.5896997117655454e-4,0.005144244756778296,9.707662606936765,1,0.0018350125937810614,0.010057620302624201,0.255244982129033,0.4422138606585677,0.1869688785295347,chr1,74766673,74766674,+
CEP63,ENSG00000182923.20,PAS10185_AATAAA_0.25,0.0065658988195450105,0.001198674405144108,13.705822658841726,1,2.1379062751477636e-4,0.0016476600804464284,0.6509418635378315,0.3649866627934262,-0.2859552007444053,chr3,134561765,134561766,+
CEP63,ENSG00000182923.20,PAS10187_ATTAAA_0.25,0.0065658988195450105,0.6097908728520511,2.572150543326984,1,0.10875978731200996,0.25182671350580477,0.06218262334659569,0.13420437050786307,0.07202174716126739,chr3,134565027,134565028,+
CEP63,ENSG00000182923.20,PAS10188_APA_0.3,0.0065658988195450105,0.05460185548187687,6.682103785551135,1,0.009738561945466906,0.03955233564328278,0.11601705468309768,0.2689144525030321,0.1528973978199344,chr3,134567399,134567400,+
CEP63,ENSG00000182923.20,PAS10189_AATAAA_0.35,0.0065658988195450105,0.8667484941614841,1.0341780516730523,1,0.3091793796030768,0.5130395129289935,0.17085845843247527,0.23189451419567875,0.06103605576320348,chr3,134575010,134575011,+
NCK1,ENSG00000158092.7,PAS10204_APA_0.3,0.976755708968907,NA,0.002820243257247057,1,0.9576474807393384,0.9798731040713368,0.12751317319094818,0.12423144110929596,-0.003281732081652222,chr3,136948871,136948872,+
NCK1,ENSG00000158092.7,PAS10205_AATAAA_0.1,0.976755708968907,NA,0.002820243257247057,1,0.9576474807393384,0.9798731040713368,0.8724868268090518,0.8757685588907039,0.0032817320816521667,chr3,136949124,136949125,+
ARMC8,ENSG00000114098.18,PAS10216_AATAAA_0.2,0.4824954180624457,NA,0.3831514660778339,1,0.5359214322076672,0.7198025677841003,0.06462759643714928,0.08394171907902141,0.019314122641872128,chr3,138245681,138245682,+
ARMC8,ENSG00000114098.18,PAS10219_APA_0.3,0.4824954180624457,NA,2.2601325743826237,1,0.13274269673264918,0.28843890989334686,0.802015901134988,0.7264965808838436,-0.07551932025114438,chr3,138296516,138296517,+
ARMC8,ENSG00000114098.18,PAS10221_AATAAA_0.3,0.4824954180624457,NA,1.6500306189104776,1,0.19895476374659346,0.3836691717964499,0.13335650242786268,0.18956170003713502,0.05620519760927234,chr3,138298383,138298384,+
MRAS,ENSG00000158186.13,PAS10224_APA_0.25,0.1978618541125135,NA,2.74040933952449,1,0.09783970143003788,0.2330991722207077,0.2251005142527341,0.10878076558836762,-0.11631974866436649,chr3,138403140,138403141,+
MRAS,ENSG00000158186.13,PAS10225_AATAAA_0.1,0.1978618541125135,NA,2.7404093395243763,1,0.09783970143004503,0.2330991722207077,0.774899485747266,0.8912192344116324,0.11631974866436645,chr3,138405532,138405533,+
MRPS22,ENSG00000175110.14,PAS10234_APA_0.35,9.393878790875894e-5,0,19.083509058103573,1,1.2512138243830535e-5,1.3919620914589381e-4,0.9519335218082997,0.8151684563790206,-0.13676506542927913,chr3,139357042,139357043,+
MRPS22,ENSG00000175110.14,PAS10236_AATAAA_0.45,9.393878790875894e-5,0,19.083509058103573,1,1.2512138243830535e-5,1.3919620914589381e-4,0.04806647819170018,0.18483154362097942,0.13676506542927924,chr3,139358840,139358841,+
RABGGTB,ENSG00000137955.16,PAS1023_AATAAA_0.45,0.27505287835274245,NA,2.070741214189866,1,0.1501485327615491,0.3145671820767558,0.434895304147187,0.5963283824924686,0.16143307834528153,chr1,75794798,75794799,+
RABGGTB,ENSG00000137955.16,PAS1024_AATAAA_0.35,0.27505287835274245,NA,2.070741214189866,1,0.1501485327615491,0.3145671820767558,0.565104695852813,0.40367161750753144,-0.16143307834528153,chr1,75795079,75795080,+
SLC25A36,ENSG00000114120.14,PAS10241_APA_0.15,0.46624056588511964,NA,1.0555074219669223,1,0.3042420789738095,0.5072250804791267,0.030782187844264338,0.015499508295684472,-0.015282679548579866,chr3,140977149,140977150,+
SLC25A36,ENSG00000114120.14,PAS10242_APA_0.15,0.46624056588511964,NA,0.012109204727494216,1,0.9123761994315792,0.9600332654578189,0.13530900598203466,0.1302659325615902,-0.005043073420444466,chr3,140977782,140977783,+
SLC25A36,ENSG00000114120.14,PAS10243_APA_0.35,0.46624056588511964,NA,3.2118439006007975,1,0.07310705251863371,0.18773558456148065,0.010559758694510273,0.0391099320400112,0.02855017334550093,chr3,140978843,140978844,+
SLC25A36,ENSG00000114120.14,PAS10244_ATTAAA_0.25,0.46624056588511964,NA,0.202143538405835,1,0.6529961785348088,0.8030742896341493,0.7709759088986908,0.7440989368838964,-0.026876972014794442,chr3,140979934,140979935,+
SLC25A36,ENSG00000114120.14,PAS10245_AATAAA_0.15,0.46624056588511964,NA,0.6082016568338986,1,0.43546572266458206,0.6368090431728878,0.05237313858049997,0.07102569021881777,0.018652551638317805,chr3,140980993,140980994,+
