"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABI2","ENSG00000138443","PAS6853_AATAAA_0.2",2.69686441558873e-09,6.61394781014642e-11,45.0743258464561,1,1.896961568525e-11,1.0705976852363e-09,0.422494136925272,0.789051655771592,0.36655751884632,"chr2",203432167,203432168,"+",0.605772896348432,2,"TUTR","distal pA","SUM149PT"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.000583438471357537,7.97170800074877e-05,17.9345032628626,1,2.28638388856427e-05,0.000331219997546557,0.468748376434241,0.799999392491205,0.331251016056964,"chr10",124836666,124836667,"+",0.634373884462723,3,"TUTR","distal pA","SUM149PT"
"ACCS","ENSG00000110455","PAS29779_AATAAA_0.4",0.0144694805895387,0,8.73260926352918,1,0.00312568876812869,0.0198209056012655,0.342274409494174,0.625302936399774,0.2830285269056,"chr11",44084233,44084234,"+",0.483788672946974,2,"TUTR","distal pA","SUM149PT"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",1.86006585844794e-16,0,76.3236310025841,1,2.40785224394556e-18,3.36230501487037e-16,0.404796154486533,0.657949891292494,0.253153736805961,"chr2",278279,278280,"+",0.531373022889513,2,"TUTR","distal pA","SUM149PT"
"ADO","ENSG00000181915","PAS27252_AATAAA_0.25",0.039224976821327,0,6.51137865824319,1,0.0107186374768655,0.0511932103752266,0.491730861650469,0.673779629039949,0.182048767389479,"chr10",62808470,62808471,"+",0.582755245345209,2,"TUTR","distal pA","SUM149PT"
"AGO1","ENSG00000092847","PAS620_ATTAAA_0.2",5.57649097549326e-11,3.7235979214381e-06,26.4748369598542,1,2.66993418921887e-07,6.56338631451353e-06,0.126652801240926,0.335836141386136,0.20918334014521,"chr1",35929608,35929609,"+",0.231244471313531,2,"TUTR","distal pA","SUM149PT"
"AGPAT5","ENSG00000155189","PAS22525_AATAAA_0.2",8.35486877649408e-05,0.0427597546226735,7.51109394728246,1,0.00613201173694893,0.0333432753821651,0.580232241121161,0.753684774429975,0.173452533308814,"chr8",6759662,6759663,"+",0.666958507775568,2,"TUTR","distal pA","SUM149PT"
"AKIP1","ENSG00000166452","PAS29451_AATAAA_0.35",0.0475256647002832,0,6.11042392524087,1,0.0134386891688942,0.0611712578649389,0.798180651539939,0.902196974830664,0.104016323290725,"chr11",8920076,8920077,"+",0.850188813185302,2,"TUTR","distal pA","SUM149PT"
"ALDH5A1","ENSG00000112294","PAS17429_AATAAA_0.15",0.001831608080686,0,13.2689908043874,1,0.000269832424818076,0.00270932557017769,0.595769733345747,0.790877974724013,0.195108241378266,"chr6",24537205,24537206,"+",0.69332385403488,2,"TUTR","distal pA","SUM149PT"
"ANXA4","ENSG00000196975","PAS5786_APA_0.25",0.0216766882135721,0,7.81925192843164,1,0.00516925877908606,0.029161853462191,0.343507074473495,0.51037665164727,0.166869577173774,"chr2",69826360,69826361,"+",0.426941863060383,2,"TUTR","distal pA","SUM149PT"
"AP2B1","ENSG00000006125","PAS42660_AATAAA_0.35",9.60775633191533e-06,0,24.7038619567447,1,6.68500845100905e-07,1.48928354389667e-05,0.77614024869688,0.912324831554738,0.136184582857858,"chr17",35726408,35726409,"+",0.844232540125809,2,"TUTR","distal pA","SUM149PT"
"AP5Z1","ENSG00000242802","PAS19983_AATAAA_0.15",0.000144414080554347,0,18.8504702342775,1,1.41376243908382e-05,0.000217854519196704,0.0410316222022596,0.213217181031971,0.172185558829711,"chr7",4794394,4794395,"+",0.127124401617115,2,"TUTR","distal pA","SUM149PT"
"APEX2","ENSG00000169188","PAS52009_AATAAA_0.05",3.21400360585071e-05,0,22.1248425074368,1,2.55482082746628e-06,4.94357830114725e-05,0.0445371977966978,0.149453046280955,0.104915848484257,"chrX",55009056,55009057,"+",0.0969951220388264,2,"TUTR","distal pA","SUM149PT"
"ATF6","ENSG00000118217","PAS1753_AATAAA_0.15",0.00431064042652893,0.0477124521032845,6.07839325418263,1,0.0136845180182964,0.0620752835089836,0.151648760783488,0.287228868403466,0.135580107619978,"chr1",161964068,161964069,"+",0.219438814593477,2,"TUTR","distal pA","SUM149PT"
