"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AIMP1","ENSG00000164022","PAS13116_AATAAA_0.2",0.000226039165946525,8.67444641052789e-05,18.666002295372,1,1.55734687426393e-05,0.000168353990659513,0.113888915470119,0.220565390931379,0.10667647546126,"chr4",106349221,106349222,"+",0.167227153200749,2,"MIXED","distal pA","HCT116_p53minus"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",1.13365248707003e-10,0,47.5348804521882,1,5.40339035893191e-12,2.04156005948131e-10,0.150666767044894,0.389070506744327,0.238403739699432,"chr11",1012238,1012239,"+",0.269868636894611,2,"MIXED","distal pA","HCT116_p53minus"
"ASB1","ENSG00000065802","PAS7198_AATAAA_0.05",9.0521275871181e-06,0,23.9314565438362,1,9.98272014280314e-07,1.43307071859898e-05,0.848657511213868,0.964583998135896,0.115926486922028,"chr2",238452248,238452249,"+",0.906620754674882,2,"MIXED","distal pA","HCT116_p53minus"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",6.3672269723164e-17,0,77.4914948493497,1,1.33295218859708e-18,1.07075765703155e-16,0.397442534217195,0.689853322979209,0.292410788762014,"chr2",241673853,241673854,"+",0.543647928598202,2,"MIXED","distal pA","HCT116_p53minus"
"AZIN2","ENSG00000142920","PAS579_AATAAA_0.2",0.0128782414123183,0,8.53912775654226,1,0.00347592160736217,0.01753871303521,0.0218472863028611,0.133146693014847,0.111299406711986,"chr1",33123491,33123492,"+",0.0774969896588543,2,"MIXED","distal pA","HCT116_p53minus"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",1.14772856531248e-12,0,57.0405764986936,1,4.26912120555483e-14,2.13721977844612e-12,0.697497986749018,0.873939706163073,0.176441719414054,"chrX",47229992,47229993,"+",0.785718846456046,2,"MIXED","distal pA","HCT116_p53minus"
"CEP350","ENSG00000135837","PAS1918_AATAAA_0.2",0.000312311400147759,0,16.4470413139622,1,5.00281999862978e-05,0.00047427864167801,0.775654727371714,0.932255479312926,0.156600751941213,"chr1",180114872,180114873,"+",0.85395510334232,2,"MIXED","distal pA","HCT116_p53minus"
"CEP43","ENSG00000213066","PAS18532_AATAAA_0.1",0.000140458683761202,3.24016696072498e-05,19.222351262224,1,1.16343191243975e-05,0.000129668994403433,0.542751403807885,0.789101652819424,0.246350249011539,"chr6",167042407,167042408,"+",0.665926528313655,2,"MIXED","distal pA","HCT116_p53minus"
"CSTPP1","ENSG00000149179","PAS29817_AATAAA_0.3",0.00657535284927952,0,9.9980939233842,1,0.00156702334258531,0.00918679600920935,0.969908148642293,0.863855194848966,-0.106052953793326,"chr11",47162244,47162245,"+",0.91688167174563,2,"MIXED","distal pA","HCT116_p53minus"
"DCAF11","ENSG00000100897","PAS36417_AATAAA_0.05",3.07830648721361e-09,0,40.6652609908433,1,1.80670698501883e-10,5.55700384679316e-09,0.229981520565861,0.502959479548166,0.272977958982305,"chr14",24125240,24125241,"+",0.366470500057014,2,"MIXED","distal pA","HCT116_p53minus"
"DENND3","ENSG00000105339","PAS23509_AATAAA_0.25",0.00416864572974005,0,10.9612940730456,1,0.000930348224543736,0.00595848977398697,0.774642749059104,0.934870415456414,0.160227666397309,"chr8",141195798,141195799,"+",0.854756582257759,2,"MIXED","distal pA","HCT116_p53minus"
