gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
2410004B18Rik,ENSMUSG00000036873.14,PAS1729_ATTAAA_0.3,8.440481097848224e-5,0,20.367450711834294,1,6.390761311390161e-6,9.801933907469844e-5,0.09732782941120877,0.46133108526626243,0.36400325585505366,chr3,145650581,145650582,+,0.2793294573387356,distal pA,Naive_vs_Polarised_DMAi,0.7280065117101073
4930523C07Rik,ENSMUSG00000090394.9,PAS233_AATAAA_0.2,0.0027150174533787323,0,12.79006589878577,1,3.484648439704624e-4,0.0029395498623508293,0.48653941020558367,0.6976837356944712,0.2111443254888875,chr1,159906153,159906154,+,0.5921115729500275,distal pA,Naive_vs_Polarised_DMAi,0.422288650977775
Aars,ENSMUSG00000031960.15,PAS4720_APA_0.25,8.713736274310747e-8,0,35.09633354513244,1,3.137910569693459e-9,1.0741659080612862e-7,0.6250685397482025,0.3869020814005947,-0.23816645834760786,chr8,111784233,111784234,+,0.5059853105743986,distal pA,Naive_vs_Polarised_DMAi,-0.4763329166952157
Abhd17b,ENSMUSG00000047368.5,PAS9877_APA_0.1,0.8172435555677489,NA,0.15596781767817447,1,0.6928963124598979,0.8272814044012514,0.2541320894310146,0.23543804918768207,-0.018694040243332544,chr19,21662997,21662998,+,0.24478506930934835,distal pA,Naive_vs_Polarised_DMAi,-0.03738808048666509
Acbd6,ENSMUSG00000033701.14,PAS226_AATAAA_0.25,0.5042622327698201,NA,1.0402117054195514,1,0.30777223994538416,0.5159389856288129,0.3123757209390873,0.25139331079726734,-0.06098241014181993,chr1,155562977,155562978,+,0.2818845158681773,distal pA,Naive_vs_Polarised_DMAi,-0.12196482028363986
Adar,ENSMUSG00000027951.17,PAS1591_AATAAA_0.3,0.0874509666256474,NA,4.977563489929935,1,0.025678123164351228,0.0934541246751889,0.5931678157921112,0.7189568338218124,0.12578901802970122,chr3,89660751,89660752,+,0.6560623248069618,distal pA,Naive_vs_Polarised_DMAi,0.25157803605940254
Adipor1,ENSMUSG00000026457.15,PAS187_AATAAA_0.35,0.24898733887746927,NA,2.5491372822393714,1,0.11035449922540745,0.2609182454159788,0.8114386712362005,0.8770181480708947,0.06557947683469423,chr1,134360072,134360073,+,0.8442284096535476,distal pA,Naive_vs_Polarised_DMAi,0.13115895366938837
Aebp2,ENSMUSG00000030232.20,PAS3505_AATAAA_0.25,0.1819771509204388,NA,0.9084290307400806,1,0.3405315869467131,0.5501611548345666,0.21868650170148105,0.257074157836607,0.03838765613512593,chr6,140599518,140599519,+,0.237880329769044,distal pA,Naive_vs_Polarised_DMAi,0.10703418676658613
Afg3l1,ENSMUSG00000031967.16,PAS4765_None_0.15,0.5588119439820796,NA,0.8319626994963301,1,0.3617056073235806,0.5672965766920965,0.1605633897672104,0.21771525497620225,0.05715186520899185,chr8,124230653,124230654,+,0.18913932237170633,distal pA,Naive_vs_Polarised_DMAi,0.1143037304179837
Agfg1,ENSMUSG00000026159.14,PAS119_AATAAA_0.15,2.119613150909817e-7,1.3788494839566478e-5,21.61306374828564,1,3.3357208199135893e-6,5.47150873377493e-5,0.3956716164741201,0.24312365987061357,-0.1525479566035065,chr1,82878721,82878722,+,0.3193976381723668,distal pA,Naive_vs_Polarised_DMAi,-0.3547764899208865
Ak2,ENSMUSG00000028792.15,PAS2159_AATAAA_0.1,0.052056671182866374,NA,6.126823632868309,1,0.013314587181582627,0.05605892143119102,0.8836208739726337,0.9428059887834257,0.05918511481079203,chr4,128905320,128905321,+,0.9132134313780297,distal pA,Naive_vs_Polarised_DMAi,0.11837022962158403
Akap9,ENSMUSG00000040407.19,PAS2621_AATAAA_0.2,0.905675397826954,NA,0.04819738135591933,1,0.8262301874911554,0.9119419172216575,0.7462539554023343,0.7671981636009291,0.02094420819859477,chr5,4130202,4130203,+,0.7567260595016316,distal pA,Naive_vs_Polarised_DMAi,0.0418884163971896
Akirin2,ENSMUSG00000028291.8,PAS1998_AATAAA_0.15,0.9187311974227538,NA,0.039540172572174015,1,0.8423823444513339,0.9254451616716515,0.7036883859233971,0.6877148461065433,-0.015973539816853788,chr4,34566906,34566907,+,0.6957016160149703,distal pA,Naive_vs_Polarised_DMAi,-0.031947079633707576
Alkbh5,ENSMUSG00000042650.4,PAS6305_AATAAA_0.2,0.17243062466648346,NA,3.354297182082064,1,0.06702981808366545,0.18282266779863487,0.5312188527285202,0.646897482761321,0.11567863003280077,chr11,60449335,60449336,+,0.5890581677449206,distal pA,Naive_vs_Polarised_DMAi,0.23135726006560148
Ankle2,ENSMUSG00000029501.16,PAS2797_ATTAAA_0.2,0.3102397795525872,NA,2.0740793466960668,1,0.14982031828809783,0.32141288991506545,0.7124880061828907,0.5926669453236773,-0.1198210608592134,chr5,110404514,110404515,+,0.652577475753284,distal pA,Naive_vs_Polarised_DMAi,-0.23964212171842691
Ankrd13c,ENSMUSG00000039988.16,PAS1741_AATAAA_0.2,0.9838565678196464,NA,0.0285194934140236,1,0.8658932689141164,0.9409514103627633,0.72310509840241,0.7330967001600037,0.009991601757593727,chr3,157713662,157713663,+,0.7281008992812068,distal pA,Naive_vs_Polarised_DMAi,0.007540571334563206
Ankrd40,ENSMUSG00000020864.14,PAS6463_ATTAAA_0.15,0.4380585596954761,NA,1.3279878214791552,1,0.24916350209825786,0.4489124271213463,0.8048000472405148,0.7234433963879154,-0.08135665085259935,chr11,94232664,94232665,+,0.7641217218142151,distal pA,Naive_vs_Polarised_DMAi,-0.16271330170519877
Anp32a,ENSMUSG00000032249.15,PAS5177_AATAAA_0.2,0.6325224518541609,NA,0.6002954389309707,1,0.43846532494530327,0.640764398941132,0.5605808840091921,0.6091234144669636,0.04854253045777146,chr9,62286081,62286082,+,0.5848521492380778,distal pA,Naive_vs_Polarised_DMAi,0.09708506091554298
Anp32e,ENSMUSG00000015749.13,PAS1633_AATAAA_0.25,0.26291852764053,NA,2.4264066435639506,1,0.11930610451445554,0.2744620625980128,0.5322969195989387,0.4647666802935353,-0.06753023930540336,chr3,95854696,95854697,+,0.498531799946237,distal pA,Naive_vs_Polarised_DMAi,-0.13506047861080667
