"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.848585387694488,NA,0.403688277117908,1,0.525190597935489,0.79724771155247,0.0826451973001863,0.0952380952380951,0.0125928979379089,"chr4",145129520,145129521,"+",0.0889416462691407,0,"TUTR"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.159125495406528,NA,0.104765644297004,1,0.746183937707661,0.914168797435329,0.591666568088359,0.577981324202022,-0.0136852438863363,"chr15",89202353,89202354,"+",0.58482394614519,0,"TUTR"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.867506550128776,NA,0.548013999596151,1,0.459130310120915,0.753779975168299,0.705091888833534,0.666251961688034,-0.0388399271455002,"chr10",124836666,124836667,"+",0.685671925260784,0,"TUTR"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.84429066836716,NA,0.593377447086141,1,0.441116044752972,0.740365343393383,0.123166494381152,0.16399604775288,0.0408295533717272,"chr10",123058288,123058289,"+",0.143581271067016,0,"TUTR"
"ACER3","ENSG00000078124","PAS30308_APA_0.25",0.941279592011274,NA,0.623000597581267,1,0.429934425883348,0.732870296003202,0.433333403433531,0.492756860003376,0.0594234565698459,"chr11",77022926,77022927,"+",0.463045131718453,0,"TUTR"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.808408316243685,NA,0.260870964771129,1,0.609522420861616,0.84242996158264,0.78570249332261,0.800520325311641,0.0148178319890314,"chr12",1788670,1788671,"+",0.793111409317125,0,"TUTR"
"AFAP1L1","ENSG00000157510","PAS15640_ATTAAA_0.35",0.972686646890303,NA,0.00717469450123076,1,0.932497058985524,0.979065738968066,0.310109529556298,0.300832969870731,-0.00927655968556684,"chr5",149341801,149341802,"+",0.305471249713515,0,"TUTR"
"AGGF1","ENSG00000164252","PAS15005_APA_0.25",0.718935970882007,NA,1.43749530232344,1,0.230545085363339,0.563677979783733,0.405059504818959,0.340454272128182,-0.064605232690777,"chr5",77065209,77065210,"+",0.372756888473571,0,"TUTR"
"AGO3","ENSG00000126070","PAS630_AATAAA_0.15",0.966317612729758,NA,0.181192017065314,1,0.67035083496589,0.875711968001265,0.231594200839956,0.264248774634214,0.0326545737942578,"chr1",36072496,36072497,"+",0.247921487737085,0,"TUTR"
"AGO4","ENSG00000134698","PAS615_AATAAA_0.35",0.901132552770903,NA,0.234009172058165,1,0.628566891484148,0.851889547625823,0.582817654696329,0.628062201675461,0.0452445469791325,"chr1",35857886,35857887,"+",0.605439928185895,0,"TUTR"
"ANKRD33B","ENSG00000164236","PAS14609_AATAAA_0.3",0.040257776613102,1,0.0315475868333124,1,0.859024241163429,0.954686511612717,0.415691932634641,0.424292276010039,0.00860034337539878,"chr5",10657814,10657815,"+",0.41999210432234,0,"TUTR"
"APOBEC3F","ENSG00000128394","PAS51021_ATTAAA_0.3",0.943686674079134,NA,0.034080024258401,1,0.853536700651496,0.953440097438019,0.518076004207189,0.531663738809654,0.0135877346024649,"chr22",39055967,39055968,"+",0.524869871508421,0,"TUTR"
"APPL1","ENSG00000157500","PAS9709_AATAAA_0.35",0.854266424451735,NA,1.06193066273408,1,0.302775258292266,0.632587415826261,0.430178043507055,0.39850672618065,-0.0316713173264054,"chr3",57273451,57273452,"+",0.414342384843852,0,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.76027349805134,NA,1.2061348809093,1,0.272098952012187,0.603641617753415,0.760408446014367,0.716488476842174,-0.0439199691721935,"chr11",120489027,120489028,"+",0.73844846142827,0,"TUTR"
"ARIH1","ENSG00000166233","PAS38774_AATAAA_0.25",0.618726128665574,NA,0.0926848649978638,1,0.760791257017141,0.921045428426851,0.468916339528448,0.478448275862069,0.00953193633362104,"chr15",72586553,72586554,"+",0.473682307695258,0,"TUTR"
"ARL5B","ENSG00000165997","PAS27019_AATAAA_0.3",0.218282377381207,NA,4.46644217614084,1,0.0345668976909035,0.195437007214464,0.882141877152153,0.80745422211055,-0.0746876550416032,"chr10",18681637,18681638,"+",0.844798049631351,0,"TUTR"
"ASB7","ENSG00000183475","PAS39095_ATTAAA_0.35",0.897691033825993,NA,0.226462265476584,1,0.634159503845315,0.854803665416084,0.548386783413696,0.578125,0.0297382165863036,"chr15",100651696,100651697,"+",0.563255891706848,0,"TUTR"
"ASF1A","ENSG00000111875","PAS18247_AATAAA_0.35",0.732553065733913,NA,0.47912977989472,1,0.488816755176973,0.772876183097627,0.474814264178286,0.536838600743889,0.0620243365656026,"chr6",118909164,118909165,"+",0.505826432461087,0,"TUTR"
"ATG10","ENSG00000152348","PAS15065_ATTAAA_0.4",0.993345543500904,NA,0.000726656688300409,1,0.978494373223331,0.996915557570842,0.537293041587973,0.534126404672149,-0.00316663691582386,"chr5",82254788,82254789,"+",0.535709723130061,0,"TUTR"
"ATP6V1A","ENSG00000114573","PAS10002_AATAAA_0.15",0.508570754866536,NA,0.013692195188014,1,0.906849233602813,0.971577333191306,0.37648406620382,0.371923436078075,-0.00456063012574442,"chr3",113812053,113812054,"+",0.374203751140948,0,"TUTR"
"ATP8B2","ENSG00000143515","PAS1605_APA_0.25",0.610841527588886,NA,0.921790302477916,1,0.33700533598401,0.660777150012636,0.873827930239369,0.923539807384178,0.049711877144809,"chr1",154351302,154351303,"+",0.898683868811773,0,"TUTR"
"BACE2","ENSG00000182240","PAS50268_AATAAA_0.45",0.767395606929082,NA,0.371319065313401,1,0.542286141054408,0.80461897249769,0.222492583657803,0.255820531549048,0.0333279478912447,"chr21",41276582,41276583,"+",0.239156557603425,0,"TUTR"
"BAG3","ENSG00000151929","PAS27916_AATAAA_0.2",0.141324371919551,NA,4.83016252116431,1,0.0279659942679608,0.172912948039435,0.887283424473517,0.931992428544336,0.0447090040708185,"chr10",119677814,119677815,"+",0.909637926508926,0,"TUTR"
"BFAR","ENSG00000103429","PAS40285_AATAAA_0.45",0.604731113597844,NA,-0.000582253710945224,1,1,1,0.175433237061007,0.175317164591389,-0.000116072469617312,"chr16",14669225,14669226,"+",0.175375200826198,0,"TUTR"
"BMI1","ENSG00000168283","PAS27042_APA_0.3",0.395966455653231,NA,2.08637242010718,1,0.148618602417451,0.456204623929797,0.256387516895902,0.196609906108579,-0.0597776107873228,"chr10",22331481,22331482,"+",0.226498711502241,0,"TUTR"
"BMP2","ENSG00000125845","PAS48786_AATAAA_0.3",0.846189029887489,NA,0.180736971730283,1,0.670740662222743,0.875806718042255,0.215901929653926,0.263267613937084,0.0473656842831576,"chr20",6780244,6780245,"+",0.239584771795505,0,"TUTR"
"BMPR1A","ENSG00000107779","PAS27501_APA_0.2",0.767743475221568,NA,0.673206681572196,1,0.411935840939927,0.720480572982111,0.498767321302467,0.563961443101321,0.0651941217988536,"chr10",86927965,86927966,"+",0.531364382201894,0,"TUTR"
"BRK1","ENSG00000254999","PAS9174_AATAAA_0.25",0.077044138431839,NA,1.68570824179915,1,0.194167684893871,0.52063532507394,0.0900061135179017,0.070798764867669,-0.0192073486502327,"chr3",10127188,10127189,"+",0.0804024391927853,0,"TUTR"
"C1GALT1","ENSG00000106392","PAS20050_AATAAA_0.25",0.361556981337687,NA,0.97145260333491,1,0.324318170850387,0.649599870188608,0.443207750716427,0.495994657874298,0.0527869071578708,"chr7",7244348,7244349,"+",0.469601204295363,0,"TUTR"
"C3orf38","ENSG00000179021","PAS9839_AATAAA_0.35",0.223125228910796,NA,0.921446726232716,1,0.337095395723341,0.660777150012636,0.609415172936504,0.669891762565289,0.0604765896287852,"chr3",88157962,88157963,"+",0.639653467750896,0,"TUTR"
"CAB39","ENSG00000135932","PAS7067_AATAAA_0.15",0.714273413779019,NA,0.533905732816947,1,0.464969421039023,0.757577519978676,0.869044184337199,0.839120617294477,-0.0299235670427218,"chr2",230821070,230821071,"+",0.854082400815838,0,"TUTR"
"CALU","ENSG00000128595","PAS20956_AATAAA_0.25",0.976347765384198,NA,0.382925935911317,1,0.536041469886109,0.802695394292563,0.227351684053224,0.203971872781308,-0.0233798112719157,"chr7",128771472,128771473,"+",0.215661778417266,0,"TUTR"
"CAMLG","ENSG00000164615","PAS15404_AATAAA_0.3",0.359919805144991,NA,2.34395171729102,1,0.125770141900019,0.417755985764169,0.533214945002924,0.579125434161614,0.0459104891586908,"chr5",134751374,134751375,"+",0.556170189582269,0,"TUTR"
"CAND1","ENSG00000111530","PAS32901_AATAAA_0.4",0.334784075589379,NA,0.740140275564045,1,0.389615946558322,0.705374199713199,0.17170639493271,0.188427169532355,0.0167207745996452,"chr12",67314617,67314618,"+",0.180066782232532,0,"TUTR"
"CANX","ENSG00000127022","PAS15906_ATTAAA_0.15",0.0040651236033203,1,0.431880269445173,1,0.511067768094078,0.787208746573696,0.456527343902481,0.47231498424578,0.0157876403432989,"chr5",179730924,179730925,"+",0.46442116407413,0,"TUTR"
"CBL","ENSG00000110395","PAS30622_AATAAA_0.2",0.136376334123929,NA,1.09148231265681,1,0.296143009566202,0.624890623361297,0.272222957162102,0.233548459328207,-0.0386744978338952,"chr11",119308145,119308146,"+",0.252885708245155,0,"TUTR"
"CCDC174","ENSG00000154781","PAS9235_AATAAA_0.25",0.550093552425272,NA,1.21021388718373,1,0.271289766221556,0.603139735279938,0.258075996901351,0.326861073759079,0.0687850768577285,"chr3",14672652,14672653,"+",0.292468535330215,0,"TUTR"
"CCND1","ENSG00000110092","PAS30199_AATAAA_0.05",0.512050243523406,NA,2.99605078710738,1,0.0834677477585416,0.329636940346919,0.659770003867084,0.703726648979273,0.0439566451121888,"chr11",69654472,69654473,"+",0.681748326423178,0,"TUTR"
"CCNG2","ENSG00000138764","PAS12969_AATAAA_0.2",0.747055983386394,NA,0.440205436137148,1,0.507023316757045,0.78515777782791,0.227029153873343,0.160265006407666,-0.0667641474656765,"chr4",77170058,77170059,"+",0.193647080140504,0,"TUTR"
"CDC5L","ENSG00000096401","PAS17873_ATTAAA_0.15",0.964124737729608,NA,0.0150975247152019,1,0.902208470168991,0.970502207288697,0.0768998763684324,0.080704589652507,0.00380471328407461,"chr6",44450423,44450424,"+",0.0788022330104697,0,"TUTR"
