"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ACAD8","ENSG00000151498","PAS30738_AATAAA_0.45",0.00039850762570684,0,14.9647925964073,1,0.000109535938053379,0.000589469467581097,0.799806984492743,0.957472300031132,0.157665315538389,"chr11",134265849,134265850,"+",0.878639642261938,2,"iAPA","distal pA"
"ATRN","ENSG00000088812","PAS48732_AATAAA_0.25",3.19752002403529e-08,0,34.5039864355117,1,4.25379234793967e-09,5.17783590776556e-08,0.600613089903551,0.836484211894814,0.235871121991262,"chr20",3651112,3651113,"+",0.718548650899183,2,"iAPA","distal pA"
"ENSG00000258728","ENSG00000258728","PAS24936_AATAAA_0.45",2.29286571935424e-25,0,115.232821424728,1,6.99797436786111e-27,4.0899558281614e-25,0.310027476457808,0.671389254320246,0.361361777862438,"chr9",34661885,34661886,"+",0.490708365389027,2,"iAPA","distal pA"
"ENSG00000273154","ENSG00000273154","PAS49371_AATAAA_0.1",0.00267407557555869,0,11.0453911890659,1,0.00088907941334739,0.00376015495295851,0.277294467356556,0.414628813579459,0.137334346222902,"chr20",63739102,63739103,"+",0.345961640468007,2,"iAPA","distal pA"
"GOLGA4","ENSG00000144674","PAS9405_AATAAA_0.3",0.00472273583536676,0,9.87031661770834,1,0.00167966601254206,0.00649201327531915,0.890447781405873,0.788566250317627,-0.101881531088246,"chr3",37366744,37366745,"+",0.83950701586175,2,"iAPA","distal pA"
"ITGAV","ENSG00000138448","PAS6690_AATAAA_0.15",2.43865314164551e-07,0,30.2940099130351,1,3.71270711690289e-08,3.89319954072685e-07,0.979719017039036,0.840924964652916,-0.13879405238612,"chr2",186680896,186680897,"+",0.910321990845976,2,"iAPA","distal pA"
"PACS1","ENSG00000175115","PAS30087_AATAAA_0.05",1.43935381437926e-07,0,31.3870982783965,1,2.11380865379216e-08,2.31906253756618e-07,0.974950258560285,0.856080865860607,-0.118869392699678,"chr11",66244743,66244744,"+",0.915515562210446,2,"iAPA","distal pA"
"PAPOLA","ENSG00000090060","PAS37098_AATAAA_0.25",6.3389360406422e-20,1.90590057635037e-17,76.364591126583,1,2.35842364856283e-18,7.62029689861855e-17,0.714942461843761,0.886691919739809,0.171749457896048,"chr14",96567108,96567109,"+",0.800817190791785,2,"iAPA","distal pA"
"RSAD1","ENSG00000136444","PAS43052_AATAAA_0.05",1.29468465840457e-10,0,45.822491703706,1,1.29468465840336e-11,2.18256649148011e-10,0.869007066221313,0.684588110999365,-0.184418955221949,"chr17",50485973,50485974,"+",0.776797588610339,2,"iAPA","distal pA"
"ZNF90","ENSG00000213988","PAS46525_APA_0.25",0.00182073920736461,0.00127479623415897,11.6822558827698,1,0.000630989805668991,0.0028024454977601,0.331249999999999,0.13793103512397,-0.193318964876029,"chr19",20127024,20127025,"+",0.234590517561984,2,"iAPA","distal pA"
"DENND2A","ENSG00000146966","PAS22379_ATTAAA_0.05",0.000205086794590156,0,16.3356114331408,1,5.30574633760169e-05,0.000309297578030268,0.768483087265437,0.442784784255066,-0.325698303010371,"chr7",140518419,140518420,"-",0.605633935760251,2,"iAPA","distal pA"
"DYNLT2B","ENSG00000213123","PAS12348_AATAAA_0.15",0.0265359108525348,0,6.34274077565351,1,0.0117862625805049,0.0341971557295649,0.787502980022147,0.604638567121949,-0.182864412900199,"chr3",196291220,196291221,"-",0.696070773572048,2,"iAPA","distal pA"
"ENSG00000280537","ENSG00000280537","PAS8875_AATAAA_0.1",0.0445041567702028,0,5.28184024145401,1,0.0215489606479779,0.0558649425017784,0.781866797124254,0.57197406550784,-0.209892731616415,"chr2",219075972,219075973,"-",0.676920431316047,2,"iAPA","distal pA"
"PHYKPL","ENSG00000175309","PAS17177_AATAAA_0.4",1.81761516611326e-05,2.4249907155925e-05,19.1627901084721,1,1.20030509926185e-05,8.16135592941219e-05,0.652173907150535,0.529730327664253,-0.122443579486282,"chr5",178208639,178208640,"-",0.590952117407394,2,"iAPA","distal pA"
"STAU2","ENSG00000040341","PAS24040_APA_0.1",1.26191375121412e-103,6.66996442606781e-73,331.112182056189,1,5.50242128146886e-74,2.6506663973185e-71,0.691169494345098,0.185468037768064,-0.505701456577034,"chr8",73420370,73420371,"-",0.438318766056581,3,"iAPA","distal pA"
"TESC","ENSG00000088992","PAS34981_AATAAA_0.2",2.65724738333796e-11,0,49.0841714593298,1,2.45210979360091e-12,4.4347200669936e-11,0.893938760071827,0.621974216306821,-0.271964543765006,"chr12",117038928,117038929,"-",0.757956488189324,2,"iAPA","distal pA"
"ZFYVE28","ENSG00000159733","PAS13551_APA_0.1",4.37787791169364e-06,0,24.3518894380416,1,8.02479954728762e-07,6.83656154358152e-06,0.895644340114407,0.24615144280053,-0.649492897313876,"chr4",2269597,2269598,"-",0.570897891457468,2,"iAPA","distal pA"
"ZNF680","ENSG00000173041","PAS21760_ATTAAA_0.35",6.9197180118689e-11,0,47.0999347530221,1,6.74579332216304e-12,1.1694424911933e-10,0.916914994763528,0.585354711661946,-0.331560283101582,"chr7",64519879,64519880,"-",0.751134853212737,2,"iAPA","distal pA"
