gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.49629857850160053,NA,1.0637907227264805,1,0.3023521985853025,0.5484652450152682,0.56538615313515594,0.6124494638950103,0.04706331075985437,chr11,106098692,106098693,+,0.5889178085150831,distal pA,PANC0403,0.09412662151970874
ABCB8,ENSG00000197150.13,PAS21132_AATAAA_0.2,0.004551886536669961,0.011955266331034347,8.779347745597534,1,0.003046601189665067,0.022022291544785223,0.15560792923226563,0.3276179745647625,0.17201004533249686,chr7,151047779,151047780,+,0.24161295189851406,distal pA,PANC0403,0.42370794976383974
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.3307718624349646,NA,1.927376354500666,1,0.16504577093104472,0.3799838054322658,0.8978230049831626,0.933186908092893,0.035363903109730366,chr16,16143051,16143052,+,0.9155049565380278,distal pA,PANC0403,0.07072780621946063
ABCC3,ENSG00000108846.16,PAS43065_AATAAA_0.3,8.183464553756555e-17,1,0.5987533290963256,1,0.43905408321118794,0.6741588343821242,0.599568365948363,0.6067966135974403,0.007228247649077257,chr17,50691700,50691701,+,0.6031824897729017,distal pA,PANC0403,-0.14524557749857664
ABCD1,ENSG00000101986.12,PAS52448_APA_0.1,0.8465941761536735,NA,0.11917539246678643,1,0.729930569314534,0.8740764597540873,0.941929016560635,0.9347814461141617,-0.007147570446473295,chrX,153744753,153744754,+,0.9383552313373984,distal pA,PANC0403,-0.014295140892946562
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.6055950982024693,NA,0.6615318345661763,1,0.41601966844842603,0.6545997163765392,0.1173295570663303,0.1440663165864069,0.026736759520076592,chr4,145129520,145129521,+,0.1306979368263686,distal pA,PANC0403,0.053473519040153183
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.2765552239376451,NA,2.3412140905345495,1,0.12599132476797284,0.32084719972751413,0.8546045721014955,0.9254168386934648,0.07081226659196926,chr3,111993366,111993367,+,0.8900107053974802,distal pA,PANC0403,0.14162453318393867
ABHD13,ENSG00000139826.6,PAS35732_AATAAA_0.35,0.3957234797686211,NA,2.376371197129629,1,0.12318339434428897,0.3163860922610587,0.417889572799302,0.5280280658605595,0.1101384930612575,chr13,108230907,108230908,+,0.4729588193299308,distal pA,PANC0403,0.22779720422851968
ABHD17C,ENSG00000136379.12,PAS38908_AATAAA_0.15,0.35656174169319077,NA,1.7614710859670595,1,0.18444113129542877,0.40655003201671946,0.8849098045399787,0.8463310384905381,-0.03857876604944055,chr15,80755618,80755619,+,0.8656204215152584,distal pA,PANC0403,-0.07715753209888111
ABHD18,ENSG00000164074.17,PAS13219_APA_0.15,0.9505336977559787,NA,0.015575467387748176,1,0.9006805317899365,0.9588538218584994,0.6061669350730514,0.6215625024972785,0.015395567424227097,chr4,128039708,128039709,+,0.6138647187851649,distal pA,PANC0403,0.030791134848454194
