"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABCC3","ENSG00000108846","PAS43063_None_0.1",8.18346455375655e-17,3.24404366257969e-16,72.0797603358496,1,2.06672670605524e-17,3.83481915072675e-15,0.21793626280892,0.0362739092890887,-0.181662353519832,"chr17",50667924,50667925,"+",0.127105086049005,2,"ALE","distal pA","PANC0403"
"ALG13","ENSG00000101901","PAS52279_AATAAA_0.3",2.80127015209171e-08,3.87386055437993e-10,41.8466670054663,1,9.87189063528741e-11,6.1302145056615e-09,0.247547147473244,0.672194154805604,0.42464700733236,"chrX",111760643,111760644,"+",0.459870651139424,2,"ALE","distal pA","PANC0403"
"ARHGEF1","ENSG00000076928","PAS46872_ATTAAA_0.4",0.00311513540522654,0,12.5034068934954,1,0.000406210581430198,0.00450067840055981,0.127547975143285,0.344158461138996,0.216610485995711,"chr19",41930139,41930140,"+",0.23585321814114,2,"ALE","distal pA","PANC0403"
"ARHGEF7","ENSG00000102606","PAS35760_ATTAAA_0.2",0.00388213627718898,0,12.0346869576806,1,0.000522196035640492,0.00550263557366709,0.888190619654109,0.774379089217905,-0.113811530436204,"chr13",111305730,111305731,"+",0.831284854436007,2,"ALE","distal pA","PANC0403"
"ASB7","ENSG00000183475","PAS39095_ATTAAA_0.35",0.000214244308767687,0.0313653333487594,7.03505663387477,1,0.00799293459874803,0.0460171064372078,0.56779634289652,0.390476121786058,-0.177320221110463,"chr15",100651696,100651697,"+",0.479136232341289,2,"ALE","distal pA","PANC0403"
"ATP11A","ENSG00000068650","PAS35766_AATAAA_0.2",2.88020526177753e-26,3.73184367881649e-15,65.8954038919098,1,4.75499210001402e-16,6.61290620075908e-14,0.723089773334198,0.294237339374817,-0.428852433959381,"chr13",112887165,112887166,"+",0.508663556354508,2,"ALE","distal pA","PANC0403"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",6.92755423103952e-18,0,84.0417148167298,1,4.844443518205e-20,1.43729256470254e-17,0.927753193644366,0.635005549805025,-0.29274764383934,"chr17",81116223,81116224,"+",0.781379371724696,2,"ALE","distal pA","PANC0403"
"BCCIP","ENSG00000107949","PAS27994_ATTAAA_0.4",1.60592125540167e-05,2.3942658157523e-05,21.7844068803861,1,3.05069451431212e-06,6.83386282895656e-05,0.204863843091301,0.0674394442078314,-0.13742439888347,"chr10",125853520,125853521,"+",0.136151643649566,2,"ALE","distal pA","PANC0403"
"BPTF","ENSG00000171634","PAS43285_AATAAA_0.3",6.13725555952314e-10,9.48083121121962e-07,28.7931748701803,1,8.05344156773694e-08,2.89815359490178e-06,0.548969641559687,0.292620448292222,-0.256349193267465,"chr17",67983151,67983152,"+",0.420795044925954,2,"ALE","distal pA","PANC0403"
"CENPN","ENSG00000166451","PAS40928_AATAAA_0.05",0.00613724280432788,0.00112541231223341,13.1547411689191,1,0.000286792648057835,0.00337651555927703,0.291495395337085,0.548200099140629,0.256704703803545,"chr16",81031482,81031483,"+",0.419847747238857,2,"ALE","distal pA","PANC0403"
"CEP55","ENSG00000138180","PAS27603_AATAAA_0.25",4.4301266775539e-05,0,21.9445584290129,1,2.80641508985315e-06,6.38304052208338e-05,0.992716358778301,0.860952139202039,-0.131764219576262,"chr10",93529089,93529090,"+",0.92683424899017,2,"ALE","distal pA","PANC0403"
"CHEK1","ENSG00000149554","PAS30690_AATAAA_0.15",0.000376045504979666,0.00049745995705234,14.6892185219274,1,0.000126769413160808,0.00171669411872173,0.462948737686881,0.258439523010186,-0.204509214676695,"chr11",125676252,125676253,"+",0.360694130348534,2,"ALE","distal pA","PANC0403"
"CHPF2","ENSG00000033100","PAS21141_AATAAA_0.15",0.0130985352444185,0,9.26077375005275,1,0.00234114091472638,0.0178813342977757,0.107624851752565,0.230237258056927,0.122612406304363,"chr7",151240970,151240971,"+",0.168931054904746,2,"ALE","distal pA","PANC0403"
"CLEC16A","ENSG00000038532","PAS40254_AATAAA_0.3",7.71458109921017e-11,3.61115789535837e-07,29.877924907091,1,4.60121825622071e-08,1.7111661542842e-06,0.673153157203462,0.358523098149011,-0.31463005905445,"chr16",11182180,11182181,"+",0.515838127676236,3,"ALE","distal pA","PANC0403"
"DEPDC5","ENSG00000100150","PAS50911_AATAAA_0.15",0.0387404302992714,0,6.84113397421834,1,0.00890822728806775,0.0498256147980698,0.808589119699354,0.527788221115727,-0.280800898583627,"chr22",31907013,31907014,"+",0.66818867040754,2,"ALE","distal pA","PANC0403"
"DHX8","ENSG00000067596","PAS42866_ATTAAA_0.4",1.85130493802575e-05,0,23.7775081578188,1,1.0813874997924e-06,2.82536291775639e-05,0.342918155120339,0.575891470888521,0.232973315768183,"chr17",43526785,43526786,"+",0.45940481300443,2,"ALE","distal pA","PANC0403"
"DIAPH2","ENSG00000147202","PAS52178_AATAAA_0.2",0.000326214628030639,0.0117635113457513,8.80884607832786,1,0.0029977356144356,0.0217278871815036,0.47278951890068,0.659655406073953,0.186865887173273,"chrX",97604993,97604994,"+",0.566222462487317,2,"ALE","distal pA","PANC0403"
"DNAJB6","ENSG00000105993","PAS21189_AATAAA_0.05",5.0866372841687e-31,0,145.760297895093,1,1.46468370996219e-33,1.15029365951207e-30,0.461301935735436,0.0877290569468744,-0.373572878788562,"chr7",157417437,157417438,"+",0.274515496341155,2,"ALE","distal pA","PANC0403"
"EXOC3","ENSG00000180104","PAS14542_APA_0.1",2.8749103851372e-09,0,42.2912614721636,1,7.86431676724078e-11,4.97613711656074e-09,0.245425284991274,0.48921421003837,0.243788925047096,"chr5",471935,471936,"+",0.367319747514822,2,"ALE","distal pA","PANC0403"
"FARP1","ENSG00000152767","PAS35689_None_0.15",9.69639704630161e-15,8.00201812245178e-12,51.6019881412903,1,6.79727166715875e-13,5.93139699530958e-11,0.238412817930128,0.0612063511625606,-0.177206466767568,"chr13",98448436,98448437,"+",0.149809584546345,3,"ALE","distal pA","PANC0403"
"FLAD1","ENSG00000160688","PAS1614_AATAAA_0.05",0.00215536515277405,0,13.3021751891611,1,0.000265098387774348,0.00320011625241892,0.784567444343686,0.654654164514241,-0.129913279829445,"chr1",154993110,154993111,"+",0.719610804428963,2,"ALE","distal pA","PANC0403"
"GLRX3","ENSG00000108010","PAS28016_AATAAA_0.05",4.82218317130499e-11,1.42478759180021e-11,48.3143606092517,1,3.63083468992279e-12,2.83481134182217e-10,0.204093981686951,0.0507218727226418,-0.153372108964309,"chr10",130180375,130180376,"+",0.127407927204796,2,"ALE","distal pA","PANC0403"
"GLS","ENSG00000115419","PAS6729_AATAAA_0.45",2.02092920472613e-06,1.24980612962589e-05,23.8129802718759,1,1.06164115906107e-06,2.7901517942174e-05,0.264447937984696,0.401078680689834,0.136630742705137,"chr2",190965551,190965552,"+",0.332763309337265,2,"ALE","distal pA","PANC0403"
"GNPAT","ENSG00000116906","PAS2414_AATAAA_0.45",0.000962827953631536,0,15.070480360956,1,0.000103570345485252,0.00144792427494617,0.936743713182943,0.816441021644057,-0.120302691538886,"chr1",231277792,231277793,"+",0.8765923674135,2,"ALE","distal pA","PANC0403"
"GOSR2","ENSG00000108433","PAS42955_AATAAA_0.45",2.83986907988977e-31,8.08177960181634e-10,41.764129836195,1,1.02975369463703e-10,6.30653283353163e-09,0.408644017733992,0.119024001109219,-0.289620016624774,"chr17",46942018,46942019,"+",0.263834009421605,4,"ALE","distal pA","PANC0403"
"GRK6","ENSG00000198055","PAS15863_APA_0.2",0.00200455837317594,0.00770199151441505,10.8624037114173,1,0.00098136234948172,0.00907352404981333,0.592269509558248,0.42425866434733,-0.168010845210917,"chr5",177442619,177442620,"+",0.508264086952789,2,"ALE","distal pA","PANC0403"
"HAUS2","ENSG00000137814","PAS38416_AATAAA_0.25",0.000894974320897836,0.0203602102057254,9.07291580331866,1,0.00259423081498291,0.0194314780848058,0.277324622023362,0.125478161464719,-0.151846460558643,"chr15",42568927,42568928,"+",0.201401391744041,2,"ALE","distal pA","PANC0403"
"HMGA2","ENSG00000149948","PAS32890_AATAAA_0.15",6.65641574547243e-05,0.000642978143831167,17.2499590367079,1,3.2770461546969e-05,0.000543501157905072,0.527636975167181,0.326239211834465,-0.201397763332717,"chr12",65966217,65966218,"+",0.426938093500823,2,"ALE","distal pA","PANC0403"
"IFNAR1","ENSG00000142166","PAS50189_APA_0.1",2.64262255632469e-10,0.0394471957643847,6.78856866649176,1,0.00917434384666953,0.0507828860075672,0.233883718053933,0.369929180609136,0.136045462555203,"chr21",33359233,33359234,"+",0.301906449331534,4,"ALE","distal pA","PANC0403"
"IFT43","ENSG00000119650","PAS36975_AATAAA_0.1",6.79145802665172e-06,0,25.9333981197888,1,3.53401662020338e-07,1.07722958667432e-05,0.950771354441393,0.686723267892844,-0.264048086548549,"chr14",76083740,76083741,"+",0.818747311167118,2,"ALE","distal pA","PANC0403"
"KLC1","ENSG00000126214","PAS37219_ATTAAA_0.25",1.85333713108715e-13,1.53539731465326e-12,54.8449492392956,1,1.30423506983093e-13,1.26180017516759e-11,0.503882708663243,0.281479218746455,-0.222403489916787,"chr14",103701542,103701543,"+",0.392680963704849,2,"ALE","distal pA","PANC0403"
"KMT5A","ENSG00000183955","PAS33529_AATAAA_0.35",0.0437052457340301,0.0274503688895498,7.27418286073816,1,0.00699527088732049,0.0414257117383613,0.215101401554961,0.375209786226343,0.160108384671382,"chr12",123408522,123408523,"+",0.295155593890652,2,"ALE","distal pA","PANC0403"
