"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"AP5M1","ENSG00000053770","PAS36692_AATAAA_0.2",0.00030135043014371,0.00273148352166069,10.9582995334318,1,0.000931852922354215,0.00640619214832915,0.152902946419022,0.402998916770671,0.25009597035165,"chr14",57298740,57298741,"+",0.277950931594847,2,"TUTR"
"ATG10","ENSG00000152348","PAS15065_ATTAAA_0.4",0.0424907122381863,0,6.03629938702375,1,0.0140146312761334,0.0544251652004104,0.642121575271004,0.869635385506701,0.227513810235697,"chr5",82254788,82254789,"+",0.755878480388853,2,"TUTR"
"ATP6V0A2","ENSG00000185344","PAS33561_AATAAA_0.15",3.34852349997914e-05,2.39298331281729e-06,24.3188261277974,1,8.16372669104706e-07,1.4689265559424e-05,0.423912664390765,0.847825450483265,0.4239127860925,"chr12",123761751,123761752,"+",0.635869057437015,3,"TUTR"
"BMI1","ENSG00000168283","PAS27042_APA_0.3",0.00335132519684066,0,11.6175556838707,1,0.000653322040395226,0.00471474916317304,0.247413222025421,0.40579045074521,0.158377228719789,"chr10",22331481,22331482,"+",0.326601836385315,2,"TUTR"
"C3orf38","ENSG00000179021","PAS9839_AATAAA_0.35",0.00454932581969583,0.000551064789779594,13.9474025949739,1,0.000187997229597204,0.00171652409567948,0.622259519648081,0.839340398696193,0.217080879048112,"chr3",88157962,88157963,"+",0.730799959172137,2,"TUTR"
"CCNG2","ENSG00000138764","PAS12969_AATAAA_0.2",0.014470864367038,0.0195325450995868,7.36148321714313,1,0.00666358009767501,0.030565946097255,0.199517720208109,0.414264726845556,0.214747006637447,"chr4",77170058,77170059,"+",0.306891223526833,2,"TUTR"
"CHMP4B","ENSG00000101421","PAS48968_ATTAAA_0.1",0.00537383469273984,0,10.6011233863874,1,0.00113018970282092,0.00750586123994502,0.525016597152408,0.687147468165847,0.16213087101344,"chr20",33854362,33854363,"+",0.606082032659128,2,"TUTR"
"CMPK1","ENSG00000162368","PAS832_AATAAA_0.15",0.00811085849505487,0,9.67472352860523,1,0.00186820380705106,0.0112745462779956,0.722547931261707,0.854637684635048,0.132089753373341,"chr1",47378837,47378838,"+",0.788592807948378,2,"TUTR"
"CSTF1","ENSG00000101138","PAS49251_AATAAA_0.25",0.0125089727355881,0,8.69990724663512,1,0.00318226242697066,0.0170957927754654,0.441267048742545,0.614066673815518,0.172799625072973,"chr20",56406360,56406361,"+",0.527666861279032,2,"TUTR"
"DDA1","ENSG00000130311","PAS46437_AATAAA_0.25",0.0043675421943808,0.000793719807872159,13.2624215712021,1,0.000270779639207347,0.00227674220006427,0.229390502783552,0.361454682729431,0.132064179945878,"chr19",17323294,17323295,"+",0.295422592756492,2,"TUTR"
"DEGS1","ENSG00000143753","PAS2309_AATAAA_0.25",0.0194914272524171,0,7.74407194144004,1,0.00538891480420839,0.026055704650945,0.502639506239218,0.734448331923195,0.231808825683977,"chr1",224193437,224193438,"+",0.618543919081207,2,"TUTR"
"ENSG00000284461","ENSG00000284461","PAS20496_AATAAA_0.25",0.0307170004012353,0,6.73845769434342,1,0.00943561650343425,0.0401430153574543,0.5795083365236,0.780167721249617,0.200659384726017,"chr7",66811188,66811189,"+",0.679838028886608,2,"TUTR"
