gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.15417284284391436,NA,6.067048389120373,1,0.01377269271863753,0.13004300607837838,0.09483157608801135,0.032591406105342696,-0.06224016998266865,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.15417284284391436,NA,0.547416649812476,1,0.4593751749907676,0.7670561786138285,0.3765731562011874,0.3409082520549249,-0.0356649041462625,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.15417284284391436,NA,3.2696493787188956,1,0.0705727054122738,0.32833000130748724,0.5285952677108012,0.6265003418397324,0.09790507412893112,chr3,113810425,113810426,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,0.9295554157661129,NA,6.694458134006709e-4,1,0.9793581165060932,0.9971203293566169,0.07093051892535705,0.07115668889385998,2.2616996850292892e-4,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,0.9295554157661129,NA,0.22869594056828646,1,0.6324924592015652,0.8665693120831811,0.04239038742069897,0.046217939331482875,0.003827551910783905,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,0.9295554157661129,NA,0.027100795217847917,1,0.869240575997765,0.9576289673223034,0.42606877839065893,0.429249390191665,0.0031806118010060946,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,0.9295554157661129,NA,0.6480230110464618,1,0.4208203926771425,0.7395109040195823,0.18683439716734526,0.1990286725015559,0.012194275334210636,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,0.9295554157661129,NA,1.1519589251765865,1,0.28313945317081574,0.6328350016637263,0.02020764368329262,0.014758087975122208,-0.005449555708170413,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,0.9295554157661129,NA,0.18884109902501223,1,0.6638829159518675,0.8807193932337812,0.20406645964579462,0.19716831671176585,-0.006898142934028767,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,0.9295554157661129,NA,0.7489042956658523,1,0.38682335911315757,0.7151891514235835,0.04950181476685256,0.04242090439454804,-0.007080910372304516,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.5307843125121531,NA,2.300686498467371,1,0.1293168325301472,0.44377675258587435,0.10762080992828733,0.04709369918503258,-0.06052711074325475,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.5307843125121531,NA,2.0013668290578153,1,0.15715743447686256,0.48680490987084707,0.6875341902736821,0.7804043356232051,0.09287014534952298,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.5307843125121531,NA,0.3142278121688378,1,0.5750973447287676,0.8365625887479619,0.2048449997980304,0.1725019651917623,-0.032343034606268084,chr3,119494704,119494705,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.04313259888951101,0,8.4580801234697,1,0.0036342526794703174,0.05602651879311782,0.16911484820621733,0.11221712140545025,-0.05689772680076709,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.04313259888951101,0,8.458080123462423,1,0.0036342526794848526,0.05602651879311782,0.8308851517937826,0.8877828785945497,0.0568977268007671,chr3,120602325,120602326,+
DTX3L,ENSG00000163840.10,PAS10056_APA_0.2,0.8361883117530569,NA,0.6746857929629186,1,0.41142268086529077,0.7331066786710595,0.03747640778006167,0.05539597456259567,0.017919566782534,chr3,122571900,122571901,+
DTX3L,ENSG00000163840.10,PAS10057_AATAAA_0.2,0.8361883117530569,NA,0.18253099950879914,1,0.6692071019383071,0.8816124132352816,0.07538579623696336,0.08775248891412847,0.012366692677165114,chr3,122572598,122572599,+
DTX3L,ENSG00000163840.10,PAS10058_AATAAA_0.15,0.8361883117530569,NA,0.8492424445948927,1,0.35676673486707633,0.6951363192449359,0.887137795982975,0.8568515365232758,-0.030286259459699205,chr3,122575199,122575200,+
PARP14,ENSG00000173193.15,PAS10063_ATTAAA_0.2,0.9226713575721833,NA,0.04763549569315728,1,0.8272299866243686,0.9382402477582034,0.06009145114602494,0.06624059337795087,0.006149142231925926,chr3,122729866,122729867,+
PARP14,ENSG00000173193.15,PAS10064_AATAAA_0.35,0.9226713575721833,NA,0.04763549569315728,1,0.8272299866243686,0.9382402477582034,0.939908548853975,0.9337594066220491,-0.006149142231925864,chr3,122730838,122730839,+
SLC49A4,ENSG00000138463.9,PAS10066_AATAAA_0.25,0.4139966107192949,NA,2.190956364415456,1,0.13882309557396152,0.4586584931111588,0.7275742211990476,0.6030468470124348,-0.12452737418661275,chr3,122879913,122879914,+
SLC49A4,ENSG00000138463.9,PAS10068_AATAAA_0.25,0.4139966107192949,NA,2.190956364415456,1,0.13882309557396152,0.4586584931111588,0.2724257788009524,0.39695315298756517,0.12452737418661275,chr3,122881136,122881137,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,0.328561580646212,NA,2.8398571585462378,1,0.09195238775764294,0.37743364018383174,0.1492012334253239,0.2143984192231637,0.06519718579783979,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,0.328561580646212,NA,2.839857158545783,1,0.09195238775766883,0.37743364018383174,0.8507987665746762,0.7856015807768365,-0.06519718579783973,chr3,127037384,127037385,+
RAB7A,ENSG00000075785.14,PAS10113_None_0.25,0.6529690263529684,NA,3.1051453524087265,1,0.07804526434617828,0.34608887408597133,0.05844221452627033,0.03994972539117983,-0.018492489135090502,chr3,128813801,128813802,+
