unique_featureID,gene_ID,chr,start,end,strand,mean_diffsiELAVL1,mean_diffsiSam68,mean_diffsiCFIM25,mean_diff96,mean_diff72,mean_diff48,mean_diff24,mean_diff96hrs_prev,ctrl_siELAVL1,ctrl_siSam68,ctrl_siCFIM25,ctrl_96,ctrl_72,ctrl_48,ctrl_24,ctrl_96hrs_prev,condition_siELAVL1,condition_siSam68,condition_siCFIM25,condition_96,condition_72,condition_48,condition_24,condition_96hrs_prev,V5_siELAVL1,V5_siSam68,V5_siCFIM25,V5_96,V5_72,V5_48,V5_24,V5_96hrs_prev,twostep_gene_padj_siELAVL1,twostep_gene_padj_siSam68,twostep_gene_padj_siCFIM25,twostep_gene_padj_96,twostep_gene_padj_72,twostep_gene_padj_48,twostep_gene_padj_24,twostep_gene_padj_96hrs_prev,twostep_transcript_padj_siELAVL1,twostep_transcript_padj_siSam68,twostep_transcript_padj_siCFIM25,twostep_transcript_padj_96,twostep_transcript_padj_72,twostep_transcript_padj_48,twostep_transcript_padj_24,twostep_transcript_padj_96hrs_prev,lr_siELAVL1,lr_siSam68,lr_siCFIM25,lr_96,lr_72,lr_48,lr_24,lr_96hrs_prev,df_siELAVL1,df_siSam68,df_siCFIM25,df_96,df_72,df_48,df_24,df_96hrs_prev,pvalue_siELAVL1,pvalue_siSam68,pvalue_siCFIM25,pvalue_96,pvalue_72,pvalue_48,pvalue_24,pvalue_96hrs_prev,adj_pvalue_siELAVL1,adj_pvalue_siSam68,adj_pvalue_siCFIM25,adj_pvalue_96,adj_pvalue_72,adj_pvalue_48,adj_pvalue_24,adj_pvalue_96hrs_prev
SQSTM1_ATTAAA_chr5_start_179837251_end_179837252,SQSTM1_ENSG00000161011.20,chr5,179837251,179837252,+,-0.245373941,-0.227998411,-0.201151056,0.011143553,0.016108485,-0.004277043,0.016742992,-0.016143101,0.737050859,0.738021215,0.736837699,0.730378284,0.743249293,0.762951598,0.76128148,0.695214917,0.491676918,0.510022804,0.535686643,0.741521837,0.759357777,0.758674555,0.778024472,0.679071815,4170,4170,4170,10087,10087,10087,10087,11746,4.18e-55,5.2e-103,4.96e-56,1.99e-7,2.23e-10,9.9e-20,1.26e-16,1.3e-6,3.02e-50,4.07e-70,1.3e-35,1,0.400172165,1,0.21714539,0.551138447,229.0059259,319.8868803,158.7413052,1.383543499,2.751793955,0.76482481,5.09918014,3.047412072,1,1,1,1,1,1,1,1,9.82e-52,1.53e-71,2.13e-36,0.239498482,0.097145376,0.381822816,0.023937155,0.080865905,8.15e-48,3.22e-68,9.48e-35,0.330244657,0.17108809,0.531462894,0.079851729,0.1682422
SQSTM1_AATAAA_chr5_start_179838074_end_179838075,SQSTM1_ENSG00000161011.20,chr5,179838074,179838075,+,0.182397674,0.227991043,0.213289803,-0.007473336,-0.028717492,-0.039127544,-0.031947979,-0.001302355,0.095037775,0.09497936,0.095056822,0.1255665,0.125987272,0.119778814,0.111228242,0.17322157,0.277435449,0.322970403,0.308346625,0.118093164,0.09726978,0.08065127,0.079280263,0.171919214,1990,1990,1990,2814,2814,2814,2814,3350,4.18e-55,5.2e-103,4.96e-56,1.99e-7,2.23e-10,9.9e-20,1.26e-16,1.3e-6,4.84e-44,2.96e-103,3.85e-58,1,5.19e-4,1.73e-8,1.15e-8,1,200.5622951,472.1089108,261.9896877,0.962132286,15.83386938,36.00989525,37.41898838,0.029709314,1,1,1,1,1,1,1,1,1.57e-45,1.11e-104,6.32e-59,0.326650234,6.92e-5,1.96e-9,9.53e-10,0.863151451,6.53e-42,9.35e-101,8.26e-57,0.424131273,3.13e-4,2.58e-8,2.47e-8,0.917098548
ATL3_AATAAA_chr11_start_63624087_end_63624088,ATL3_ENSG00000184743.13,chr11,63624087,63624088,-,-0.365959325,5.93e-4,-0.506440188,0.29439461,0.221744539,0.298300235,0.194233796,0.304468157,0.746628881,0.746641889,0.746637657,0.660277256,0.706555933,0.630829617,0.668130642,0.558241686,0.380669556,0.747235232,0.24019747,0.954671866,0.928300472,0.929129852,0.862364438,0.862709843,309,309,309,467,467,467,467,478,2.35e-20,0.993792646,5.19e-60,1.6e-28,2.25e-24,2.5e-24,1.87e-7,3.74e-11,0,NA,0,0,0,0,0,0,97.71330108,3.56e-4,275.9249236,128.9280667,109.8990923,110.8304463,32.24048849,49.44278067,1,1,1,1,1,1,1,1,4.84e-23,0.984945471,5.8e-62,7.03e-30,1.03e-25,6.45e-26,1.36e-8,2.04e-12,5.02e-20,0.998615496,9.3e-60,2.58e-28,3.65e-24,3.98e-24,2.86e-7,5.83e-11
ATL3_ATTAAA_chr11_start_63629123_end_63629124,ATL3_ENSG00000184743.13,chr11,63629123,63629124,-,0.365959325,-5.93e-4,0.506440188,-0.29439461,-0.221744539,-0.298300235,-0.194233796,-0.304468157,0.253371119,0.253358111,0.253362343,0.339722744,0.293444067,0.369170383,0.331869358,0.441758314,0.619330444,0.252764768,0.75980253,0.045328134,0.071699528,0.070870148,0.137635562,0.137290157,76,76,76,79,79,79,79,122,2.35e-20,0.993792646,5.19e-60,1.6e-28,2.25e-24,2.5e-24,1.87e-7,3.74e-11,0,NA,0,0,0,0,0,0,97.71330108,3.56e-4,275.9249236,128.9280667,109.8990923,110.8304463,32.24048849,49.44278067,1,1,1,1,1,1,1,1,4.84e-23,0.984945471,5.8e-62,7.03e-30,1.03e-25,6.45e-26,1.36e-8,2.04e-12,5.02e-20,0.998615496,9.3e-60,2.58e-28,3.65e-24,3.98e-24,2.86e-7,5.83e-11
RRM2_AATAAA_chr2_start_10129797_end_10129798,RRM2_ENSG00000171848.16,chr2,10129797,10129798,+,0.322071212,0.032036684,0.30853684,-0.01988831,-0.093426955,0.008984449,-0.017256921,0.03105258,0.600130307,0.600112742,0.600159343,0.521825748,0.492008099,0.488484956,0.510756479,0.523170915,0.92220152,0.632149426,0.908696183,0.501937438,0.398581144,0.497469406,0.493499558,0.554223495,133,133,133,260,260,260,260,305,1.16e-12,0.494441728,1.03e-20,0.018720963,1.12e-5,6.06e-15,0.001131208,0.560733224,0,NA,0,1,0.102746299,1,1,NA,60.96310968,1.340574226,92.02417016,0.307047295,4.866518336,0.139661041,0.628637953,0.365886433,1,1,1,1,1,1,1,1,5.82e-15,0.246932728,8.56e-22,0.579497761,0.027382693,0.708618217,0.427855362,0.545255098,2.1e-12,0.531455932,1.53e-20,0.666224921,0.059837986,0.806154895,0.618547862,0.677272696
RRM2_AATAAA_chr2_start_10131412_end_10131413,RRM2_ENSG00000171848.16,chr2,10131412,10131413,+,-0.322071212,-0.032036684,-0.30853684,0.070310633,0.058115037,-0.118954452,-0.024927571,-0.005983574,0.399869693,0.399887258,0.399840657,0.336745554,0.347398889,0.366653673,0.367437755,0.402879288,0.07779848,0.367850574,0.091303817,0.407056188,0.405513926,0.247699221,0.342510184,0.396895715,168,168,168,777,777,777,777,687,1.16e-12,0.494441728,1.03e-20,0.018720963,1.12e-5,6.06e-15,0.001131208,0.560733224,0,NA,0,0.14355709,0.29319265,2.02e-5,1,NA,60.96310968,1.340574226,92.02417016,4.021910321,2.00989365,20.99602916,1.398627417,0.017097367,1,1,1,1,1,1,1,1,5.82e-15,0.246932728,8.56e-22,0.044912814,0.156276273,4.6e-6,0.236953521,0.895967618,2.1e-12,0.531455932,1.53e-20,0.079540455,0.250394,3.5e-5,0.421590209,0.937829313
OGFRL1_AATAAA_chr6_start_71302267_end_71302268,OGFRL1_ENSG00000119900.9,chr6,71302267,71302268,+,0.275066064,-0.049313799,0.491575342,-0.263043675,-0.21556973,-0.21037787,-0.212384156,-0.235830497,0.371521853,0.372485443,0.373130388,0.451481661,0.417917981,0.445882622,0.484573878,0.412277357,0.646587917,0.323171645,0.86470573,0.188437986,0.202348251,0.235504753,0.272189722,0.17644686,209,209,209,236,236,236,236,335,8.83e-11,5.76e-11,7.69e-119,1.48e-28,5.57e-15,1.58e-11,9.16e-16,5.33e-8,4.99e-13,0.910792524,1.29e-119,4.51e-27,2.47e-16,8.55e-9,1.37e-15,3.02e-7,58.37610446,3.316172706,543.7830602,119.212796,70.59490818,36.81991093,68.15239977,29.95215944,1,1,1,1,1,1,1,1,2.17e-14,0.06860136,2.83e-120,9.41e-28,4.39e-17,1.3e-9,1.51e-16,4.43e-8,7.19e-12,0.255596371,2.68e-117,3.03e-26,8.57e-16,1.76e-8,8.96e-15,6.27e-7
TLE5_AATAAA_chr19_start_3052909_end_3052910,TLE5_ENSG00000104964.15,chr19,3052909,3052910,-,-0.129888325,0.087393264,-0.209183195,0.097481986,0.044452329,0.003537054,0.008714124,0.149960122,0.274837524,0.27477996,0.274936658,0.184401183,0.20666606,0.190905439,0.165302748,0.210661282,0.144949199,0.362173224,0.065753463,0.281883169,0.251118389,0.194442493,0.174016873,0.360621404,1298,1298,1298,2067,2067,2067,2067,1959,1.88e-11,4.38e-5,3.15e-34,1.73e-7,0.001165624,0.834549408,0.633351319,3.28e-6,0,0,0,0,0,NA,NA,0,55.37728561,23.49615403,155.3509935,30.17403038,12.54002242,0.086615373,0.488350109,25.70239439,1,1,1,1,1,1,1,1,9.95e-14,1.25e-6,1.17e-35,3.95e-8,3.98e-4,0.76852493,0.484664207,3.98e-7,2.85e-11,5.93e-5,5.04e-34,2.44e-7,0.001508122,0.850607529,0.666523744,4.66e-6
TLE5_AATAAA_chr19_start_3053161_end_3053162,TLE5_ENSG00000104964.15,chr19,3053161,3053162,-,0.129888325,-0.087393264,0.209183195,-0.097481986,-0.044452329,-0.003537054,-0.008714124,-0.149960122,0.725162476,0.72522004,0.725063342,0.815598817,0.79333394,0.809094561,0.834697252,0.789338718,0.855050801,0.637826776,0.934246537,0.718116831,0.748881611,0.805557507,0.825983127,0.639378596,1838,1838,1838,3879,3879,3879,3879,3695,1.88e-11,4.38e-5,3.15e-34,1.73e-7,0.001165624,0.834549408,0.633351319,3.28e-6,0,0,0,0,0,NA,NA,0,55.37728561,23.49615403,155.3509935,30.17403038,12.54002242,0.086615373,0.488350109,25.70239439,1,1,1,1,1,1,1,1,9.95e-14,1.25e-6,1.17e-35,3.95e-8,3.98e-4,0.76852493,0.484664207,3.98e-7,2.85e-11,5.93e-5,5.04e-34,2.44e-7,0.001508122,0.850607529,0.666523744,4.66e-6
TIMP2_AATAAA_chr17_start_78855543_end_78855544,TIMP2_ENSG00000035862.13,chr17,78855543,78855544,-,0.192074258,-0.05661996,0.527089449,-0.138386418,-0.12656785,-0.081038583,-0.075871450000000007,-0.202366899,0.226583822,0.226411028,0.22644236,0.212872123,0.211307586,0.205430342,0.243535722,0.293280973,0.41865808,0.169791068,0.753531809,0.074485705,0.084739736,0.124391759,0.167664271,0.090914075,386,386,386,434,434,434,434,361,2.47e-9,0.116033808,1.47e-93,4.7e-17,1.12e-21,4.77e-9,5.48e-4,6.78e-21,1.95e-11,NA,2.47e-97,2.14e-19,2.54e-21,2.77e-7,4.75e-5,1.83e-23,49.0205958,7.451442579,439.1901184,83.39838915,92.49012722,29.26950307,19.97271191,102.6343717,1,1,1,1,1,1,1,1,2.53e-12,0.006338563,1.62e-97,6.71e-20,6.77e-22,6.3e-8,7.86e-6,4.03e-24,5.86e-10,0.052403358,9.2e-95,1.33e-18,1.87e-20,6.57e-7,9.13e-5,3.39e-22
