"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AIMP1","ENSG00000164022","PAS13116_AATAAA_0.2",0.00118834094319214,0.00124670609473059,14.1527407118024,1,0.000168551383202063,0.00202844594468175,0.108652519289339,0.240383333160201,0.131730813870862,"chr4",106349221,106349222,"+",0.17451792622477,2,"MIXED","distal pA","GP2D"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",0.000651567150763707,0,15.901424417526,1,6.67284779400551e-05,0.00094939968788777,0.159109666742412,0.363619886652392,0.204510219909979,"chr11",1012238,1012239,"+",0.261364776697402,2,"MIXED","distal pA","GP2D"
"ASB1","ENSG00000065802","PAS7198_AATAAA_0.05",0.000335981529428353,0,17.3815945696399,1,3.05772663843786e-05,0.000488976043132969,0.55357518686462,0.823718556159559,0.270143369294939,"chr2",238452248,238452249,"+",0.68864687151209,2,"MIXED","distal pA","GP2D"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",2.24726196214005e-13,0,62.9510053560043,1,2.11912860464961e-15,4.03263551187932e-13,0.408294363434581,0.709429640028785,0.301135276594205,"chr2",241673853,241673854,"+",0.558862001731683,2,"MIXED","distal pA","GP2D"
"ATP2A2","ENSG00000174437","PAS33247_AATAAA_0.2",1.01871565118888e-05,5.68430214577805e-07,27.5422432766118,1,1.53700538283867e-07,4.9390998832697e-06,0.131540823404191,0.261045292308916,0.129504468904725,"chr12",110351089,110351090,"+",0.196293057856554,2,"MIXED","distal pA","GP2D"
"AVL9","ENSG00000105778","PAS20272_AATAAA_0.3",0.0135905914061069,0.02661573777472,7.22319364692203,1,0.0071967554114539,0.0394461224824919,0.145217631678608,0.30377492908266,0.158557297404052,"chr7",32586163,32586164,"+",0.224496280380634,2,"MIXED","distal pA","GP2D"
"CCAR2","ENSG00000158941","PAS22652_AATAAA_0.25",0.0312436505706248,0,7.16497555745195,1,0.00743407036603588,0.0405098626344351,0.7603769134086,0.878361179366316,0.117984265957717,"chr8",22620467,22620468,"+",0.819369046387458,2,"MIXED","distal pA","GP2D"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",1.54968691801066e-08,0,39.1412871380726,1,3.94218601950813e-10,2.43715144830404e-08,0.674591617787156,0.869144509451355,0.194552891664198,"chrX",47229992,47229993,"+",0.771868063619256,2,"MIXED","distal pA","GP2D"
"CEP350","ENSG00000135837","PAS1918_AATAAA_0.2",0.000714098274769281,0,15.6959000022271,1,7.4385236955196e-05,0.00103891949641896,0.566942098654959,0.831322804467974,0.264380705813015,"chr1",180114872,180114873,"+",0.699132451561467,2,"MIXED","distal pA","GP2D"
"CEP43","ENSG00000213066","PAS18532_AATAAA_0.1",0.00136648837239556,8.784289364741e-05,17.8619534760262,1,2.37522561112405e-05,0.000397248242400026,0.195416623831236,0.489750280523513,0.294333656692277,"chr6",167042407,167042408,"+",0.342583452177375,2,"MIXED","distal pA","GP2D"
