gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,2.9728490500136385e-14,1.1120451949664506e-7,29.32668895857114,1,6.114768274595371e-8,3.840758646322771e-7,0.7547765217395149,0.5004657766217373,-0.2543107451177776,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9998_ATTAAA_0.2,2.9728490500136385e-14,2.292627145995266e-15,63.97412677489774,1,1.260639747490741e-15,1.5496897187903973e-14,0.030808742343656843,0.293208782569291,0.2624000402256342,chr3,113809764,113809765,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,2.9728490500136385e-14,1,0.2731262255447291,1,0.6012423415896022,0.7035126719757661,0.21441473591682814,0.20632544080897164,-0.008089295107856498,chr3,113810425,113810426,+
QTRT2,ENSG00000151576.10,PAS10005_AATAAA_0.3,2.413187951598478e-5,0,20.169647637026173,1,7.086855463019082e-6,3.3738941220231834e-5,0.011706571567685224,0.09051524382646865,0.07880867225878344,chr3,114086044,114086045,+
QTRT2,ENSG00000151576.10,PAS10006_AATAAA_0.3,2.413187951598478e-5,0,20.169647637026173,1,7.086855463019082e-6,3.3738941220231834e-5,0.9882934284323147,0.9094847561735313,-0.07880867225878341,chr3,114088343,114088344,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,0.35913156537703905,NA,0.13962465165604954,1,0.7086544447685563,0.7899148948760453,0.009731133275758285,0.008254239778424726,-0.0014768934973335597,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,0.35913156537703905,NA,0.2750425765188993,1,0.5999690522945202,0.7024752795310741,0.17311759485152442,0.16456447151441553,-0.008553123337108892,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,0.35913156537703905,NA,0.6942135174031137,1,0.4047348942239994,0.5267574603825294,0.2909397988895077,0.27461254334166973,-0.016327255547837982,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,0.35913156537703905,NA,3.5038489002763527,1,0.061226379869484406,0.11677562513895291,0.47091463165080816,0.512185537755492,0.04127090610468387,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,0.35913156537703905,NA,2.639715053162945,1,0.10422223549047738,0.181232082958596,0.055296841332401425,0.04038320760999792,-0.014913633722403508,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.029118172778671462,0,5.921686378886534,1,0.014955637380484953,0.0350491046142414,0.5931613955099859,0.7003112182474288,0.10714982273744289,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.029118172778671462,0,5.921686378886534,1,0.014955637380484953,0.0350491046142414,0.4068386044900141,0.2996887817525712,-0.10714982273744289,chr3,119494704,119494705,+
FAM162A,ENSG00000114023.16,PAS10048_AATAAA_0.2,0.020433590030037103,0,6.621302822197322,1,0.010076609623659501,0.02489678368963221,0.9845812041166667,0.9930703384882699,0.008489134371603146,chr3,122409996,122409997,+
FAM162A,ENSG00000114023.16,PAS10049_AATAAA_0.15,0.020433590030037103,0,6.621302822197322,1,0.010076609623659501,0.02489678368963221,0.01541879588333328,0.006929661511730134,-0.008489134371603146,chr3,122412332,122412333,+
PARP14,ENSG00000173193.15,PAS10063_ATTAAA_0.2,0.845352063076917,NA,0.08011456939948403,1,0.7771422099431252,0.8431661293737901,0.024748430095845573,0.030122832986237368,0.005374402890391795,chr3,122729866,122729867,+
PARP14,ENSG00000173193.15,PAS10064_AATAAA_0.35,0.845352063076917,NA,0.08011456939948403,1,0.7771422099431252,0.8431661293737901,0.9752515699041545,0.9698771670137626,-0.005374402890391927,chr3,122730838,122730839,+
UMPS,ENSG00000114491.14,PAS10079_APA_0.2,0.03945764082524238,0.10118935343784004,3.6627813953391524,1,0.05564067458132305,0.10756877724697453,0.8641068673281662,0.766872561628467,-0.09723430569969926,chr3,124744291,124744292,+
UMPS,ENSG00000114491.14,PAS10080_AATAAA_0.2,0.03945764082524238,0.7805205415025831,0.6250349460158304,1,0.4291823989216538,0.5509122009023858,0.05594944356660047,0.03311153037663624,-0.022837913189964226,chr3,124745186,124745187,+
UMPS,ENSG00000114491.14,PAS10081_APA_0.25,0.03945764082524238,0.011873411380724078,7.398233547948735,1,0.00652879573156751,0.017086725891882103,0.0799436891052333,0.20001590799489688,0.12007221888966357,chr3,124749269,124749270,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,0.06290872869611223,NA,4.412411460471958,1,0.03567837145790387,0.07376560474200101,0.41873114432804925,0.3244471897771843,-0.09428395455086497,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,0.06290872869611223,NA,4.412411460472413,1,0.03567837145789439,0.07376560474200101,0.5812688556719507,0.6755528102228157,0.09428395455086491,chr3,127037384,127037385,+
SEC61A1,ENSG00000058262.11,PAS10100_AATAAA_0.4,2.8314911535108087e-7,0.30709392461181395,1.8930280755885178,1,0.16886077976299824,0.2670938079262065,0.001481081832800304,0.0030310343071565855,0.0015499524743562815,chr3,128061371,128061372,+
SEC61A1,ENSG00000058262.11,PAS10101_APA_0.2,2.8314911535108087e-7,4.0068903386526815e-8,31.306632713705767,1,2.203256309498761e-8,1.4615692889156478e-7,0.01777755951008638,0.003970113025886567,-0.013807446484199813,chr3,128070800,128070801,+
SEC61A1,ENSG00000058262.11,PAS10102_AATAAA_0.15,2.8314911535108087e-7,1.9820692772126442e-5,19.347051044387626,1,1.0898742595363403e-5,5.07039913630287e-5,0.9807413586571133,0.992998852666957,0.012257494009843661,chr3,128071681,128071682,+
EEFSEC,ENSG00000132394.11,PAS10104_AATAAA_0.05,0.15291029668792594,NA,2.7406083586875525,1,0.09782751727484755,0.1719992353182854,0.8345226464267502,0.9528212508020703,0.11829860437532003,chr3,128408644,128408645,+
EEFSEC,ENSG00000132394.11,PAS10105_ATTAAA_0.3,0.15291029668792594,NA,2.7406083586875525,1,0.09782751727484755,0.1719992353182854,0.16547735357324977,0.04717874919792986,-0.11829860437531992,chr3,128409316,128409317,+
RAB7A,ENSG00000075785.14,PAS10114_ATTAAA_0.25,4.0229767549531095e-39,1.9788437522343685e-28,123.49225686212958,1,1.088100650163686e-28,2.792377154220065e-27,0.27865348647057026,0.09137525020238564,-0.18727823626818463,chr3,128814095,128814096,+
