"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AIMP1","ENSG00000164022","PAS13116_AATAAA_0.2",0.00765902528732443,0.0295298539746008,8.69440494543824,1,0.00319188303491896,0.0259967544309622,0.0836596173359534,0.18576971034,0.102110093004046,"chr4",106349221,106349222,"+",0.134714663837977,2,"MIXED","distal pA","H838"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",0.0206160128992573,0,8.5427925938302,1,0.00346893018474242,0.0276842859536687,0.123225503831204,0.238958239332929,0.115732735501725,"chr11",1012238,1012239,"+",0.181091871582067,2,"MIXED","distal pA","H838"
"APH1B","ENSG00000138613","PAS38652_AATAAA_0.1",0.0206422023026934,0,8.53807250917873,1,0.00347793736145223,0.0277191607707743,0.522710865169662,0.724293343842799,0.201582478673137,"chr15",63309117,63309118,"+",0.62350210450623,2,"MIXED","distal pA","H838"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",0.00205333331680752,0,13.7762029392425,1,0.000205928235472116,0.00295188495811649,0.46493366194371,0.68627208718864,0.22133842524493,"chr2",241673853,241673854,"+",0.575602874566175,2,"MIXED","distal pA","H838"
"C5orf24","ENSG00000181904","PAS15417_AATAAA_0.2",0.0478061634304945,0,6.6103947827728,1,0.0101385182835237,0.0616801199029,0.576396996118268,0.473756238627607,-0.102640757490661,"chr5",134859733,134859734,"+",0.525076617372937,2,"MIXED","distal pA","H838"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",3.47373865609029e-07,0,33.1012566421623,1,8.7482163614405e-09,5.59277682358925e-07,0.607530899230801,0.856128231318586,0.248597332087785,"chrX",47229992,47229993,"+",0.731829565274693,2,"MIXED","distal pA","H838"
"CEP350","ENSG00000135837","PAS1918_AATAAA_0.2",3.11150387909992e-07,0,33.3501269601261,1,7.69727948696436e-09,5.02846864845131e-07,0.580963497307623,0.90204046436297,0.321076967055347,"chr1",180114872,180114873,"+",0.741501980835297,2,"MIXED","distal pA","H838"
"CEP43","ENSG00000213066","PAS18532_AATAAA_0.1",0.00549260236426897,0,11.6200311060677,1,0.000652453100101583,0.00738643637472957,0.529234745280045,0.853889570108091,0.324654824828046,"chr6",167042407,167042408,"+",0.691562157694068,2,"MIXED","distal pA","H838"
"CGRRF1","ENSG00000100532","PAS36636_AATAAA_0.4",0.00254726851870341,0,13.3073878326805,1,0.00026436240480516,0.00361448230398988,0.159752158380657,0.581906534022028,0.422154375641371,"chr14",54539282,54539283,"+",0.370829346201342,2,"MIXED","distal pA","H838"
"NCOA1","ENSG00000084676","PAS5283_AATAAA_0.25",0.0478061634304945,0,6.60774503425625,1,0.010153615723037,0.0616801199029,0.762491158627586,0.933441970292073,0.170950811664487,"chr2",24770524,24770525,"+",0.847966564459829,2,"MIXED","distal pA","H838"
