"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABCC3","ENSG00000108846","PAS43065_AATAAA_0.3",1.85026270384579e-16,0.00145097850872981,12.9941353583247,1,0.000312468105205674,0.00219299261641299,0.618057113299843,0.782444496742413,0.16438738344257,"chr17",50691700,50691701,"+",0.700250805021128,3,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ACTN4","ENSG00000130402","PAS46782_AATAAA_0.2",0.00139996914400234,0,13.3054613568384,1,0.000264634167334843,0.0018954195805999,0.354152154314591,0.240277530014768,-0.113874624299823,"chr19",38730529,38730530,"+",0.29721484216468,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ANKRD13D","ENSG00000172932","PAS30130_AATAAA_0.1",3.11233064578416e-05,0,21.482256986008,1,3.57117710670549e-06,4.64980186630997e-05,0.636116960715415,0.435240361740827,-0.200876598974588,"chr11",67302482,67302483,"+",0.535678661228121,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"AP2A1","ENSG00000196961","PAS47137_AATAAA_0.2",0.0104769426541171,0,8.87234607184155,1,0.00289522826716058,0.0137816697084443,0.853886131591735,0.635333676456354,-0.218552455135381,"chr19",49807109,49807110,"+",0.744609904024044,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"AP5M1","ENSG00000053770","PAS36691_ATTAAA_0.25",0.0262084547460882,0.00593584316131139,9.29347483388676,1,0.00229971523621093,0.0114389465725098,0.585688272492791,0.779566943708918,0.193878671216127,"chr14",57290066,57290067,"+",0.682627608100855,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ARHGEF10","ENSG00000104728","PAS22505_AATAAA_0.2",0.004787321726416,0,10.6008529064806,1,0.00113035504991719,0.00640274932310379,0.522987900892552,0.153986816094339,-0.369001084798213,"chr8",1958639,1958640,"+",0.338487358493446,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ARMC9","ENSG00000135931","PAS7083_AATAAA_0.05",0.00318003829194216,0,11.5048269350441,1,0.000694156930012517,0.00430946400455452,0.0760640665603515,0.500570131765119,0.424506065204767,"chr2",231372694,231372695,"+",0.288317099162735,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ARRDC1","ENSG00000197070","PAS25765_AATAAA_0.1",2.6351818100106e-11,0,51.2794583491086,1,8.01095270243223e-13,4.9045779577125e-11,0.926194252222614,0.686546311794106,-0.239647940428507,"chr9",137615358,137615359,"+",0.80637028200836,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ATXN7","ENSG00000163635","PAS9772_AATAAA_0.25",4.10280036126766e-08,1.71570989394109e-05,20.292185943106,1,6.64715033195461e-06,8.02819520679932e-05,0.331039911646211,0.0656339808396338,-0.265405930806577,"chr3",64003560,64003561,"+",0.198336946242923,3,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"BFAR","ENSG00000103429","PAS40284_AATAAA_0.4",3.27968009798169e-07,2.68742957131259e-07,29.6385455522627,1,5.20593499814267e-08,1.14133927292614e-06,0.605757748494646,0.813422116869676,0.20766436837503,"chr16",14668888,14668889,"+",0.709589932682161,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"BRD2","ENSG00000204256","PAS17651_AATAAA_0.3",9.73239937581446e-08,2.02958128724004e-09,37.7937876383148,1,7.8631777871357e-10,2.62333844434585e-08,0.35497661368104,0.169304628419564,-0.185671985261476,"chr6",32981307,32981308,"+",0.262140621050302,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"BUB3","ENSG00000154473","PAS27957_AATAAA_0.25",4.28384594504045e-06,0.0188132654263369,7.20038443059184,1,0.00728879654803224,0.028928982161328,0.609936585857988,0.495194426138071,-0.114742159719917,"chr10",123165362,123165363,"+",0.55256550599803,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CAMTA1","ENSG00000171735","PAS116_ATTAAA_0.1",3.15580587696013e-13,1.3603340811499e-14,61.1568816497997,1,5.27032289725506e-15,5.18473645704322e-13,0.00794325014494723,0.284195339202468,0.276252089057521,"chr1",7769704,7769705,"+",0.146069294673708,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CBX3","ENSG00000122565","PAS20194_AATAAA_0.25",7.10062697963115e-11,3.08844134350248e-06,24.9177984428916,1,5.98275208827053e-07,9.60411109288616e-06,0.600462366692121,0.373050138093034,-0.227412228599087,"chr7",26213353,26213354,"+",0.486756252392578,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CCDC18","ENSG00000122483","PAS1144_AATAAA_0.3",0.003580035709802,0,11.2386600582989,1,0.000801109705119123,0.00486327674362928,0.529746971505899,0.174334292310342,-0.355412679195557,"chr1",93264942,93264943,"+",0.352040631908121,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CDK12","ENSG00000167258","PAS42735_AATAAA_0.4",4.41552196782199e-05,8.53151683204565e-06,23.7415428905915,1,1.10178445945275e-06,1.681901741154e-05,0.340901201941061,0.620261857447847,0.279360655506786,"chr17",39533056,39533057,"+",0.480581529694454,2,"ALE","distal pA","HUB_N_DMSO_vs_T_DMSO"
