"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AASDHPPT","ENSG00000149313","PAS30468_AATAAA_0.3",0.869275400856345,NA,0.299282045605651,1,0.58433286410288,0.897486931331613,0.422328708922942,0.402843048629395,-0.0194856602935474,"chr11",106098692,106098693,"+",0.412585878776168,0,"TUTR","distal pA"
"ABCB8","ENSG00000197150","PAS21132_AATAAA_0.2",0.948140139008001,NA,0.0765138919895207,1,0.78207847497752,0.957058379489446,0.215530818772825,0.197306777046545,-0.0182240417262803,"chr7",151047779,151047780,"+",0.206418797909685,0,"TUTR","distal pA"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.889814609650374,NA,0.225263251296383,1,0.635058519062815,0.915116516950939,0.142292265476848,0.122756625362462,-0.0195356401143864,"chr4",145129520,145129521,"+",0.132524445419655,0,"TUTR","distal pA"
"ABHD13","ENSG00000139826","PAS35732_AATAAA_0.35",0.947323073301936,NA,0.0199330878012915,1,0.887724121354062,0.986919876925565,0.701602436435191,0.693914734005256,-0.00768770242993422,"chr13",108230907,108230908,"+",0.697758585220223,0,"TUTR","distal pA"
"ABHD17C","ENSG00000136379","PAS38908_AATAAA_0.15",0.670270288790185,NA,1.20815542068169,1,0.271697744024853,0.71787195738826,0.943609920130215,0.892053793796108,-0.0515561263341071,"chr15",80755618,80755619,"+",0.917831856963162,0,"TUTR","distal pA"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.870744201002312,NA,0.337499252877024,1,0.56127626952409,0.889003873491728,0.316923285007848,0.333416081434231,0.0164927964263828,"chr15",89202353,89202354,"+",0.32516968322104,0,"TUTR","distal pA"
"ABHD5","ENSG00000011198","PAS9495_AATAAA_0.35",0.915178460583024,NA,0.553361995282899,1,0.456947229327656,0.84626741251264,0.521019075475899,0.587633142819621,0.0666140673437216,"chr3",43719869,43719870,"+",0.55432610914776,0,"TUTR","distal pA"
"ABI2","ENSG00000138443","PAS6853_AATAAA_0.2",0.899881495161917,NA,0.200003616666436,1,0.654717926765682,0.921631788430496,0.874500782747677,0.856489353434665,-0.0180114293130114,"chr2",203432167,203432168,"+",0.865495068091171,0,"TUTR","distal pA"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.840839354700808,NA,0.257097755926679,1,0.612121083147776,0.908591589418485,0.704695916830329,0.73179071838536,0.027094801555031,"chr10",124836666,124836667,"+",0.718243317607844,0,"TUTR","distal pA"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.94391658498375,NA,0.0793407767982899,1,0.778192764954729,0.95517229433006,0.809036753558039,0.792229830938029,-0.0168069226200103,"chr10",123058288,123058289,"+",0.800633292248034,0,"TUTR","distal pA"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",0.427799286704513,NA,2.91972658961095,1,0.0875026892446243,0.484498052047644,0.576293192740676,0.640641754701858,0.0643485619611817,"chr2",278279,278280,"+",0.608467473721267,0,"TUTR","distal pA"
"ACSL5","ENSG00000197142","PAS27843_AATAAA_0.1",0.946934112818846,NA,0.0677674142916658,1,0.794615595594809,0.959302684385357,0.698457444787207,0.686207673324478,-0.012249771462729,"chr10",112428374,112428375,"+",0.692332559055842,0,"TUTR","distal pA"
"ACTR2","ENSG00000138071","PAS5751_AATAAA_0.25",0.601289337918699,NA,-1.42784847412258e-05,1,1,1,0.692058182390538,0.692033370790987,-2.48115995512554e-05,"chr2",65271250,65271251,"+",0.692045776590762,0,"TUTR","distal pA"
"ACTR3","ENSG00000115091","PAS6208_AATAAA_0.2",0.884861424728569,NA,2.07849310916572,1,0.149387589468288,0.597064385978193,0.613527673261134,0.652066737891449,0.038539064630315,"chr2",113958254,113958255,"+",0.632797205576292,0,"TUTR","distal pA"
"ACVR2A","ENSG00000121989","PAS6369_AATAAA_0.25",0.930280204519731,NA,0.119380532258788,1,0.72970732570592,0.94628384703122,0.392527861622494,0.455429698048519,0.0629018364260243,"chr2",147930821,147930822,"+",0.423978779835507,0,"TUTR","distal pA"
"ADD3","ENSG00000148700","PAS27811_AATAAA_0.25",0.547657316452315,NA,2.01994524045858,1,0.155244739956944,0.604627996421415,0.518045476418295,0.453037015758,-0.0650084606602954,"chr10",110135563,110135564,"+",0.485541246088147,0,"TUTR","distal pA"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.987164194198056,NA,0.00903696144268906,1,0.92426483899277,0.992203318862226,0.759412674300236,0.762373791905933,0.0029611176056964,"chr12",1788670,1788671,"+",0.760893233103084,0,"TUTR","distal pA"
"ADK","ENSG00000156110","PAS27419_AATAAA_0.45",0.696410866745998,NA,0.580014884869115,1,0.446306486597952,0.837715873330885,0.120756454049584,0.15416592344287,0.033409469393286,"chr10",74709288,74709289,"+",0.137461188746227,0,"TUTR","distal pA"
"ADO","ENSG00000181915","PAS27252_AATAAA_0.25",0.93771348093336,NA,0.0935819256146715,1,0.759671930430495,0.951810568622567,0.362497469278298,0.34762607155441,-0.0148713977238879,"chr10",62808470,62808471,"+",0.355061770416354,0,"TUTR","distal pA"
"AGAP1","ENSG00000157985","PAS7152_ATTAAA_0.4",0.622324189483507,NA,1.50047676917166,1,0.22059801777102,0.677240491279392,0.390134272678132,0.333332565571953,-0.0568017071061794,"chr2",236125482,236125483,"+",0.361733419125043,0,"TUTR","distal pA"
"AGL","ENSG00000162688","PAS1196_AATAAA_0.15",0.999376277434416,NA,2.28232485994795e-05,1,0.996188226031082,1,0.594103156791049,0.593311629010189,-0.000791527780859447,"chr1",99924019,99924020,"+",0.593707392900619,0,"TUTR","distal pA"
"AGO1","ENSG00000092847","PAS619_APA_0.15",0.933127510629963,NA,0.727117915868689,1,0.393818982271662,0.810364872611147,0.344965854246333,0.410807375904429,0.0658415216580966,"chr1",35924295,35924296,"+",0.377886615075381,0,"TUTR","distal pA"
"AGPAT3","ENSG00000160216","PAS50312_ATTAAA_0.4",0.899282436946677,NA,0.409335610023845,1,0.522306916197532,0.875259224963615,0.194344030448144,0.208808274730337,0.0144642442821935,"chr21",43986533,43986534,"+",0.20157615258924,0,"TUTR","distal pA"
"AGPAT5","ENSG00000155189","PAS22526_AATAAA_0.2",0.345157451934436,NA,0.198531489514608,1,0.655908805511599,0.921920753648359,0.190890352949418,0.179558076331443,-0.0113322766179746,"chr8",6761448,6761449,"+",0.18522421464043,0,"TUTR","distal pA"
"AHCYL1","ENSG00000168710","PAS1309_ATTAAA_0.15",0.648165989597235,NA,1.37904778635675,1,0.240263410543087,0.69749306837264,0.160282563538073,0.138603477457324,-0.0216790860807491,"chr1",110023740,110023741,"+",0.149443020497698,0,"TUTR","distal pA"
"AKAP13","ENSG00000170776","PAS38954_AATAAA_0.05",0.928896637990507,NA,0.121373163252201,1,0.727549929063202,0.94531182748877,0.777928725389454,0.796309272298095,0.0183805469086409,"chr15",85749354,85749355,"+",0.787118998843774,0,"TUTR","distal pA"
"AKAP9","ENSG00000127914","PAS20636_ATTAAA_0.45",0.977933208850935,NA,0.626906811438857,1,0.428492190964532,0.829804268205707,0.199349403550077,0.22162700251405,0.0222775989639729,"chr7",92000940,92000941,"+",0.210488203032063,0,"TUTR","distal pA"
"AKIP1","ENSG00000166452","PAS29451_AATAAA_0.35",0.712084304210553,NA,0.969273404077285,1,0.324861456680842,0.762990115240622,0.680431400872602,0.728350456582075,0.0479190557094729,"chr11",8920076,8920077,"+",0.704390928727339,0,"TUTR","distal pA"
"AKIRIN1","ENSG00000174574","PAS666_AATAAA_0.1",0.753828106080502,NA,0.745154160706079,1,0.38801480248678,0.806836330904357,0.384900974703758,0.4233513465109,0.038450371807142,"chr1",39005884,39005885,"+",0.404126160607329,0,"TUTR","distal pA"
"ALCAM","ENSG00000170017","PAS9932_AATAAA_0.2",0.856765619980716,NA,0.350951475881175,1,0.553575016234078,0.886970364264685,0.608075380044164,0.573450306063319,-0.0346250739808452,"chr3",105576898,105576899,"+",0.590762843053741,0,"TUTR","distal pA"
"ALDH1B1","ENSG00000137124","PAS25005_AATAAA_0.25",0.916150375801924,NA,0.029670866012566,1,0.863239157376728,0.982126395485411,0.606381174398644,0.598806139225398,-0.00757503517324654,"chr9",38398657,38398658,"+",0.602593656812021,0,"TUTR","distal pA"
"ALDH5A1","ENSG00000112294","PAS17429_AATAAA_0.15",0.656045370895006,NA,1.30502681794633,1,0.253297054967829,0.705771338399419,0.693456817069962,0.639345090024009,-0.054111727045953,"chr6",24537205,24537206,"+",0.666400953546985,0,"TUTR","distal pA"
"ALG1","ENSG00000033011","PAS40210_APA_0.25",0.924277267219055,NA,0.0221250852246158,1,0.88175482426824,0.986919876925565,0.762911250194501,0.755270303738903,-0.00764094645559765,"chr16",5085391,5085392,"+",0.759090776966702,0,"TUTR","distal pA"
"ALG10B","ENSG00000175548","PAS32470_AATAAA_0.2",0.989320753813234,NA,0.00331857301426908,1,0.954061628350637,0.996756042739841,0.807974051490703,0.80209592253341,-0.00587812895729334,"chr12",38329719,38329720,"+",0.805034987012056,0,"TUTR","distal pA"
"AMD1","ENSG00000123505","PAS18194_AATAAA_0.2",0.119855753281938,NA,2.99077377956928,1,0.0837401455274422,0.4768108659537,0.765369399229514,0.708160769008738,-0.0572086302207753,"chr6",110895707,110895708,"+",0.736765084119126,0,"TUTR","distal pA"
"AMDHD2","ENSG00000162066","PAS40123_APA_0.25",0.8693936137896,NA,0.296425965607341,1,0.586131743584514,0.897841189361636,0.608277818369656,0.628807715508821,0.0205298971391651,"chr16",2531414,2531415,"+",0.618542766939238,0,"TUTR","distal pA"
"ANKRD33B","ENSG00000164236","PAS14609_AATAAA_0.3",0.665559509788673,NA,1.22723956834284,1,0.267944548723787,0.715383808346604,0.283323908010218,0.226885593192326,-0.0564383148178922,"chr5",10657814,10657815,"+",0.255104750601272,0,"TUTR","distal pA"
"ANXA4","ENSG00000196975","PAS5786_APA_0.25",0.947323073301936,NA,0.0598517593795123,1,0.806730394389311,0.961416091196836,0.443248413232253,0.466450028228506,0.0232016149962528,"chr2",69826360,69826361,"+",0.45484922073038,0,"TUTR","distal pA"
"AP2B1","ENSG00000006125","PAS42660_AATAAA_0.35",0.947323073301936,NA,0.0602231849100008,1,0.806143534822821,0.961416091196836,0.577756403382043,0.558870278552933,-0.0188861248291096,"chr17",35726408,35726409,"+",0.568313340967488,0,"TUTR","distal pA"
"APEX2","ENSG00000169188","PAS52009_AATAAA_0.05",0.821656402743219,NA,0.476699407499382,1,0.489921165347584,0.860083225296528,0.0847705965766031,0.117066312457151,0.0322957158805475,"chrX",55009056,55009057,"+",0.100918454516877,0,"TUTR","distal pA"
"APLP2","ENSG00000084234","PAS30723_AATAAA_0.2",0.862365844152946,NA,0.320494813026016,1,0.571310432105678,0.890632716569447,0.809893382759055,0.786017066482897,-0.0238763162761575,"chr11",130144803,130144804,"+",0.797955224620976,0,"TUTR","distal pA"
"APOBEC3C","ENSG00000244509","PAS51015_AATAAA_0.2",0.992174279077844,NA,0.00194674539488915,1,0.964807205978309,0.999508856600264,0.773863617138568,0.772710469822021,-0.00115314731654714,"chr22",39020350,39020351,"+",0.773287043480294,0,"TUTR","distal pA"
"APOL6","ENSG00000221963","PAS50945_AATAAA_0.25",0.990525649529792,NA,0.0784714453338893,1,0.779379647212769,0.95517229433006,0.302180635122958,0.320547218631461,0.0183665835085028,"chr22",35668405,35668406,"+",0.311363926877209,0,"TUTR","distal pA"
"ARFGEF3","ENSG00000112379","PAS18342_AATAAA_0.45",0.987164194198056,NA,0.0774837270212174,1,0.780736797539078,0.955959740521852,0.632547936216262,0.654314350485844,0.0217664142695825,"chr6",138344609,138344610,"+",0.643431143351053,0,"TUTR","distal pA"
"ARHGAP5","ENSG00000100852","PAS36487_AATAAA_0.3",0.987751470749311,NA,0.0410869543827062,1,0.839370170288741,0.97287410489756,0.253914073414443,0.273094688715408,0.0191806153009647,"chr14",32159722,32159723,"+",0.263504381064925,0,"TUTR","distal pA"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.780748301543275,NA,0.701067603512001,1,0.402425196375357,0.81413105248523,0.508035506088165,0.548582807673226,0.0405473015850615,"chr11",120489027,120489028,"+",0.528309156880695,0,"TUTR","distal pA"
"ARID1A","ENSG00000117713","PAS444_AATAAA_0.25",0.288803079404705,NA,4.31574045582965,1,0.037761333734704,0.343423769250089,0.13575517952135,0.178765262540895,0.0430100830195449,"chr1",26782101,26782102,"+",0.157260221031122,0,"TUTR","distal pA"
"ARIH1","ENSG00000166233","PAS38774_AATAAA_0.25",0.781308274498402,NA,0.766329340318407,1,0.381355001102539,0.800921823528994,0.458712538997925,0.49714577982414,0.0384332408262151,"chr15",72586553,72586554,"+",0.477929159411032,0,"TUTR","distal pA"
"ARIH2","ENSG00000177479","PAS9591_AATAAA_0.35",0.808753324043664,NA,0.000480822909594281,1,0.982505649009617,1,0.262420054149047,0.261622053754175,-0.000798000394872433,"chr3",48985535,48985536,"+",0.262021053951611,0,"TUTR","distal pA"
"ARL8B","ENSG00000134108","PAS9112_AATAAA_0.35",0.412302429115627,NA,3.06976266551101,1,0.0797611155429477,0.471742721850414,0.730255201024827,0.667189172716683,-0.0630660283081443,"chr3",5180908,5180909,"+",0.698722186870755,0,"TUTR","distal pA"
"ARMC10","ENSG00000170632","PAS20815_AATAAA_0.45",0.964429024182851,NA,0.0390558103135845,1,0.843338137463443,0.974278995929758,0.716605513511703,0.726939426340736,0.0103339128290331,"chr7",103099750,103099751,"+",0.721772469926219,0,"TUTR","distal pA"
"ARMCX3","ENSG00000102401","PAS52204_AATAAA_0.3",0.995081326207659,NA,0.000751056761146174,1,0.978136379474826,1,0.637002486290882,0.636048731954403,-0.000953754336479151,"chrX",101627841,101627842,"+",0.636525609122643,0,"TUTR","distal pA"
