gene_symbol,feature_id,chr,start,end,window_start,window_end,strand,padj_24hrs,change_in_usage_24hrs,padj_48hrs,change_in_usage_48hrs,padj_72hrs,change_in_usage_72hrs,padj_96hrs,change_in_usage_96hrs,padj_GP2D,change_in_usage_GP2D,padj_H838,change_in_usage_H838,padj_HCT116 p53 -/-,change_in_usage_HCT116 p53 -/-,padj_HCT116 p53 +/+,change_in_usage_HCT116 p53 +/+,padj_LU99,change_in_usage_LU99,padj_MCF7,change_in_usage_MCF7,padj_PANC0403,change_in_usage_PANC0403,padj_SKMEL2,change_in_usage_SKMEL2,padj_SUM149PT,change_in_usage_SUM149PT,padj_U2OS,change_in_usage_U2OS,padj_siCFIM25_DMSO,change_in_usage_siCFIM25_DMSO,padj_siCFIM25_DMAi,change_in_usage_siCFIM25_DMAi,pA_type
ENSG00000049246,PAS123_AATAAA_0.2,chr1,7845175,7845176,7844976,7845376,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050777081739446395,NA,NA,NA,NA,distal pA
ENSG00000142657,PAS171_ATTAAA_0.15,chr1,10420509,10420510,10420310,10420710,+,NA,0.041556815381458945,0,0.059809675855370226,0,0.10927956882028372,0,0.14222498412810858,NA,0.016806086474480342,NA,0.05753719552373904,0,0.07251620777955903,NA,0.003910768937083753,0,0.1264494531488406,0,0.053129257097445426,0,0.08394043224909342,NA,0.04571470126299748,NA,0.037390050919987816,NA,0.03315859305377544,NA,-0.014807736,NA,0.007439199,distal pA
ENSG00000053372,PAS289_APA_0.1,chr1,19260125,19260126,19259926,19260326,+,NA,-0.008287571265740756,NA,-0.03721082242636309,NA,-0.004620250298332795,NA,0.03451461895775787,NA,-0.04743587499591262,NA,-0.06753135762488727,0,-0.11981068855357936,NA,-0.0660644792049877,NA,0.026153710639187477,NA,0.013571405523351787,NA,-0.01827425558052964,NA,-0.02392477341651833,0,-0.05636541082294344,NA,-0.04494178605764243,NA,-0.049100445,0,-0.080082221,distal pA
ENSG00000169641,PAS2893_AATAAA_0.25,chr1,23084032,23084033,23083832,23084232,-,NA,-0.007243891542019598,NA,0.04927004503738508,NA,0.07995068039475092,NA,0.09897875262324302,NA,NA,NA,-0.012611937012835944,NA,-0.0010817773127988484,NA,0.0584253447357706,NA,-0.0035082622493501914,NA,0.14148818040285238,NA,0.06658579797569494,NA,0.014839920025422336,NA,-0.002525562630076139,NA,0.07070712730668535,NA,-0.101904553,NA,-0.059377754,distal pA
ENSG00000117713,PAS444_AATAAA_0.25,chr1,26782101,26782102,26781902,26782302,+,NA,0.05178726444680637,NA,-0.04097367202169222,NA,-0.001473398073860377,NA,0.007567380907543053,NA,-0.004812356513668181,NA,-0.020157591942342235,NA,-0.04944360584120566,NA,-0.044581709774380696,NA,-0.007751193998383532,0.934054601462348,0.03089378909212448,NA,0.011541044744150963,NA,-0.0423078942714783,NA,-0.018309022354183305,NA,-0.03096022702308765,NA,-0.026899507,NA,-0.018963757,distal pA
ENSG00000134644,PAS3044_APA_0.15,chr1,30931505,30931506,30931305,30931705,-,NA,0.003194768076643373,NA,-0.018480385358421225,NA,-0.004725845900508285,NA,-0.04439351855453105,NA,0.036317717521826165,NA,0.03214698504269181,0,-0.06668270505481211,NA,0.014348609047953651,NA,-0.02555313716276925,NA,-0.05842364270321501,NA,-0.01345647410260381,NA,-0.027778261890583578,NA,0.029950380328723353,NA,0.006057550317756677,NA,0.053085729,NA,-0.011159798,distal pA
ENSG00000025800,PAS547_AATAAA_0.15,chr1,32176562,32176563,32176363,32176763,+,NA,-0.021060983257071175,0.0776808681388624,-0.059652035178756946,NA,-0.028507189038842196,NA,-0.00417919296466851,1,-0.001232413692773049,NA,-0.033178644916185274,NA,-0.016594061740498045,0.20675459553199943,-0.0609902344823563,NA,0.028351868345649955,0.32581408708968707,-0.04806834592266085,1,0.04246479662909641,NA,-0.0210837144037479,1,0.0061274399251876055,NA,-0.03961495756776856,NA,0.022973559,0.009479746,-0.072374067,distal pA
ENSG00000183520,PAS661_AATAAA_0.2,chr1,38024823,38024824,38024624,38025024,+,0,-0.0902224782039096,NA,-0.05320560448998235,0,-0.14644528655966238,NA,-0.05839678728584563,NA,-0.027003136437059316,NA,-0.05321830923216509,NA,-0.0949172444850236,NA,-0.07986837102480171,NA,-0.023200399442850572,NA,-0.021524333919458297,NA,0.07904480367915323,NA,-0.08402281802815881,0,-0.0890650876588428,NA,-0.06285621819542553,NA,-0.034697978,NA,-0.038583846,distal pA
ENSG00000116954,PAS3199_AATAAA_0.25,chr1,38838201,38838202,38838001,38838401,-,NA,0.02499883072024428,4.2600069055173174e-4,-0.10992262249782306,0.03567476280163238,-0.0676009635340219,NA,-0.03622722357419961,NA,0.06705426458038333,NA,0.002276344804254954,NA,-0.07466698570419789,NA,-0.055317424400585485,NA,-0.056372265516562214,NA,0.007662262604568731,NA,0.0618857946097395,NA,-0.016226787636469175,NA,-0.027801095995145797,NA,-0.0392863724468871,NA,-0.004378218,NA,-0.034912679,distal pA
ENSG00000184588,PAS976_AATAAA_0.25,chr1,66374572,66374573,66374373,66374773,+,NA,NA,NA,NA,NA,NA,NA,0.28101194569944216,NA,NA,NA,NA,NA,-0.026892521958960858,NA,0.10014437697896328,NA,NA,NA,NA,NA,NA,NA,0.04554275310617495,NA,0.02311608845572899,NA,NA,NA,NA,NA,NA,distal pA
