"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AGK","ENSG00000006530","PAS21062_ATTAAA_0.25",0.954689773308786,NA,0.0101438408819376,1,0.91977540445635,0.954867403742454,0.188286552428979,0.196539649793127,0.00825309736414837,"chr7",141654262,141654263,"+",0.192413101111053,0,"MIXED","distal pA"
"AIMP1","ENSG00000164022","PAS13116_AATAAA_0.2",0.524462680742784,NA,0.228150161999338,1,0.632898860638716,0.761198107204976,0.111002813795439,0.0948633943825377,-0.0161394194129011,"chr4",106349221,106349222,"+",0.102933104088988,0,"MIXED","distal pA"
"ALDH16A1","ENSG00000161618","PAS47107_AATAAA_0.25",0.653538872085269,NA,0.383328604833878,1,0.535827184953111,0.681929555374868,0.380105643296781,0.351761942428755,-0.0283437008680262,"chr19",49471046,49471047,"+",0.365933792862768,0,"MIXED","distal pA"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",0.950840521411523,NA,0.0116326475092592,1,0.914110910412998,0.951787801799038,0.134655444845962,0.141079356718235,0.00642391187227276,"chr11",1012238,1012239,"+",0.137867400782099,0,"MIXED","distal pA"
"ARFGEF2","ENSG00000124198","PAS49180_AATAAA_0.2",1,NA,1.49894065089029e-05,1,0.996910905491779,1,0.812254278765654,0.812582152116378,0.000327873350723373,"chr20",49036691,49036692,"+",0.812418215441016,0,"MIXED","distal pA"
"ARL6IP4","ENSG00000182196","PAS33521_ATTAAA_0",0.0241661711249225,0,7.05500489938368,1,0.00790440934394606,0.0307364025502768,0.935835000072762,0.877696939115786,-0.0581380609569754,"chr12",122982908,122982909,"+",0.906765969594274,0,"MIXED","distal pA"
"CCAR1","ENSG00000060339","PAS27299_APA_0.3",6.79482017302331e-11,0.298804858000074,4.27889121579392,1,0.0385885130902952,0.105399569451661,0.52281495388233,0.577151281879336,0.054336327997006,"chr10",68771444,68771445,"+",0.549983117880833,0,"MIXED","distal pA"
"CDC42SE2","ENSG00000158985","PAS15351_AATAAA_0.1",0.556482815881715,NA,0.624752355516875,1,0.429286743680138,0.590262862233768,0.856253630481676,0.80998445106659,-0.0462691794150858,"chr5",131394664,131394665,"+",0.833119040774133,0,"MIXED","distal pA"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",0.422622939934102,NA,1.08785503636591,1,0.296946952538033,0.459513232552038,0.650764923702866,0.685972826340517,0.0352079026376511,"chrX",47229992,47229993,"+",0.668368875021691,0,"MIXED","distal pA"
"CEP350","ENSG00000135837","PAS1918_AATAAA_0.2",0.554186023328235,NA,0.631292597303627,1,0.426881576826716,0.588361507517123,0.619689867560847,0.552485342585419,-0.067204524975428,"chr1",180114872,180114873,"+",0.586087605073133,0,"MIXED","distal pA"
"CTNNB1","ENSG00000168036","PAS9464_ATTAAA_0.1",0.0111058173285304,0,8.75095596402753,1,0.00309439801679511,0.014533176793078,0.868857069918256,0.937276075732214,0.0684190058139581,"chr3",41240441,41240442,"+",0.903066572825235,0,"MIXED","distal pA"
"CTNND1","ENSG00000198561","PAS29864_ATTAAA_0.1",0.770928989823099,NA,0.738241199605,1,0.390224867716079,0.554504719433588,0.378298511494382,0.416076812262631,0.0377783007682488,"chr11",57819178,57819179,"+",0.397187661878507,0,"MIXED","distal pA"
"DARS2","ENSG00000117593","PAS1863_AATAAA_0.45",0.862021523005175,NA,0.0734624033843261,1,0.786360662471692,0.873396818011114,0.704195188653897,0.677280099762256,-0.0269150888916407,"chr1",173858419,173858420,"+",0.690737644208077,0,"MIXED","distal pA"
"DAZAP1","ENSG00000071626","PAS46037_AATAAA_0.2",0.753218374269369,NA,0.203266708240335,1,0.652096874060041,0.775973095238578,0.673089601805431,0.653641394959398,-0.0194482068460331,"chr19",1435680,1435681,"+",0.663365498382414,0,"MIXED","distal pA"
"DCAF7","ENSG00000136485","PAS43228_AATAAA_0.3",0.638138299778778,NA,0.415597999904094,1,0.519141769785051,0.668339144863698,0.882797395662282,0.859591499074804,-0.0232058965874783,"chr17",63594264,63594265,"+",0.871194447368543,0,"MIXED","distal pA"
"DHDDS","ENSG00000117682","PAS437_APA_0.3",0.946948109619155,NA,0.0135480530231575,1,0.9073386229768,0.947575539455535,0.717594131096885,0.705616776275504,-0.0119773548213812,"chr1",26471292,26471293,"+",0.711605453686194,0,"MIXED","distal pA"
"DUSP22","ENSG00000112679","PAS17247_AATAAA_0.2",0.878430506756244,NA,0.0571767188085914,1,0.81101521812638,0.88922051082184,0.905956306323248,0.917349212876088,0.0113929065528403,"chr6",351352,351353,"+",0.911652759599668,0,"MIXED","distal pA"
"EPHB2","ENSG00000133216","PAS338_AATAAA_0.2",1,NA,4.18196131590776e-05,1,0.99484026924253,1,0.400200067329506,0.399414127516808,-0.000785939812698033,"chr1",22915322,22915323,"+",0.399807097423157,0,"MIXED","distal pA"
"FOSL2","ENSG00000075426","PAS5383_AATAAA_0.2",0.484753662255726,NA,0.0934129703084636,1,0.759882298275224,0.854467228051244,0.427262967569487,0.406358851187866,-0.0209041163816215,"chr2",28417309,28417310,"+",0.416810909378677,0,"MIXED","distal pA"
"GPC1","ENSG00000063660","PAS7209_AATAAA_0.2",0.428247262441755,NA,1.06660155454983,1,0.301714337759611,0.465178072795533,0.915293168390738,0.88990787331545,-0.0253852950752875,"chr2",240468074,240468075,"+",0.902600520853094,0,"MIXED","distal pA"
"HADH","ENSG00000138796","PAS13130_APA_0.15",0.374438387819403,NA,1.31474683206193,1,0.251537010697423,0.409521625779882,0.45229010069269,0.509491365678323,0.0572012649856328,"chr4",108035168,108035169,"+",0.480890733185507,0,"MIXED","distal pA"
"LMNA","ENSG00000160789","PAS1668_APA_0.05",0.248321503266006,NA,0.461414050128951,1,0.496963855485908,0.648605734963465,0.319989724464293,0.350148425104039,0.0301587006397459,"chr1",156140079,156140080,"+",0.335069074784166,0,"MIXED","distal pA"
"LSM8","ENSG00000128534","PAS20912_ATTAAA_0.45",1.3533328505513e-07,0.623762841039498,2.40650622066823,1,0.12083177320708,0.242887479848671,0.74068088329291,0.683906753664905,-0.0567741296280047,"chr7",118192154,118192155,"+",0.712293818478908,1,"MIXED","distal pA"
"MED17","ENSG00000042429","PAS30400_AATAAA_0.2",0.78091987160377,NA,0.16349380502038,1,0.685960015216752,0.801726215997646,0.146247893865218,0.121320952792515,-0.0249269410727032,"chr11",93813287,93813288,"+",0.133784423328866,0,"MIXED","distal pA"
"MRPL42","ENSG00000198015","PAS33067_APA_0.15",0.464322518795061,NA,0.717310087733836,1,0.397027669060808,0.561426620141906,0.519476487769801,0.45341180853645,-0.0660646792333506,"chr12",93502654,93502655,"+",0.486444148153126,0,"MIXED","distal pA"
"MXD1","ENSG00000059728","PAS5798_AATAAA_0.2",0.942623268334451,NA,0.0155979640843498,1,0.900609202660115,0.943565621938642,0.485555058058761,0.497803366186551,0.01224830812779,"chr2",69942941,69942942,"+",0.491679212122656,0,"MIXED","distal pA"
"NCAPH2","ENSG00000025770","PAS51222_AATAAA_0.35",0.283601562857202,NA,2.25525620281587,1,0.133161415510933,0.260761204359849,0.102903783705736,0.06891106418152,-0.0339927195242158,"chr22",50524772,50524773,"+",0.0859074239436279,0,"MIXED","distal pA"
"NCLN","ENSG00000125912","PAS46090_AATAAA_0.1",0.357351334552272,NA,1.39910855487597,1,0.236872884617582,0.392854020453656,0.802435372167529,0.746868314560666,-0.0555670576068633,"chr19",3209570,3209571,"+",0.774651843364098,0,"MIXED","distal pA"
"NCOA1","ENSG00000084676","PAS5283_AATAAA_0.25",0.695053648959634,NA,0.295771010320152,1,0.586545845019157,0.723052658902314,0.660556981565682,0.590004516518786,-0.070552465046896,"chr2",24770524,24770525,"+",0.625280749042234,0,"MIXED","distal pA"
"NFYC","ENSG00000066136","PAS705_AATAAA_0.2",0.724142058790046,NA,0.246329882294731,1,0.619671258845035,0.750177978642803,0.525309123210392,0.565026461777073,0.0397173385666815,"chr1",40771600,40771601,"+",0.545167792493732,0,"MIXED","distal pA"
"NOL12","ENSG00000273899","PAS50964_ATTAAA_0.1",0.865793196594384,NA,0.068884706680933,1,0.79296762028656,0.876721745892835,0.809188118065616,0.826624705698657,0.0174365876330409,"chr22",37693470,37693471,"+",0.817906411882136,0,"MIXED","distal pA"
"PGPEP1","ENSG00000130517","PAS46473_AATAAA_0.15",0.858927184231411,NA,0.0761700918390034,1,0.782556287163311,0.870599542361098,0.748688749313149,0.766517191899252,0.0178284425861034,"chr19",18369948,18369949,"+",0.7576029706062,0,"MIXED","distal pA"
"RPL15","ENSG00000174748","PAS9310_AATAAA_0.4",0.000219370573279699,0,17.3536404972292,1,3.10303295721724e-05,0.000312748768279951,0.213569217353213,0.143843935592073,-0.0697252817611402,"chr3",23920838,23920839,"+",0.178706576472643,0,"MIXED","distal pA"
"RPL37A","ENSG00000197756","PAS6946_AATAAA_0.2",8.11282132763963e-08,0.000140852426588168,18.3699859860935,1,1.81900848051006e-05,0.000194579810508093,0.559555562722795,0.602232679564526,0.0426771168417308,"chr2",216501462,216501463,"+",0.580894121143661,0,"MIXED","distal pA"
"SCP2","ENSG00000116171","PAS874_ATTAAA_0.05",0.969992256798925,NA,0.00504296291524042,1,0.943386754898155,0.968460716096839,0.917411350647548,0.915036101086069,-0.00237524956147883,"chr1",53051609,53051610,"+",0.916223725866809,0,"MIXED","distal pA"
