"gene_name","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","internal_to_UTR_shift","is_significant","pA_type","condition"
"ADARB1","PAS50348_AATAAA_0.15",3.0034431374348e-39,6.27372260421594e-15,66.6078628864298,1,3.3126214041726e-16,2.3616706045265e-14,0.734025445662204,0.389278575972,-0.344746869690204,"chr21",45226558,45226559,"+",0.561652010817102,2,"iAPA",-0.529981157140805,TRUE,"distal pA","SDMAi_ADMAi"
"ATRNL1","PAS27894_APA_0.1",5.73331610208222e-06,0,24.5927132268164,1,7.08190218903567e-07,1.02390438991851e-05,0.65028295648003,0.967217480450742,0.316934523970712,"chr10",115728145,115728146,"+",0.808750218465386,2,"iAPA",-0.633869047941425,TRUE,"distal pA","SDMAi_ADMAi"
"BACH1","PAS50164_AATAAA_0.25",0.00247839915895574,0.0109961979533146,9.27544369578686,1,0.00232246422117486,0.0116123211058743,0.471106681237644,0.662369096479458,0.191262415241813,"chr21",29345987,29345988,"+",0.566737888858551,2,"iAPA",0.294218006284906,TRUE,"distal pA","SDMAi_ADMAi"
"BIRC2","PAS30463_AATAAA_0.3",0.00250150530673159,0,11.7155444363764,1,0.000619801751458844,0.00386703921883413,0.823702666830843,0.957562613706061,0.133859946875217,"chr11",102378668,102378669,"+",0.890632640268452,2,"iAPA",0.267719893750435,TRUE,"distal pA","SDMAi_ADMAi"
"BLM","PAS39014_AATAAA_0.1",1.53776898906576e-05,0.00103671821623523,12.363016998081,1,0.000437922448262362,0.00286860882940969,0.571493644680548,0.273510449579718,-0.29798319510083,"chr15",90815460,90815461,"+",0.422502047130133,2,"iAPA",-0.699480967360716,TRUE,"distal pA","SDMAi_ADMAi"
"C3orf38","PAS9841_AATAAA_0.3",0.00130513457592857,0.00856053611999748,10.482112759966,1,0.00120535836945207,0.0067696527778395,0.0721679550306872,0.192590561553137,0.12042260652245,"chr3",88166465,88166466,"+",0.132379258291912,2,"iAPA",-0.279469336424509,TRUE,"distal pA","SDMAi_ADMAi"
"CDC5L","PAS17871_AATAAA_0.2",0.037382383317073,0.00934763235867082,9.57329882050726,1,0.00197427709085261,0.0101348674992869,0.374241939068473,0.49066888264841,0.116426943579936,"chr6",44447041,44447042,"+",0.432455410858442,2,"iAPA",0.217685199936831,TRUE,"distal pA","SDMAi_ADMAi"
"CENPA","PAS5331_AATAAA_0.35",4.64838195088229e-13,2.62298714123027e-05,21.4177959153716,1,3.69327278026601e-06,4.40741210574313e-05,0.605844373329686,0.260302799194828,-0.345541574134857,"chr2",26794584,26794585,"+",0.433073586262257,2,"iAPA",-0.6705067914115,TRUE,"distal pA","SDMAi_ADMAi"
"CEP55","PAS27603_AATAAA_0.25",0.00179875829832441,0,12.4227938428269,1,0.000424125267448666,0.00279260824984131,0.97597488003093,0.864618481727552,-0.111356398303377,"chr10",93529089,93529090,"+",0.920296680879241,2,"iAPA",-0.222712796606755,TRUE,"distal pA","SDMAi_ADMAi"
"CEP97","PAS9913_AATAAA_0.15",0.0206452398827933,0.0139739113665146,7.57975355230519,1,0.00590275099018498,0.0247858597049148,0.538514614674217,0.799136450870989,0.260621836196772,"chr3",101770560,101770561,"+",0.668825532772603,2,"iAPA",0.492157580799271,TRUE,"distal pA","SDMAi_ADMAi"
"CERS6","PAS6492_AATAAA_0.2",1.62715831303325e-12,0.000598788116877935,15.4590599756775,1,8.43118068880338e-05,0.000691724844210356,0.466279128831599,0.260299832298317,-0.205979296533282,"chr2",168775127,168775128,"+",0.363289480564958,2,"iAPA",-0.604285333933178,TRUE,"distal pA","SDMAi_ADMAi"
"CLCN3","PAS13392_AATAAA_0.45",0.00108814467462487,0.0269660890962157,7.6442355088526,1,0.00569540284531679,0.0240556596173493,0.359574515606474,0.191356236305122,-0.168218279301352,"chr4",169720984,169720985,"+",0.275465375955798,2,"iAPA",-0.311706280685232,TRUE,"distal pA","SDMAi_ADMAi"
"CMC1","PAS9340_AATAAA_0.3",0.00413331607045229,0,10.6510873857603,1,0.00110006210861787,0.00626119314402601,0.915135917094534,0.795592462293322,-0.119543454801212,"chr3",28319769,28319770,"+",0.855364189693928,2,"iAPA",-0.239086909602424,TRUE,"distal pA","SDMAi_ADMAi"
"CNPY3","PAS17805_APA_0.15",4.93262896903747e-06,0,24.9257009981584,1,5.95827839810966e-07,8.81484120793684e-06,0.964296574233164,0.843368013769948,-0.120928560463216,"chr6",42939261,42939262,"+",0.903832294001556,2,"iAPA",-0.241857120926431,TRUE,"distal pA","SDMAi_ADMAi"
"DLEU1","PAS35542_AATAAA_0.45",0.00292058291195046,0.000520639727460468,13.6527022577517,1,0.000219924585621831,0.00159123037890861,0.13833064336706,0.555152510316347,0.416821866949287,"chr13",50302297,50302298,"+",0.346741576841704,2,"iAPA",-0.791594159877784,TRUE,"distal pA","SDMAi_ADMAi"
"DNAAF5","PAS19907_ATTAAA_0.25",2.12234459545952e-06,7.18455139147524e-09,37.8635122965543,1,7.58710584455408e-10,2.10908791040209e-08,0.851841610045263,0.624285583361966,-0.227556026683296,"chr7",786472,786473,"+",0.738063596703614,2,"iAPA",-0.328190851742084,TRUE,"distal pA","SDMAi_ADMAi"
"DOCK1","PAS28002_AATAAA_0.3",1.84712296640257e-38,5.21274633698078e-38,169.209723423588,1,1.10096388889116e-38,5.05831742284992e-36,0.859233392594294,0.067620846733666,-0.791612545860628,"chr10",127452514,127452515,"+",0.46342711966398,2,"iAPA",-1.37099555169518,TRUE,"distal pA","SDMAi_ADMAi"
"DTWD1","PAS38525_AATAAA_0.35",0.000410623372162493,0.015948838578877,8.59628621940374,1,0.00336849219393781,0.0156590390353377,0.587848766109845,0.365991848138947,-0.221856917970898,"chr15",49643641,49643642,"+",0.476920307124396,2,"iAPA",-0.496445829453967,TRUE,"distal pA","SDMAi_ADMAi"
"EEFSEC","PAS10104_AATAAA_0.05",0.00127145751668341,0.000582716746215255,13.4412871896964,1,0.000246146677226091,0.00175183564600669,0.767296937194666,0.54912995176005,-0.218166985434617,"chr3",128408644,128408645,"+",0.658213444477358,2,"iAPA",-0.452308640217713,TRUE,"distal pA","SDMAi_ADMAi"
"ENSG00000291174","PAS30038_None_0.15",7.9663753513394e-05,1.65379492801183e-05,20.1971120817143,1,6.98583194986986e-06,7.79660326928796e-05,0.156002932514447,0.421268955099176,0.265266022584729,"chr11",65462437,65462438,"+",0.288635943806811,2,"iAPA",-0.507033697833188,TRUE,"distal pA","SDMAi_ADMAi"
"FAM20C","PAS19896_AATAAA_0.05",1.72999928121471e-15,0,70.4898786453469,1,4.62633971872739e-17,3.5756849975601e-15,0.887809857005159,0.196087083607038,-0.691722773398121,"chr7",260744,260745,"+",0.541948470306098,2,"iAPA",-1.38344554679624,TRUE,"distal pA","SDMAi_ADMAi"
