gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.8823676256441306,NA,0.14727746300559375,1,0.7011508082194899,0.8705582593494718,0.0650691202614134,0.07023970884964419,0.005170588588230787,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.8823676256441306,NA,0.2568992856577097,1,0.6122584347412382,0.8214206506993391,0.2881712100371622,0.2758995511355315,-0.012271658901630678,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9998_ATTAAA_0.2,0.8823676256441306,NA,0.8111008175492316,1,0.36779499369137464,0.633190144935813,0.009387796315127464,0.014620277993162864,0.005232481678035399,chr3,113809764,113809765,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.8823676256441306,NA,0.0035411390781519003,1,0.9525479152054045,0.9826458083610369,0.637371873386297,0.6392404620216614,0.001868588635364432,chr3,113810425,113810426,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,0.03120376805955152,1,0.21473617783703958,1,0.6430802939526925,0.8419584340510124,0.037558231373319456,0.0431908675120439,0.005632636138724445,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,0.03120376805955152,1,0.23050981085543754,1,0.6311460688475905,0.8335672507077391,0.020300415041619536,0.02476123186886285,0.004460816827243315,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,0.03120376805955152,1,0.9044563160314283,1,0.3415896126944479,0.6105662664624926,0.4990670228305545,0.46441894086055785,-0.034648081969996636,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,0.03120376805955152,1,2.4689264777807693,1,0.11611720805514437,0.3335406310942023,0.15371136429418208,0.11762526422998791,-0.036086100064194174,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,0.03120376805955152,1,0.2912904379845713,1,0.5893947716242939,0.8061205099575806,0.02408896894757046,0.029491977994647686,0.005403009047077228,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,0.03120376805955152,1,0.051666510589711834,1,0.820188385452447,0.9271318656153722,0.22951099912753745,0.22178051119655687,-0.0077304879309805785,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,0.03120376805955152,0.0015546509538877397,15.917447808606084,1,6.616594459746221e-5,0.0011896793753907336,0.03576299838521646,0.09873120633734289,0.06296820795212643,chr1,70253046,70253047,+
