gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.2508834886375524,NA,2.0145704169667624,1,0.1557953599194559,0.2881478419004557,0.3735040548094759,0.2843217491059016,-0.08918230570357433,chr11,106098692,106098693,+,0.32891290195768874,distal pA,MCF7,-0.17836461140714865
ABCB8,ENSG00000197150.13,PAS21132_AATAAA_0.2,5.005137753302012e-6,4.71230745285759e-7,26.955014805764222,1,2.0824614326438242e-7,2.3256864202846457e-6,0.21459270525843088,0.45278690637477653,0.23819420111634565,chr7,151047779,151047780,+,0.3336898058166037,distal pA,MCF7,0.4416738707507164
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.9927861079969987,NA,4.965305274708953e-4,1,0.9822222375008611,0.989769271470098,0.867396351285196,0.8682375076575376,8.411563723416116e-4,chr16,16143051,16143052,+,0.8678169294713668,distal pA,MCF7,0.0016823127446832509
ABCC3,ENSG00000108846.16,PAS43065_AATAAA_0.3,1.4522319807659043e-10,1,0.4901333538500694,1,0.4838678243841079,0.6433038719081998,0.5034026822509546,0.4622454804226044,-0.041157201828350254,chr17,50691700,50691701,+,0.4828240813367795,distal pA,MCF7,-0.24231663397403425
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,4.087690447456089e-4,0.02589476253173606,6.395126843061462,1,0.011443405342134486,0.036416624970127445,0.08796784157489901,0.16549508921052047,0.07752724763562147,chr4,145129520,145129521,+,0.12673146539270974,distal pA,MCF7,0.0910677535401565
ABCF3,ENSG00000161204.12,PAS10577_None_0.1,0.10836142678471244,NA,3.6655044734106923,1,0.055549824465346224,0.13088589759883373,0.03044247977215364,0.05597277717749494,0.025530297405341296,chr3,184194450,184194451,+,0.04320762847482429,distal pA,MCF7,0.05106059481068248
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.011508914250541446,0,8.265278711767678,1,0.004041045695996667,0.015351248531563208,0.8012292239610513,0.911363440039414,0.11013421607836271,chr3,111993366,111993367,+,0.8562963320002327,distal pA,MCF7,0.2202684321567256
ABHD13,ENSG00000139826.6,PAS35732_AATAAA_0.35,0.023404419550045564,0.011337046723863485,7.875802212473104,1,0.005010064134972776,0.0183402987988312,0.5539289486863288,0.7439085988168305,0.18997965013050166,chr13,108230907,108230908,+,0.6489187737515796,distal pA,MCF7,0.24583906177653236
ABHD17C,ENSG00000136379.12,PAS38908_AATAAA_0.15,0.9743077270493191,NA,0.003455732427937619,1,0.9531229753048936,0.9727202778598883,0.8132002277749156,0.8151677632581134,0.0019675354831977243,chr15,80755618,80755619,+,0.8141839955165144,distal pA,MCF7,0.003935070966395532
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,6.439743704560502e-4,1,0.17781067061514477,1,0.6732615058846203,0.7945092936467462,0.4933172568214308,0.5088723012512699,0.015555044429839127,chr15,89202353,89202354,+,0.5010947790363504,distal pA,MCF7,-0.009591629999395335
