"gene_name","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","internal_to_UTR_shift","is_significant","pA_type","condition"
"ANKHD1","PAS15517_ATTAAA_0.3",1.67793409955849e-13,2.86519634277703e-06,27.8207683973051,1,1.33089751242053e-07,1.47839825583529e-05,0.0845578503383623,0.195540865150994,0.110983014812632,"chr5",140535913,140535914,"+",0.140049357744678,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"ATP2C1","PAS10145_AATAAA_0.4",0.00336625931958316,0.000390391113704584,19.1491335362853,1,1.20892369420642e-05,0.000761141849348738,0.108808222513368,0.251312070718827,0.142503848205459,"chr3",131016372,131016373,"+",0.180060146616098,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"BCCIP","PAS27994_ATTAAA_0.4",3.91569873664574e-21,3.01431867142028e-16,72.8481815138148,1,1.40016555289461e-17,1.28520459170958e-14,0.153942309057406,0.0209764322754119,-0.132965876781994,"chr10",125853520,125853521,"+",0.0874593706664088,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"CDYL","PAS17295_AATAAA_0.25",0.000127944726203985,0.0144896589070697,12.317625650928,1,0.000448701093821029,0.0136092992630239,0.480894576974088,0.267037876179373,-0.213856700794715,"chr6",4955542,4955543,"+",0.37396622657673,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"CENPN","PAS40928_AATAAA_0.05",0.0122090917069733,0.0131418715857986,10.4584564190015,1,0.00122089253996025,0.0290482481540339,0.10965763708969,0.234692631403105,0.125034994313415,"chr16",81031482,81031483,"+",0.172175134246397,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"CHPF2","PAS21141_AATAAA_0.15",0.00152409710237732,0,16.4497314563419,1,4.99572582199051e-05,0.00242015162043096,0.28808410426181,0.0760343389074959,-0.212049765354315,"chr7",151240970,151240971,"+",0.182059221584653,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"CREM","PAS27132_APA_0.1",0.0214324253503538,0.00531010512421681,14.1992280139614,1,0.000164437961778259,0.00631673580046881,0.33802074844623,0.167784923624575,-0.170235824821655,"chr10",35211873,35211874,"+",0.252902836035402,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"DNHD1","PAS29429_AATAAA_0.4",0.00672770723100442,0,12.9313849740001,1,0.000323118629499599,0.0107541772871622,0.500963394415862,0.818820119633621,0.31785672521776,"chr11",6572018,6572019,"+",0.659891757024741,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"GLRX3","PAS28016_AATAAA_0.05",3.2034201203559e-14,3.35200540681603e-17,77.1846078698945,1,1.55702266924846e-18,1.69715470948083e-15,0.173885362177417,0.0532012460729332,-0.120684116104484,"chr10",130180375,130180376,"+",0.113543304125175,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"GPALPP1","PAS35491_AATAAA_0.3",0.00233106775312513,0.000302556677051328,17.5416794267079,1,2.81078069828578e-05,0.0014899700722828,0.292187692015293,0.673802613367732,0.381614921352439,"chr13",45033606,45033607,"+",0.482995152691513,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"H2BC5","PAS17456_AATAAA_0.2",4.467738828396e-05,0,24.1694063006937,1,8.82226647312147e-07,8.05551451786778e-05,0.67731383155169,0.942739366274675,0.265425534722984,"chr6",26171345,26171346,"+",0.810026598913183,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"JADE2","PAS15399_AATAAA_0.05",0.0003628123188966,9.81087341197276e-05,19.6885897063503,1,9.11439598307724e-06,0.000613726123339255,0.664008976626965,0.874568059429273,0.210559082802309,"chr5",134583226,134583227,"+",0.769288518028119,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"KIF1B","PAS168_AATAAA_0.25",0.0261404208680359,0,9.6012822638404,1,0.00194441542839725,0.0402738777568267,0.695004749721664,0.476635555849106,-0.218369193872559,"chr1",10381598,10381599,"+",0.585820152785385,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"KLHL7","PAS20145_ATTAAA_0.35",0.00244410892239714,0,15.3095824392403,1,9.12524453059755e-05,0.00385337202454289,0.468700369907477,0.759076180255385,0.290375810347908,"chr7",23175416,23175417,"+",0.613888275081431,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"MIRLET7A1HG","PAS25178_AATAAA_0.2",0.00729243571726193,0,12.7019228559066,1,0.000365279773124949,0.0117630093934126,0.0862459442980646,0.326149507401923,0.239903563103858,"chr9",94200898,94200899,"+",0.206197725849994,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"MTG1","PAS28060_APA_0.35",0.00352489037426584,0,14.4175305891076,1,0.00014643278154247,0.00574897512525907,0.851861455566571,0.666367479502697,-0.185493976063874,"chr10",133402883,133402884,"+",0.759114467534634,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"MTHFD1L","PAS18434_AATAAA_0.3",9.30942011304728e-07,0.0182340285197724,11.889037444445,1,0.000564652942768296,0.0163852700863213,0.440364907078478,0.599125509302811,0.158760602224333,"chr6",151101884,151101885,"+",0.519745208190644,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"NECTIN2","PAS46954_None_0.1",4.71916425992613e-07,0,34.1716364920048,1,5.04590744707263e-09,8.46159864201411e-07,0.552794544975233,0.350845748856624,-0.201948796118609,"chr19",44889221,44889222,"+",0.451820146915929,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"NPM1","PAS15794_AATAAA_0.25",4.71119506003559e-35,3.37369524828293e-30,136.479671763955,1,1.5670977051621e-31,9.11006132600898e-28,0.654246248196102,0.4920662748559,-0.162179973340202,"chr5",171410898,171410899,"+",0.573156261526001,2,"ALE",NA,TRUE,"distal pA","SDMAi"
"OGG1","PAS9141_AATAAA_0.45",0.00151745283335288,0,16.4783998452924,1,4.92074976635028e-05,0.00239714737221086,0.214839756207046,0.528762860050413,0.313923103843367,"chr3",9766645,9766646,"+",0.37180130812873,2,"ALE",NA,TRUE,"distal pA","SDMAi"
