gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ACSS2,ENSG00000131069,PAS48995_AATAAA_0.25,0.03181353078578097,0,10.587146276889598,1,0.0011387661735678945,0.04530005494351839,0.4891622210061895,0.9114021432671524,0.4222399222609628,chr20,34927956,34927957,+,0.7002821821366709,2,iAPA,distal pA,siSUPT4H1
ACVRL1,ENSG00000139567,PAS32599_AATAAA_0.15,2.549567448698248e-4,0,22.65819957061012,1,1.9353255875935915e-6,4.024256217869445e-4,0.8758686447272807,0.1925820451023136,-0.6832865996249671,chr12,51923359,51923360,+,0.5342253449147971,2,TUTR,distal pA,siSUPT4H1
AP2A2,ENSG00000183020,PAS29386_AATAAA_0.15,0.03561753636701629,0,10.349551972089102,1,0.0012950611376854077,0.04977223434667135,0.07145380571464999,0.2338801757197092,0.16242637000505922,chr11,1012238,1012239,+,0.1526669907171796,2,MIXED,distal pA,siSUPT4H1
AP5Z1,ENSG00000242802,PAS19983_AATAAA_0.15,0.0029159636925675165,0,16.60022198927618,1,4.614561985223651e-5,0.004251649013611546,0.13534396536199556,0.02928096332850283,-0.10606300203349273,chr7,4794394,4794395,+,0.08231246434524919,2,TUTR,distal pA,siSUPT4H1
APOBEC3C,ENSG00000244509,PAS51015_AATAAA_0.2,0.03007789794473232,0,10.74024147997443,1,0.0010483065410277844,0.0430197290586718,0.7410918460554837,0.916218489755323,0.17512664369983932,chr22,39020350,39020351,+,0.8286551679054034,2,TUTR,distal pA,siSUPT4H1
ATP2C1,ENSG00000017260,PAS10144_AATAAA_0.3,7.452206780983975e-4,0.01179087817921482,13.991582774200651,1,1.8363085835501603e-4,0.012428589043450162,0.2288602350185496,0.028206438986026677,-0.20065379603252287,chr3,131003106,131003107,+,0.12853333700228814,2,TUTR,distal pA,siSUPT4H1
BHLHE40,ENSG00000134107,PAS9108_AATAAA_0.25,0.0010909134510652236,0,18.884371427932592,1,1.3888586055659034e-5,0.001712492288103315,0.8459453620153653,0.22249026451652376,-0.6234550974988415,chr3,4985177,4985178,+,0.5342178132659445,2,TUTR,distal pA,siSUPT4H1
BMP2K,ENSG00000138756,PAS12979_AATAAA_0.25,0.03629054993901765,0,10.28653779484921,1,0.0013400429141008775,0.05076167866385845,0.8941253452102867,0.6224347888365849,-0.2716905563737019,chr4,78916362,78916363,+,0.7582800670234358,2,ALE,distal pA,siSUPT4H1
CEPT1,ENSG00000134255,PAS1325_AATAAA_0.2,0.00532259103926353,0,15.075722092099682,1,1.0328313433386277e-4,0.007845672560754757,0.8182960265850338,0.17708069955007288,-0.6412153270349609,chr1,111184987,111184988,+,0.4976883630675533,2,TUTR,distal pA,siSUPT4H1
COMMD10,ENSG00000145781,PAS15255_AATAAA_0.25,0.04322331759866411,0,9.68721211244565,1,0.0018555485988853647,0.0610794047609777,0.776417107156155,0.9689866034098624,0.1925694962537073,chr5,116293282,116293283,+,0.8727018552830087,2,TUTR,distal pA,siSUPT4H1
DAZAP1,ENSG00000071626,PAS46037_AATAAA_0.2,0.0016599872747909738,0,17.86071532551432,1,2.3767715313510557e-5,0.0025330353909868973,0.4570319517187589,0.6660904334789921,0.20905848176023323,chr19,1435680,1435681,+,0.5615611925988755,2,MIXED,distal pA,siSUPT4H1
DCP2,ENSG00000172795,PAS15234_AATAAA_0.1,2.549567448698248e-4,0,22.489065732162544,1,2.1134319469239435e-06,4.024256217869445e-4,0.3623612819700209,0.971547290093198,0.609186008123177,chr5,113020968,113020969,+,0.6669542860316094,2,TUTR,distal pA,siSUPT4H1
DDR2,ENSG00000162733,PAS1766_AATAAA_0.35,0.0017175938896022676,0,17.77093085359047,1,2.491611331939989e-5,0.0025999873042732856,0.1123182695501984,0.39841841699995967,0.28610014744976126,chr1,162784325,162784326,+,0.255368343275079,2,TUTR,distal pA,siSUPT4H1
DESI2,ENSG00000121644,PAS2498_ATTAAA_0.35,1.6910783181389766e-7,8.224241127575516e-10,43.692444331238335,1,3.8425241138634665e-11,2.0324106248179325e-8,0.9450000899614912,0.1923044102956768,-0.7526956796658143,chr1,244709026,244709027,+,0.568652250128584,3,TUTR,distal pA,siSUPT4H1
DNAJB11,ENSG00000090520,PAS10620_APA_0.1,0.005313113166945581,0,15.097502868869924,1,1.0209825603399572e-4,0.007839060185061789,0.7550944831437864,0.8731263799637442,0.11803189681995783,chr3,186585792,186585793,+,0.8141104315537653,2,TUTR,distal pA,siSUPT4H1
DSP,ENSG00000096696,PAS17312_AATAAA_0.2,0.0011785345671426657,0,18.616138483812392,1,1.5986150873073084e-5,0.0018263857649468535,0.928324509897061,0.652844950129744,-0.275479559767317,chr6,7586571,7586572,+,0.7905847300134025,2,TUTR,distal pA,siSUPT4H1
ECM1,ENSG00000143369,PAS1523_APA_0.2,0.0048604627423494765,0,15.341214381040118,1,8.97372548512149e-5,0.007159428695699441,0.49806738681574353,0.7403581358946362,0.24229074907889264,chr1,150513787,150513788,+,0.6192127613551899,2,TUTR,distal pA,siSUPT4H1
EIF4EBP2,ENSG00000148730,PAS27350_APA_0.2,0.03181353078578097,0.04451842434901523,11.507045564194414,1,6.933288896355046e-4,0.03345077659758325,0.5751099061844562,0.37834168439301497,-0.19676822179144127,chr10,70428615,70428616,+,0.4767257952887356,2,TUTR,distal pA,siSUPT4H1
