gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
AASDHPPT,ENSG00000149313,PAS30468_AATAAA_0.3,0.04237092903403392,0,5.72520853145852,1,0.01672305051197849,0.05486523679402088,0.6526856586199691,0.7608781221384038,0.1081924635184347,chr11,106098692,106098693,+,0.7067818903791865,2,TUTR,distal pA,siPCF11
ABCC3,ENSG00000108846,PAS43065_AATAAA_0.3,4.4796741316498375e-8,8.765825900349617e-9,34.83282916881831,1,3.592641151098836e-9,8.3210611362819e-8,0.41121132933255633,0.8944467506216279,0.4832354212890716,chr17,50691700,50691701,+,0.6528290399770922,3,ALE,distal pA,siPCF11
ABHD10,ENSG00000144827,PAS9981_AATAAA_0.2,7.936173990230039e-5,0,19.227024900239485,1,1.1605871394104583e-5,1.203619121327327e-4,0.7067538469107948,0.8319701684455989,0.1252163215348041,chr3,111993366,111993367,+,0.7693620076781968,2,TUTR,distal pA,siPCF11
ABHD2,ENSG00000140526,PAS38967_AATAAA_0.05,0.001300719620559412,5.637718292523231e-4,13.559978141949614,1,2.310597879341158e-4,0.0015920935909740069,0.8308334073641415,0.9637885143493484,0.13295510698520696,chr15,89202353,89202354,+,0.8973109608567449,2,TUTR,distal pA,siPCF11
ABHD6,ENSG00000163686,PAS9737_AATAAA_0.25,0.01550370368769787,0,7.884725780603048,1,0.004985403678553449,0.02074946386010802,0.6760931352033748,0.8749546177012221,0.1988614824978473,chr3,58294731,58294732,+,0.7755238764522985,2,TUTR,distal pA,siPCF11
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,0.0011724974294030704,0,13.409301798587194,1,2.5037959231955886e-4,0.0017021170843474851,0.6397170324283494,0.9073392199925788,0.2676221875642294,chr2,203432167,203432168,+,0.7735281262104641,2,TUTR,distal pA,siPCF11
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,0.013561514829297051,0,8.166165028636897,1,0.004267905061567311,0.018222795156148653,0.35183455356301163,0.5295284883270857,0.17769393476407402,chr2,278279,278280,+,0.44068152094504864,2,TUTR,distal pA,siPCF11
ACSL3,ENSG00000123983,PAS7027_AATAAA_0.35,2.4997800140771677e-30,2.33354776581528e-19,84.86902412089694,1,3.187986249794729e-20,2.5354093054090366e-18,0.3307161169431927,0.5462810632694064,0.2155649463262137,chr2,222944621,222944622,+,0.43849859010629955,2,TUTR,distal pA,siPCF11
ACTR6,ENSG00000075089,PAS33123_AATAAA_0.25,3.900123367003915e-5,0,20.7468574002794,1,5.241752842649632e-6,5.89954143466841e-5,0.5692166711454758,0.8206768067378154,0.2514601355923396,chr12,100224422,100224423,+,0.6949467389416456,2,TUTR,distal pA,siPCF11
ADARB1,ENSG00000197381,PAS50348_AATAAA_0.15,1.922400820193536e-7,7.256894254277168e-8,30.724273156962223,1,2.974211126649117e-8,5.732194933433817e-7,0.3624895463246446,0.6615944313923597,0.29910488506771515,chr21,45226558,45226559,+,0.5120419888585022,3,MIXED,distal pA,siPCF11
AGAP3,ENSG00000133612,PAS21139_AATAAA_0.05,0.031688688335383595,0,6.348212939456971,1,0.011749960257327732,0.04141029773551541,0.5961538382750317,0.7177676172277072,0.12161377895267556,chr7,151144433,151144434,+,0.6569607277513694,2,ALE,distal pA,siPCF11
AGBL5,ENSG00000084693,PAS5344_AATAAA_0.35,0.006803550266875747,0,9.659344914977169,1,0.001883907874064265,0.00938541575599865,0.1037076851551242,0.3546363730674913,0.2509286879123671,chr2,27070612,27070613,+,0.22917202911130774,2,ALE,distal pA,siPCF11
AGFG1,ENSG00000173744,PAS7048_AATAAA_0.2,8.23201820264123e-7,1.6922078332381813e-8,34.90173038195553,1,3.467725441398973e-9,8.075537088489307e-8,0.2257124581989496,0.5181051201151864,0.2923926619162368,chr2,227561215,227561216,+,0.371908789157068,2,TUTR,distal pA,siPCF11
AIG1,ENSG00000146416,PAS18369_AATAAA_0.2,0.01844016020854628,0,7.5097745178495074,1,0.006136505329059231,0.0244755720103444,0.4407937069246164,0.7874703718652372,0.3466766649406208,chr6,143340301,143340302,+,0.6141320393949268,2,ALE,distal pA,siPCF11
AKIP1,ENSG00000166452,PAS29451_AATAAA_0.35,2.417057500230165e-6,0,26.692931458235307,1,2.384923790214641e-7,3.639972702706785e-6,0.5878146766597826,0.8499531371417663,0.2621384604819837,chr11,8920076,8920077,+,0.7188839069007744,2,TUTR,distal pA,siPCF11
AKIRIN1,ENSG00000174574,PAS666_AATAAA_0.1,0.005270287192533465,0,10.22725279739734,1,0.0013838061926386164,0.007290107484124108,0.6452344555666197,0.4584789366174696,-0.1867555189491501,chr1,39005884,39005885,+,0.5518566960920447,2,TUTR,distal pA,siPCF11
ALDH16A1,ENSG00000161618,PAS47107_AATAAA_0.25,5.549486473756379e-9,0,39.573992226429255,1,3.158619222703049e-10,8.805600560847783e-9,0.26150711552798367,0.4359502723068719,0.17444315677888822,chr19,49471046,49471047,+,0.3487286939174278,2,MIXED,distal pA,siPCF11
ALDH5A1,ENSG00000112294,PAS17429_AATAAA_0.15,4.3469876853899954e-9,0,40.08696885069685,1,2.429039649708992e-10,6.9261731005309085e-9,0.3647264520680654,0.6837290423972379,0.31900259032917244,chr6,24537205,24537206,+,0.5242277472326516,2,TUTR,distal pA,siPCF11
ALG11,ENSG00000253710,PAS35566_ATTAAA_0.2,8.760045665919665e-4,0,14.056274005416071,1,1.7742094981868867e-4,0.0012757687252213114,0.8429978554668776,0.9686532521671748,0.12565539670029724,chr13,52033570,52033571,+,0.9058255538170261,2,TUTR,distal pA,siPCF11
AMD1,ENSG00000123505,PAS18195_AATAAA_0.2,0.006805702339915515,0.006601033380347609,8.996204513328848,1,0.002705408986170717,0.012549827630156643,0.34976284758217013,0.46381173034292544,0.11404888276075532,chr6,110898878,110898879,+,0.4067872889625478,2,TUTR,distal pA,siPCF11
ANKHD1,ENSG00000131503,PAS15518_AATAAA_0.2,0.010128067080346496,0,8.794640140013144,1,0.0030211683272491838,0.01369693140671144,0.6997555462300646,0.8724822009940225,0.17272665476395788,chr5,140539848,140539849,+,0.7861188736120436,2,ALE,distal pA,siPCF11
ANKRD13D,ENSG00000172932,PAS30130_AATAAA_0.1,0.003519201827175123,0,11.079537626519368,1,8.728556256018065e-4,0.004895259120303761,0.6866852695708818,0.33653160283097183,-0.35015366673991,chr11,67302482,67302483,+,0.5116084362009268,2,ALE,distal pA,siPCF11
AP2A2,ENSG00000183020,PAS29386_AATAAA_0.15,5.707867569074975e-15,0,67.94211117030864,1,1.6836667943677742e-16,9.185028520348494e-15,0.4323648518596896,0.762354164376789,0.3299893125170995,chr11,1012238,1012239,+,0.5973595081182393,2,MIXED,distal pA,siPCF11
AP5M1,ENSG00000053770,PAS36692_AATAAA_0.2,0.001635282503747631,4.082113037908256e-4,14.166717339709066,1,1.673038849977771e-4,0.001213596642714645,0.1916395678772278,0.6072934096192576,0.4156538417420298,chr14,57298740,57298741,+,0.3994664887482427,2,ALE,distal pA,siPCF11
APC,ENSG00000134982,PAS15224_APA_0.25,7.949751317338314e-5,0,19.22105187818238,1,1.164224071193085e-5,1.2045522090823751e-4,0.19723720377073573,0.496815137290674,0.2995779335199382,chr5,112846237,112846238,+,0.34702617053070484,2,TUTR,distal pA,siPCF11
APEX2,ENSG00000169188,PAS52009_AATAAA_0.05,1.395325876251912e-5,0,22.95217002242316,1,1.6608261883929074e-6,2.1266951832360003e-5,0.07261549016898239,0.2193014597693641,0.14668596960038172,chrX,55009056,55009057,+,0.14595847496917325,2,TUTR,distal pA,siPCF11
APH1B,ENSG00000138613,PAS38652_AATAAA_0.1,0.008886656649168793,0,9.083779244675611,1,0.002578865670728875,0.012064558676457338,0.5751760986909829,0.8383453529926952,0.26316925430171234,chr15,63309117,63309118,+,0.706760725841839,2,MIXED,distal pA,siPCF11
APLP2,ENSG00000084234,PAS30723_AATAAA_0.2,0.02619797172084043,0.012086334868710427,7.8963229417095135,1,0.00495353940506142,0.02066897194235805,0.6355963828916631,0.7536010917766844,0.11800470888502136,chr11,130144803,130144804,+,0.6945987373341738,2,TUTR,distal pA,siPCF11
ARFGEF2,ENSG00000124198,PAS49180_AATAAA_0.2,2.6858769699605737e-4,0,16.632801094491242,1,4.535974193140728e-5,3.9684513782534055e-4,0.687626978666229,0.9026951556197308,0.21506817695350175,chr20,49036691,49036692,+,0.7951610671429798,2,MIXED,distal pA,siPCF11
ARHGEF28,ENSG00000214944,PAS14969_AATAAA_0.25,8.775023977932796e-4,8.632145241896701e-5,17.104492158965513,1,3.5378526302995826e-5,3.1947148033662854e-4,0.25421921790400326,0.5849491997586398,0.33072998185463653,chr5,73941988,73941989,+,0.4195842088313215,2,TUTR,distal pA,siPCF11
ARIH2,ENSG00000177479,PAS9591_AATAAA_0.35,9.945144672109528e-22,3.3892851504902824e-13,54.72107611110914,1,1.3890859164763874e-13,5.748812623611681e-12,0.2733784556418537,0.4524947772570328,0.1791163216151791,chr3,48985535,48985536,+,0.36293661644944325,2,TUTR,distal pA,siPCF11
ARMC7,ENSG00000125449,PAS43368_AATAAA_0.35,0.015927038483025575,0,7.819744234271866,1,0.005167850874633558,0.02132061476466008,0.6982973821320353,0.9096465079039584,0.2113491257719232,chr17,75130227,75130228,+,0.8039719450179968,2,ALE,distal pA,siPCF11
ARMC8,ENSG00000114098,PAS10219_APA_0.3,0.0016313993363479475,0.005491237169679924,9.33305926716821,1,0.0022505631358077463,0.010848342428658744,0.6556885880563293,0.815340861456335,0.15965227340000565,chr3,138296516,138296517,+,0.7355147247563322,2,ALE,distal pA,siPCF11
ASB1,ENSG00000065802,PAS7198_AATAAA_0.05,0.022377705662315887,0,7.094891858606388,1,0.007730395620363798,0.02953029021413277,0.7048361352003003,0.8943297821629081,0.18949364696260784,chr2,238452248,238452249,+,0.7995829586816042,2,MIXED,distal pA,siPCF11
ASPHD1,ENSG00000174939,PAS40452_AATAAA_0.35,6.998114315927033e-19,0,86.46180087370385,1,1.4246265121745935e-20,1.1681937399831668e-18,0.0934547611891794,0.4773507788358165,0.38389601764663706,chr16,29919861,29919862,+,0.285402770012498,2,ALE,distal pA,siPCF11
ASRGL1,ENSG00000162174,PAS29915_AATAAA_0.25,0.027304656323572117,0,6.670696155781798,1,0.009801089764672331,0.03576395441492652,0.6499611311023259,0.8183811105329593,0.16841997943063336,chr11,62393409,62393410,+,0.7341711208176426,2,ALE,distal pA,siPCF11
ATF1,ENSG00000123268,PAS32576_ATTAAA_0.4,5.6330671324180735e-6,1.5229862280782966e-5,21.740724694878736,1,3.120951213126796e-6,3.773149992280216e-5,0.4844573370648916,0.6499144269662995,0.16545708990140795,chr12,50821131,50821132,+,0.5671858820155955,2,TUTR,distal pA,siPCF11
ATF6,ENSG00000118217,PAS1753_AATAAA_0.15,1.3083350403281867e-9,6.291981189862329e-8,32.34728469879883,1,1.2893725475278741e-8,2.684904790609305e-7,0.19688092887249972,0.4167112180593368,0.219830289186837,chr1,161964068,161964069,+,0.30679607346591825,2,TUTR,distal pA,siPCF11
ATG13,ENSG00000175224,PAS29809_AATAAA_0.15,1.2161394289358206e-4,0,18.320470689266585,1,1.866902862450294e-5,1.8243413464151572e-4,0.6660327096614171,0.839964298754293,0.17393158909287587,chr11,46674516,46674517,+,0.7529985042078551,2,TUTR,distal pA,siPCF11
ATG4B,ENSG00000168397,PAS7248_APA_0.2,3.0750228182609134e-8,0,35.96192156721554,1,2.0121150555716404e-9,4.910155815833049e-8,0.2011219226540013,0.4252992898858645,0.2241773672318632,chr2,241673853,241673854,+,0.3132106062699329,2,MIXED,distal pA,siPCF11
ATMIN,ENSG00000166454,PAS40931_ATTAAA_0.15,6.424250746956007e-4,0,14.73899595392777,1,1.2346601674306716e-4,9.364603193016134e-4,0.09480976092091332,0.2507736486599679,0.15596388773905456,chr16,81047235,81047236,+,0.1727917047904406,2,TUTR,distal pA,siPCF11
ATP2A2,ENSG00000174437,PAS33247_AATAAA_0.2,1.3714146888756342e-47,4.0797831446638316e-51,227.9461660527013,1,1.6720839518948358e-51,1.839571027742969e-48,0.07729012421840553,0.26116815058093934,0.1838780263625338,chr12,110351089,110351090,+,0.16922913739967244,2,MIXED,distal pA,siPCF11
ATP6V0A2,ENSG00000185344,PAS33561_AATAAA_0.15,6.198669190894952e-9,5.662595056028538e-10,40.17602230275679,1,2.3207935283640024e-10,6.704401785877802e-9,0.6889646066052371,0.920657903034345,0.231693296429108,chr12,123761751,123761752,+,0.804811254819791,2,TUTR,distal pA,siPCF11
BAG2,ENSG00000112208,PAS17948_ATTAAA_0.35,0.00450311865146536,0,10.548651591579985,1,0.0011627288084278026,0.0062552346083389766,0.38548853223148927,0.5341290388309101,0.14864050659942085,chr6,57185211,57185212,+,0.4598087855311997,2,TUTR,distal pA,siPCF11
BCCIP,ENSG00000107949,PAS27994_ATTAAA_0.4,6.162737833104865e-11,1.5933900348002556e-13,58.365438945653295,1,2.176816603421205e-14,9.875715738270362e-13,0.4306760905838109,0.7066842995499326,0.27600820896612177,chr10,125853520,125853521,+,0.5686801950668717,2,ALE,distal pA,siPCF11
