gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,7.525399756544466e-5,0,20.117997599254522,1,7.280831292286203e-6,1.1749172690875558e-4,0.34969283719818917,0.19407598644909277,-0.1556168507490964,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,7.525399756544466e-5,0,20.117997599252703,1,7.280831292293129e-6,1.1749172690875558e-4,0.6503071628018109,0.8059240135509071,0.15561685074909626,chr3,127037384,127037385,+
TYW3,ENSG00000162623.16,PAS1019_AATAAA_0.25,0.01979513966273265,0.00566367082798532,9.96281410903157,1,0.0015973371218262668,0.011416929618373718,0.4322320941473039,0.5873967227793073,0.15516462863200342,chr1,74766673,74766674,+
CEP63,ENSG00000182923.20,PAS10184_AATAAA_0.25,4.7038217419717956e-4,0.009527236060420639,10.281792945461348,1,0.00134349331819529,0.00986690387986152,0.019230769230769672,0.12230218227506388,0.10307141304429421,chr3,134553933,134553934,+
CEP63,ENSG00000182923.20,PAS10185_AATAAA_0.25,4.7038217419717956e-4,4.0302199295818805e-4,16.20537695940584,1,5.683257465136943e-5,6.867493894286331e-4,0.6826923076923078,0.4244601545801332,-0.2582321531121746,chr3,134561765,134561766,+
TSC22D2,ENSG00000196428.13,PAS10310_ATTAAA_0.3,1.3217347888865673e-4,0,18.920623580667552,1,1.3627149859271297e-5,2.030106280170853e-4,0.9021776250175448,0.6556574492755575,-0.24652017574198737,chr3,150460115,150460116,+
TSC22D2,ENSG00000196428.13,PAS10311_AATAAA_0.3,1.3217347888865673e-4,0,18.920623580667552,1,1.3627149859271297e-5,2.030106280170853e-4,0.09782237498245516,0.3443425507244425,0.2465201757419873,chr3,150466417,150466418,+
GMPS,ENSG00000163655.16,PAS10358_AATAAA_0.45,4.950735332570049e-8,1.3605436633086936e-9,39.19400298170103,1,3.837170212170578e-10,1.4529957897471658e-8,0.8574677785331524,0.5236550553562291,-0.33381272317692323,chr3,155937728,155937729,+
GMPS,ENSG00000163655.16,PAS10361_APA_0.3,4.950735332570049e-8,5.941913781195778e-4,14.163602928532782,1,1.6758105733294035e-4,0.001755928092520083,0.07816423073659598,0.23540688404594254,0.15724265330934656,chr3,155943675,155943676,+
GMPS,ENSG00000163655.16,PAS10362_ATTAAA_0.35,4.950735332570049e-8,6.688412758861923e-5,18.300731450176727,1,1.8863472666943416e-5,2.681908967090152e-4,0.06436799073025168,0.2409380605978284,0.17657006986757673,chr3,155944018,155944019,+
MYNN,ENSG00000085274.16,PAS10441_APA_0.2,0.016196712722629656,0.0037278296314220685,12.02227898892852,1,5.256838572513376e-4,0.004525555232544155,0.645108892603285,0.4609474168807055,-0.18416147572257946,chr3,169786823,169786824,+
MYNN,ENSG00000085274.16,PAS10443_AATAAA_0.45,0.016196712722629656,0.02337722624326785,8.635601156429402,1,0.0032965644030009764,0.02079622360293152,0.1703004046384399,0.3045690498087611,0.1342686451703212,chr3,169787546,169787547,+
