gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.0988467429454169,NA,4.412758416692668,1,0.035671116121378035,0.1239529652262563,0.6018518518518519,0.7306956355327046,0.1288437836808527,chr11,106098692,106098693,+,0.6662737436922782,distal pA,JTE607,0.25768756736170534
ABCB8,ENSG00000197150.13,PAS21131_None_0.25,0.771132641561519,NA,1.0528652128909926,1,0.3048481242699519,0.540670077309355,0.4959349593495935,0.39487995179703045,-0.10105500755256303,chr7,151045561,151045562,+,0.44540745557331196,distal pA,JTE607,-0.1815967955810463
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.03856504272501431,0,6.452511807594419,1,0.011079559429805359,0.05027272418186251,0.7536231884057971,0.8686224901981484,0.1149993017923513,chr16,16143051,16143052,+,0.8111228393019727,distal pA,JTE607,0.22999860358470262
ABCC2,ENSG00000023839.12,PAS27677_APA_0.35,8.128821549649951e-4,0,14.654537082864408,1,1.2912344753068276e-4,0.0012412505211714738,0.8057168378740509,0.8799403097474896,0.0742234718734387,chr10,99852571,99852572,+,0.8428285738107703,distal pA,JTE607,0.1484469437468774
ABCC3,ENSG00000108846.16,PAS43065_AATAAA_0.3,1.482064146635223e-5,1.477211011308421e-6,28.147177173010277,1,1.1243153176482254e-7,2.538987794999779e-6,0.675,0.8157672614742744,0.14076726147427432,chr17,50691700,50691701,+,0.7453836307371372,distal pA,JTE607,0.24736043040138067
ABCD1,ENSG00000101986.12,PAS52448_APA_0.1,0.8861357349659053,NA,0.12175164315203801,1,0.7271424020047584,0.8832603836088873,0.7510729613733905,0.7751361774768634,0.02406321610347284,chrX,153744753,153744754,+,0.7631045694251269,distal pA,JTE607,0.04812643220694565
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,6.439213488907316e-4,1.0015951282397982e-4,17.386850064893224,1,3.049283375607679e-5,3.595758241654479e-4,0.8545454545454545,0.9532840205411836,0.09873856599572906,chr1,94518661,94518662,+,0.903914737543319,distal pA,JTE607,0.19123885802385449
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.9103414359295959,NA,0.2988180737784205,1,0.5846243327697045,0.7864871012274914,0.07783018867924528,0.09117785726578875,0.013347668586543474,chr4,145129520,145129521,+,0.08450402297251702,distal pA,JTE607,0.020938628991455613
ABCF1,ENSG00000204574.14,PAS17571_ATTAAA_0.3,0.3823390718014499,NA,1.2047622018435504,1,0.2723719408903299,0.5043793611094477,0.024096385542168676,0.03628838356235014,0.012191998020181463,chr6,30592257,30592258,+,0.030192384552259408,distal pA,JTE607,0.03048953894916652
ABCF3,ENSG00000161204.12,PAS10577_None_0.1,1,NA,-0.007582448689390731,1,1,1,0.11392405063291139,0.11435050162290727,4.264509899958857e-4,chr3,184194450,184194451,+,0.11413727612790933,distal pA,JTE607,8.529019799917159e-4
