"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCD3","ENSG00000117528","PAS1169_AATAAA_0.15",0.183453746884906,NA,2.63131792703643,1,0.104774711517392,0.215188367633931,0.869773568534345,0.924506098334762,0.0547325298004172,"chr1",94518661,94518662,"+",0.897139833434554,0,"ALE","distal pA"
"ACO2","ENSG00000100412","PAS51084_APA_0.15",0.20935793436568,NA,2.35912797965148,1,0.124551795389737,0.241950410987447,0.902895636642334,0.850517918404304,-0.0523777182380307,"chr22",41528972,41528973,"+",0.876706777523319,0,"ALE","distal pA"
"ACTN4","ENSG00000130402","PAS46782_AATAAA_0.2",0.526209313378695,NA,0.678988274215953,1,0.409935326059667,0.561915356763151,0.395755210768624,0.38251890269303,-0.0132363080755937,"chr19",38730529,38730530,"+",0.389137056730827,0,"ALE","distal pA"
"AGAP3","ENSG00000133612","PAS21139_AATAAA_0.05",0.733301395815962,NA,0.221361070467594,1,0.63800480220003,0.754442906489031,0.735263133186365,0.773279295713666,0.0380161625273012,"chr7",151144433,151144434,"+",0.754271214450016,0,"ALE","distal pA"
"ANKDD1A","ENSG00000166839","PAS38680_AATAAA_0.3",0.95678505355845,NA,0.0100248914537246,1,0.920245580210633,0.948837080944084,0.847340780949881,0.85654967050361,0.00920888955372845,"chr15",64958689,64958690,"+",0.851945225726745,0,"ALE","distal pA"
"ANKRD12","ENSG00000101745","PAS45162_AATAAA_0.4",0.168743626733709,NA,0.662391181880594,1,0.415717033316336,0.566623282872881,0.494695077188191,0.524224292521869,0.0295292153336782,"chr18",9256249,9256250,"+",0.50945968485503,0,"ALE","distal pA"
"ANKRD13D","ENSG00000172932","PAS30130_AATAAA_0.1",0.655589418324336,NA,0.354751957788494,1,0.551435410017124,0.685646613626623,0.727892805293363,0.764769295535097,0.0368764902417349,"chr11",67302482,67302483,"+",0.74633105041423,0,"ALE","distal pA"
"ARAF","ENSG00000078061","PAS51930_None_0.05",0.0340031059856788,0,6.11536567019789,1,0.0134011686488949,0.0438394874506201,0.954061972827333,0.890288966841004,-0.063773005986329,"chrX",47571905,47571906,"+",0.922175469834169,0,"ALE","distal pA"
"ARHGEF10","ENSG00000104728","PAS22505_AATAAA_0.2",0.830529936441998,NA,0.0941006477833071,1,0.759027359132422,0.842816093582105,0.569914175699445,0.599703720436603,0.0297895447371583,"chr8",1958639,1958640,"+",0.584808948068024,0,"ALE","distal pA"
"ARID1B","ENSG00000049618","PAS18468_AATAAA_0.2",0.334446620017245,NA,0.35280027537965,1,0.552532226525335,0.686455779311799,0.79115002572821,0.820589613191702,0.0294395874634926,"chr6",157209256,157209257,"+",0.805869819459956,0,"ALE","distal pA"
"ARL2BP","ENSG00000102931","PAS40637_ATTAAA_0.25",0.483337641809321,NA,0.819000514637992,1,0.365472553985532,0.521029418668907,0.904000389555452,0.931275135464826,0.027274745909374,"chr16",57253597,57253598,"+",0.917637762510139,0,"ALE","distal pA"
"BMERB1","ENSG00000166780","PAS40300_ATTAAA_0.2",0.598712538632473,NA,0.483956418428079,1,0.486635666058448,0.631810431352062,0.447686788935471,0.511673900952633,0.063987112017162,"chr16",15588257,15588258,"+",0.479680344944052,0,"ALE","distal pA"
"BRD2","ENSG00000204256","PAS17651_AATAAA_0.3",0.44663504574192,NA,0.953533051255363,1,0.328821617047341,0.484950174307981,0.457642454242817,0.478889542401738,0.0212470881589217,"chr6",32981307,32981308,"+",0.468265998322278,0,"ALE","distal pA"
"BRD3OS","ENSG00000235106","PAS25687_AATAAA_0.25",0.795452407181638,NA,0.133477266862428,1,0.714853587116214,0.812927931324011,0.0825505757105961,0.0972148091483591,0.014664233437763,"chr9",134030458,134030459,"+",0.0898826924294776,0,"ALE","distal pA"
"BZW2","ENSG00000136261","PAS20102_AATAAA_0.35",0.116182150403353,NA,3.56054636583713,1,0.0591682607022507,0.140227069444872,0.877498595564109,0.922770644806561,0.0452720492424515,"chr7",16706511,16706512,"+",0.900134620185335,0,"ALE","distal pA"
"CEP63","ENSG00000182923","PAS10189_AATAAA_0.35",0.917002108443241,NA,0.0287949681220994,1,0.865253308476559,0.914991673660173,0.255045176573324,0.239857916293322,-0.0151872602800022,"chr3",134575010,134575011,"+",0.247451546433323,0,"ALE","distal pA"
"CEP95","ENSG00000258890","PAS43252_AATAAA_0.3",0.929249159553136,NA,0.0218529333182573,1,0.882479003177669,0.92579029037572,0.832373963481616,0.818933116158425,-0.013440847323191,"chr17",64537941,64537942,"+",0.82565353982002,0,"ALE","distal pA"
"CHPT1","ENSG00000111666","PAS33136_AATAAA_0.25",0.114920179031283,NA,3.58228612935227,1,0.0583987311545285,0.138830889742142,0.840800044365249,0.906876665942205,0.0660766215769557,"chr12",101729066,101729067,"+",0.873838355153727,0,"ALE","distal pA"
"CLCN6","ENSG00000011021","PAS207_APA_0.15",0.964816879971876,NA,0.00774159735294688,1,0.929887527142872,0.955286002090324,0.210579757982329,0.202194749308261,-0.00838500867406833,"chr1",11848077,11848078,"+",0.206387253645295,0,"ALE","distal pA"
"CNOT9","ENSG00000144580","PAS6974_AATAAA_0.2",0.563195582135564,NA,1.57973362621851,1,0.208799066657072,0.349759742677806,0.759090546283724,0.81481438769267,0.055723841408946,"chr2",218596429,218596430,"+",0.786952466988197,0,"ALE","distal pA"
"CSNK1G2","ENSG00000133275","PAS46056_AATAAA_0.4",0.326706720759766,NA,1.50035214005106,1,0.220617187373979,0.365036797600917,0.891668608611868,0.842024780393508,-0.0496438282183599,"chr19",1981334,1981335,"+",0.866846694502688,0,"ALE","distal pA"
"DDX11","ENSG00000013573","PAS32423_AATAAA_0.1",0.510204698742427,NA,0.730461228405147,1,0.392733727265675,0.547062555087606,0.881354372003158,0.857511946959252,-0.0238424250439065,"chr12",31104790,31104791,"+",0.869433159481205,0,"ALE","distal pA"
"DNAJC16","ENSG00000116138","PAS250_AATAAA_0.2",0.401370526346954,NA,1.14008880386484,1,0.285633563598651,0.440891091671163,0.777493869954655,0.85022158826693,0.0727277183122746,"chr1",15571730,15571731,"+",0.813857729110792,0,"ALE","distal pA"
"DNM2","ENSG00000079805","PAS46260_AATAAA_0.15",0.779590565622412,NA,0.152716924268589,1,0.695952372489411,0.799082869541139,0.114438193681932,0.104060640365384,-0.0103775533165478,"chr19",10833483,10833484,"+",0.109249417023658,0,"ALE","distal pA"
"DUT","ENSG00000128951","PAS38509_ATTAAA_0.25",0.356224470008579,NA,1.31169450812422,1,0.252088084502834,0.402399649474769,0.77371710852765,0.734276354740012,-0.0394407537876389,"chr15",48342418,48342419,"+",0.753996731633831,0,"ALE","distal pA"
"DYNC2LI1","ENSG00000138036","PAS5541_AATAAA_0.3",0.529151031873291,NA,0.668689863628742,1,0.413508753384903,0.564627928798319,0.895039755536445,0.925755969853972,0.0307162143175267,"chr2",43810001,43810002,"+",0.910397862695208,0,"ALE","distal pA"
"EIF2A","ENSG00000144895","PAS10315_APA_0.3",0.0965513106831979,NA,5.18013328593497,1,0.0228465712482559,0.0675034761719525,0.790938962964268,0.857137564805429,0.0661986018411606,"chr3",150584239,150584240,"+",0.824038263884848,0,"ALE","distal pA"
"EIF2B5","ENSG00000145191","PAS10570_ATTAAA_0.1",0.712763835020439,NA,0.25390699672289,1,0.614337377867337,0.73743736754935,0.89099827995269,0.905479733016985,0.0144814530642942,"chr3",184145301,184145302,"+",0.898239006484838,0,"ALE","distal pA"
"ENSG00000287908","ENSG00000287908","PAS32782_AATAAA_0.25",0.670169882731269,NA,0.325887069343707,1,0.568091026421208,0.699643564799231,0.301292004008274,0.257065566377033,-0.0442264376312409,"chr12",57626149,57626150,"+",0.279178785192654,0,"ALE","distal pA"
"ENSG00000289694","ENSG00000289694","PAS326_ATTAAA_0.25",0.0208705357540054,0,7.16784927195295,1,0.00742217066218604,0.0274172712849789,0.886131178471574,0.939277490933822,0.0531463124622479,"chr1",22092941,22092942,"+",0.912704334702698,0,"ALE","distal pA"
"EXOC6","ENSG00000138190","PAS27594_ATTAAA_0.35",0.927487990822256,NA,0.0226400111690168,1,0.880396989080728,0.924473153907201,0.874427040598217,0.865509699396996,-0.00891734120122045,"chr10",93059485,93059486,"+",0.869968369997606,0,"ALE","distal pA"
"FBXO4","ENSG00000151876","PAS14741_ATTAAA_0.15",1,NA,0.000221247668378055,1,0.988132386373382,0.992992942940917,0.484265044825063,0.482761048033251,-0.00150399679181196,"chr5",41941567,41941568,"+",0.483513046429157,0,"ALE","distal pA"
"FGFR1OP2","ENSG00000111790","PAS32348_None_0.25",0.373358905493036,NA,0.22235572646332,1,0.637250805556822,0.754334383041592,0.245777699927471,0.230741728971128,-0.0150359709563438,"chr12",26965638,26965639,"+",0.2382597144493,0,"ALE","distal pA"
"FHIP2A","ENSG00000151553","PAS27887_AATAAA_0.4",0.909498610089598,NA,0.033259878444369,1,0.855290083660417,0.90786546340435,0.889972639642948,0.898029854185247,0.0080572145422988,"chr10",114864708,114864709,"+",0.894001246914098,0,"ALE","distal pA"
"GALK2","ENSG00000156958","PAS38520_AATAAA_0.35",0.255949692205358,NA,1.96348631044918,1,0.161140954121342,0.289841844724903,0.158769403201006,0.0898347652769406,-0.0689346379240655,"chr15",49367688,49367689,"+",0.124302084238973,0,"ALE","distal pA"
"GCC2","ENSG00000135968","PAS6126_AATAAA_0.45",0.327886042162324,NA,1.40798714729317,1,0.235390825805014,0.383193971026593,0.265568131992996,0.337368234408704,0.0718001024157074,"chr2",108484247,108484248,"+",0.30146818320085,0,"ALE","distal pA"
"GPSM2","ENSG00000121957","PAS1267_APA_0.3",0.741918615720761,NA,0.209170717256853,1,0.64741816510873,0.762557394893627,0.787077928688616,0.733736128995305,-0.0533417996933113,"chr1",108930395,108930396,"+",0.760407028841961,0,"ALE","distal pA"
"GTF2F2","ENSG00000188342","PAS35497_AATAAA_0.3",0.547918300887824,NA,1.44118022691691,1,0.229948449545106,0.376830202422381,0.470942213797008,0.426094702102141,-0.0448475116948671,"chr13",45284101,45284102,"+",0.448518457949575,0,"ALE","distal pA"
