gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABCC3,ENSG00000108846,PAS43063_None_0.1,4.030101324665533e-6,5.332093393648868e-7,29.4413529577929,1,5.763461769377537e-8,3.048769267827808e-6,0.5669193921483889,0.0837381152097391,-0.4831812769386498,chr17,50667924,50667925,+,0.325328753679064,2,ALE,distal pA,H838
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,2.187469390917823e-6,0,29.12761259435001,1,6.776426238868762e-8,3.5070205924535093e-6,0.710492381169434,0.9348017372655888,0.22430935609615488,chr2,203432167,203432168,+,0.8226470592175115,2,TUTR,distal pA,H838
ABRAXAS2,ENSG00000165660,PAS27969_AATAAA_0.2,0.02743419799897406,0,7.876731544929783,1,0.00500749011837748,0.03644163303725943,0.9048360682119894,0.6549525480284994,-0.24988352018348992,chr10,124836666,124836667,+,0.7798943081202444,2,TUTR,distal pA,H838
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,1.2121408565118612e-4,0,20.16480631801824,1,7.104814915592144e-6,1.862676805173335e-4,0.5509698169637133,0.7727591235688401,0.22178930660512688,chr2,278279,278280,+,0.6618644702662767,2,TUTR,distal pA,H838
AGFG1,ENSG00000173744,PAS7048_AATAAA_0.2,0.01217521929926313,0.006885098007255377,10.09289482315762,1,0.0014884210089230478,0.014212518499740444,0.4235495089507628,0.25564515375287045,-0.16790435519789235,chr2,227561215,227561216,+,0.33959733135181663,2,TUTR,distal pA,H838
AGO1,ENSG00000092847,PAS619_APA_0.15,9.991207748310794e-5,5.110893889675965e-4,16.259098367761453,1,5.524367141726861e-5,0.0010113906459317708,0.14563471018925575,0.027766809753172927,-0.11786790043608282,chr1,35924295,35924296,+,0.08670075997121433,2,TUTR,distal pA,H838
AIMP1,ENSG00000164022,PAS13116_AATAAA_0.2,0.007659025287324434,0.0295298539746008,8.694404945438237,1,0.0031918830349189635,0.025996754430962235,0.0836596173359534,0.1857697103399997,0.1021100930040463,chr4,106349221,106349222,+,0.13471466383797653,2,MIXED,distal pA,H838
AKAP12,ENSG00000131016,PAS18440_AATAAA_0.25,0.02580790203621964,0,8.026110285326467,1,0.004610775234666145,0.03423715399409272,0.4998489628302882,0.623697820456125,0.1238488576258368,chr6,151358532,151358533,+,0.5617733916432066,2,TUTR,distal pA,H838
ALG1,ENSG00000033011,PAS40211_APA_0.15,0.0064136625253389664,0.026369742914423466,7.642586087981954,1,0.005700613021393082,0.040421606566283685,0.06648458758153208,0.2108764639597155,0.1443918763781834,chr16,5087376,5087377,+,0.13868052577062379,2,TUTR,distal pA,H838
ANKHD1,ENSG00000131503,PAS15518_AATAAA_0.2,0.04372365113134081,0,6.835726875035334,1,0.008935232653951323,0.05645914713424316,0.6403434659840805,0.8193998920814045,0.17905642609732397,chr5,140539848,140539849,+,0.7298716790327425,2,ALE,distal pA,H838
ANTXR1,ENSG00000169604,PAS5779_AATAAA_0.1,6.848629368025393e-30,1.6737952907069712e-30,136.1944089909557,1,1.8092059638798327e-31,2.16290572981834e-28,0.625688131143766,0.07342099344055186,-0.5522671377032141,chr2,69249167,69249168,+,0.3495545622921589,2,ALE,distal pA,H838
AP2A2,ENSG00000183020,PAS29386_AATAAA_0.15,0.020616012899257272,0,8.5427925938302,1,0.0034689301847424204,0.02768428595366865,0.123225503831204,0.23895823933292928,0.11573273550172523,chr11,1012238,1012239,+,0.18109187158206663,2,MIXED,distal pA,H838
AP5Z1,ENSG00000242802,PAS19983_AATAAA_0.15,1.8324644658914323e-9,3.4266758437119532e-9,37.91017446038313,1,7.407790435481602e-10,6.065762647683736e-8,0.14151008404484466,0.36220428173804686,0.2206941976932022,chr7,4794394,4794395,+,0.25185718289144576,2,TUTR,distal pA,H838
APH1B,ENSG00000138613,PAS38652_AATAAA_0.1,0.020642202302693355,0,8.538072509178733,1,0.0034779373614522344,0.02771916077077431,0.522710865169662,0.7242933438427989,0.20158247867313683,chr15,63309117,63309118,+,0.6235021045062304,2,MIXED,distal pA,H838
ASF1A,ENSG00000111875,PAS18247_AATAAA_0.35,0.016469971148497922,0,9.080070644179614,1,0.0025841006660472627,0.02233761638654738,0.48202036607071336,0.6791628082217743,0.19714244215106097,chr6,118909164,118909165,+,0.5805915871462438,2,TUTR,distal pA,H838
ASL,ENSG00000126522,PAS20478_AATAAA_0.15,0.04320114492274594,0,6.868837149592309,1,0.008771170720887353,0.055598804861192105,0.1380280220818798,0.3340573968090139,0.1960293747271341,chr7,66093175,66093176,+,0.23604270944544686,2,TUTR,distal pA,H838
ATG4B,ENSG00000168397,PAS7248_APA_0.2,0.002053333316807524,0,13.776202939242468,1,2.0592823547211628e-4,0.002951884958116487,0.46493366194371016,0.6862720871886397,0.2213384252449296,chr2,241673853,241673854,+,0.575602874566175,2,MIXED,distal pA,H838
ATG7,ENSG00000197548,PAS9191_AATAAA_0.45,0.04844468432571955,0,6.574808103765236,1,0.010343215418774086,0.06238806273029475,0.25114847462859746,0.4878387379090438,0.23669026328044637,chr3,11557662,11557663,+,0.36949360626882066,2,TUTR,distal pA,H838
ATMIN,ENSG00000166454,PAS40931_ATTAAA_0.15,0.020899678219080245,0,8.496357722350979,1,0.003558581270197751,0.028118201642573767,0.11971950780409724,0.3602923272401648,0.2405728194360676,chr16,81047235,81047236,+,0.24000591752213102,2,TUTR,distal pA,H838
ATP11A,ENSG00000068650,PAS35766_AATAAA_0.2,9.563565417091976e-10,1.4063861769804078e-6,26.22392297147121,1,3.0403267030777705e-7,1.262052282475512e-5,0.8104982468170436,0.49987110390506406,-0.3106271429119796,chr13,112887165,112887166,+,0.6551846753610538,2,ALE,distal pA,H838
ATP6V1C1,ENSG00000155097,PAS23260_AATAAA_0.3,9.037925381902844e-5,5.026828949616159e-6,25.885749682777718,1,3.6223342107775604e-7,1.472959370402916e-5,0.3690696238504157,0.5854769253905645,0.21640730154014887,chr8,103073048,103073049,+,0.4772732746204901,2,TUTR,distal pA,H838
BAIAP2,ENSG00000175866,PAS43519_AATAAA_0.15,7.350791881026396e-4,0,16.161720223838643,1,5.8157591213819e-5,0.0010550440105634132,0.8866402376443885,0.527925992761798,-0.3587142448825905,chr17,81116223,81116224,+,0.7072831152030932,2,ALE,distal pA,H838
BCCIP,ENSG00000107949,PAS27994_ATTAAA_0.4,0.004329926692839386,0.0014158540323140944,14.334435056574875,1,1.530397159956175e-4,0.002313008602689769,0.16230319895479473,0.03703629244754692,-0.1252669065072478,chr10,125853520,125853521,+,0.09966974570117082,2,ALE,distal pA,H838
BICD1,ENSG00000151746,PAS32454_AATAAA_0.2,1.0963063535873016e-11,4.232062675281167e-6,26.773761472878505,1,2.2872190745613617e-7,9.979454027876307e-6,0.3073788548464751,0.08664538258254129,-0.2207334722639338,chr12,32383631,32383632,+,0.1970121187145082,2,ALE,distal pA,H838
BMP1,ENSG00000168487,PAS22638_AATAAA_0.25,7.439034026041495e-6,2.5963459523552463e-6,25.040872251582183,1,5.612782647168685e-7,2.1645424692548917e-5,0.5588085115869366,0.4025523902114667,-0.15625612137546985,chr8,22212323,22212324,+,0.48068045089920164,2,ALE,distal pA,H838
C12orf75,ENSG00000235162,PAS33192_ATTAAA_0.3,0.015991005796377352,0,9.149714334471923,1,0.002487568987267972,0.02170721696553913,0.6390312155665167,0.40363920540888354,-0.2353920101576331,chr12,105371516,105371517,+,0.5213352104877,2,TUTR,distal pA,H838
C5orf24,ENSG00000181904,PAS15417_AATAAA_0.2,0.04780616343049447,0,6.610394782772801,1,0.010138518283523678,0.06168011990290003,0.5763969961182678,0.4737562386276069,-0.10264075749066091,chr5,134859733,134859734,+,0.5250766173729373,2,MIXED,distal pA,H838
CACYBP,ENSG00000116161,PAS1880_AATAAA_0.35,5.657226254490202e-5,0,21.89846852390656,1,2.8746324627229013e-6,8.90316867664567e-5,0.2317606697579704,0.3631368826342088,0.13137621287623835,chr1,175010799,175010800,+,0.2974487761960896,2,TUTR,distal pA,H838
CAMTA1,ENSG00000171735,PAS113_AATAAA_0.15,0.004996092969828427,0,11.817413529782243,1,5.867931792065035e-4,0.006771344070862693,0.2729479352314065,0.4644545438301482,0.19150660859874172,chr1,6888198,6888199,+,0.3687012395307774,2,ALE,distal pA,H838
CBLL1,ENSG00000105879,PAS20864_AATAAA_0.25,0.004396109760867418,0,12.12191894522573,1,4.983259737670662e-4,0.006022053727672428,0.4757987545151218,0.8197368767041008,0.34393812218897896,chr7,107761665,107761666,+,0.6477678156096113,2,TUTR,distal pA,H838
CCNB1,ENSG00000134057,PAS14906_APA_0.15,0.00558612469031972,0,11.574727777069938,1,6.685422239139045e-4,0.007505917260969788,0.09475789427994163,0.21358918377017533,0.1188312894902337,chr5,69178044,69178045,+,0.15417353902505848,2,TUTR,distal pA,H838
CDK16,ENSG00000102225,PAS51923_ATTAAA_0.35,3.473738656090286e-7,0,33.1012566421623,1,8.748216361440497e-9,5.59277682358925e-7,0.6075308992308008,0.8561282313185856,0.2485973320877848,chrX,47229992,47229993,+,0.7318295652746932,2,MIXED,distal pA,H838
CDS2,ENSG00000101290,PAS48769_AATAAA_0.15,5.8692512460498326e-5,3.4070961555382224e-5,21.42327625632015,1,3.682731525375613e-6,1.084410231178952e-4,0.29145593361220734,0.5273393262203343,0.23588339260812696,chr20,5197885,5197886,+,0.4093976299162708,2,TUTR,distal pA,H838
CEP350,ENSG00000135837,PAS1918_AATAAA_0.2,3.111503879099919e-7,0,33.35012696012609,1,7.697279486964364e-9,5.02846864845131e-7,0.5809634973076234,0.9020404643629704,0.32107696705534694,chr1,180114872,180114873,+,0.741501980835297,2,MIXED,distal pA,H838
CEP43,ENSG00000213066,PAS18532_AATAAA_0.1,0.0054926023642689736,0,11.6200311060677,1,6.524531001015828e-4,0.0073864363747295665,0.5292347452800448,0.8538895701080907,0.324654824828046,chr6,167042407,167042408,+,0.6915621576940678,2,MIXED,distal pA,H838
CFLAR,ENSG00000003402,PAS6803_AATAAA_0.45,9.137665612012836e-7,0.011562311605646034,11.700344280106949,1,6.248853497591182e-4,0.007162516161428819,0.31347077397039824,0.1803286277211574,-0.13314214624924084,chr2,201167545,201167546,+,0.24689970084577784,2,ALE,distal pA,H838
CGRRF1,ENSG00000100532,PAS36636_AATAAA_0.4,0.0025472685187034124,0,13.30738783268049,1,2.643624048051598e-4,0.003614482303989881,0.1597521583806567,0.5819065340220276,0.4221543756413709,chr14,54539282,54539283,+,0.37082934620134217,2,MIXED,distal pA,H838
CHMP1B,ENSG00000255112,PAS45195_AATAAA_0.3,0.009706846508794642,0.002274437491412721,12.146927214767857,1,4.916880692378738e-4,0.00597371023144185,0.2860062037783283,0.4186684769137856,0.1326622731354573,chr18,11853124,11853125,+,0.35233734034605696,2,TUTR,distal pA,H838
CHST12,ENSG00000136213,PAS19948_APA_0.05,0.0018409756855457704,0,14.040799512775491,1,1.7888687294351853e-4,0.002636982202269788,0.5394678074632748,0.7661920437867503,0.2267242363234755,chr7,2434616,2434617,+,0.6528299256250125,2,TUTR,distal pA,H838
CISD3,ENSG00000277972,PAS42713_APA_0.2,0.004200842706038306,0,12.22614961150316,1,4.7124348446555886e-4,0.0057856992162079,0.2271928396299641,0.40499626036658826,0.1778034207366242,chr17,38734660,38734661,+,0.3160945499982762,2,TUTR,distal pA,H838
CLIP4,ENSG00000115295,PAS5408_AATAAA_0.25,0.020867734131887927,0.013359252397875606,10.148736113228551,1,0.0014440020978314391,0.01388821003988323,0.6500125132180983,0.8276707268441482,0.17765821362604994,chr2,29183805,29183806,+,0.7388416200311232,2,ALE,distal pA,H838
COPZ1,ENSG00000111481,PAS32674_AATAAA_0.2,1.0304460437688416e-6,0,30.71694239726321,1,2.985468814129981e-8,1.6835509279681096e-6,0.7279702195392191,0.8965938966862925,0.16862367714707338,chr12,54351842,54351843,+,0.8122820581127559,2,TUTR,distal pA,H838
CREBL2,ENSG00000111269,PAS32205_ATTAAA_0.15,0.04843194150787412,0,6.577135251491768,1,0.010329700918883336,0.0623694820632658,0.3831325164429866,0.5839531527829409,0.20082063633995428,chr12,12645106,12645107,+,0.48354283461296377,2,TUTR,distal pA,H838
CRTAP,ENSG00000170275,PAS9377_AATAAA_0.45,9.676660078052152e-4,4.44471373785972e-5,22.243146654936027,1,2.4021463816157386e-6,7.594741235347924e-5,0.09283969128489826,0.201818782580416,0.10897909129551774,chr3,33146827,33146828,+,0.14732923693265712,2,TUTR,distal pA,H838
CYTH2,ENSG00000105443,PAS47068_ATTAAA_0.3,8.848603573752402e-5,0,20.895135007001954,1,4.851251346429889e-6,1.3710806110300074e-4,0.5629688335126928,0.7732639782587439,0.21029514474605115,chr19,48482312,48482313,+,0.6681164058857183,2,TUTR,distal pA,H838
DDA1,ENSG00000130311,PAS46437_AATAAA_0.25,0.00985680322561982,0.0012894508459945523,13.2080208374864,1,2.787535815945433e-4,0.003778343614470256,0.20892431756204888,0.34465509691844093,0.13573077935639205,chr19,17323294,17323295,+,0.2767897072402449,2,TUTR,distal pA,H838
DDX19B,ENSG00000157349,PAS40820_APA_0.05,0.004832095962880837,0,11.922470760830263,1,5.546087410037066e-4,0.00652837782960685,0.06064098811586438,0.1723785025848672,0.11173751446900282,chr16,70335211,70335212,+,0.11650974535036579,2,TUTR,distal pA,H838
DGKZ,ENSG00000149091,PAS29804_APA_0,5.107795830559991e-4,0,16.990582116674886,1,3.756569253584986e-5,7.349221093404498e-4,0.826306551851211,0.6805722157016009,-0.14573433614961018,chr11,46380550,46380551,+,0.753439383776406,2,iAPA,distal pA,H838
DHX34,ENSG00000134815,PAS47032_AATAAA_0.1,0.017410692166331246,0,8.942559176869509,1,0.002786021166798715,0.023523959392655027,0.4623077418205607,0.6120078395770292,0.14970009775646848,chr19,47382644,47382645,+,0.537157790698795,2,TUTR,distal pA,H838
DIAPH2,ENSG00000147202,PAS52178_AATAAA_0.2,0.0342579021812402,0,7.379657274449329,1,0.0065965739880970665,0.04485895450949968,0.4850323318073729,0.8523750299066558,0.3673426980992829,chrX,97604993,97604994,+,0.6687036808570144,2,ALE,distal pA,H838
