"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AIMP1","ENSG00000164022","PAS13116_AATAAA_0.2",1.79741825523052e-07,1.85577036074748e-07,31.3386564217581,1,2.16721242618938e-08,9.44694887583775e-07,0.0841349626074566,0.23743503931391,0.153300076706454,"chr4",106349221,106349222,"+",0.160785000960683,2,"MIXED","distal pA","SKMEL2"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",4.2414650637091e-14,0,65.6245335168087,1,5.45553897537104e-16,7.08852867059508e-14,0.467737058301156,0.779843576945908,0.312106518644753,"chr2",241673853,241673854,"+",0.623790317623532,2,"MIXED","distal pA","SKMEL2"
"AVL9","ENSG00000105778","PAS20272_AATAAA_0.3",0.00312695508303667,0.000662114961793833,14.3147703443542,1,0.000154646695853847,0.0021389363368199,0.218166967549471,0.387836258586807,0.169669291037336,"chr7",32586163,32586164,"+",0.303001613068139,2,"MIXED","distal pA","SKMEL2"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",5.91113605690546e-05,0,21.3992569217653,1,3.72915688359287e-06,8.85625605764332e-05,0.786706139161669,0.915461915874272,0.128755776712603,"chrX",47229992,47229993,"+",0.851084027517971,2,"MIXED","distal pA","SKMEL2"
"CEP350","ENSG00000135837","PAS1918_AATAAA_0.2",0.0101848993063443,0,9.95366320490325,1,0.00160529650153078,0.0140312882439751,0.802524247788736,0.952594986566114,0.150070738777378,"chr1",180114872,180114873,"+",0.877559617177425,2,"MIXED","distal pA","SKMEL2"
"COQ7","ENSG00000167186","PAS40321_AATAAA_0.2",0.0102073798173508,0.00992716034470048,9.27846666006371,1,0.00231863442922363,0.0187952651722249,0.303920722934539,0.0961545716069551,-0.207766151327584,"chr16",19079260,19079261,"+",0.200037647270747,2,"MIXED","distal pA","SKMEL2"
"DCAF11","ENSG00000100897","PAS36417_AATAAA_0.05",0.000631795151143616,0,16.1865328410531,1,5.74007436216637e-05,0.000935652893316697,0.272767752494265,0.475498166047985,0.20273041355372,"chr14",24125240,24125241,"+",0.374132959271125,2,"MIXED","distal pA","SKMEL2"
"RNFT2","ENSG00000135119","PAS33335_AATAAA_0.1",0.00164156744763552,0,14.0540615318023,1,0.000177629797314582,0.00240509738448949,0.347436280359756,0.632305187810263,0.284868907450507,"chr12",116853628,116853629,"+",0.489870734085009,2,"MIXED","distal pA","SKMEL2"
"RPL15","ENSG00000174748","PAS9310_AATAAA_0.4",8.81929845700238e-61,0,283.556853389979,1,1.2604142343613e-63,1.31015211914802e-60,0.206892203422512,0.363715973815209,0.156823770392696,"chr3",23920838,23920839,"+",0.285304088618861,2,"MIXED","distal pA","SKMEL2"
"SEH1L","ENSG00000085415","PAS45220_AATAAA_0.15",0.00486316550149999,0,11.6260600707137,1,0.000650341650363288,0.00683896242907991,0.748193747610421,0.610177103666999,-0.138016643943421,"chr18",12987533,12987534,"+",0.67918542563871,2,"MIXED","distal pA","SKMEL2"
"SF3B3","ENSG00000189091","PAS40834_AATAAA_0.1",2.63922801190206e-05,8.52029505256772e-05,18.1988014202943,1,1.99004033077531e-05,0.000383615049782693,0.0782002920658391,0.188951039459414,0.110750747393575,"chr16",70577666,70577667,"+",0.133575665762627,2,"MIXED","distal pA","SKMEL2"
"SLC48A1","ENSG00000211584","PAS32506_AATAAA_0.15",0.000666437964213839,0,16.0558722261817,1,6.1500604292476e-05,0.000990533570684775,0.466576921612339,0.72182068861958,0.25524376700724,"chr12",47782749,47782750,"+",0.59419880511596,2,"MIXED","distal pA","SKMEL2"
