gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
AARD,ENSG00000205002,PAS23324_AATAAA_0.35,0.02762030884470461,0,6.265289051103537,1,0.012312608054124211,0.03552332672167198,0.621626081135749,0.829822688050967,0.208196606915218,chr8,116943997,116943998,+,0.7257243845933581,2,TUTR,distal pA,DMAi_72hrs
ABCB8,ENSG00000197150,PAS21132_AATAAA_0.2,6.596252100967352e-4,0,13.944753294866814,1,1.882623620366676e-4,9.624849777577052e-4,0.1114059905101773,0.4819425417622667,0.3705365512520894,chr7,151047779,151047780,+,0.296674266136222,2,TUTR,distal pA,DMAi_72hrs
ABCC1,ENSG00000103222,PAS40309_APA_0.2,0.0070383035967143456,0,9.047297248069526,1,0.002630834486240443,0.009535425405327024,0.8242104473840591,0.9398004122649848,0.11558996488092577,chr16,16143051,16143052,+,0.8820054298245219,2,TUTR,distal pA,DMAi_72hrs
ABHD10,ENSG00000144827,PAS9981_AATAAA_0.2,3.62724498958874e-8,3.259569276620953e-9,36.3922933993108,1,1.6133990117852727e-9,2.0801463171411583e-8,0.7745316883620855,0.9042158538560394,0.1296841654939539,chr3,111993366,111993367,+,0.8393737711090625,2,TUTR,distal pA,DMAi_72hrs
ABHD5,ENSG00000011198,PAS9496_AATAAA_0.3,0.0034588263557930074,0.01189962548153298,7.583653530122433,1,0.0058899941566582445,0.018973300325916133,0.1108806152233317,0.276951208425702,0.16607059320237028,chr3,43720696,43720697,+,0.19391591182451684,2,TUTR,distal pA,DMAi_72hrs
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,2.338338521882884e-24,0,110.48700607463616,1,7.664616097509255e-26,4.230708406323077e-24,0.4787788678618072,0.8904285517425746,0.4116496838807674,chr2,203432167,203432168,+,0.6846037098021909,2,TUTR,distal pA,DMAi_72hrs
ACAD8,ENSG00000151498,PAS30738_AATAAA_0.45,3.9850762570684006e-4,0,14.964792596407278,1,1.095359380533786e-4,5.894694675810967e-4,0.799806984492743,0.9574723000311324,0.15766531553838936,chr11,134265849,134265850,+,0.8786396422619377,2,iAPA,distal pA,DMAi_72hrs
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,1.1779744308966852e-9,0,41.25118967212984,1,1.3387034376258558e-10,1.947060251412464e-9,0.5126320976006256,0.7107921326859629,0.1981600350853373,chr2,278279,278280,+,0.6117121151432943,2,TUTR,distal pA,DMAi_72hrs
ACSF3,ENSG00000176715,PAS41025_None_0.25,5.800376006063683e-4,0,14.211265476562062,1,1.633894067058154e-4,8.507701927292327e-4,0.633696712677789,0.9713785279264618,0.3376818152486728,chr16,89155760,89155761,+,0.8025376203021255,2,ALE,distal pA,DMAi_72hrs
ACVR2B,ENSG00000114739,PAS9431_AATAAA_0.2,0.018234564960850044,0.00363266100436428,9.745042889438537,1,0.0017980693696646893,0.006887688860134834,0.418000951041372,0.5805767343907149,0.16257578334934286,chr3,38493139,38493140,+,0.49928884271604346,2,TUTR,distal pA,DMAi_72hrs
