"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"DGKZ","ENSG00000149091","PAS29804_APA_0",0.000510779583055999,0,16.9905821166749,1,3.75656925358499e-05,0.00073492210934045,0.826306551851211,0.680572215701601,-0.14573433614961,"chr11",46380550,46380551,"+",0.753439383776406,2,"iAPA","distal pA","H838"
"ENSG00000273154","ENSG00000273154","PAS49371_AATAAA_0.1",0.0179190904093807,0,8.86976639354953,1,0.00289932240633314,0.0242218024931605,0.441946176305892,0.5678814370227,0.125935260716808,"chr20",63739102,63739103,"+",0.504913806664296,2,"iAPA","distal pA","H838"
"ITGAV","ENSG00000138448","PAS6690_AATAAA_0.15",9.54681990942284e-05,8.3510988856467e-05,18.3843561805661,1,1.80534118989911e-05,0.000401915343114411,0.965738661584244,0.843777569459748,-0.121961092124496,"chr2",186680896,186680897,"+",0.904758115521996,2,"iAPA","distal pA","H838"
"MAP2K5","ENSG00000137764","PAS38730_AATAAA_0.25",7.4390340260415e-06,0,26.446718157695,1,2.70908354349092e-07,1.14847850221397e-05,0.98338183640228,0.675630461748315,-0.307751374653964,"chr15",67807112,67807113,"+",0.829506149075298,2,"iAPA","distal pA","H838"
"PACS1","ENSG00000175115","PAS30087_AATAAA_0.05",2.1108729106412e-07,0,34.2316800629274,1,4.89259600416057e-09,3.48160626367498e-07,0.797179668947892,0.544364280509621,-0.252815388438271,"chr11",66244743,66244744,"+",0.670771974728757,2,"iAPA","distal pA","H838"
"PGLS","ENSG00000130313","PAS46444_ATTAAA_0.15",8.41396549087265e-43,0,203.417559575677,1,3.7503746337743e-46,1.49452429155906e-42,0.922897714340008,0.302301967107543,-0.620595747232465,"chr19",17521285,17521286,"+",0.612599840723775,2,"iAPA","distal pA","H838"
"ASH1L","ENSG00000116539","PAS4226_ATTAAA_0.25",0.0141596417137234,0.0262968538102368,7.64757915912196,1,0.00568485584932688,0.0403816335028395,0.437984472715811,0.30588307910191,-0.132101393613901,"chr1",155335269,155335270,"-",0.37193377590886,2,"iAPA","distal pA","H838"
"BLOC1S5-TXNDC5","ENSG00000259040","PAS18638_APA_0.1",0.0165484236895087,0,9.06878497780895,1,0.00260009777158539,0.0224272502592376,0.877639922297571,0.626934686193306,-0.250705236104265,"chr6",7882811,7882812,"-",0.752287304245438,2,"iAPA","distal pA","H838"
"CSNK2A2","ENSG00000070770","PAS41656_AATAAA_0.3",0.00814712441999132,0,10.7158878971639,1,0.00106219473717293,0.0108441828205827,0.849904607743428,0.607909411912976,-0.241995195830452,"chr16",58157909,58157910,"-",0.728907009828202,2,"iAPA","distal pA","H838"
"DYNLT2B","ENSG00000213123","PAS12348_AATAAA_0.15",0.00304059672359703,0,12.9215599277417,1,0.000324819053950991,0.00427789074039076,0.93539114728761,0.570339659381872,-0.365051487905738,"chr3",196291220,196291221,"-",0.752865403334741,2,"iAPA","distal pA","H838"
"STAU2","ENSG00000040341","PAS24040_APA_0.1",8.75670968603153e-07,5.84371376655032e-07,29.2638012447674,1,6.3164724242855e-08,3.31199244878654e-06,0.642151501378384,0.261752122249243,-0.38039937912914,"chr8",73420370,73420371,"-",0.451951811813813,2,"iAPA","distal pA","H838"
"TMEM44","ENSG00000145014","PAS12301_AATAAA_0.25",0.0460857326559278,0,6.70132169991484,1,0.00963414692027196,0.0594304573951761,0.937120592357857,0.827050414325775,-0.110070178032082,"chr3",194587678,194587679,"-",0.882085503341816,2,"iAPA","distal pA","H838"
"DGKZ","ENSG00000149091","PAS29803_AATAAA_0.25",0.000510779583055999,0,16.9905821166735,1,3.75656925358769e-05,0.00073492210934045,0.173693448148789,0.319427784298399,0.14573433614961,"chr11",46378111,46378112,"+",0.246560616223594,2,"iAPA","proximal pA","H838"
"ENSG00000273154","ENSG00000273154","PAS49370_ATTAAA_0.25",0.0179190904093807,0,8.86976639355044,1,0.00289932240633171,0.0242218024931605,0.558053823694108,0.4321185629773,-0.125935260716808,"chr20",63736140,63736141,"+",0.495086193335704,2,"iAPA","proximal pA","H838"
"ITGAV","ENSG00000138448","PAS6686_AATAAA_0.2",9.54681990942284e-05,6.51350605695386e-06,23.2695876779617,1,1.40809023294969e-06,4.89352288805625e-05,0.0113538513958989,0.119589562314554,0.108235710918655,"chr2",186636687,186636688,"+",0.0654717068552263,2,"iAPA","proximal pA","H838"
"MAP2K5","ENSG00000137764","PAS38729_ATTAAA_0.25",7.4390340260415e-06,0,26.446718157695,1,2.70908354349092e-07,1.14847850221397e-05,0.0166181635977205,0.324369538251685,0.307751374653964,"chr15",67770894,67770895,"+",0.170493850924703,2,"iAPA","proximal pA","H838"
"PACS1","ENSG00000175115","PAS30086_APA_0.1",2.1108729106412e-07,0,34.2316800629274,1,4.89259600416057e-09,3.48160626367498e-07,0.202820331052108,0.455635719490379,0.252815388438271,"chr11",66221832,66221833,"+",0.329228025271243,2,"iAPA","proximal pA","H838"
"PGLS","ENSG00000130313","PAS46443_AATAAA_0.3",8.41396549087265e-43,0,203.417559575677,1,3.7503746337743e-46,1.49452429155906e-42,0.0771022856599922,0.697698032892457,0.620595747232465,"chr19",17518449,17518450,"+",0.387400159276225,2,"iAPA","proximal pA","H838"
"ASH1L","ENSG00000116539","PAS4228_APA_0.25",0.0141596417137234,0.0115988321368057,9.1351592016872,1,0.00250743641022988,0.021801019843126,0.131782984048999,0.247059692408721,0.115276708359722,"chr1",155354522,155354523,"-",0.18942133822886,2,"iAPA","proximal pA","H838"
"BLOC1S5-TXNDC5","ENSG00000259040","PAS18639_APA_0.3",0.0165484236895087,0,9.06878497780895,1,0.00260009777158539,0.0224272502592376,0.122360077702429,0.373065313806694,0.250705236104265,"chr6",7890648,7890649,"-",0.247712695754562,2,"iAPA","proximal pA","H838"
"CSNK2A2","ENSG00000070770","PAS41661_AATAAA_0.45",0.00814712441999132,0,10.7158878971639,1,0.00106219473717293,0.0108441828205827,0.150095392256572,0.392090588087024,0.241995195830452,"chr16",58163996,58163997,"-",0.271092990171798,2,"iAPA","proximal pA","H838"
"DYNLT2B","ENSG00000213123","PAS12350_ATTAAA_0.15",0.00304059672359703,0,12.9215599277417,1,0.000324819053950991,0.00427789074039076,0.0646088527123897,0.429660340618128,0.365051487905739,"chr3",196315181,196315182,"-",0.247134596665259,2,"iAPA","proximal pA","H838"
"STAU2","ENSG00000040341","PAS24045_AATAAA_0.3",8.75670968603153e-07,2.8098363557845e-05,21.7929421440824,1,3.03715318153663e-06,9.26254241971183e-05,0.179702464462201,0.486997106896647,0.307294642434446,"chr8",73526838,73526839,"-",0.333349785679424,2,"iAPA","proximal pA","H838"
"TMEM44","ENSG00000145014","PAS12303_APA_0.35",0.0460857326559278,0,6.70132169991484,1,0.00963414692027196,0.0594304573951761,0.0628794076421431,0.172949585674225,0.110070178032082,"chr3",194621883,194621884,"-",0.117914496658184,2,"iAPA","proximal pA","H838"
