gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,6.051803152103723e-10,0,44.85720675889388,1,2.1193939545553918e-11,1.0971186197101242e-9,0.4481200708861752,0.7610637459795835,0.3129436750934083,chr2,203432167,203432168,+,0.6045919084328794,2,TUTR,distal pA,ADMAi
ABLIM3,ENSG00000173210,PAS15637_APA_0.15,6.455535120520022e-4,0,15.36872634040992,1,8.84400111787026e-5,9.727781033225458e-4,0.7524558617250475,0.9359688721899028,0.18351301046485524,chr5,149260435,149260436,+,0.8442123669574751,2,MIXED,distal pA,ADMAi
ACADSB,ENSG00000196177,PAS27953_AATAAA_0.2,0.001030409331768651,0.0012687735961043542,12.606163464829478,1,3.8447684730434975e-4,0.003376934778910595,0.3376414056751216,0.15893865056018264,-0.17870275511493894,chr10,123058288,123058289,+,0.2482900281176521,2,TUTR,distal pA,ADMAi
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,3.690062952148507e-5,0,21.55684091486364,1,3.434952448652122e-6,5.799486453940638e-5,0.4636181959081456,0.592092408278887,0.1284742123707414,chr2,278279,278280,+,0.5278553020935163,2,TUTR,distal pA,ADMAi
ADAMTSL1,ENSG00000178031,PAS24852_AATAAA_0.15,4.3044477575792743e-14,1.3989026911107718e-6,26.920895219830072,1,2.1195495319860179e-7,4.939841665557309e-6,0.3765357780733048,0.11733977124852628,-0.2591960068247785,chr9,18910293,18910294,+,0.24693777466091554,3,ALE,distal pA,ADMAi
ADCY7,ENSG00000121281,PAS40571_ATTAAA_0.35,0.0010358905690879348,1.6988774072432177e-4,16.392773350700736,1,5.148113355282477e-5,6.182860488331214e-4,0.885349137005726,0.7149759396518086,-0.17037319735391754,chr16,50318131,50318132,+,0.8001625383287674,2,TUTR,distal pA,ADMAi
ADO,ENSG00000181915,PAS27252_AATAAA_0.25,2.3421989776632672e-4,0,17.5426957262614,1,2.8092787592734592e-5,3.665851692113495e-4,0.40353281225362353,0.6464293840305846,0.24289657177696103,chr10,62808470,62808471,+,0.524981098142104,2,TUTR,distal pA,ADMAi
AGAP3,ENSG00000133612,PAS21139_AATAAA_0.05,0.03944731412880861,0,6.420524041021508,1,0.01128088678407155,0.0518583555709737,0.7368384007316298,0.873335894997792,0.1364974942661622,chr7,151144433,151144434,+,0.8050871478647108,2,ALE,distal pA,ADMAi
AGPAT3,ENSG00000160216,PAS50311_None_0.25,3.264402514557398e-26,8.464316196493095e-12,51.71643874936126,1,6.412360754919011e-13,4.2259612790296086e-11,0.3546662038365434,0.17117114768786004,-0.18349505614868336,chr21,43985411,43985412,+,0.26291867576220174,3,TUTR,distal pA,ADMAi
AIF1L,ENSG00000126878,PAS25648_AATAAA_0.2,0.005492835518459514,0,10.734928415613467,1,0.0010513206923045584,0.007831497239307688,0.687922086955698,0.8286883539842324,0.14076626702853434,chr9,131123142,131123143,+,0.7583052204699652,2,TUTR,distal pA,ADMAi
AIG1,ENSG00000146416,PAS18369_AATAAA_0.2,6.157624670743316e-13,0.00296369373572196,12.926596323162812,1,3.2394627889274194e-4,0.002930275308207992,0.6469907949329936,0.7840590813816691,0.13706828644867552,chr6,143340301,143340302,+,0.7155249381573314,2,ALE,distal pA,ADMAi
AKAP12,ENSG00000131016,PAS18440_AATAAA_0.25,2.441442169093141e-7,1.0012883489834094e-8,35.16177808301654,1,3.0342071181315433e-9,1.0623111305333317e-7,0.4034184276191956,0.5469089391119145,0.1434905114927189,chr6,151358532,151358533,+,0.47516368336555503,2,TUTR,distal pA,ADMAi
ALDH5A1,ENSG00000112294,PAS17429_AATAAA_0.15,6.439052210266833e-4,0,15.376074609787338,1,8.809672982148838e-5,9.703632073389828e-4,0.5560465376047916,0.7658301881091347,0.2097836505043431,chr6,24537205,24537206,+,0.6609383628569632,2,TUTR,distal pA,ADMAi
ANKRD42,ENSG00000137494,PAS30350_ATTAAA_0.25,0.008688513426442475,0,9.709119387995573,1,0.0018335585401837412,0.012343075408919308,0.06813285091219878,0.4465942835731716,0.3784614326609728,chr11,83256097,83256098,+,0.25736356724268517,2,ALE,distal pA,ADMAi
AP2A2,ENSG00000183020,PAS29386_AATAAA_0.15,1.6162695466442986e-7,0,33.149355393558835,1,8.534466305089654e-9,2.7487290348117297e-7,0.10515213461691642,0.29142278401673405,0.18627064939981763,chr11,1012238,1012239,+,0.19828745931682523,2,MIXED,distal pA,ADMAi
APBA2,ENSG00000034053,PAS38226_AATAAA_0.25,0.0015198439186789778,0,13.500083078344687,1,2.3855289233484228e-4,0.002267698252286061,0.17090913890926707,0.34717981977953166,0.1762706808702646,chr15,29118310,29118311,+,0.25904447934439934,2,TUTR,distal pA,ADMAi
APOBEC3F,ENSG00000128394,PAS51019_AATAAA_0.35,0.009477974635785556,0.006486940400984761,9.581255364231763,1,0.001965739515449928,0.013109108971017056,0.46753218920213807,0.238636128112795,-0.22889606108934307,chr22,39053648,39053649,+,0.35308415865746656,2,ALE,distal pA,ADMAi
ARAF,ENSG00000078061,PAS51930_None_0.05,1.7706805982731469e-4,0,18.166401269943435,1,2.024185768303543e-5,2.753629989231663e-4,0.9529971065435076,0.8492387869537711,-0.10375831958973648,chrX,47571905,47571906,+,0.9011179467486393,2,ALE,distal pA,ADMAi
ARL4A,ENSG00000122644,PAS20096_AATAAA_0.3,6.435661887373551e-5,2.90451727494791e-4,15.377813871018589,1,8.801567499842153e-5,9.703632073389828e-4,0.1963190141786919,0.4062495506799979,0.209930536501306,chr7,12690724,12690725,+,0.3012842824293449,2,MIXED,distal pA,ADMAi
ASB1,ENSG00000065802,PAS7198_AATAAA_0.05,2.051758522632546e-7,0,32.613426864239955,1,1.1243532459401894e-8,3.499103306065848e-7,0.6842088939215293,0.8400457504417265,0.1558368565201972,chr2,238452248,238452249,+,0.7621273221816278,2,MIXED,distal pA,ADMAi
ASIC1,ENSG00000110881,PAS32550_AATAAA_0.1,0.006938303947674359,0,10.200828286982414,1,0.0014037758848951024,0.009882506622342763,0.7924567651793759,0.939880597934598,0.14742383275522197,chr12,50083609,50083610,+,0.8661686815569869,2,TUTR,distal pA,ADMAi
ASXL1,ENSG00000171456,PAS48942_AATAAA_0.35,2.97661538597734e-24,3.7567066253308416e-19,84.52459283099051,1,3.7946531568998413e-20,7.348041329132593e-18,0.2173847092822844,0.46340512189722177,0.24602041261493737,chr20,32437354,32437355,+,0.3403949155897531,2,ALE,distal pA,ADMAi
ATF6,ENSG00000118217,PAS1753_AATAAA_0.15,2.062912308190484e-15,7.984136183733407e-7,28.005490051404195,1,1.209717603595971e-7,2.978715951711585e-6,0.17325033600686124,0.33392388563686826,0.16067354963000702,chr1,161964068,161964069,+,0.25358711082186475,3,TUTR,distal pA,ADMAi
ATG4B,ENSG00000168397,PAS7248_APA_0.2,9.520535441463436e-9,1.889020928018373e-10,42.912522779219216,1,5.724305842479919e-11,2.729466372965769e-9,0.2821437754960308,0.5329852207975729,0.2508414453015422,chr2,241673853,241673854,+,0.40756449814680185,2,MIXED,distal pA,ADMAi
ATG7,ENSG00000197548,PAS9191_AATAAA_0.45,3.707577556384721e-9,0,41.03728554095687,1,1.4935260706176888e-10,6.731596671735187e-9,0.07328575377117341,0.2663962959841011,0.19311054221292767,chr3,11557662,11557663,+,0.16984102487763725,2,TUTR,distal pA,ADMAi
ATP11A,ENSG00000068650,PAS35766_AATAAA_0.2,1.8573573629751107e-23,1.064478996599544e-15,66.6602817159146,1,3.2256939290895283e-16,3.418581707957381e-14,0.7380949058902445,0.18055651395791217,-0.5575383919323323,chr13,112887165,112887166,+,0.45932570992407834,2,ALE,distal pA,ADMAi
ATP6V0A2,ENSG00000185344,PAS33561_AATAAA_0.15,1.454561365207677e-4,5.392984599124392e-6,24.3170662233606,1,8.17118878655211e-7,1.653743175704127e-5,0.3044871794871792,0.4983587532668568,0.1938715737796776,chr12,123761751,123761752,+,0.401422966377018,2,TUTR,distal pA,ADMAi
B3GALT6,ENSG00000176022,PAS29_ATTAAA_0.25,6.245806494331394e-10,4.922823270688303e-8,32.06399628520012,1,1.4917646274813038e-8,4.517051772595415e-7,0.3893151273735505,0.7151515130607602,0.3258363856872097,chr1,1235037,1235038,+,0.5522333202171553,2,TUTR,distal pA,ADMAi
BAIAP2,ENSG00000175866,PAS43519_AATAAA_0.15,2.1950425897404847e-24,1.0581456019920922e-22,98.52683345370316,1,3.206501824218461e-23,8.524403578451962e-21,0.8567106415706381,0.5276588717241406,-0.32905176984649753,chr17,81116223,81116224,+,0.6921847566473893,2,ALE,distal pA,ADMAi
BICD1,ENSG00000151746,PAS32454_AATAAA_0.2,4.677014108399078e-16,1.6011568790593988e-13,58.15222601478001,1,2.4259952713021192e-14,2.002722938440723e-12,0.6333601945192586,0.134360376940573,-0.4989998175786856,chr12,32383631,32383632,+,0.3838602857299158,3,ALE,distal pA,ADMAi
BLTP1,ENSG00000138688,PAS13189_AATAAA_0.2,0.04539234619174135,0,6.113206038755152,1,0.013417552521568852,0.059299608706905454,0.7572032869780875,0.8931394639906184,0.1359361770125309,chr4,122362749,122362750,+,0.8251713754843529,2,TUTR,distal pA,ADMAi
BMP2K,ENSG00000138756,PAS12979_AATAAA_0.25,0.0065987516931022665,0,10.315030903251229,1,0.0013195108629621406,0.009411790761983624,0.8470528340615541,0.6222315842363556,-0.2248212498251985,chr4,78916362,78916363,+,0.7346422091489548,2,ALE,distal pA,ADMAi
BORA,ENSG00000136122,PAS35600_AATAAA_0.15,0.0011760017404356569,0,14.057254072065916,1,1.7732851502486497e-4,0.0017704632451718697,0.3494782847584901,0.6297128799985009,0.2802345952400108,chr13,72756193,72756194,+,0.4895955823784955,2,TUTR,distal pA,ADMAi
BTD,ENSG00000169814,PAS9256_AATAAA_0.25,4.335316571574777e-5,0,21.197018184862145,1,4.144087421763055e-6,6.892896204703449e-5,0.5318050730322785,0.8643567015969761,0.33255162856469755,chr3,15645816,15645817,+,0.6980808873146274,2,ALE,distal pA,ADMAi
C2orf49,ENSG00000135974,PAS6111_AATAAA_0.2,0.013052941547496809,0,8.833017820511941,1,0.002958287786758032,0.01819637017070578,0.4396673666546939,0.2900388296579133,-0.14962853699678064,chr2,105348761,105348762,+,0.3648530981563036,2,TUTR,distal pA,ADMAi
C6orf89,ENSG00000198663,PAS17744_ATTAAA_0.1,8.081718490463637e-10,1.1056794055206102e-6,28.16007480113421,1,1.1168478843642526e-7,2.776190026347592e-6,0.3620059342571962,0.5434018369664066,0.1813959027092104,chr6,36928961,36928962,+,0.4527038856118014,2,TUTR,distal pA,ADMAi
C9orf85,ENSG00000155621,PAS25058_AATAAA_0.25,0.04632081790990825,0,6.068698900828508,1,0.013759828352036277,0.0602703692071783,0.7005206800868299,0.8574797175418029,0.15695903745497297,chr9,71973452,71973453,+,0.7790001988143164,2,TUTR,distal pA,ADMAi
CALM3,ENSG00000160014,PAS47004_AATAAA_0.05,8.156320500313786e-24,0,111.63654730669803,1,4.292021312086732e-26,1.6419598604897658e-23,0.7630286767994695,0.8879228232181781,0.12489414641870857,chr19,46610780,46610781,+,0.8254757500088238,2,TUTR,distal pA,ADMAi
CAMSAP2,ENSG00000118200,PAS2039_AATAAA_0.2,0.0015900958278518829,0.03907901310854761,7.574170392863834,1,0.005921062592204184,0.03163210720664939,0.7301098571593517,0.616997057260845,-0.11311279989850676,chr1,200860700,200860701,+,0.6735534572100983,2,TUTR,distal pA,ADMAi
CAMTA1,ENSG00000171735,PAS113_AATAAA_0.15,0.0026406010366959594,0,12.288849372165714,1,4.556725795496021e-4,0.0038738343686913327,0.24154564027190617,0.3670642850924777,0.1255186448205715,chr1,6888198,6888199,+,0.3043049626821919,2,ALE,distal pA,ADMAi
CCDC18,ENSG00000122483,PAS1144_AATAAA_0.3,0.04181431025213137,0.02688095050196256,7.001148767769337,1,0.0081457425763522915,0.04007715568070442,0.3854165534383711,0.6799982513939241,0.294581697955553,chr1,93264942,93264943,+,0.5327074024161476,2,ALE,distal pA,ADMAi
CCDC97,ENSG00000142039,PAS46855_ATTAAA_0.35,1.048444711180036e-5,0.01828449510203997,8.952844958752394,1,0.0027703780457636325,0.017294194779550926,0.821704555893573,0.7029702825452265,-0.11873427334834652,chr19,41324869,41324870,+,0.7623374192193998,2,iAPA,distal pA,ADMAi
CCNY,ENSG00000108100,PAS27137_ATTAAA_0.1,5.306792899103095e-15,3.974876642657986e-6,24.90501972774291,1,6.022540367663615e-7,1.261195536272414e-5,0.2424445357926852,0.376802801911001,0.13435826611831583,chr10,35570345,35570346,+,0.3096236688518431,3,TUTR,distal pA,ADMAi
CCNYL1,ENSG00000163249,PAS6898_AATAAA_0.3,2.6332274238859985e-5,8.540141763345227e-6,22.100130321599863,1,2.5879217464682505e-6,4.515189387469913e-5,0.4692419201109075,0.654256874336745,0.18501495422583747,chr2,207756169,207756170,+,0.5617493972238262,2,TUTR,distal pA,ADMAi
CD2AP,ENSG00000198087,PAS17892_ATTAAA_0.15,0.013572510874023504,0.006526918000441594,9.569975760493437,1,0.001977853939527756,0.013184291985334828,0.4245234383136205,0.5306101017903848,0.10608666347676438,chr6,47627135,47627136,+,0.47756677005200265,2,TUTR,distal pA,ADMAi
CDC45,ENSG00000093009,PAS50702_AATAAA_0.1,6.822410355114843e-5,0,20.215166797190022,1,6.920209378532384e-6,1.0821882761942216e-4,0.9275970532269908,0.7513513139412789,-0.17624573928571186,chr22,19520597,19520598,+,0.8394741835841348,2,ALE,distal pA,ADMAi
CDK16,ENSG00000102225,PAS51923_ATTAAA_0.35,2.2153621971810286e-14,0,66.18738248676527,1,4.1002893143290433e-16,4.259141582466956e-14,0.6018144222915598,0.8324886937347804,0.2306742714432206,chrX,47229992,47229993,+,0.7171515580131701,2,MIXED,distal pA,ADMAi
CDS2,ENSG00000101290,PAS48769_AATAAA_0.15,0.0043190150434542045,0.003024228032540883,12.278459841018956,1,4.5821636856680046e-4,0.0038891362234687583,0.18081281820037143,0.3267778294300018,0.14596501122963035,chr20,5197885,5197886,+,0.2537953238151866,2,TUTR,distal pA,ADMAi
CENPO,ENSG00000138092,PAS5285_AATAAA_0.1,0.014313835404558635,0,8.62238403142419,1,0.003320569644892043,0.019986633292115936,0.7527614557721242,0.8574932452648637,0.10473178949273954,chr2,24822374,24822375,+,0.8051273505184939,2,TUTR,distal pA,ADMAi
CEP43,ENSG00000213066,PAS18532_AATAAA_0.1,2.5778147391549686e-4,0.01892029274972305,8.890417958846001,1,0.0028667110226853107,0.017730426810259894,0.2616035031145188,0.4311457611680054,0.1695422580534866,chr6,167042407,167042408,+,0.3463746321412621,3,MIXED,distal pA,ADMAi
CEP78,ENSG00000148019,PAS25096_APA_0.3,8.102937394757684e-6,1.815776660498308e-4,16.26666355494376,1,5.502353516661539e-5,6.538213250669412e-4,0.23054961856603584,0.02969937798649247,-0.20085024057954337,chr9,78278426,78278427,+,0.13012449827626416,3,ALE,distal pA,ADMAi
CEP95,ENSG00000258890,PAS43252_AATAAA_0.3,0.0025007732073564137,0.005988492294159591,11.007688422536605,1,9.073473172969076e-4,0.006952487870934048,0.7853882723039028,0.6032011530189129,-0.18218711928499,chr17,64537941,64537942,+,0.6942947126614079,2,ALE,distal pA,ADMAi
CFAP251,ENSG00000158023,PAS33469_ATTAAA_0.4,3.743176332924781e-11,1.861970920550324e-9,38.44137610825601,1,5.64233612287977e-10,2.223619147923849e-8,0.6359406588849907,0.461644882843302,-0.17429577604168872,chr12,122003916,122003917,+,0.5487927708641464,2,ALE,distal pA,ADMAi
CGRRF1,ENSG00000100532,PAS36636_AATAAA_0.4,6.548987820228635e-4,0,15.326616941338216,1,9.043331031017948e-5,9.864022755321038e-4,0.11124690740699604,0.2948208539480241,0.1835739465410281,chr14,54539282,54539283,+,0.20303388067751008,2,MIXED,distal pA,ADMAi
CHMP1B,ENSG00000255112,PAS45196_ATTAAA_0.2,2.883031993395757e-4,0.04805224219265129,5.968788017824409,1,0.014561285512924634,0.06303995674033201,0.26899837712660823,0.3785713639739276,0.10957298684731936,chr18,11854442,11854443,+,0.32378487055026794,3,ALE,distal pA,ADMAi
CHMP4B,ENSG00000101421,PAS48968_ATTAAA_0.1,1.0775987181044422e-5,0,24.22212932173716,1,8.58402898289609e-7,1.728376053874869e-5,0.41148634710074417,0.5612826074329678,0.1497962603322236,chr20,33854362,33854363,+,0.48638447726685596,2,TUTR,distal pA,ADMAi
