"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.66469018330072,NA,0.562268276304167,1,0.453347760633707,0.801639121572919,0.109469223377361,0.129635047619239,0.0201658242418784,"chr4",145129520,145129521,"+",0.1195521354983,0,"TUTR"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.778690537869143,NA,0.0160730400848479,1,0.899114926220007,0.978977509488345,0.695070738810451,0.687697344856877,-0.00737339395357439,"chr10",124836666,124836667,"+",0.691384041833664,0,"TUTR"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.867348497957736,NA,0.208798891474316,1,0.647710453648668,0.891655389558171,0.814201080942476,0.831747125035479,0.017546044093003,"chr12",1788670,1788671,"+",0.822974102988977,0,"TUTR"
"AFAP1L1","ENSG00000157510","PAS15640_ATTAAA_0.35",0.743211692294843,NA,0.658225082838783,1,0.417187255937449,0.777977555129429,0.310711377362396,0.236512297599241,-0.0741990797631552,"chr5",149341801,149341802,"+",0.273611837480819,0,"TUTR"
"AKAP9","ENSG00000127914","PAS20635_ATTAAA_0.3",0.842282613390788,NA,0.581314847804606,1,0.445797403604251,0.795877975708096,0.422924818148261,0.472972972971922,0.0500481548236617,"chr7",91995799,91995800,"+",0.447948895560091,0,"TUTR"
"ANKRD33B","ENSG00000164236","PAS14609_AATAAA_0.3",0.856276842201967,NA,0.018806941722687,1,0.890921397592628,0.97647095649852,0.549203141234529,0.556747528957154,0.00754438772262422,"chr5",10657814,10657815,"+",0.552975335095841,0,"TUTR"
"ANKS1A","ENSG00000064999","PAS17697_AATAAA_0.2",0.873610427373283,NA,0.194961519056164,1,0.658818874785809,0.897250975805234,0.839288675936914,0.809568988086255,-0.0297196878506594,"chr6",35091404,35091405,"+",0.824428832011584,0,"TUTR"
"APPL1","ENSG00000157500","PAS9709_AATAAA_0.35",0.653179738385006,NA,1.0540838113875,1,0.304568419649,0.700025547569946,0.55549527804989,0.501751515209969,-0.0537437628399211,"chr3",57273451,57273452,"+",0.52862339662993,0,"TUTR"
"ARF6","ENSG00000165527","PAS36585_AATAAA_0.2",0.301892523356661,NA,3.46958617794439,1,0.0625069463310223,0.357410328789379,0.944634903381228,0.888501601907765,-0.056133301473463,"chr14",49897052,49897053,"+",0.916568252644497,0,"TUTR"
"ARHGAP35","ENSG00000160007","PAS47015_AATAAA_0.45",0.0609036567719356,NA,3.0457935124241,1,0.0809465480445994,0.408113088610118,0.35255782756088,0.426464482263131,0.0739066547022511,"chr19",47005073,47005074,"+",0.389511154912005,0,"TUTR"
"ARIH1","ENSG00000166233","PAS38774_AATAAA_0.25",0.831192790720494,NA,1.29321913979948,1,0.255455550691273,0.656697680920223,0.472274895987523,0.422857915937186,-0.0494169800503368,"chr15",72586553,72586554,"+",0.447566405962355,0,"TUTR"
"ARL5B","ENSG00000165997","PAS27019_AATAAA_0.3",0.624113564262901,NA,1.18917470661881,1,0.275496090957647,0.673025053433211,0.868184526410456,0.912667373955883,0.0444828475454273,"chr10",18681637,18681638,"+",0.890425950183169,0,"TUTR"
"ARPC5L","ENSG00000136950","PAS25477_AATAAA_0.1",0.325891582537198,NA,0.834605465761342,1,0.360944182236462,0.738098323937641,0.796898969564308,0.768765539599406,-0.0281334299649019,"chr9",124877413,124877414,"+",0.782832254581857,0,"TUTR"
"ASF1A","ENSG00000111875","PAS18247_AATAAA_0.35",0.975450875505209,NA,0.0144753275235416,1,0.904234845758436,0.979844256351366,0.413809946810934,0.405788596048793,-0.00802135076214122,"chr6",118909164,118909165,"+",0.409799271429863,0,"TUTR"
"ATP6V1A","ENSG00000114573","PAS10002_AATAAA_0.15",0.58550338414158,NA,0.798698329373565,1,0.371482832791765,0.746249046180388,0.394925299045882,0.363039306645578,-0.0318859924003037,"chr3",113812053,113812054,"+",0.37898230284573,0,"TUTR"
"ATP8B2","ENSG00000143515","PAS1605_APA_0.25",0.991721905060248,NA,0.0038783887309819,1,0.950342474412312,0.992877964194476,0.904625201137691,0.902322734485354,-0.00230246665233735,"chr1",154351302,154351303,"+",0.903473967811522,0,"TUTR"
"BACE2","ENSG00000182240","PAS50268_AATAAA_0.45",0.198137822596167,NA,1.31364848295061,1,0.251735138650293,0.65340078775732,0.351533379496851,0.284211263301575,-0.0673221161952761,"chr21",41276582,41276583,"+",0.317872321399213,0,"TUTR"
"BAG3","ENSG00000151929","PAS27916_AATAAA_0.2",0.755346233242674,NA,0.604721293075272,1,0.436782287772308,0.789083048123031,0.907856659125823,0.927412028668378,0.0195553695425557,"chr10",119677814,119677815,"+",0.917634343897101,0,"TUTR"
"BAG4","ENSG00000156735","PAS22800_AATAAA_0.15",0.873610427373283,NA,0.193576997227069,1,0.659956040052616,0.897515273869582,0.874500971704964,0.853752614738945,-0.0207483569660193,"chr8",38213298,38213299,"+",0.864126793221955,0,"TUTR"
"BFAR","ENSG00000103429","PAS40285_AATAAA_0.45",0.53682657749928,NA,0.0796485761193253,1,0.777774215418277,0.941072659077592,0.264173871452291,0.276089325354782,0.0119154539024912,"chr16",14669225,14669226,"+",0.270131598403537,0,"TUTR"
"BMAL2","ENSG00000029153","PAS32373_AATAAA_0.2",0.89935549157936,NA,0.128070947587275,1,0.720440591221264,0.917477192402577,0.325214738439534,0.339772915197734,0.0145581767581997,"chr12",27425288,27425289,"+",0.332493826818634,0,"TUTR"
"BMI1","ENSG00000168283","PAS27042_APA_0.3",0.937847072493494,NA,0.0567070198139845,1,0.811778438624651,0.950434914209896,0.284594611093205,0.27417270868448,-0.0104219024087251,"chr10",22331481,22331482,"+",0.279383659888842,0,"TUTR"
