"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"CCP110","ENSG00000103540","PAS40342_AATAAA_0.3",0.860856376560322,NA,0.0926372719561641,1,0.760850807293886,0.881311242840204,0.614006902349269,0.639867164413108,0.0258602620638393,"chr16",19553403,19553404,"+",0.626937033381189,0,"iAPA","distal pA"
"CEP57","ENSG00000166037","PAS30437_ATTAAA_0.2",0.499233576657107,NA,0.383603296708316,1,0.535681093802081,0.741729604195959,0.246808330679622,0.219177630483035,-0.0276307001965866,"chr11",95832690,95832691,"+",0.232992980581328,0,"iAPA","distal pA"
"DDX20","ENSG00000064703","PAS1338_AATAAA_0.25",0.663062559607082,NA,1.37405422089296,1,0.241116531995252,0.48404412394271,0.697521919318384,0.630786158718834,-0.0667357605995507,"chr1",111767260,111767261,"+",0.664154039018609,0,"iAPA","distal pA"
"DGKZ","ENSG00000149091","PAS29804_APA_0",0.243491614546715,NA,2.65227359076925,1,0.103401910628309,0.288453761007501,0.838789271649436,0.8846607134565,0.0458714418070647,"chr11",46380550,46380551,"+",0.861724992552968,0,"iAPA","distal pA"
"DKC1","ENSG00000130826","PAS52473_ATTAAA_0.25",0.156616073750404,NA,3.65523705533997,1,0.055893200676951,0.189960971012988,0.422888977077661,0.368939667434125,-0.0539493096435362,"chrX",154777680,154777681,"+",0.395914322255893,0,"iAPA","distal pA"
"ENSG00000273154","ENSG00000273154","PAS49371_AATAAA_0.1",0.850317366111185,NA,0.108897127447108,1,0.741403250786457,0.871939262652515,0.409637700969427,0.393168986584081,-0.0164687143853462,"chr20",63739102,63739103,"+",0.401403343776754,0,"iAPA","distal pA"
"FZD6","ENSG00000164930","PAS23270_None_0.25",0.935267390428738,NA,0.0227965406197654,1,0.879987364617126,0.94401620990405,0.913261260823816,0.907507426626405,-0.00575383419741138,"chr8",103332811,103332812,"+",0.910384343725111,0,"iAPA","distal pA"
"GOLGA4","ENSG00000144674","PAS9405_AATAAA_0.3",0.737882812935599,NA,0.301145077644833,1,0.583165448932973,0.776003418161622,0.428388158934447,0.408546780796542,-0.019841378137905,"chr3",37366744,37366745,"+",0.418467469865494,0,"iAPA","distal pA"
"MED15","ENSG00000099917","PAS50728_AATAAA_0.15",0.690252293129456,NA,0.408291727255346,1,0.522837832972789,0.730999238174992,0.918446326419815,0.9051093612168,-0.0133369652030149,"chr22",20587616,20587617,"+",0.911777843818308,0,"iAPA","distal pA"
"PCNT","ENSG00000160299","PAS50372_AATAAA_0.15",0.897909849029241,NA,0.0529652548814283,1,0.817981573370452,0.913729437129446,0.887790417702594,0.898063129242563,0.0102727115399684,"chr21",46445764,46445765,"+",0.892926773472579,0,"iAPA","distal pA"
"PDE8A","ENSG00000073417","PAS38946_ATTAAA_0.3",0.250631160667186,NA,0.978708033197563,1,0.322517980223912,0.568805203180074,0.636194140294704,0.694282573038527,0.0580884327438237,"chr15",85139138,85139139,"+",0.665238356666615,0,"iAPA","distal pA"
"POLR3G","ENSG00000113356","PAS15111_ATTAAA_0.2",0.45952623040086,NA,2.51601197811397,1,0.112695267521383,0.305932263914278,0.401000652267997,0.33978727979636,-0.061213372471637,"chr5",90514390,90514391,"+",0.370393966032179,0,"iAPA","distal pA"
"PXMP2","ENSG00000176894","PAS33655_AATAAA_0.25",0.815291820036612,NA,0.16249645093535,1,0.686868418615695,0.84058324801934,0.772199176467738,0.744148635301388,-0.0280505411663499,"chr12",132704982,132704983,"+",0.758173905884563,0,"iAPA","distal pA"
"RBM5","ENSG00000003756","PAS9624_APA_0.15",0.83852116694653,NA,0.126807801674659,1,0.721765055093216,0.861743345951107,0.875846451387667,0.864481096569229,-0.0113653548184374,"chr3",50118956,50118957,"+",0.870163773978448,0,"iAPA","distal pA"
"RIPK1","ENSG00000137275","PAS17274_AATAAA_0.25",0.880803546239388,NA,0.0709284063225368,1,0.789989787388655,0.897145306074703,0.903453980521812,0.892779905113218,-0.0106740754085939,"chr6",3115184,3115185,"+",0.898116942817515,0,"iAPA","distal pA"
"RPL27","ENSG00000131469","PAS42843_ATTAAA_0.35",0.00168056217838025,0,13.9993005311117,1,0.000182878652640465,0.00245894451179567,0.843193445675942,0.859832778386843,0.0166393327109015,"chr17",43002951,43002952,"+",0.851513112031393,0,"iAPA","distal pA"
"RPS3A","ENSG00000145425","PAS13321_AATAAA_0.15",0.426688334948206,NA,1.38880232670635,1,0.238607462111399,0.48095206377021,0.683440333718522,0.64253529117414,-0.0409050425443819,"chr4",151104638,151104639,"+",0.662987812446331,0,"iAPA","distal pA"
"SLC4A1AP","ENSG00000163798","PAS5369_ATTAAA_0.4",0.899237515393696,NA,0.0512290450792534,1,0.820938279397924,0.915245517077777,0.811549089588796,0.800807747003873,-0.0107413425849223,"chr2",27694963,27694964,"+",0.806178418296335,0,"iAPA","distal pA"
"SP140L","ENSG00000185404","PAS7056_ATTAAA_0.3",0.535497859093477,NA,0.89727085224331,1,0.343514551505044,0.586766797432393,0.605444271907451,0.549640332606314,-0.0558039393011367,"chr2",230403729,230403730,"+",0.577542302256883,0,"iAPA","distal pA"
"SREK1","ENSG00000153914","PAS14893_AATAAA_0.3",0.252075704991973,NA,0.168871426250007,1,0.68111676058736,0.837863521694766,0.187164047683863,0.175178595927192,-0.0119854517566708,"chr5",66180883,66180884,"+",0.181171321805528,0,"iAPA","distal pA"
"TRMT10B","ENSG00000165275","PAS24994_APA_0.15",0.458926992190167,NA,0.0422685416415334,1,0.837108731935429,0.923815340019267,0.3257569503235,0.314465288422833,-0.0112916619006677,"chr9",37778680,37778681,"+",0.320111119373166,0,"iAPA","distal pA"
"WRN","ENSG00000165392","PAS22753_AATAAA_0.4",0.856893685971247,NA,0.328312517882409,1,0.56665443220653,0.76394213814759,0.392098058401244,0.439772034720937,0.0476739763196928,"chr8",31173753,31173754,"+",0.41593504656109,0,"iAPA","distal pA"
"ZC3H15","ENSG00000065548","PAS6681_AATAAA_0.25",0.373664491121028,NA,3.17170411190637,1,0.0749242334232733,0.232480175946887,0.866071198613164,0.824645970575721,-0.0414252280374422,"chr2",186509357,186509358,"+",0.845358584594442,0,"iAPA","distal pA"
"ZMPSTE24","ENSG00000084073","PAS694_ATTAAA_0.15",0.355991779220649,NA,1.77466535965323,1,0.182805756339776,0.409881001711487,0.775418979380735,0.720721455853616,-0.0546975235271183,"chr1",40294178,40294179,"+",0.748070217617175,0,"iAPA","distal pA"
