"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ADAMTSL1","ENSG00000178031","PAS24852_AATAAA_0.15",4.30444775757927e-14,1.39890269111077e-06,26.9208952198301,1,2.11954953198602e-07,4.93984166555731e-06,0.376535778073305,0.117339771248526,-0.259196006824779,"chr9",18910293,18910294,"+",0.246937774660916,3,"ALE","distal pA"
"AGAP3","ENSG00000133612","PAS21139_AATAAA_0.05",0.0394473141288086,0,6.42052404102151,1,0.0112808867840715,0.0518583555709737,0.73683840073163,0.873335894997792,0.136497494266162,"chr7",151144433,151144434,"+",0.805087147864711,2,"ALE","distal pA"
"AIG1","ENSG00000146416","PAS18369_AATAAA_0.2",6.15762467074332e-13,0.00296369373572196,12.9265963231628,1,0.000323946278892742,0.00293027530820799,0.646990794932994,0.784059081381669,0.137068286448676,"chr6",143340301,143340302,"+",0.715524938157331,2,"ALE","distal pA"
"ANKRD42","ENSG00000137494","PAS30350_ATTAAA_0.25",0.00868851342644248,0,9.70911938799557,1,0.00183355854018374,0.0123430754089193,0.0681328509121988,0.446594283573172,0.378461432660973,"chr11",83256097,83256098,"+",0.257363567242685,2,"ALE","distal pA"
"APOBEC3F","ENSG00000128394","PAS51019_AATAAA_0.35",0.00947797463578556,0.00648694040098476,9.58125536423176,1,0.00196573951544993,0.0131091089710171,0.467532189202138,0.238636128112795,-0.228896061089343,"chr22",39053648,39053649,"+",0.353084158657467,2,"ALE","distal pA"
"ARAF","ENSG00000078061","PAS51930_None_0.05",0.000177068059827315,0,18.1664012699434,1,2.02418576830354e-05,0.000275362998923166,0.952997106543508,0.849238786953771,-0.103758319589736,"chrX",47571905,47571906,"+",0.901117946748639,2,"ALE","distal pA"
"ASXL1","ENSG00000171456","PAS48942_AATAAA_0.35",2.97661538597734e-24,3.75670662533084e-19,84.5245928309905,1,3.79465315689984e-20,7.34804132913259e-18,0.217384709282284,0.463405121897222,0.246020412614937,"chr20",32437354,32437355,"+",0.340394915589753,2,"ALE","distal pA"
"ATP11A","ENSG00000068650","PAS35766_AATAAA_0.2",1.85735736297511e-23,1.06447899659954e-15,66.6602817159146,1,3.22569392908953e-16,3.41858170795738e-14,0.738094905890245,0.180556513957912,-0.557538391932332,"chr13",112887165,112887166,"+",0.459325709924078,2,"ALE","distal pA"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",2.19504258974048e-24,1.05814560199209e-22,98.5268334537032,1,3.20650182421846e-23,8.52440357845196e-21,0.856710641570638,0.527658871724141,-0.329051769846498,"chr17",81116223,81116224,"+",0.692184756647389,2,"ALE","distal pA"
"BICD1","ENSG00000151746","PAS32454_AATAAA_0.2",4.67701410839908e-16,1.6011568790594e-13,58.15222601478,1,2.42599527130212e-14,2.00272293844072e-12,0.633360194519259,0.134360376940573,-0.498999817578686,"chr12",32383631,32383632,"+",0.383860285729916,3,"ALE","distal pA"
"BMP2K","ENSG00000138756","PAS12979_AATAAA_0.25",0.00659875169310227,0,10.3150309032512,1,0.00131951086296214,0.00941179076198362,0.847052834061554,0.622231584236356,-0.224821249825198,"chr4",78916362,78916363,"+",0.734642209148955,2,"ALE","distal pA"
