"gene_name","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","internal_to_UTR_shift","is_significant","pA_type","condition"
"ABI2","PAS6853_AATAAA_0.2",7.72434939466507e-08,7.95493190458933e-05,18.999010195671,1,1.30786279973488e-05,0.000185669962129798,0.367147874976846,0.567894414571756,0.20074653959491,"chr2",203432167,203432168,"+",0.467521144774301,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"ACADSB","PAS27953_AATAAA_0.2",0.00130932307261133,0.00157200187307984,12.0536789116995,1,0.000516902670085349,0.00435339155964565,0.337423344731652,0.159293206613433,-0.178130138118219,"chr10",123058288,123058289,"+",0.248358275672542,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"ACP1","PAS5154_AATAAA_0.15",3.55360495593988e-05,0,21.3147946982845,1,3.89712175698979e-06,6.32944299838101e-05,0.463611128848681,0.592055400847488,0.128444271998807,"chr2",278279,278280,"+",0.527833264848085,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"ADCY7","PAS40571_ATTAAA_0.35",0.00108289685829846,0.000183751658468183,16.0894130840716,1,6.04208713242357e-05,0.000705587233893953,0.885231819911573,0.715011953128805,-0.170219866782767,"chr16",50318131,50318132,"+",0.800121886520189,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"ADO","PAS27252_AATAAA_0.25",0.000249629471511178,0,17.1511485204207,1,3.45200623747967e-05,0.000433230806120992,0.403673392288383,0.646634978158816,0.242961585870432,"chr10",62808470,62808471,"+",0.525154185223599,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"AFAP1-AS1","PAS12574_AATAAA_0.15",6.25633660810803e-12,1.00961403175759e-07,31.8565417726231,1,1.65989684143533e-08,4.68512953828982e-07,0.62754895480653,0.820468651461009,0.192919696654479,"chr4",7778924,7778925,"+",0.72400880313377,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"AGAP1","PAS7155_AATAAA_0.15",2.57364901344196e-48,4.88334227676044e-08,35.706560756003,1,2.2939019030672e-09,7.86647633510433e-08,0.283174355083945,0.0910803230872053,-0.192094031996739,"chr2",236131791,236131792,"+",0.187127339085575,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"AGPAT3","PAS50311_None_0.25",1.0594392390739e-24,4.10080652304944e-11,48.4599425397009,1,3.37104852985123e-12,1.86629565909707e-10,0.354566040590041,0.17121283613994,-0.183353204450102,"chr21",43985411,43985412,"+",0.26288943836499,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"AIF1L","PAS25648_AATAAA_0.2",0.00501045783197155,0,10.7635144215519,1,0.00103520623262526,0.0077680144340828,0.687937513075138,0.828681238974843,0.140743725899705,"chr9",131123142,131123143,"+",0.75830937602499,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"ALDH5A1","PAS17429_AATAAA_0.15",0.000525582434189122,0,15.5779199856529,1,7.91737754390282e-05,0.000888528623165665,0.556048015812952,0.765818087918722,0.20977007210577,"chr6",24537205,24537206,"+",0.660933051865837,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"APBA2","PAS38226_AATAAA_0.25",0.00140597678169232,0,13.4948994977385,1,0.00023921278080892,0.00228862125610879,0.170910307989823,0.347185637867934,0.176275329878111,"chr15",29118310,29118311,"+",0.259047972928879,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"ASIC1","PAS32550_AATAAA_0.1",0.00651120338116877,0,10.1974700021789,1,0.00140633463918892,0.0100187968209023,0.792452145036982,0.939875632978576,0.147423487941594,"chr12",50083609,50083610,"+",0.866163889007779,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"ATF6","PAS1753_AATAAA_0.15",7.07410163992083e-17,3.77306802296188e-05,21.2009891789303,1,4.13551020279983e-06,6.6863624420043e-05,0.16973774573116,0.307816297099646,0.138078551368486,"chr1",161964068,161964069,"+",0.238777021415403,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"ATG7","PAS9191_AATAAA_0.45",1.31170901883408e-08,1.49509078340164e-09,38.7102805669174,1,4.9161291166035e-10,1.93553485658452e-08,0.0698530985752275,0.247849335181253,0.177996236606025,"chr3",11557662,11557663,"+",0.15885121687824,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"ATP6V0A2","PAS33561_AATAAA_0.15",0.000127037427075413,4.97003020423103e-06,24.3170684222132,1,8.17117945902527e-07,1.60268233906711e-05,0.304487178803526,0.498360655129386,0.193873476325859,"chr12",123761751,123761752,"+",0.401423916966456,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
"B3GALT6","PAS29_ATTAAA_0.25",6.00697075213178e-10,5.17310761675581e-08,31.8090178275961,1,1.70101142087133e-08,4.78862509279541e-07,0.389314712209626,0.715064332282003,0.325749620072377,"chr1",1235037,1235038,"+",0.552189522245814,2,"TUTR",NA,TRUE,"distal pA","ADMAi"
