"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.59984445505158,NA,0.305976513056066,1,0.580159716946345,0.752718755569926,0.0786793361817782,0.0935944560770078,0.0149151198952295,"chr4",145129520,145129521,"+",0.086136896129393,0,"TUTR","distal pA"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.657584853027382,NA,0.420948928877579,1,0.516463926626833,0.706418175055653,0.726900022237611,0.777314577977013,0.0504145557394022,"chr10",124836666,124836667,"+",0.752107300107312,0,"TUTR","distal pA"
"ACTR2","ENSG00000138071","PAS5751_AATAAA_0.25",0.795159611074163,NA,0.891772557451986,1,0.344997413314969,0.55789222185935,0.667418677630214,0.690418967565639,0.0230002899354249,"chr2",65271250,65271251,"+",0.678918822597927,0,"TUTR","distal pA"
"ACVR2A","ENSG00000121989","PAS6369_AATAAA_0.25",0.83827178971366,NA,0.0942443217406321,1,0.758849171792898,0.87001152719824,0.253097466087668,0.284487926048703,0.0313904599610347,"chr2",147930821,147930822,"+",0.268792696068185,0,"TUTR","distal pA"
"ADD3","ENSG00000148700","PAS27811_AATAAA_0.25",0.357460413963645,NA,1.58898707883964,1,0.207470911696785,0.405856224834689,0.294475828506977,0.259796101838737,-0.03467972666824,"chr10",110135563,110135564,"+",0.277135965172857,0,"TUTR","distal pA"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.700488984563217,NA,0.322247292626344,1,0.570260224096969,0.746781276086606,0.76377810267842,0.747800881817662,-0.0159772208607576,"chr12",1788670,1788671,"+",0.755789492248041,0,"TUTR","distal pA"
"AFDN","ENSG00000130396","PAS18539_ATTAAA_0.15",0.00499239340871958,0.895456658438565,1.31061128499323,1,0.252284008715624,0.459822485647715,0.786217421796579,0.744159792650548,-0.0420576291460317,"chr6",167972021,167972022,"+",0.765188607223563,0,"TUTR","distal pA"
"AGL","ENSG00000162688","PAS1196_AATAAA_0.15",0.743746308687622,NA,0.301968276007983,1,0.582651111641122,0.753927036630757,0.504395812442916,0.534368307638377,0.0299724951954609,"chr1",99924019,99924020,"+",0.519382060040646,0,"TUTR","distal pA"
"AGO3","ENSG00000126070","PAS629_AATAAA_0.25",0.246337073260808,NA,0.807099284289961,1,0.36897924022517,0.580491166186974,0.20736661591706,0.252660666036591,0.0452940501195307,"chr1",36072032,36072033,"+",0.230013640976826,0,"TUTR","distal pA"
"AGO4","ENSG00000134698","PAS615_AATAAA_0.35",0.834867987470017,NA,0.0997588827489153,1,0.752119176223694,0.866406630060581,0.576939388595812,0.627412935782863,0.0504735471870502,"chr1",35857886,35857887,"+",0.602176162189338,0,"TUTR","distal pA"
