gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.5828613270236902,NA,1.5037905082353973,1,0.22008905022109101,0.6020144221308465,0.06330057649451507,0.04244627574146823,-0.020854300753046832,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.5828613270236902,NA,0.7401675850578613,1,0.3896071999373378,0.7441261009560094,0.3948398895788074,0.36322980422348455,-0.03161008535532284,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.5828613270236902,NA,1.8902470790508232,1,0.1691740562269784,0.537488943279634,0.5418595339266776,0.5943239200350472,0.052464386108369565,chr3,113810425,113810426,+
QTRT2,ENSG00000151576.10,PAS10005_AATAAA_0.3,0.8402385870426398,NA,0.259048420671661,1,0.6107746573997944,0.8714564183995795,0.07115043710412126,0.09497758669316396,0.023827149589042695,chr3,114086044,114086045,+
QTRT2,ENSG00000151576.10,PAS10006_AATAAA_0.3,0.8402385870426398,NA,0.259048420671661,1,0.6107746573997944,0.8714564183995795,0.9288495628958787,0.9050224133068361,-0.02382714958904264,chr3,114088343,114088344,+
SRSF11,ENSG00000116754.14,PAS1000_AATAAA_0.45,0.013407194496724917,1,1.3239803105243482,1,0.24987895682311723,0.6301359111913052,0.03739258334442966,0.028030918338189704,-0.009361665006239955,chr1,70222839,70222840,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,0.013407194496724917,1,6.0003906084057235,1,0.014302711471603126,0.15044589147452264,0.04326333590076517,0.06869084415878324,0.025427508258018067,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,0.013407194496724917,1,4.251263025733351,1,0.03922115064540411,0.2619000143269506,0.03114988824500535,0.04942921380867956,0.01827932556367421,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,0.013407194496724917,1,2.8687472609672113,1,0.09031514479385648,0.40532581708822873,0.34937568905360844,0.38671047461261326,0.037334785559004824,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1004_None_0.25,0.013407194496724917,1,1.9416727091302164,1,0.16348702901271497,0.5300366970000958,0.020638268155617076,0.012545764920480965,-0.008092503235136111,chr1,70243373,70243374,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,0.013407194496724917,1,2.0250755126071454,1,0.15472123250671213,0.5166572454758698,0.16672499518163408,0.14292940244926775,-0.02379559273236634,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,0.013407194496724917,1,0.05841128425890929,1,0.8090248223889631,0.9495029519557451,0.023464985405955915,0.021822995312192242,-0.0016419900937636733,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,0.013407194496724917,1,0.550430540492016,1,0.4581418288832633,0.7889793123061234,0.27375830072184154,0.2586041841554012,-0.015154116566440334,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,0.013407194496724917,1,2.181655868056623,1,0.1396641253305193,0.49419809400426473,0.04270842878722836,0.030070356305391236,-0.012638072481837122,chr1,70253046,70253047,+
SRSF11,ENSG00000116754.14,PAS999_APA_0.3,0.013407194496724917,0.1821935096797773,9.446309309269054,1,0.002115744086991279,0.042955269938449246,0.011523525203914309,0.0011658459390008202,-0.010357679264913489,chr1,70222489,70222490,+
ARHGAP31,ENSG00000031081.11,PAS10020_None_0.25,0.6913800815515759,NA,0.7551060220931163,1,0.3848644333643904,0.740650350891673,0.30051904047535977,0.37875071302139784,0.07823167254603808,chr3,119307959,119307960,+
ARHGAP31,ENSG00000031081.11,PAS10021_AATAAA_0.4,0.6913800815515759,NA,0.7551060220931163,1,0.3848644333643904,0.740650350891673,0.6994809595246402,0.6212492869786022,-0.07823167254603802,chr3,119417716,119417717,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.7446404627348943,NA,1.518903491431729,1,0.21778550311484504,0.5997440666860726,0.07605071854262127,0.03837125639884986,-0.03767946214377141,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.7446404627348943,NA,0.010739078696701654,1,0.9174633553032207,0.9856998544457761,0.5881550813714194,0.5957544497251777,0.007599368353758296,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.7446404627348943,NA,0.21911407398386018,1,0.6397157801590873,0.8835483567325645,0.33579420008595945,0.3658742938759725,0.03008009379001303,chr3,119494704,119494705,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.2933909828159801,NA,3.222986164442773,1,0.07261105644700915,0.3621809457854471,0.11801866258961197,0.08821505741202466,-0.029803605177587303,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.2933909828159801,NA,3.222986164442773,1,0.07261105644700915,0.3621809457854471,0.8819813374103879,0.9117849425879753,0.0298036051775874,chr3,120602325,120602326,+
PARP14,ENSG00000173193.15,PAS10060_ATTAAA_0.4,0.8489107693074187,NA,0.22987333581613711,1,0.6316177639730243,0.8791933756636239,0.4719938238467603,0.5037859062779383,0.03179208243117798,chr3,122699958,122699959,+
PARP14,ENSG00000173193.15,PAS10064_AATAAA_0.35,0.8489107693074187,NA,0.22987333581750136,1,0.6316177639720123,0.8791933756636239,0.5280061761532397,0.49621409372206166,-0.03179208243117809,chr3,122730838,122730839,+
SLC49A4,ENSG00000138463.9,PAS10065_AATAAA_0.4,0.48196343952356435,NA,1.801183645691708,1,0.17956946373127394,0.5525019723899859,0.1811257134497989,0.10152836348050005,-0.07959734996929883,chr3,122834762,122834763,+
SLC49A4,ENSG00000138463.9,PAS10066_AATAAA_0.25,0.48196343952356435,NA,1.8011836456919355,1,0.17956946373124644,0.5525019723899859,0.8188742865502011,0.8984716365194999,0.07959734996929879,chr3,122879913,122879914,+
