gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition,prox_to_dist_shift,log2FoldChange,padj,APA_and_gene_class
ABI1,ENSG00000136754,PAS28369_AATAAA_0.3,0.0012366301774465768,0.003863958898855217,10.599520720425062,1,0.001131169785866165,0.003732413748044995,0.5007187739875872,0.5871897997288653,0.08647102574127807,chr10,26747814,26747815,-,0.5439542868582263,0,TUTR,proximal pA,DMAi_96hrs,-0.10014587937190561,0.8637732794369962,1.2231707473713088e-19,no 3' UTR lengthening + gene upregulated
ACAP3,ENSG00000131584,PAS2560_APA_0.15,0.918706934319188,1,0.01923062490959637,1,0.8897073467459813,0.9257739793347064,0.5016934499226704,0.5090812879749053,0.007387838052234863,chr1,1292870,1292871,-,0.5053873689487878,0,TUTR,proximal pA,DMAi_96hrs,-0.014775676104469726,0.7629908509805553,1.5428280310603452e-6,no 3' UTR lengthening + gene upregulated
ACBD3,ENSG00000182827,PAS4929_AATAAA_0.35,0.5520567498809951,1,0.1447251602603501,1,0.7036280287662598,0.7874782751823096,0.5199481941103771,0.5327854656634035,0.012837271553026386,chr1,226144944,226144945,-,0.5263668298868902,0,TUTR,proximal pA,DMAi_96hrs,-0.014522883947514054,0.8999330239371045,8.472634061731391e-21,no 3' UTR lengthening + gene upregulated
ADSS2,ENSG00000035687,PAS5097_ATTAAA_0.2,2.055028935467894e-4,0.9759607549459915,0.32030749626574107,1,0.5714229095517115,0.6788645559517292,0.6257442688560343,0.6129812071941544,-0.012763061661879904,chr1,244408848,244408849,-,0.6193627380250943,0,TUTR,proximal pA,DMAi_96hrs,0.06653287152138748,0.6120172011740075,5.534001971627055e-11,no 3' UTR lengthening + gene upregulated
AFF4,ENSG00000072364,PAS16733_AATAAA_0.35,0.8015324694991153,1,0.100871667784304,1,0.7507860956184894,0.824281644280486,0.03555527434231698,0.03978070438128778,0.004225430038970801,chr5,132876468,132876469,-,0.03766798936180238,0,TUTR,proximal pA,DMAi_96hrs,-0.008450860077941602,0.6631620014250992,1.1882266851480418e-10,no 3' UTR lengthening + gene upregulated
AGO3,ENSG00000126070,PAS629_AATAAA_0.25,0.1368811143406605,1,0.8986938166049185,1,0.3431321884967542,0.462862676082303,0.4319886138185198,0.4880986788903308,0.05611006507181104,chr1,36072032,36072033,+,0.4600436463544253,0,TUTR,proximal pA,DMAi_96hrs,0.011385432512747935,0.950950310867332,1.313246491063257e-9,no 3' UTR lengthening + gene upregulated
AHNAK2,ENSG00000185567,PAS38152_APA_0.35,0.1558781925342491,1,2.608254718934404,1,0.10630870237590112,0.18175137285301807,0.12573611376493687,0.09057420627615488,-0.03516190748878201,chr14,104937728,104937729,-,0.10815516002054588,0,TUTR,proximal pA,DMAi_96hrs,0.07032381497756401,1.487481136115272,3.4685597991260014e-44,no 3' UTR lengthening + gene upregulated
AKAP13,ENSG00000170776,PAS38952_APA_0.1,0.6014972903793263,1,0.4000380723878152,1,0.527069595357642,0.6404768722836263,0.06642246507622751,0.04958622395882293,-0.01683624111740458,chr15,85745383,85745384,+,0.058004344517525216,0,TUTR,proximal pA,DMAi_96hrs,0.03367248223480903,1.3942219478826663,8.011070592313749e-37,no 3' UTR lengthening + gene upregulated
AKAP9,ENSG00000127914,PAS20635_ATTAAA_0.3,0.9227810784660349,1,0.007944301027237088,1,0.9289779531691762,0.9537202711409714,0.4181216344131962,0.4143617900584172,-0.003759844354779052,chr7,91995799,91995800,+,0.4162417122358068,0,TUTR,proximal pA,DMAi_96hrs,1.7281546774819499e-4,0.7122877317698463,3.613674807264329e-8,no 3' UTR lengthening + gene upregulated
AKR1C1,ENSG00000187134,PAS26843_ATTAAA_0.2,6.001316475255784e-5,0,18.440908988215824,1,1.7525489490330294e-5,8.912017246107442e-5,0.9030193461543264,0.9957229801865168,0.09270363403219029,chr10,4977964,4977965,+,0.9493711631704216,0,TUTR,proximal pA,DMAi_96hrs,-0.18540726806438068,0.9509493432745312,1.2567939971179672e-10,no 3' UTR lengthening + gene upregulated
ANGEL2,ENSG00000174606,PAS4816_ATTAAA_0.3,0.02962010944227894,0.8685648105001009,0.4370642798021436,1,0.5085428165373967,0.6228727803046736,0.32178218153679244,0.2944781031755804,-0.02730407836121207,chr1,212992458,212992459,-,0.3081301423561864,1,TUTR,proximal pA,DMAi_96hrs,0.13417968344286163,0.6398130862825511,9.023667744006636e-5,no 3' UTR lengthening + gene upregulated
AOX1,ENSG00000138356,PAS6786_APA_0.3,0.5082205111136713,1,0.6282201133615217,1,0.4280089405464884,0.5468830947637607,0.3149082537666983,0.2808500341011156,-0.0340582196655827,chr2,200671063,200671064,+,0.2978791439339069,0,TUTR,proximal pA,DMAi_96hrs,0.06811643933116557,1.9722768954881496,4.4482809961274674e-39,no 3' UTR lengthening + gene upregulated
AP1S1,ENSG00000106367,PAS20776_APA_0.3,0.5161924523438435,1,0.6072106583651475,1,0.4358399836618924,0.5549691132564554,0.07078621388508861,0.05806346547336328,-0.01272274841172534,chr7,101160914,101160915,+,0.06442483967922595,0,TUTR,proximal pA,DMAi_96hrs,0.025445496823450722,1.003685037851913,3.572707453428949e-17,no 3' UTR lengthening + gene upregulated
APOBEC3C,ENSG00000244509,PAS51014_AATAAA_0.4,0.3317578074756479,1,1.27904745228534,1,0.25807622055825924,0.36922672812236507,0.3983897165856504,0.35236117066658185,-0.046028545919068575,chr22,39019013,39019014,+,0.3753754436261161,0,TUTR,proximal pA,DMAi_96hrs,0.09205709183813704,0.7478007206386698,1.7917480881171545e-11,no 3' UTR lengthening + gene upregulated
APOL1,ENSG00000100342,PAS50947_None_0.1,0.2627221340692662,1,1.6811858907467467,1,0.1947669500405274,0.2965574241221108,0.249806731862409,0.3409781912504249,0.09117145938801588,chr22,36266113,36266114,+,0.29539246155641696,0,TUTR,proximal pA,DMAi_96hrs,-0.1823429187760317,1.4148662432801788,5.433808749137222e-12,no 3' UTR lengthening + gene upregulated
