"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABLIM3","ENSG00000173210","PAS15637_APA_0.15",2.87568766323485e-06,0,24.6842138932411,1,6.75350890607866e-07,4.48379911946011e-06,0.820228919467846,0.969599101964125,0.149370182496279,"chr5",149260435,149260436,"+",0.894914010715985,2,"MIXED","distal pA"
"ADARB1","ENSG00000197381","PAS50348_AATAAA_0.15",0.000472206518498791,0.000102588552431664,16.100588261123,1,6.00653753955953e-05,0.000272542350473557,0.656335936428798,0.826371825504653,0.170035889075855,"chr21",45226558,45226559,"+",0.741353880966726,2,"MIXED","distal pA"
"ADGRL2","ENSG00000117114","PAS1054_AATAAA_0.3",0.0393701324454909,0,5.2206907471666,1,0.0223196836717493,0.0489516498261359,0.626623421765785,0.759486990843564,0.132863569077779,"chr1",81992421,81992422,"+",0.693055206304675,2,"MIXED","distal pA"
"AIMP1","ENSG00000164022","PAS13116_AATAAA_0.2",1.38332953478834e-24,1.75679155774363e-24,105.340357136447,1,1.02859765447977e-24,4.08378983769829e-23,0.0785911830507067,0.296500892980058,0.217909709929351,"chr4",106349221,106349222,"+",0.187546038015382,2,"MIXED","distal pA"
"ALDH3A2","ENSG00000072210","PAS42429_APA_0.25",0.000189211532402501,2.15681006029615e-05,19.0659070078918,1,1.26280762188335e-05,6.6121489756444e-05,0.251932673030866,0.423873510734125,0.17194083770326,"chr17",19677594,19677595,"+",0.337903091882495,2,"MIXED","distal pA"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",3.95185529794975e-28,0,127.535366109089,1,1.41850505824675e-29,7.31405156818724e-28,0.156854284582771,0.527565162476102,0.37071087789333,"chr11",1012238,1012239,"+",0.342209723529437,2,"MIXED","distal pA"
"ARL4A","ENSG00000122644","PAS20096_AATAAA_0.3",2.12527358424833e-06,0.000380953838939584,15.696816148788,1,7.43492160412391e-05,0.000330924859851715,0.113094658671209,0.336732953577936,0.223638294906726,"chr7",12690724,12690725,"+",0.224913806124573,2,"MIXED","distal pA"
"ASB1","ENSG00000065802","PAS7198_AATAAA_0.05",1.07012174802438e-27,0,125.48019201137,1,3.99558444879598e-29,2.00169957827536e-27,0.595413971522862,0.910261225197732,0.31484725367487,"chr2",238452248,238452249,"+",0.752837598360297,2,"MIXED","distal pA"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",8.49005627513675e-30,5.24770890824039e-32,139.715192353891,1,3.07252220709746e-32,1.82069870040727e-30,0.278215191401517,0.699130132670436,0.420914941268919,"chr2",241673853,241673854,"+",0.488672662035977,2,"MIXED","distal pA"
"ATP11A","ENSG00000068650","PAS35766_AATAAA_0.2",0.000442688071875191,0.000946942989407782,11.9230609247461,1,0.000554433070638106,0.00199297229398003,0.72868246849459,0.477611106393276,-0.251071362101314,"chr13",112887165,112887166,"+",0.603146787443933,2,"MIXED","distal pA"
"ATP2A2","ENSG00000174437","PAS33247_AATAAA_0.2",7.19633331863555e-16,8.948499967033e-18,74.7885278132744,1,5.23932736165028e-18,1.27812224009782e-16,0.114386205115564,0.224758696516439,0.110372491400875,"chr12",110351089,110351090,"+",0.169572450816002,2,"MIXED","distal pA"
"ATRIP","ENSG00000164053","PAS9579_AATAAA_0.25",3.25869946497813e-08,0,33.8805205587007,1,5.86025138272581e-09,5.38786512088472e-08,0.593523430376762,0.259726251085344,-0.333797179291418,"chr3",48467643,48467644,"+",0.426624840731053,2,"MIXED","distal pA"
"AVL9","ENSG00000105778","PAS20272_AATAAA_0.3",2.94699588571254e-08,8.11505459055936e-06,20.9349957316508,1,4.75134689771928e-06,2.70161618627568e-05,0.0996598580738566,0.245725143151241,0.146065285077384,"chr7",32586163,32586164,"+",0.172692500612549,2,"MIXED","distal pA"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",4.31048935447542e-28,0,127.353017669837,1,1.5550105896433e-29,7.96616876584684e-28,0.661750616149211,0.903824069715915,0.242073453566704,"chrX",47229992,47229993,"+",0.782787342932563,2,"MIXED","distal pA"
"CDV3","ENSG00000091527","PAS10174_AATAAA_0.2",7.15233568411525e-13,2.08647809461416e-05,20.4540107389075,1,6.1081420410512e-06,3.40721474372793e-05,0.516509853639562,0.619318035774,0.102808182134438,"chr3",133590259,133590260,"+",0.567913944706781,2,"MIXED","distal pA"
"CEP350","ENSG00000135837","PAS1918_AATAAA_0.2",2.37792472696606e-14,0,62.8692591492268,1,2.2089307979578e-15,4.13192343961929e-14,0.517778368796802,0.915979637182049,0.398201268385247,"chr1",180114872,180114873,"+",0.716879002989425,2,"MIXED","distal pA"
