"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",1,NA,0.000320951371122646,1,0.985706570351826,1,0.122003989750037,0.124120140925962,0.00211615117592545,"chr4",145129520,145129521,"+",0.123062065338,0,"TUTR","distal pA"
"ABHD17C","ENSG00000136379","PAS38908_AATAAA_0.15",1,NA,0.0373023915235535,1,0.846850681365161,1,0.743622388108363,0.70665112387194,-0.0369712642364229,"chr15",80755618,80755619,"+",0.725136755990151,0,"TUTR","distal pA"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.679464221542149,NA,0.00852392566730487,1,0.92643973983135,1,0.462565477046216,0.447865936583908,-0.0146995404623078,"chr10",124836666,124836667,"+",0.455215706815062,0,"TUTR","distal pA"
"ACO1","ENSG00000122729","PAS24890_AATAAA_0.15",1,NA,0.000208406661840854,1,0.988481901839762,1,0.127289248522502,0.129823611056344,0.00253436253384265,"chr9",32451783,32451784,"+",0.128556429789423,0,"TUTR","distal pA"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",0.840009396206647,NA,0.593066078112315,1,0.441235928525336,0.872308834969804,0.271215952080515,0.286639986091701,0.0154240340111863,"chr2",278279,278280,"+",0.278927969086108,0,"TUTR","distal pA"
"ACSL3","ENSG00000123983","PAS7027_AATAAA_0.35",0.720445595576671,NA,-0.00775966720539145,1,1,1,0.307061120442417,0.30805207437632,0.000990953933903027,"chr2",222944621,222944622,"+",0.307556597409369,0,"TUTR","distal pA"
"ACTR6","ENSG00000075089","PAS33123_AATAAA_0.25",1,NA,0.00260325121439564,1,0.959307937356032,1,0.860026781758579,0.850061466060645,-0.00996531569793391,"chr12",100224422,100224423,"+",0.855044123909612,0,"TUTR","distal pA"
"ACVR2A","ENSG00000121989","PAS6369_AATAAA_0.25",0.975116187196252,NA,0.138945002031278,1,0.709332083596093,0.972008334484792,0.16908971849751,0.110474342974077,-0.0586153755234333,"chr2",147930821,147930822,"+",0.139782030735794,0,"TUTR","distal pA"
"ADD3","ENSG00000148700","PAS27811_AATAAA_0.25",0.941046094279051,NA,0.219211488074507,1,0.639641382742502,0.940425120206376,0.896352208858214,0.869196900954753,-0.027155307903461,"chr10",110135563,110135564,"+",0.882774554906483,0,"TUTR","distal pA"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",1,NA,0.0804395946688601,1,0.776702567419964,1,0.829174139408249,0.801484246411786,-0.0276898929964627,"chr12",1788670,1788671,"+",0.815329192910018,0,"TUTR","distal pA"
"ADO","ENSG00000181915","PAS27252_AATAAA_0.25",1,NA,0.0157344369945349,1,0.900177610202726,1,0.855327101648557,0.865384999639775,0.0100578979912184,"chr10",62808470,62808471,"+",0.860356050644166,0,"TUTR","distal pA"
"AFDN","ENSG00000130396","PAS18539_ATTAAA_0.15",0.965635505213401,NA,0.162832157153503,1,0.686562291865243,0.962114652434254,0.802923310366257,0.874304066396975,0.0713807560307178,"chr6",167972021,167972022,"+",0.838613688381616,0,"TUTR","distal pA"
"AGFG1","ENSG00000173744","PAS7048_AATAAA_0.2",0.762763352344033,NA,0.306278744383235,1,0.579972724731049,0.916662414933646,0.301918442741846,0.2674311008045,-0.0344873419373458,"chr2",227561215,227561216,"+",0.284674771773173,0,"TUTR","distal pA"
"AHCYL2","ENSG00000158467","PAS20969_AATAAA_0.2",1,NA,-0.272452249864614,1,1,1,0.877049632973288,0.875,-0.00204963297328842,"chr7",129430209,129430210,"+",0.876024816486644,0,"TUTR","distal pA"
"AKAP12","ENSG00000131016","PAS18440_AATAAA_0.25",0.901664565739715,NA,0.33094263759449,1,0.565104555401934,0.912615419619476,0.218599074715243,0.276751313229499,0.0581522385142554,"chr6",151358532,151358533,"+",0.247675193972371,0,"TUTR","distal pA"
"AKIP1","ENSG00000166452","PAS29451_AATAAA_0.35",1,NA,0.0160613444386399,1,0.899151441560429,1,0.747153678610046,0.758749454994852,0.0115957763848057,"chr11",8920076,8920077,"+",0.752951566802449,0,"TUTR","distal pA"
"ALKBH7","ENSG00000125652","PAS46161_AATAAA_0.2",1,NA,6.65082661726046e-05,1,0.993493116058971,1,0.130369237007569,0.131402916368238,0.00103367936066923,"chr19",6375248,6375249,"+",0.130886076687903,0,"TUTR","distal pA"
"AMD1","ENSG00000123505","PAS18194_AATAAA_0.2",1,NA,-0.159199535869448,1,1,1,0.785714010148128,0.821046357183512,0.0353323470353842,"chr6",110895707,110895708,"+",0.80338018366582,0,"TUTR","distal pA"
"AMOTL1","ENSG00000166025","PAS30416_AATAAA_0.25",1,NA,-0.106001674750587,1,1,1,0.683856602328084,0.692139023569223,0.00828242124113854,"chr11",94876663,94876664,"+",0.687997812948653,0,"TUTR","distal pA"
"AP1S1","ENSG00000106367","PAS20777_AATAAA_0.05",1,NA,0.371863752123318,1,0.541990112175308,0.908103825072978,0.73036233054086,0.800493091200015,0.0701307606591544,"chr7",101161274,101161275,"+",0.765427710870438,0,"TUTR","distal pA"
"APEX2","ENSG00000169188","PAS52009_AATAAA_0.05",0.952812132687477,NA,0.188797143311604,1,0.663919635798837,0.952472338605224,0.106017219375025,0.145140057476661,0.0391228381016362,"chrX",55009056,55009057,"+",0.125578638425843,0,"TUTR","distal pA"
"APOOL","ENSG00000155008","PAS52157_AATAAA_0.15",1,NA,0.00910264510457637,1,0.923990934142696,1,0.175038117039792,0.165093891226033,-0.00994422581375876,"chrX",85093314,85093315,"+",0.170066004132912,0,"TUTR","distal pA"
"ARF6","ENSG00000165527","PAS36585_AATAAA_0.2",1,NA,0.00272983536888205,1,0.958331224950269,1,0.866668005879629,0.873266258948551,0.00659825306892148,"chr14",49897052,49897053,"+",0.86996713241409,0,"TUTR","distal pA"
"ARG2","ENSG00000081181","PAS36836_AATAAA_0.45",1,NA,0.0598740062076786,1,0.806695189717933,1,0.178235391910597,0.221814515671935,0.0435791237613386,"chr14",67651702,67651703,"+",0.200024953791266,0,"TUTR","distal pA"
"ARHGAP35","ENSG00000160007","PAS47015_AATAAA_0.45",0.436630533242736,NA,0.486026596976444,1,0.485705122768899,0.890625532526299,0.551258295587459,0.51397886709056,-0.0372794284968991,"chr19",47005073,47005074,"+",0.53261858133901,0,"TUTR","distal pA"
"ARHGEF5","ENSG00000050327","PAS21086_AATAAA_0.2",1,NA,0.00924419119155573,1,0.923404048335106,1,0.716057054808882,0.7440884028798,0.0280313480709187,"chr7",144380630,144380631,"+",0.730072728844341,0,"TUTR","distal pA"
"ARIH2","ENSG00000177479","PAS9591_AATAAA_0.35",1,NA,0.0104776354237401,1,0.918470677026642,1,0.406209046728274,0.396569363985091,-0.00963968274318266,"chr3",48985535,48985536,"+",0.401389205356683,0,"TUTR","distal pA"
"ARL4D","ENSG00000175906","PAS42863_ATTAAA_0.1",0.88839592202316,NA,0.41547986513433,1,0.519201164638339,0.903194460559403,0.8540462772154,0.799944201515393,-0.0541020757000071,"chr17",43400932,43400933,"+",0.826995239365396,0,"TUTR","distal pA"
"ARL5B","ENSG00000165997","PAS27019_AATAAA_0.3",1,NA,0.02109318492694,1,0.884525388051922,1,0.886640750622917,0.899258133400094,0.0126173827771767,"chr10",18681637,18681638,"+",0.892949442011505,0,"TUTR","distal pA"
"ARL8B","ENSG00000134108","PAS9112_AATAAA_0.35",0.548242187398159,NA,0.0363848568085814,1,0.848722912811752,1,0.538844983037698,0.523208449302187,-0.0156365337355101,"chr3",5180908,5180909,"+",0.531026716169942,0,"TUTR","distal pA"
"ARMC10","ENSG00000170632","PAS20815_AATAAA_0.45",1,NA,0.00480092065390636,1,0.944759839133611,1,0.845903911518405,0.837152595699136,-0.00875131581926958,"chr7",103099750,103099751,"+",0.841528253608771,0,"TUTR","distal pA"
"ARMCX3","ENSG00000102401","PAS52204_AATAAA_0.3",1,NA,0.0896920143059106,1,0.764569061318491,0.996020595532852,0.775658793568044,0.799574368679067,0.0239155751110233,"chrX",101627841,101627842,"+",0.787616581123556,0,"TUTR","distal pA"
"ATF1","ENSG00000123268","PAS32576_ATTAAA_0.4",1,NA,-0.00817254009029966,1,1,1,0.496857762818292,0.475933520869333,-0.0209242419489593,"chr12",50821131,50821132,"+",0.486395641843812,0,"TUTR","distal pA"
"ATG10","ENSG00000152348","PAS15065_ATTAAA_0.4",1,NA,0.01114631478913,1,0.915918681056109,1,0.432882217571551,0.47780532724529,0.0449231096737394,"chr5",82254788,82254789,"+",0.455343772408421,0,"TUTR","distal pA"
"ATG13","ENSG00000175224","PAS29809_AATAAA_0.15",0.961064663514579,NA,0.172513744015305,1,0.677887358741255,0.959482690522782,0.682214210572637,0.744648305722194,0.0624340951495569,"chr11",46674516,46674517,"+",0.713431258147416,0,"TUTR","distal pA"
"ATG4A","ENSG00000101844","PAS52259_AATAAA_0.2",0.969741750853311,NA,0.150635719858656,1,0.697928580462435,0.966872527827126,0.79217547464884,0.855104662595503,0.0629291879466635,"chrX",108154664,108154665,"+",0.823640068622171,0,"TUTR","distal pA"
"ATMIN","ENSG00000166454","PAS40931_ATTAAA_0.15",0.866166963070227,NA,0.488899251609837,1,0.484418734355674,0.889781282572494,0.0709419304422407,0.111964643125963,0.0410227126837226,"chr16",81047235,81047236,"+",0.091453286784102,0,"TUTR","distal pA"
