"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.66469018330072,NA,0.562268276304167,1,0.453347760633707,0.801639121572919,0.109469223377361,0.129635047619239,0.0201658242418784,"chr4",145129520,145129521,"+",0.1195521354983,0,"TUTR","distal pA"
"ABHD10","ENSG00000144827","PAS9981_AATAAA_0.2",0.887655901843899,NA,0.15937361944998,1,0.689733865875248,0.908404419104444,0.778415720448299,0.757013277578334,-0.0214024428699642,"chr3",111993366,111993367,"+",0.767714499013316,0,"TUTR","distal pA"
"ABHD13","ENSG00000139826","PAS35732_AATAAA_0.35",0.860303209328112,NA,0.175101341991706,1,0.675617315567463,0.903449868205665,0.520434970181228,0.567390204082873,0.0469552339016458,"chr13",108230907,108230908,"+",0.54391258713205,0,"TUTR","distal pA"
"ABHD6","ENSG00000163686","PAS9737_AATAAA_0.25",0.882887021385352,NA,0.170632002782014,1,0.6795507365917,0.904601678206773,0.670536570744695,0.719597950795875,0.0490613800511801,"chr3",58294731,58294732,"+",0.695067260770285,0,"TUTR","distal pA"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.778690537869143,NA,0.0160730400848479,1,0.899114926220007,0.978977509488345,0.695070738810451,0.687697344856877,-0.00737339395357439,"chr10",124836666,124836667,"+",0.691384041833664,0,"TUTR","distal pA"
"ACACB","ENSG00000076555","PAS33226_AATAAA_0.25",0.805002932270883,NA,0.430055651823835,1,0.511961642006988,0.834272084553525,0.828445350524406,0.762369999192288,-0.0660753513321182,"chr12",109268222,109268223,"+",0.795407674858347,0,"TUTR","distal pA"
"ACER3","ENSG00000078124","PAS30308_APA_0.25",0.980879954593,NA,0.000103497412055731,1,0.99188296692984,1,0.443478224413658,0.444442766743812,0.00096454233015425,"chr11",77022926,77022927,"+",0.443960495578735,0,"TUTR","distal pA"
"ACP7","ENSG00000183760","PAS46791_AATAAA_0.45",0.748185861540922,NA,0.628276557330992,1,0.42798818952174,0.78377132641702,0.780611770565259,0.840023817122261,0.0594120465570022,"chr19",39111481,39111482,"+",0.81031779384376,0,"TUTR","distal pA"
"ACSL3","ENSG00000123983","PAS7025_APA_0.25",0.58550338414158,NA,0.770357574796435,1,0.380106456432723,0.752609417667113,0.259756102581585,0.298344954040673,0.038588851459088,"chr2",222943144,222943145,"+",0.279050528311129,0,"TUTR","distal pA"
"ACTR3","ENSG00000115091","PAS6208_AATAAA_0.2",0.63855320788239,NA,0.00125970832732492,1,0.971687130411749,0.995042686246326,0.708512855717832,0.710986044269387,0.00247318855155565,"chr2",113958254,113958255,"+",0.70974944999361,0,"TUTR","distal pA"
"ACTR6","ENSG00000075089","PAS33123_AATAAA_0.25",0.364684073748642,NA,2.90534743992612,1,0.088286227265559,0.426612485723729,0.842740814969946,0.914633435241019,0.0718926202710736,"chr12",100224422,100224423,"+",0.878687125105483,0,"TUTR","distal pA"
"ACVR2B","ENSG00000114739","PAS9431_AATAAA_0.2",0.926803946101429,NA,0.485495601891671,1,0.485943523476795,0.819499914949476,0.306276232643725,0.261510738389624,-0.0447654942541014,"chr3",38493139,38493140,"+",0.283893485516674,0,"TUTR","distal pA"
"ADD3","ENSG00000148700","PAS27811_AATAAA_0.25",0.860015392305915,NA,0.226336982838802,1,0.634253303460114,0.886079798939621,0.337928183415572,0.352459904898418,0.014531721482846,"chr10",110135563,110135564,"+",0.345194044156995,0,"TUTR","distal pA"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.867348497957736,NA,0.208798891474316,1,0.647710453648668,0.891655389558171,0.814201080942476,0.831747125035479,0.017546044093003,"chr12",1788670,1788671,"+",0.822974102988977,0,"TUTR","distal pA"
"ADK","ENSG00000156110","PAS27418_AATAAA_0.45",0.0212435856826056,1,2.93490272918098,1,0.0866838842354733,0.423131017434271,0.201285430116757,0.142392597998678,-0.0588928321180791,"chr10",74709022,74709023,"+",0.171839014057717,0,"TUTR","distal pA"
"AFAP1L1","ENSG00000157510","PAS15640_ATTAAA_0.35",0.743211692294843,NA,0.658225082838783,1,0.417187255937449,0.777977555129429,0.310711377362396,0.236512297599241,-0.0741990797631552,"chr5",149341801,149341802,"+",0.273611837480819,0,"TUTR","distal pA"
"AGAP1","ENSG00000157985","PAS7155_AATAAA_0.15",0.929838972982023,NA,0.11557194333318,1,0.733887601730549,0.92279082601371,0.302679135262068,0.32253599427271,0.019856859010642,"chr2",236131791,236131792,"+",0.31260756476739,0,"TUTR","distal pA"
"AGFG1","ENSG00000173744","PAS7046_ATTAAA_0.3",0.633346644875161,NA,0.524167727525082,1,0.469069242479707,0.8088369541228,0.204204308171622,0.173844562316101,-0.0303597458555205,"chr2",227556666,227556667,"+",0.189024435243861,0,"TUTR","distal pA"
"AGGF1","ENSG00000164252","PAS15004_AATAAA_0.4",0.918548855464931,NA,0.132548164500463,1,0.715804508098567,0.915365266511858,0.354950613226847,0.380677964795515,0.0257273515686673,"chr5",77064090,77064091,"+",0.367814289011181,0,"TUTR","distal pA"
