"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ALDH2","ENSG00000111275","PAS33280_ATTAAA_0.3",1.59604015392968e-08,0,37.2741103479543,1,1.02638170148652e-09,2.57460574698553e-08,0.00438010162585711,0.138772846769689,0.134392745143831,"chr12",111817528,111817529,"+",0.0715764741977729,2,"TUTR"
"APEX2","ENSG00000169188","PAS52009_AATAAA_0.05",0.0489439250544675,0,5.6588810798159,1,0.0173671992128756,0.0617448021975,0.209053008672546,0.432279611575664,0.223226602903118,"chrX",55009056,55009057,"+",0.320666310124105,2,"TUTR"
"CHMP4B","ENSG00000101421","PAS48968_ATTAAA_0.1",4.66825569190215e-05,0,20.5659289018313,1,5.76123959479287e-06,7.01745779109003e-05,0.477132781794528,0.671530306087809,0.19439752429328,"chr20",33854362,33854363,"+",0.574331543941168,2,"TUTR"
"CYB5R4","ENSG00000065615","PAS18080_AATAAA_0.1",0.00183837337742152,0,12.7151720094554,1,0.000362700928573485,0.00259945591611451,0.0371224555897469,0.226163908940077,0.18904145335033,"chr6",83967422,83967423,"+",0.131643182264912,2,"TUTR"
"DDA1","ENSG00000130311","PAS46437_AATAAA_0.25",1.304702854365e-10,2.00050189669823e-11,46.9897135050705,1,7.13602549623469e-12,2.54602500947403e-10,0.0998099285225364,0.322632604534137,0.222822676011601,"chr19",17323294,17323295,"+",0.211221266528337,2,"TUTR"
"DNAJA1","ENSG00000086061","PAS24901_APA_0.25",5.48998795811718e-22,5.7345477993862e-16,67.5582062572976,1,2.04558063020769e-16,1.34597149607736e-14,0.151308259728415,0.357134690250089,0.205826430521674,"chr9",33039904,33039905,"+",0.254221474989252,2,"TUTR"
"DOCK5","ENSG00000147459","PAS22687_ATTAAA_0.25",2.11815675066098e-07,6.9752668123284e-08,31.0705659986622,1,2.48815969122391e-08,4.80530427682682e-07,0.714744793380453,0.957871005039877,0.243126211659424,"chr8",25415707,25415708,"+",0.836307899210165,2,"TUTR"
"ENSG00000284461","ENSG00000284461","PAS20496_AATAAA_0.25",0.014836055071911,0,8.23064166323053,1,0.00411889645492855,0.0194002986261994,0.603854710408362,0.867766230881457,0.263911520473095,"chr7",66811188,66811189,"+",0.735810470644909,2,"TUTR"
"FAM210B","ENSG00000124098","PAS49249_AATAAA_0.3",4.21151534028615e-11,0,49.7922841705176,1,1.70914774475752e-12,7.08214574995411e-11,0.563840060309787,0.903731876097959,0.339891815788172,"chr20",56368659,56368660,"+",0.733785968203873,2,"TUTR"
"GALNT2","ENSG00000143641","PAS2406_AATAAA_0.1",0.0152433657992944,0,8.17065360484503,1,0.00425735627526599,0.0199234535626636,0.801372865870029,0.910003934652086,0.108631068782057,"chr1",230282120,230282121,"+",0.855688400261057,2,"TUTR"
"GPAT4","ENSG00000158669","PAS22833_AATAAA_0.2",4.19776945897115e-23,3.70666571107148e-19,83.4270674967729,1,6.61105622141156e-20,5.97001173539055e-18,0.0450928427121681,0.260389533475715,0.215296690763547,"chr8",41625000,41625001,"+",0.152741188093942,2,"TUTR"
"GSPT2","ENSG00000189369","PAS51970_AATAAA_0.4",0.0497769604301896,0,5.62313173785458,1,0.0177249488649437,0.0627271568750196,0.260055232610177,0.482727372343695,0.222672139733518,"chrX",51746227,51746228,"+",0.371391302476936,2,"TUTR"
"HEXIM1","ENSG00000186834","PAS42916_ATTAAA_0.2",0.00558711073195543,0.036140009989635,8.67678425520626,1,0.0032228916296688,0.0160947913801996,0.28192166365076,0.403538797119672,0.121617133468913,"chr17",45152095,45152096,"+",0.342730230385216,2,"TUTR"
"HGSNAT","ENSG00000165102","PAS22874_AATAAA_0.3",0.00454643410360603,0.000563274143234346,13.8223992471262,1,0.000200926510198474,0.00156323928968439,0.180256622100507,0.399397367759099,0.219140745658592,"chr8",43202825,43202826,"+",0.289826994929803,2,"TUTR"
"IGF2BP1","ENSG00000159217","PAS43019_AATAAA_0.2",0.00372571878510243,0.0129898427313705,8.01715527093666,1,0.00463362964444723,0.0214239924309294,0.482709712223022,0.660037966132128,0.177328253909106,"chr17",49056142,49056143,"+",0.571373839177575,2,"TUTR"
"IL17RA","ENSG00000177663","PAS50673_AATAAA_0.1",4.65275767043369e-05,3.69064180799597e-06,25.5155501991976,1,4.38831776545618e-07,6.80813185081555e-06,0.0884364607489825,0.313253012048193,0.22481655129921,"chr22",17115691,17115692,"+",0.200844736398588,2,"TUTR"
"LAMC1","ENSG00000135862","PAS1959_AATAAA_0.15",1.21145793336663e-06,0,28.2311649222338,1,1.07657135805942e-07,1.86710269701059e-06,0.454144290953935,0.742011465779554,0.287867174825619,"chr1",183145590,183145591,"+",0.598077878366744,2,"TUTR"
"LRCH3","ENSG00000186001","PAS10756_AATAAA_0.3",0.000169263287841164,3.27015542231549e-05,19.2173188564682,1,1.1665028915398e-05,0.000131334384022547,0.104007066431604,0.287002490315982,0.182995423884378,"chr3",197888431,197888432,"+",0.195504778373793,2,"TUTR"
"MARCHF7","ENSG00000136536","PAS6453_AATAAA_0.25",0.00743322308610121,0,9.71572544309174,1,0.00182697949316986,0.0100177845408618,0.824607814405146,0.6887069447769,-0.135900869628246,"chr2",159768571,159768572,"+",0.756657379591023,2,"TUTR"
"NUDT16","ENSG00000198585","PAS10154_AATAAA_0.4",0.00076465405546839,6.51922522415528e-05,19.2234834132645,1,1.16274214715943e-05,0.00013113648298799,0.0949498722148131,0.406033822777594,0.311083950562781,"chr3",131388805,131388806,"+",0.250491847496204,2,"TUTR"
"OGT","ENSG00000147162","PAS52089_AATAAA_0.25",3.04595893148184e-21,1.9034219550636e-23,102.974520308655,1,3.39486496459835e-24,5.16887928447102e-22,0.476189525915883,0.82202515329816,0.345835627382277,"chrX",71575889,71575890,"+",0.649107339607021,3,"TUTR"
"PA2G4","ENSG00000170515","PAS32721_AATAAA_0.2",1.8062428502794e-08,4.19543558446186e-09,36.5388167187048,1,1.49656120536267e-09,3.63561640501276e-08,0.220112917289292,0.33459105592917,0.114478138639879,"chr12",56113904,56113905,"+",0.277351986609231,2,"TUTR"
"PAGR1","ENSG00000280789","PAS40447_None_0.1",0.024776868242706,0,7.13386768795476,1,0.00756413929347525,0.0318882292043673,0.458946797359509,0.655220336322031,0.196273538962522,"chr16",29822488,29822489,"+",0.55708356684077,2,"TUTR"
"PARVA","ENSG00000197702","PAS29510_ATTAAA_0.05",1.372433531719e-25,1.72770526033249e-16,73.7639065458843,1,8.80418259613465e-18,6.86202184010638e-16,0.0371056424941213,0.175257117811387,0.138151475317266,"chr11",12535327,12535328,"+",0.106181380152754,2,"TUTR"
"PGD","ENSG00000142657","PAS171_ATTAAA_0.15",5.6613816993628e-06,0,25.0116054576001,1,5.69862723269748e-07,8.71703562908186e-06,0.115862255073703,0.242311708222544,0.126449453148841,"chr1",10420509,10420510,"+",0.179086981648124,2,"TUTR"
"POLH","ENSG00000170734","PAS17848_AATAAA_0.4",0.00495515915565799,0.0010112459710626,12.7253967163547,1,0.00036072332869954,0.00258953468530251,0.0639802565401574,0.205660658112369,0.141680401572212,"chr6",43620521,43620522,"+",0.134820457326263,2,"TUTR"
"POLR2K","ENSG00000147669","PAS23228_AATAAA_0.05",0.000234262061300724,0,17.1379116561393,1,3.47614671607525e-05,0.000346397755709965,0.606447548948221,0.74109188192481,0.134644332976589,"chr8",100154002,100154003,"+",0.673769715436516,2,"TUTR"
"PPP4R2","ENSG00000163605","PAS9812_AATAAA_0.25",2.51388794044569e-06,1.03535769683486e-07,30.3042055545375,1,3.69324264802278e-08,6.93820935914063e-07,0.352023892729298,0.577205187240998,0.2251812945117,"chr3",73069196,73069197,"+",0.464614539985148,2,"TUTR"
"PRSS23","ENSG00000150687","PAS30370_AATAAA_0.25",6.193018496767e-05,0,19.967979711756,1,7.87499334344357e-06,9.2336189386287e-05,0.108860077982335,0.282338078811484,0.173478000829149,"chr11",86811228,86811229,"+",0.195599078396909,2,"TUTR"
"PSMC2","ENSG00000161057","PAS20825_AATAAA_0.2",7.80790841832896e-05,0,19.4806813446635,1,1.01622281671979e-05,0.000116416636589055,0.0282995582558316,0.144062281831571,0.115762723575739,"chr7",103369393,103369394,"+",0.0861809200437011,2,"TUTR"
"PTGFRN","ENSG00000134247","PAS1404_ATTAAA_0.3",0.000165201517503044,0,17.8781385267228,1,2.35511008302987e-05,0.000242435624427618,0.674845680483002,0.869610795281278,0.194765114798277,"chr1",116990349,116990350,"+",0.77222823788214,2,"TUTR"
"RANBP2","ENSG00000153201","PAS6136_AATAAA_0.25",0.000341113331811984,1.61359683203757e-05,22.6748474502201,1,1.91862987867666e-06,2.63892223018825e-05,0.0708205449469417,0.202201315075421,0.131380770128479,"chr2",108785807,108785808,"+",0.136510930011181,2,"TUTR"
"RAP2B","ENSG00000181467","PAS10340_AATAAA_0.35",0.00930505418885179,0,9.22732159047223,1,0.00238430176841774,0.0124581194555714,0.0175565088293991,0.122529983097555,0.104973474268156,"chr3",153170623,153170624,"+",0.070043245963477,2,"TUTR"
"RBM33","ENSG00000184863","PAS21172_AATAAA_0.1",0.0062648873202514,0,10.0809547577585,1,0.00149809688469732,0.00853986965965465,0.574316109262203,0.788939852444079,0.214623743181875,"chr7",155781478,155781479,"+",0.681627980853141,2,"TUTR"
"RND2","ENSG00000108830","PAS42846_AATAAA_0.15",3.29702385163776e-05,0,21.3079106573687,1,3.91114171786373e-06,4.99147072648223e-05,0.0660820561572242,0.280037151236836,0.213955095079612,"chr17",43032039,43032040,"+",0.17305960369703,2,"TUTR"
"SCD","ENSG00000099194","PAS27683_AATAAA_0.15",4.35448467714782e-18,1.85620744205058e-20,87.9772061871554,1,6.62131020952068e-21,6.88090760979871e-19,0.625472554103677,0.750345962434849,0.124873408331173,"chr10",100364824,100364825,"+",0.687909258269263,2,"TUTR"
"SDHAF4","ENSG00000154079","PAS17984_AATAAA_0.35",2.26047971600228e-05,0,22.0865789891454,1,2.60625548941782e-06,3.46812087179237e-05,0.490853248133951,0.845494688561243,0.354641440427292,"chr6",70589562,70589563,"+",0.668173968347597,2,"TUTR"
"SENP2","ENSG00000163904","PAS10607_AATAAA_0.1",6.48971440366208e-09,0,39.174208469949,1,3.87627062195841e-10,1.04007966237548e-08,0.201143043535309,0.557630359111883,0.356487315576575,"chr3",185633549,185633550,"+",0.379386701323596,2,"TUTR"
"SKA1","ENSG00000154839","PAS45387_AATAAA_0.35",0.0257194603419515,0,7.06075152843187,1,0.00787909378217538,0.0330140332748174,0.868091553461154,0.982633634157464,0.11454208069631,"chr18",50394165,50394166,"+",0.925362593809309,2,"TUTR"
"SLC25A37","ENSG00000147454","PAS22675_AATAAA_0.1",0.00672338582977279,0.000749560386659727,14.5890588369516,1,0.00013368850184545,0.00109750297377073,0.318264235017226,0.466054268930309,0.147790033913083,"chr8",23575460,23575461,"+",0.392159251973767,2,"TUTR"
"SLF2","ENSG00000119906","PAS27704_ATTAAA_0.3",0.023324690262271,0.0480313793653451,5.68266158500967,1,0.0171333578006663,0.0611292062784535,0.480087645668756,0.683585247538233,0.203497601869477,"chr10",100965131,100965132,"+",0.581836446603495,2,"TUTR"
