gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
AARD,ENSG00000205002,PAS23324_AATAAA_0.35,0.01860503787344675,0,7.4539263479794045,1,0.006329822290397634,0.025183883570426387,0.5999723962094959,0.815040172415498,0.21506777620600204,chr8,116943997,116943998,+,0.707506284312497,2,TUTR,distal pA,DMAi_48hrs
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,4.087328514167498e-20,0,91.4398991229441,1,1.1503347082990007e-21,7.628510620895957e-20,0.48435710641621377,0.839067716346232,0.35471060993001824,chr2,203432167,203432168,+,0.6617124113812229,2,TUTR,distal pA,DMAi_48hrs
ACACB,ENSG00000076555,PAS33226_AATAAA_0.25,0.024159981531825785,0,6.901706622270467,1,0.00861135073836098,0.03218763370235404,0.8125940718463699,0.9337326194377206,0.12113854759135068,chr12,109268222,109268223,+,0.8731633456420452,2,TUTR,distal pA,DMAi_48hrs
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,1.3416058577170348e-22,0,103.18098440629184,1,3.0588804735978e-24,2.5252931093513263e-22,0.4673731244120824,0.7174127425498785,0.2500396181377961,chr2,278279,278280,+,0.5923929334809804,2,TUTR,distal pA,DMAi_48hrs
ACP7,ENSG00000183760,PAS46791_AATAAA_0.45,0.03495031037147174,0,6.127399142452077,1,0.0133102535757464,0.045819113861316624,0.6545233082707458,0.8572359674918116,0.20271265922106585,chr19,39111481,39111482,+,0.7558796378812787,2,TUTR,distal pA,DMAi_48hrs
ADAMTSL1,ENSG00000178031,PAS24852_AATAAA_0.15,3.149796770974486e-13,2.763318948500921e-7,29.494909014441877,1,5.6063774177815276e-8,8.322641559369072e-7,0.4241917882118893,0.14769179503338276,-0.2764999931785065,chr9,18910293,18910294,+,0.285941791622636,2,ALE,distal pA,DMAi_48hrs
ADO,ENSG00000181915,PAS27252_AATAAA_0.25,3.843592629564574e-6,0,25.2462232516491,1,5.045827873154776e-7,6.16200308041641e-6,0.3403273990623415,0.6117393140808499,0.2714119150185084,chr10,62808470,62808471,+,0.47603335657159573,2,TUTR,distal pA,DMAi_48hrs
AGBL5,ENSG00000084693,PAS5344_AATAAA_0.35,3.5541354125292107e-4,0,15.769316280076282,1,7.155360116411084e-5,5.303750895265586e-4,0.18320756540246583,0.3554460451674909,0.1722384797650251,chr2,27070612,27070613,+,0.2693268052849784,2,ALE,distal pA,DMAi_48hrs
AGGF1,ENSG00000164252,PAS15004_AATAAA_0.4,0.007874952134139258,0.0015432555158130725,12.99032637756318,1,3.131043876934609e-4,0.0019470953486809728,0.2476171145557812,0.4137930437134095,0.1661759291576283,chr5,77064090,77064091,+,0.33070507913459535,2,TUTR,distal pA,DMAi_48hrs
AGPAT3,ENSG00000160216,PAS50312_ATTAAA_0.4,2.507668436201589e-10,1.3836535543342781e-9,40.59642286156304,1,1.8714896073943028e-10,4.176906667206513e-9,0.1997372271796154,0.07747754297129301,-0.12225968420832238,chr21,43986533,43986534,+,0.1386073850754542,2,TUTR,distal pA,DMAi_48hrs
