gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AARD,ENSG00000205002.4,PAS23324_AATAAA_0.35,0.380888286943261,NA,1.45408304622174,1,0.2278739215283837,0.43055136501242236,0.767736175485506,0.8573646102726329,0.0896284347871269,chr8,116943997,116943998,+,0.8125503928790694,distal pA,U2OS,0.17925686957425374
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.17215560751690626,NA,3.200220692483981,1,0.07362833392773527,0.20631445470886198,0.43371083771067315,0.5139827305621532,0.08027189285148001,chr11,106098692,106098693,+,0.4738467841364131,distal pA,U2OS,0.16054378570296002
ABCB8,ENSG00000197150.13,PAS21132_AATAAA_0.2,0.5456268349533951,NA,1.786489000387519,1,0.18135452914332983,0.37299295653412023,0.2276163927481294,0.34501058722452194,0.11739419447639254,chr7,151047779,151047780,+,0.28631348998632566,distal pA,U2OS,0.1837351206625406
ABCC3,ENSG00000108846.16,PAS43065_AATAAA_0.3,0.0018944289093658813,1,0.022542578426737236,1,0.8806526939802015,0.9420128609826113,0.5833270519133547,0.5873977872599313,0.004070735346576648,chr17,50691700,50691701,+,0.5853624195866429,distal pA,U2OS,-0.13730507819398072
ABCD1,ENSG00000101986.12,PAS52448_APA_0.1,0.8704689032981144,NA,0.06300128323411514,1,0.8018136729730858,0.8974995149206368,0.8266453997080054,0.8488757249413531,0.02223032523334767,chrX,153744753,153744754,+,0.8377605623246793,distal pA,U2OS,0.04446065046669534
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,0.4479538005917187,NA,1.119718307905714,1,0.2899791176150996,0.5007106394460422,0.8857990467136657,0.9147406875599927,0.028941640846327,chr1,94518661,94518662,+,0.9002698671368292,distal pA,U2OS,0.057883281692654026
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.5998444550515801,NA,0.3059765130560663,1,0.5801597169463452,0.7527187555699255,0.07867933618177825,0.09359445607700778,0.014915119895229534,chr4,145129520,145129521,+,0.08613689612939301,distal pA,U2OS,0.005788853882219502
ABCF1,ENSG00000204574.14,PAS17571_ATTAAA_0.3,0.3734806466144954,NA,1.4961504473631067,1,0.22126462983555775,0.42254148823158905,0.02488981452267136,0.011698980245516966,-0.013190834277154395,chr6,30592257,30592258,+,0.018294397384094163,distal pA,U2OS,-0.02638166855430868
ABCF3,ENSG00000161204.12,PAS10577_None_0.1,0.637478489653478,NA,0.4775617854729717,1,0.4895288082104854,0.686379316268596,0.03718589431697539,0.05068490156505168,0.013499007248076289,chr3,184194450,184194451,+,0.04393539794101353,distal pA,U2OS,0.026998014496152578
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.0016709778740707064,1,0.39188059341176995,1,0.5313125348902334,0.7180240083384178,0.7106284874560392,0.7450046571424106,0.03437616968637136,chr3,111993366,111993367,+,0.7278165722992249,distal pA,U2OS,0.16385356640885274
ABHD13,ENSG00000139826.6,PAS35732_AATAAA_0.35,0.48314601225806714,NA,1.8171334620565176,1,0.17765486781743048,0.3676320422265888,0.5666662412414905,0.6805555232468842,0.11388928200539372,chr13,108230907,108230908,+,0.6236108822441873,distal pA,U2OS,0.21388880584627765
ABHD17C,ENSG00000136379.12,PAS38908_AATAAA_0.15,0.44153102460442073,NA,1.1470496830022512,1,0.2841676069581207,0.49466089257337614,0.6623243577802642,0.7472224825880843,0.08489812480782011,chr15,80755618,80755619,+,0.7047734201841742,distal pA,U2OS,0.16979624961564022
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,0.3893934439656942,NA,2.762772525122273,1,0.09648089928627804,0.2471394058574247,0.502574881124779,0.4194564855040494,-0.08311839562072959,chr15,89202353,89202354,+,0.4610156833144142,distal pA,U2OS,-0.0863696665375332
ABHD5,ENSG00000011198.10,PAS9495_AATAAA_0.35,0.4887768500282727,NA,2.0733016897852394,1,0.14989670713657974,0.3294115249080033,0.34125101200273145,0.4680793842380156,0.12682837223528415,chr3,43719869,43719870,+,0.4046651981203735,distal pA,U2OS,0.21165244887322243
