gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.027031431845401743,0.00806646269179315,8.493217380742863,1,0.0035647286645808713,0.013805959431098228,0.16390815745319684,0.11679845240040725,-0.047109705052789594,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.027031431845401743,1,0.002519605532143032,1,0.9599664600977879,0.9769842337389917,0.24751565995684918,0.24652561164627787,-9.90048310571312e-4,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.027031431845401743,0.07605042410858487,4.514526899149132,1,0.033608179586477466,0.08776560598989686,0.588576182589954,0.636675935953315,0.04809975336336092,chr3,113810425,113810426,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,5.038606006351146e-6,0.8176810924297303,2.8683517695681076,1,0.090337343022599,0.1908337990997566,0.05367807125047172,0.07322285515803795,0.019544783907566227,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,5.038606006351146e-6,0.3981205173060578,4.436055362886691,1,0.035187458845934036,0.09105806013805703,0.021913578659984088,0.03881459389981995,0.01690101523983586,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,5.038606006351146e-6,1,0.2339465361983457,1,0.6286128470468477,0.7607632064261841,0.351434419627048,0.3400846963978508,-0.011349723229197195,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,5.038606006351146e-6,0.7430553630670809,3.387959959514774,1,0.06567415863190341,0.14925199487240765,0.316533487279877,0.2759195555159194,-0.04061393176395761,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,5.038606006351146e-6,1,0.37079323425132316,1,0.5425722047219443,0.6926083896071574,0.0378603418422992,0.03245104944467116,-0.005409292397628045,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,5.038606006351146e-6,1,1.057587561859691,1,0.3037660517029342,0.4680754240695747,0.208669706282634,0.18891350320137157,-0.01975620308126244,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,5.038606006351146e-6,9.19731172447e-7,28.77510167498258,1,8.128946229345473e-8,9.898065276703026e-7,0.009910395057685872,0.05059374638232916,0.04068335132464329,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.7996996023959242,NA,0.08967085440121991,1,0.7645960137794071,0.8599449265913945,0.2105392179918781,0.19668063240428427,-0.013858585587593841,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.7996996023959242,NA,0.5878237460126456,1,0.4432618986417863,0.6086402406341972,0.6211748761518668,0.6643675963999303,0.04319272024806342,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.7996996023959242,NA,0.46891840725606926,1,0.4934851730040695,0.652035358914241,0.16828590585625502,0.1389517711957855,-0.029334134660469524,chr3,119494704,119494705,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.10552792022224823,NA,3.7189276777844498,1,0.05379891109947558,0.12777134578369298,0.37763037692535817,0.33597722270480324,-0.04165315422055493,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.10552792022224823,NA,3.7189276777917257,1,0.05379891109924101,0.12777134578369298,0.6223696230746418,0.6640227772951968,0.04165315422055493,chr3,120602325,120602326,+
FAM162A,ENSG00000114023.16,PAS10048_AATAAA_0.2,0.10552792022224823,NA,3.718649661658219,1,0.05380786999774968,0.12777134578369298,0.9872630527980236,0.9615963051925637,-0.02566674760545995,chr3,122409996,122409997,+
FAM162A,ENSG00000114023.16,PAS10049_AATAAA_0.15,0.10552792022224823,NA,3.718649661658219,1,0.05380786999774968,0.12777134578369298,0.01273694720197649,0.03840369480743633,0.02566674760545984,chr3,122412332,122412333,+
DTX3L,ENSG00000163840.10,PAS10057_AATAAA_0.2,0.690724014849165,NA,0.3065982084576717,1,0.579775201494353,0.7215642090685859,0.10490790900843454,0.08492113984433541,-0.019986769164099125,chr3,122572598,122572599,+
DTX3L,ENSG00000163840.10,PAS10058_AATAAA_0.15,0.690724014849165,NA,0.30659820845812646,1,0.5797752014940719,0.7215642090685859,0.8950920909915655,0.9150788601556646,0.01998676916409914,chr3,122575199,122575200,+
SLC49A4,ENSG00000138463.9,PAS10066_AATAAA_0.25,0.9784971213906349,NA,0.0026189576142314763,1,0.9591854734539862,0.976745714704711,0.9119894697566294,0.9096478053175167,-0.0023416644391127672,chr3,122879913,122879914,+
