gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.630241688205659,NA,0.7147472418309917,1,0.39787233307689696,0.7261422622311536,0.03939410957859288,0.028329790852111434,-0.011064318726481445,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.630241688205659,NA,1.7138050518587988,1,0.19049242781238288,0.5177706716884215,0.24660633251859776,0.28862599534110456,0.0420196628225068,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.630241688205659,NA,0.8114506430565598,1,0.36769171493152125,0.7032404708187399,0.7139995579028092,0.683044213806784,-0.030955344096025184,chr3,113810425,113810426,+
UPK1B,ENSG00000114638.8,PAS10018_AATAAA_0.3,0.7592528989249057,NA,0.46332597305513445,1,0.496073663735767,0.7953890321210179,0.5776625162772866,0.4957948186702244,-0.0818676976070622,chr3,119204271,119204272,+
UPK1B,ENSG00000114638.8,PAS10019_APA_0.2,0.7592528989249057,NA,0.46332597305513445,1,0.496073663735767,0.7953890321210179,0.4223374837227134,0.5042051813297755,0.08186769760706214,chr3,119205142,119205143,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,0.3124963499936776,NA,0.4030967093494837,1,0.5254943051683574,0.8177671660019714,0.04812519418468894,0.04149479224903925,-0.006630401935649691,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,0.3124963499936776,NA,0.04514928086427972,1,0.8317297698867355,0.9533481468687602,0.04040504222077692,0.03832491191480004,-0.002080130305976882,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,0.3124963499936776,NA,2.5593770696941647,1,0.10964177772147815,0.3986693188320575,0.5167566943874708,0.55763903226209,0.040882337874619146,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,0.3124963499936776,NA,5.931378371195024,1,0.014873603501626982,0.1378094226078,0.21906485724631744,0.1703042990770194,-0.04876055816929803,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,0.3124963499936776,NA,0.04732488109948463,1,0.8277853357766032,0.9520110379534302,0.023238997640080514,0.02162152553110407,-0.0016174721089764442,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,0.3124963499936776,NA,0.0746211755049444,1,0.7847234872067378,0.9331735258391995,0.1429732299818491,0.1479942565335091,0.0050210265516599795,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,0.3124963499936776,NA,4.6117935224338,1,0.031752807062574,0.20451612127268995,0.009435984338816206,0.02262118243243816,0.013185198093621953,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.9526579778856946,NA,0.029066978538025978,1,0.8646244788134289,0.9623668039491653,0.7685555473781664,0.7806506259298055,0.012095078551639049,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.9526579778856946,NA,0.029066978538025978,1,0.8646244788134289,0.9623668039491653,0.23144445262183355,0.2193493740701945,-0.012095078551639049,chr3,119494704,119494705,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.7260550208835477,NA,0.5698531630250727,1,0.45031727137945876,0.7660306781573449,0.1295976027004233,0.10708946781803434,-0.022508134882388967,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.7260550208835477,NA,0.5698531630250727,1,0.45031727137945876,0.7660306781573449,0.8704023972995767,0.8929105321819657,0.022508134882389008,chr3,120602325,120602326,+
SLC15A2,ENSG00000163406.11,PAS10044_ATTAAA_0.25,0.11675906038438678,NA,5.921684311853312,1,0.014955654925640554,0.13800406886996688,0.3514278296211241,0.1461067100982363,-0.2053211195228878,chr3,121941609,121941610,+
