"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABLIM3","ENSG00000173210","PAS15637_APA_0.15",0.987572597774806,NA,0.00656114253240503,1,0.935441252806587,0.988717576737635,0.751889303107883,0.746519060828772,-0.00537024227911109,"chr5",149260435,149260436,"+",0.749204181968327,0,"MIXED","distal pA"
"ADARB1","ENSG00000197381","PAS50348_AATAAA_0.15",0.996741204667606,NA,0.147264648021974,1,0.701163184493562,0.910631368726737,0.810737737722621,0.822623933427938,0.0118861957053167,"chr21",45226558,45226559,"+",0.816680835575279,0,"MIXED","distal pA"
"AIMP1","ENSG00000164022","PAS13115_AATAAA_0.3",0.154690420080906,NA,2.30659160078358,1,0.128826261614223,0.501713728449725,0.217660755927929,0.162145950445305,-0.0555148054826247,"chr4",106348490,106348491,"+",0.189903353186617,0,"MIXED","distal pA"
"ALDH16A1","ENSG00000161618","PAS47107_AATAAA_0.25",0.956106187062511,NA,0.0332884965855555,1,0.855228527379895,0.963789773721087,0.356784789111729,0.349604523666848,-0.00718026544488087,"chr19",49471046,49471047,"+",0.353194656389289,0,"MIXED","distal pA"
"ALDH3A2","ENSG00000072210","PAS42429_APA_0.25",0.642751833373192,NA,1.09278504733879,1,0.295854955263586,0.691079182993143,0.430315268238317,0.361334318861298,-0.0689809493770186,"chr17",19677594,19677595,"+",0.395824793549808,0,"MIXED","distal pA"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",0.421842058332313,NA,2.42500415714335,1,0.119412924985554,0.48437287248684,0.105465688774024,0.157833314856454,0.0523676260824298,"chr11",1012238,1012239,"+",0.131649501815239,0,"MIXED","distal pA"
"APH1B","ENSG00000138613","PAS38652_AATAAA_0.1",0.996741204667606,NA,0.000515647815234388,1,0.981883290106433,0.996713113236815,0.501727206139057,0.498835776359203,-0.0028914297798544,"chr15",63309117,63309118,"+",0.50028149124913,0,"MIXED","distal pA"
"ARHGEF26","ENSG00000114790","PAS10345_APA_0",0.952849890461413,NA,0.0376174805808205,1,0.846213260120966,0.9610323336348,0.24204233806468,0.258591120126831,0.0165487820621516,"chr3",154257824,154257825,"+",0.250316729095755,0,"MIXED","distal pA"
"ARHGEF40","ENSG00000165801","PAS36370_AATAAA_0.3",0.681035514252159,NA,0.908753211222802,1,0.340445445009467,0.725149461353245,0.110958244004084,0.171661986144042,0.0607037421399577,"chr14",21090244,21090245,"+",0.141310115074063,0,"MIXED","distal pA"
"ARL6IP4","ENSG00000182196","PAS33521_ATTAAA_0",0.882887021385352,NA,0.172523018252832,1,0.67787918711109,0.904209152946936,0.921197227895742,0.925721283061803,0.00452405516606147,"chr12",122982908,122982909,"+",0.923459255478772,0,"MIXED","distal pA"
"ARL6IP5","ENSG00000144746","PAS9794_AATAAA_0.15",0.914354522997308,NA,0.6775594824976,1,0.410428376373479,0.773283830121935,0.284879000843896,0.30904669944436,0.0241676986004646,"chr3",69106065,69106066,"+",0.296962850144128,0,"MIXED","distal pA"
"ASB1","ENSG00000065802","PAS7198_AATAAA_0.05",0.473023295884527,NA,2.07252346182759,1,0.149973196168103,0.533232251824965,0.68423788233132,0.741148488684828,0.0569106063535085,"chr2",238452248,238452249,"+",0.712693185508074,0,"MIXED","distal pA"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",0.947239435545132,NA,0.0441435335596907,1,0.8335867956889,0.958218006934312,0.29304128432995,0.284015903507633,-0.00902538082231652,"chr2",241673853,241673854,"+",0.288528593918791,0,"MIXED","distal pA"
"ATP11A","ENSG00000068650","PAS35766_AATAAA_0.2",0.883044573729268,NA,0.167532722312899,1,0.682313929086159,0.905288877929218,0.751214144714355,0.713895703657836,-0.037318441056519,"chr13",112887165,112887166,"+",0.732554924186095,0,"MIXED","distal pA"
"ATP2A2","ENSG00000174437","PAS33247_AATAAA_0.2",0.901466296317517,NA,0.124326004317481,1,0.724389141062961,0.919684567078662,0.189538777065346,0.198737744497703,0.00919896743235704,"chr12",110351089,110351090,"+",0.194138260781525,0,"MIXED","distal pA"
"BIVM","ENSG00000134897","PAS35719_AATAAA_0.35",0.651867934637838,NA,1.05111037329937,1,0.30525149647678,0.700413237133667,0.850675452597321,0.780032712354223,-0.0706427402430982,"chr13",102841530,102841531,"+",0.815354082475772,0,"MIXED","distal pA"
"BTN2A2","ENSG00000124508","PAS17467_AATAAA_0.35",0.997054286109257,NA,0.00039332157592753,1,0.984177122057219,0.99691637190099,0.194310915141253,0.196177362062137,0.00186644692088334,"chr6",26394869,26394870,"+",0.195244138601695,0,"MIXED","distal pA"
"C5orf24","ENSG00000181904","PAS15417_AATAAA_0.2",0.246365849143929,NA,1.19071871622941,1,0.275184630645146,0.672808069758515,0.566546124849938,0.514886337890165,-0.0516597869597728,"chr5",134859733,134859734,"+",0.540716231370052,0,"MIXED","distal pA"
