"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AIG1","ENSG00000146416","PAS18369_AATAAA_0.2",0.00382358524305819,0.00232483517818114,13.4320438879863,1,0.000247362462958473,0.00350910138460944,0.709583880680805,0.861156204785365,0.15157232410456,"chr6",143340301,143340302,"+",0.785370042733085,2,"ALE","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ALG13","ENSG00000101901","PAS52279_AATAAA_0.3",0.000513466248314398,3.20262958840646e-05,20.2444198222547,1,6.81519576412895e-06,0.000174825143971932,0.0921733298358202,0.327323329235694,0.235149999399874,"chrX",111760643,111760644,"+",0.209748329535757,2,"ALE","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ANKHD1","ENSG00000131503","PAS15518_AATAAA_0.2",0.000753667624229122,0,16.0954836045821,1,6.02274989783017e-05,0.00110177570852129,0.742040080403264,0.922649442099478,0.180609361696214,"chr5",140539848,140539849,"+",0.832344761251371,2,"ALE","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ANTXR1","ENSG00000169604","PAS5779_AATAAA_0.1",3.94704659250428e-05,0.000404458974500075,15.4200795159154,1,8.6068869773616e-05,0.00147788628414603,0.541879581919797,0.215229240804063,-0.326650341115734,"chr2",69249167,69249168,"+",0.37855441136193,2,"ALE","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ARHGAP11A","ENSG00000198826","PAS38255_ATTAAA_0.4",0.000940527661927519,0.0331937955651015,9.25031705675974,1,0.00235454656541787,0.0207039284653722,0.574723630461622,0.440994985236243,-0.133728645225379,"chr15",32639037,32639038,"+",0.507859307848932,2,"ALE","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ATP11A","ENSG00000068650","PAS35766_AATAAA_0.2",7.98182018217491e-26,5.68215441902476e-15,64.0562637407861,1,1.20916246036847e-15,2.45934020690634e-13,0.67317107169473,0.157275386412579,-0.51589568528215,"chr13",112887165,112887166,"+",0.415223229053655,2,"ALE","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",2.52596749969369e-26,0,125.01468862613,1,5.05193499938738e-29,5.74531307805329e-26,0.812800224025588,0.300107515498846,-0.512692708526741,"chr17",81116223,81116224,"+",0.556453869762217,2,"ALE","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"CAMTA1","ENSG00000171735","PAS113_AATAAA_0.15",0.000718134468704688,0,16.199143968533,1,5.70198768151522e-05,0.00105726937350052,0.160090177273742,0.302337793651913,0.142247616378171,"chr1",6888198,6888199,"+",0.231213985462827,2,"ALE","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"CENPN","ENSG00000166451","PAS40928_AATAAA_0.05",0.0194608602111365,0.0463479466403948,6.65950279579033,1,0.00986284304507602,0.0620290927822507,0.428674725106488,0.576816676878032,0.148141951771544,"chr16",81031482,81031483,"+",0.50274570099226,2,"ALE","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"CTDSPL","ENSG00000144677","PAS9413_AATAAA_0.15",1.61575576438061e-05,0,24.647578255488,1,6.88311955626141e-07,2.44619616104947e-05,0.772825222142541,0.892951450629172,0.120126228486631,"chr3",37984467,37984468,"+",0.832888336385856,2,"ALE","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
