"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",6.67417204119173e-21,3.12939335578315e-20,88.9538133515061,1,4.0413879908971e-21,1.22411515197962e-18,0.6485163406643,0.292139214862696,-0.356377125801604,"chr15",89202353,89202354,"+",0.470327777763498,2,"TUTR"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",4.10639797826487e-05,0,20.8774268473462,1,4.89630771899711e-06,6.10980156903774e-05,0.813231430478121,0.643558316270045,-0.169673114208077,"chr12",1788670,1788671,"+",0.728394873374083,2,"TUTR"
"AGFG1","ENSG00000173744","PAS7048_AATAAA_0.2",0.00123126928247641,0.00033314897035809,15.9646696350678,1,6.45357148293671e-05,0.000589061124255365,0.316784535908925,0.10220183824167,-0.214582697667255,"chr2",227561215,227561216,"+",0.209493187075297,2,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.0443026220012638,0.0271528255914652,6.54468750196042,1,0.0105197804291505,0.0381723432344017,0.756880217768398,0.63108829943042,-0.125791918337978,"chr11",120489027,120489028,"+",0.693984258599409,2,"TUTR"
"ARIH1","ENSG00000166233","PAS38774_AATAAA_0.25",8.95498756207249e-09,1.22483296539183e-07,31.9501712384808,1,1.5817842867346e-08,3.78510127657281e-07,0.668996693063917,0.40411809916226,-0.264878593901656,"chr15",72586553,72586554,"+",0.536557396113089,2,"TUTR"
"ASB7","ENSG00000183475","PAS39095_ATTAAA_0.35",0.0129919777135737,0,8.41138286045202,1,0.00372878924270861,0.0169236451827982,0.734125805083575,0.402804297943679,-0.331321507139896,"chr15",100651696,100651697,"+",0.568465051513627,2,"TUTR"
"ATF6","ENSG00000118217","PAS1753_AATAAA_0.15",0.00116259399678488,0.00291558725170544,10.6021181507128,1,0.00112958180380359,0.00640274932310379,0.311721321626361,0.0795114511380188,-0.232209870488342,"chr1",161964068,161964069,"+",0.19561638638219,2,"TUTR"
"BAG3","ENSG00000151929","PAS27916_AATAAA_0.2",0.0189798426238352,0,7.56869898614764,1,0.00593906389761294,0.0244574688592218,0.823943050824332,0.939964209976259,0.116021159151927,"chr10",119677814,119677815,"+",0.881953630400296,2,"TUTR"
"CDS1","ENSG00000163624","PAS13025_AATAAA_0.1",0.00989117626004051,0,8.99957904267399,1,0.00270041800900213,0.0129995028371453,0.679795318398552,0.434357126931637,-0.245438191466915,"chr4",84651332,84651333,"+",0.557076222665094,2,"TUTR"
"CEACAM6","ENSG00000086548","PAS46865_AATAAA_0.25",1.68184432045774e-10,0,47.2445265717979,1,6.26607141107682e-12,3.06904178474443e-10,0.481878741367158,0.360537300605227,-0.121341440761931,"chr19",41772207,41772208,"+",0.421208020986193,2,"TUTR"
