"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.00103040933176865,0.00126877359610435,12.6061634648295,1,0.00038447684730435,0.0033769347789106,0.337641405675122,0.158938650560183,-0.178702755114939,"chr10",123058288,123058289,"+",0.248290028117652,2,"TUTR"
"ADCY7","ENSG00000121281","PAS40571_ATTAAA_0.35",0.00103589056908793,0.000169887740724322,16.3927733507007,1,5.14811335528248e-05,0.000618286048833121,0.885349137005726,0.714975939651809,-0.170373197353918,"chr16",50318131,50318132,"+",0.800162538328767,2,"TUTR"
"B3GALT6","ENSG00000176022","PAS29_ATTAAA_0.25",6.24580649433139e-10,4.9228232706883e-08,32.0639962852001,1,1.4917646274813e-08,4.51705177259542e-07,0.38931512737355,0.71515151306076,0.32583638568721,"chr1",1235037,1235038,"+",0.552233320217155,2,"TUTR"
"CAMSAP2","ENSG00000118200","PAS2039_AATAAA_0.2",0.00159009582785188,0.0390790131085476,7.57417039286383,1,0.00592106259220418,0.0316321072066494,0.730109857159352,0.616997057260845,-0.113112799898507,"chr1",200860700,200860701,"+",0.673553457210098,2,"TUTR"
"CHMP4B","ENSG00000101421","PAS48968_ATTAAA_0.1",1.07759871810444e-05,0,24.2221293217372,1,8.58402898289609e-07,1.72837605387487e-05,0.411486347100744,0.561282607432968,0.149796260332224,"chr20",33854362,33854363,"+",0.486384477266856,2,"TUTR"
"DNAJA1","ENSG00000086061","PAS24901_APA_0.25",1.7824185150442e-14,3.48816735776894e-13,55.2580219015217,1,1.05702041144513e-13,7.89493578738901e-12,0.166289455550832,0.287317731015158,0.121028275464326,"chr9",33039904,33039905,"+",0.226803593282995,2,"TUTR"
"DOCK5","ENSG00000147459","PAS22687_ATTAAA_0.25",2.2151995957498e-06,1.1047157467221e-07,30.4948014980182,1,3.34762347491545e-08,9.40994161362883e-07,0.674999506989843,0.877393842665236,0.202394335675393,"chr8",25415707,25415708,"+",0.77619667482754,2,"TUTR"
"EIF4EBP2","ENSG00000148730","PAS27350_APA_0.2",0.00341977315395524,0.000742033637612198,14.9156014745708,1,0.000112429339032151,0.00118870425908471,0.42270093281423,0.581211089914386,0.158510157100156,"chr10",70428615,70428616,"+",0.501956011364308,2,"TUTR"
"FAM210B","ENSG00000124098","PAS49249_AATAAA_0.3",1.25568274973279e-10,0,48.1198501365707,1,4.00946864135923e-12,2.32960850796881e-10,0.467331679993251,0.79120315400511,0.323871474011859,"chr20",56368659,56368660,"+",0.62926741699918,2,"TUTR"
"FZR1","ENSG00000105325","PAS46100_APA_0.2",1.2814840016161e-07,4.90813425596167e-05,20.0775198134088,1,7.43656705448738e-06,0.000115602135034326,0.188943525731703,0.0659101732898966,-0.123033352441806,"chr19",3538326,3538327,"+",0.1274268495108,3,"TUTR"
"GALNT2","ENSG00000143641","PAS2406_AATAAA_0.1",0.000692710668983651,0,15.2033009408706,1,9.65345298092782e-05,0.00104351764304617,0.744083229091614,0.870154556742951,0.126071327651337,"chr1",230282120,230282121,"+",0.807118892917283,2,"TUTR"
"GATAD2A","ENSG00000167491","PAS46503_AATAAA_0.15",8.93080061688986e-20,1.54910810009781e-07,31.1838276077124,1,2.34713348499669e-08,6.77988742397294e-07,0.49643394993989,0.626390349590782,0.129956399650892,"chr19",19507339,19507340,"+",0.561412149765336,2,"TUTR"
"GATC","ENSG00000257218","PAS33401_AATAAA_0.4",1.36180455484749e-08,0.000234790905473069,17.864840153994,1,2.37162530780878e-05,0.000316348174875278,0.241412221443996,0.345310677271089,0.103898455827093,"chr12",120463745,120463746,"+",0.293361449357542,2,"TUTR"
"GID8","ENSG00000101193","PAS49352_APA_0.25",4.45582979716824e-13,0,60.0053797274068,1,9.45984551385746e-15,8.43054982300308e-13,0.249653178196189,0.0863329623027348,-0.163320215893454,"chr20",62948472,62948473,"+",0.167993070249462,2,"TUTR"
"GMCL1","ENSG00000087338","PAS5789_AATAAA_0.45",0.000765677420713131,6.94017867724976e-05,18.0935880929269,1,2.10308444765144e-05,0.000284615009158006,0.53046376072172,0.775971198756005,0.245507438034285,"chr2",69881365,69881366,"+",0.653217479738863,2,"TUTR"
"GPAT4","ENSG00000158669","PAS22833_AATAAA_0.2",3.5549683794637e-18,8.13700503822887e-19,82.1952154946448,1,1.2328795512468e-19,2.24857160015186e-17,0.0315263237794718,0.220964084192345,0.189437760412873,"chr8",41625000,41625001,"+",0.126245203985908,2,"TUTR"
"GSPT2","ENSG00000189369","PAS51970_AATAAA_0.4",0.0143138354045586,0,8.62210477847202,1,0.00332107874254093,0.0199866332921159,0.226225655536297,0.490652586749219,0.264426931212922,"chrX",51746227,51746228,"+",0.358439121142758,2,"TUTR"
