gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.0033471311072095842,5.561664086020895e-4,13.542104494544219,1,2.3327067910462913e-4,0.001517985518570927,0.06252676962914802,0.01534811628064551,-0.04717865334850251,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.0033471311072095842,1,0.01526835258846404,1,0.9016595670687504,0.9376833000887282,0.39539215026832625,0.3914059538704591,-0.0039861963978671255,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.0033471311072095842,0.28046625904829253,2.4485317522485275,1,0.11763485478846708,0.23262453134526287,0.5420810801025258,0.5932459298488953,0.05116484974636959,chr3,113810425,113810426,+
QTRT2,ENSG00000151576.10,PAS10005_AATAAA_0.3,1,NA,NA,1,1,NA,NA,NA,NA,chr3,114086044,114086045,+
QTRT2,ENSG00000151576.10,PAS10006_AATAAA_0.3,1,NA,NA,1,1,NA,NA,NA,NA,chr3,114088343,114088344,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,2.2344196239211224e-10,1,0.9225295162259499,1,0.3368116792875829,0.49319997566469076,0.046636981329256394,0.058286776437787846,0.011649795108531452,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,2.2344196239211224e-10,1,1.1083238998371598,1,0.29244658589366634,0.44794754485230404,0.03360934508457716,0.04471358969855855,0.011104244613981393,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,2.2344196239211224e-10,1,1.3436408076759108,1,0.24639292359470752,0.39649584045197217,0.3753714589476302,0.4058942486733404,0.03052278972571021,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,2.2344196239211224e-10,1.4129727182717378e-4,19.186843111583585,1,1.185275127910067e-5,1.1114323971689828e-4,0.17895572827993614,0.09548711061551492,-0.08346861766442122,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,2.2344196239211224e-10,0.6463717481124729,3.3360705539325863,1,0.06777628705373612,0.1551332303784345,0.02536047290128619,0.011842419073177112,-0.013518053828109078,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,2.2344196239211224e-10,0.33532168261854484,4.820172527463001,1,0.028128529667780806,0.07952203381623818,0.2941533492072869,0.24029039695588905,-0.053862952251397866,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,2.2344196239211224e-10,2.500845666495137e-9,40.37334273402848,1,2.0978396319385253e-10,5.518931954792121e-9,0.045912664250026936,0.14348545854573214,0.0975727942957052,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.17443250648361705,NA,4.515654860304494,1,0.03358602664279681,0.09100157570997233,0.07500000086933505,0.01408520999955983,-0.060914790869775214,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.17443250648361705,NA,0.05320626590400934,1,0.8175751947857721,0.882981210368634,0.5899999993592365,0.6056321478038891,0.01563214844465255,chr3,119493193,119493194,+
